Vol.236 1万亿美元！马斯克的天价薪酬有多大可能实现？
[00:05:49] 是你可以完成一个个指标然后一步步来积累这12%的简而言之就是每一级的这个台阶它就对应一个市值目标和一个经营目标只要你实现了这两个目标就可以解锁1%的股份全部解锁了就可以完整的获得12%的特斯拉股份然后到了2023年的时候算清楚了之后给你感觉就像那种游戏里面先让你刻一个三块钱的包再让你刻一个六块钱的包最后刻着刻着你又发现你变成了一个万科大佬
[00:06:17] 是这个意思或者就是如果你玩PS的话大家很明白就是你获得白金成就对吧就是所有的任务都完成了最后你获得个白金就这么个意思真的很想打游戏啊接下来呢我们就来看一下这12级台阶距离是什么其实非常简单啊先说前面讲到市值目标这个实际上是台阶里面最主要的一个部分
[00:06:36] 第一级台阶的要求呢就是1000亿美元不是1000亿美元当时特斯拉市值是多少2018年定的时候是600亿美元不到那等于第一级就很高啊这个台阶要涨60%以上的所以说疯狂嘛就是很夸张接下来每一级呢市值都涨500亿美元最后到了第12级台阶的时候来到6500亿美元的标准这个6500亿乘以12%然后再减掉它的成本就是每股350美元那最后它算出来
[00:07:04] 整个他能够从这个行权的部分里面获得的资金就是前面说的那个560亿是吗对就是一级级讲的2000 2500 3000 3500什么拍卖会对我其实就是一定要想玩这个梗那说回来虽然现在全球已经有一些1万亿美元市值的公司了但是其实在2018年的时候都没有
[00:07:24] 截止2018年年底的时候全球市值最大的公司还是7000多亿美元的水平就那个时候是微软亚马逊苹果等于说它这个薪酬规定的2023年的目标就相当于你要成为2018年水平的全球市值最大的公司这样一个水平而当时的特斯拉呢就2018年的时候Model 3刚刚走出量产的地狱上海的工厂还没有建立2018年一年特斯拉的销量才24万台而且还没有实现全年盈利呢就这么一个状态的公司然后就改定这么激进的一个目标
[00:07:53] 对当然马后炮的来看也正是因为当时在外界看来特斯拉的前景还没有那么的明朗所以那个时候他的市值实际上是个低点
[00:08:00] 再往后一年的话上海工厂建成了然后整个销量也起来了它的利润也上来了这个预期当然就肯定完全不一样了那前面你讲的是这个市值目标这个还是比较清楚那它除了市值目标还有一个经营上面的目标是吗对这个经营目标呢其实相对是比较附属的就它还设置了八个营收目标和八个调整后的Aptita的目标所谓的Aptita呢就是专业名词叫做稀税折扣及摊销前利润讲过很多次但我还是要解释一下对
[00:08:29] 它跟所谓的净利润的区别就是字面上的利息税收折旧摊销这些调整要把它剔除掉对跟这些无关的利润的部分而且你讲的是调整后EBITDA这个其实是一个再会剔掉一些东西不算特别正规的一个财务指标但是经常用所谓的调整就是把一些跟日常经营无关但是会出现在财报上面的项目再剔除掉比如说一次性的罚款
[00:08:54] 包括你讲到这个股权激励的费用然后并购产生一些特殊的摊销会计政策变化带来损益等等简而言之就是调整后的EBITDA主要还是反映的一个公司主营业务到底能赚多少钱就是你主营业务的盈利能力这个东西然后一些边边角角最后在财报里边会尽力而为扣掉的东西你先不管就这个概念这16个经营目标其实营收的8个就是从200亿一直到1750亿就要一几几往上抬
[00:09:24] 调整后的AppTender呢从15亿到140亿然后一级级台阶上去这16个目标里边呢特斯拉先完成了一个市值目标同时呢你在解锁任意一个经营目标不管你是利润啊还是这个营收啊等等的你就完成一个台阶而且这个没有先后顺序这个方案是不是那种在游戏里面写课金方案的人把它写出来的我实在很好奇超级像游戏对吧就是完全就是这样一个弄法你可以看出实际上市值是最主要的嘛对主要是市值呢其他经营目标就是稍待
[00:09:53] 或者说你在完成这个市值目标的时候基本上就能完成的如果你拿到这个市值的话你说完那些目标实际上肯定也能完成了
[00:10:00] 除了这三个关键词以外其实整个项目还有一些附加条件也比较重要的我们来讲一下第一个就是马斯克必须继续担任CEO或者董事会确认的关键领导角色感觉说了些废话这必须的是吧第二个叫做确保其就是确保马斯克他的功识与关注度主要投入特斯拉业务
[00:10:21] 这个是不是就不是废话了确实不是废话就是因为马斯克大家后来发现他去花很多时间去搞什么火箭啊推特啊政治啊之类的对为什么二三年之后开始买推特是不是跟这个有关系他之前是被封印住了是吗有可能有这种感觉第三个附加条件就是说最终的这个市值目标必须要维持六个月以上就等于说你不能一下冲上去了就算你完成了对长期保证我们这个公司的平稳的运行对所以我觉得这还是比较合理的
[00:10:50] 第四条呢是对马斯克比较有利的就是他一旦行使他的期权就是你获得这些股票之后呢他没有锁定期他可以随时的抛售这些股票这个还是很大方一般现在对于那个上市公司高管锁定期都规定比较严的当然实际操作当中你不可能大规模套现嘛但我们后来看到现实当中马斯克还是经常会套现的包括他买推特的时候都还是会套现的这个是对他用自己的钱来做别的投资还是很大的一个便利这里要插播一个开始就有问题就是
[00:11:18] 这12%给到马斯克股票是从哪里来的是公司限额股票还是增发的这个忘记说了像你说的它是增发给他的就不是说从别的股东那边收过来它是公司增发的也就是说如果马斯克真的获得了所有这些股票的行权了之后的话其他的股东你在没有买卖特斯拉股票的前提下那你占有的原来的股权是会被稀释的对而且这个比例其实不小大概有10%上下吧还是蛮多的那就还蛮多的是但是你考虑到如果那个时候市值已经是
[00:11:47] 2018年的10倍以上的吧6500和500小小的稀释我也可以接受对所以简单小结一下这个2018版的马斯克的新手方案呢其实就是一个当时设定的把他的个人财富跟特斯拉的市值增长非常强的绑定在一起的一个很激进的计划如果赢了其实所有特斯拉的股东都是赢家当然马斯克在里面赢最多了也正是因为这个市值的目标实在是太诱人了所以最终73%的这个特斯拉的股东才投票通过了这一个方案
[00:12:17] 那实际情况就是呢刚才的12个市值目标还有就是16个经营目标吧特斯拉不仅是完成而且是超额完成我们现在知道他一度是达到过万亿的就6500万早就超过了尤其是在2020年到2021年的那段时间特斯拉的股价暴涨吧感谢中国市场他一下子就刷完了这些目标一瞬间就很容易的那马斯克呢就也获得了原本所有人都觉得他不可能拿到的薪酬的那个奖励一开始推这个方案的时候
[00:12:45] 所有人预估他最后能拿到的大概是一个十几亿几十亿的水平结果他最后拿到了560亿美元再加上他原有的特斯拉股份也让马斯克站上了世界首富的这个位置也正是因为这个所有人都认为不可能的完成的任务最后完成了才引发了接下来的那些法律的纠纷和一个比较戏剧性的判决那接下来我们就来聊一下前面说这个判决究竟是怎么回事以及这个2025年报复性的方案又是怎么出台报复性的方案
[00:13:16] 这里面还是涉及比较多的这个法律的专业的知识了而且已经进入到美国的公司法比较深的部分了所以我这里边我们只是学习了之后简单的复述一下我们的学习成果如果有错漏的话欢迎指正
[00:13:28] 首先为什么会有这个判决呢就是肯定有人要告特斯拉对吧是一个特斯拉的一个小股东叫Tonet我不知道他这个名字怎么念就是他起诉了特斯拉和董事会据说他只有9股的特斯拉的股票比上次那个LVMH只拿了50股的还要少对当然9股钱其实也不少对吧但根据美国的法律他其实可以代表所有特斯拉的股东的
[00:13:51] 那它的核心的一个指控是什么呢就是2018版方案在确定的时候呢特斯拉的董事会不具有独立性被马斯克控制了而且整个方案不透明所以说董事会没有尽到对股东的忠实义务所以这个方案应该被撤销感觉这个小股东背后还是有很聪明的一律师在帮他做是是是其实他就是代表了有很多在这个方案真的执行了之后呢看了不顺眼觉得不行你拿了实在太多了所以我要告你
[00:14:17] 那么2024年呢就是在特斯拉总部所在的特拉华州他的一个叫做横平法院这个法院的首席法官叫凯瑟琳·麦考密克他就发布了一个长达200页的判决书宣布撤销2018版的这个方案给马斯克带来的所有的股权起立所以这个判决的理由就是前面说的这一套吗嗯
[00:14:37] 我首先要说一个点就是特拉华州这个横屏法院是一个处理公司法相关案件当中就是享有声誉的一个法院是一个专门处理这个类型的案件的一个法院特拉华州本来就是一个功课众多的一个对它就是公司法最强的一个地方而且它声誉非常高这些法官都是公司法相关的一些非常资深的专家后面还会讨论到一些美国的公司或者上市公司相关的一些法案的一些规则通行的一些原则都来自于横屏法院的一些判例如果说把马斯克这个案子判定了其实对于未来的
[00:15:06] 相关的一些判决的话其实它也会有很强的一个指导意义不仅数额巨大而且社会意义非常的重大是
[00:15:13] 那我们接下来看一下这个判决书的核心思路是什么就是我尽量说的简单一些便于理解基本上可以说它采纳了大多数原告的一些逻辑首先呢就一般而言在特拉华州的这个公司法里面呢一个公司董事会的决策它是想要有一个叫做商业判断规则的保护的什么意思这个规则我粗暴的理解就是说你们公司的事情董事会说了算跟我无关我法律不会来干涉你
[00:15:38] 他背后有个假设就是说我假设你这个董事会总是善意的然后保证了股东的知情权的并且是以公司利益为先的一般公司一般都会这样简单来说就是法律是不管大部分的公司角色SMS这个事情不犯法我就不会管你对他不会来插手具体的事情这个就是特斯拉这一方就辩护的一个吉利主张原则就是你应该遵从这个那你就别来管我就结束了而且我们73个股东都一致通过了你还有什么好说的
[00:16:05] 董事会还上了股东大会你还有什么好说的呢对但是麦考密克法官觉得在这个案子里面不适用商业判断规则而适用另一个更加严苛的规则叫做完全公平
[00:16:17] 什么叫完全公平之所以要适应这个规则是因为法官就认为马斯克在特斯拉这家公司里面他是一个叫做控制股东就是他的对于这个公司的股权的掌握的比例已经到了可以在这个公司里面横着走的一个地步虽然他的股份当时只有21.4就没有绝对的控制权但是他对整个公司的经营决策战略有压倒性的影响力所以法官认为董事会的决议就是这个方案
[00:16:43] 本质上就是你马斯克的一言堂就你自己给自己许诺了很多钱既然如此的话就不能按照那个善意的假设了对吧法律就要介入进来来审查一下你这个方案对于别的股东是不是完全的公平焦点就变了就是核心完全变成了你怎么界定它有压倒性的影响力这件事情就这个东西我们在旁边看的话好像觉得没什么问题但这个在法律上要确认非常非常的复杂
[00:17:09] 汉军书里面罗列了很多的证据比如说特斯拉薪酬委员会的主席和马斯克有15年的私交制定这个方案的工作小组的成员跟马斯克也是私交非常的密切一起要度假等等的他有很多这种东西才能证明你对他有很强的影响力
[00:17:26] 判决书当中还引用了一些证词有的证人就说马斯克甚至在某些时刻自己与自己谈判感觉很符合我们对于马斯克的想象就这种内容感觉在马斯克传中亦有论述在这个前提之下法官就是认为你要按照完全公平这个原则来审查这个方案了最后就认定这个方案在过程和最终这个价格就这个钱上面有很多的瑕疵所以他要给撤销你过程上主要就是指的就是刚讲的这个掌控力
[00:17:54] 还有一个就是说这种掌控力你在最后给股东投票的时候没有充分的披露给股东股东的完全的知情权没有被保障不排除有一些很可爱的小股东
[00:18:23] 对股东的想象有点不太一样的那么还有一个就是关键就价格上面这太显眼了是吧实在是太多了判决书里面其实也会说到一般的高管薪酬呢都会援引一些同行的数据来做一些对比就证明我并没有给的太多对但是特斯拉的董事会刻意避免了使用客观的基准数据因为任何基准数据都会显示该薪酬方案是同行中位数的250倍是马斯克此前薪酬计划的33倍
[00:18:50] 其实单独讲薪酬数字高不高呢我也很难说就是给太高就不行但你联系到写明这整个方案是一个自己跟自己谈判出来的一个过程这个就很有问题了是的但这些都是其次的还有一个最关键的一个法官的逻辑我自己读下来我觉得最关键的就是说他采纳了原告方的一个核心逻辑就是董事会公布这个方案的时候他有一个很重要的理由就是要通过这个高额的薪酬这个非常激进的方案
[00:19:16] 来绑住马斯克对这个公司的领导地位就你不能走方案的整个目标不就是把马斯克摁在公司吗对但法官就提出了一个问题就是要实现这个目标真的要给他这么多额外的股份吗因为你马斯克本身就是这个公司的创始人了前面讲了你已经有了21.4%的股份了那你的个人财富本身就和特斯拉的经营效果经营的业绩牢牢的挂钩了那你额外再给他最多560亿美元是必须的吗
[00:19:44] 董事会没有办法证明这一点所以法官的判决书里面有一句话很精炼的总结就是他认为特斯拉为马斯克早已打算做的事情括号就是全力推动公司增长这件事情
[00:19:55] 支付了天价我觉得这个确实反而是一个可以讨论的问题比如说从我们旁观角度完全可以说没有马斯克的话或者说马斯克没有认真在特斯拉工作的话那他其实这几年的市值是没有办法暴涨这么多的那为了把它按住多给一些又怎么掉对吧但是从股东角度就是所谓的完全公平这个原则上来说确实可以让你多拿一点但是你多拿多少才是公平的就这个问题是可以去讨论的因为这个事关大家的利益
[00:20:24] 当这个数字到达了几百亿美元的时候那你必须要掰扯掰扯我是不是可以给你一百亿美元就够了呢或者说稍微少一点呢对吧那剩下的这些不就是股东的利益吗是吧所以这个问题其实就非常的复杂或者说就是整个方案没有经过非常严密的充分的讨论没有达到一个大家都认为可以的公平的一个结果是那么最后反正法官就这么判了那我们把这个逻辑讲清楚了那么对于马斯克和特萨赖说显然是不可接受我都吃到碗里你还要把它拿回去
[00:20:52] 对所以其实上就是12%没有行权没有租给他特斯拉在2024年6月的时候是再次股东大会投票又通过了18年的这个方案然后2024年12月的时候法院最终的判决还是撤下了这个方案12%的期权就是没有拿到是吗对马斯克的反制措施是什么就是我等了这5年我这一分钱没有了吗首先就是2025年的时候就是公司董事会批准了一个给马斯克的单年的薪酬方案直接给他
[00:21:19] 9600万股的这个限制性股票就RSE我大家比较熟悉这个价值在当时就是290亿美元相当于是把E8方案的大部分补给马斯克你不让我这样给我就硬给是吗可以的是的但这里面有个区别就是你直接给股票的话在这个会计上面实际上是属于薪酬支出的就是当然这个比较复杂财报上面可能会稍微有点显示或者不是太好看对就是你要记在费用里面的话你这一年的这个亏损就很厉害是吧
[00:21:45] 但是这个当中会有一些会计的细则就一般来说就实际上不会在今年直接的记录他有可能在后面怎么在记录就是在这个财报的影响会比较平缓一点但是还是会显示在财报里对
[00:21:55] 这是一步啊下一步呢就是特斯拉就把公司法律上的这个总部搬到了德克萨斯那里的法律更加宽松然后更加能够支持这些疯狂的方案是的搬过去之后呢董事会就推动表决了一个新的薪酬方案替换2018版的方案更贵的那个方案对所以25年这个1万亿的方案实际上是为了替换18年那个方案重新来执行的这个方案呢是2025年9月董事会提交的然后2025年11月7日股东表决的
[00:22:24] 最终的75%的股东通过了那我就想问一下就是有哪些股东是反对的毕竟这个跟真的一致通过还是有很明显的差距有四分之一是反对的是吧确实有很多机构投资者包括像挪威的主权基金还有美国的一些养老基金我们知道他们都是持有特斯拉比较多的股份的比较靠前的一些机构投资者他们就是反对这个基金的计划的
[00:22:47] 然后反对的理由呢除了上述那些问题外还有一个就是说他们还会讨论更深的问题更往后的问题就是这个做会使得公司和马斯克绑定的过深了这个让他们已经产生了不安了这个我觉得就是跟环境是非常相关的18年的时候大家是大家想要马斯克在公司里现在我不想要现在有些人有可能就不这么想因为是25年的时候所以在表决之前呢就是特斯拉的董事会包括马斯克还要做一些拉票的一些事情
[00:23:12] 支持者呢就还是认为如果你这个方案没通过的话那马斯克很有可能要走然后这个特斯拉的股价就不管走没走当天股价就会暴跌所以说绝对要这样那等于这个表决某种程度上也是在投票决定你对马斯克这个人还信任不是的那最终这个方案通过了他的这个基本的结构呢还是跟18方案是一样的就是还是12个台阶还是市值目标加上经营目标还是12%的股权的奖励但是呢细节有一些不一样
[00:23:41] 这里又要插入一个问题就是又有12%了是吗12%有12%他得有多少钱这个问题我觉得还需要说明一下就首先我们前面讲的18年那个时候马斯克的股权不是21%点多吗对呀但是在25年这个方案通过的时候我们看到大多数媒体的报道说马斯克当时在特斯拉的股权的占比就实际的股权的占比是12%到13%左右就是这个有缩水很大一个比例是就首先18年那个没拿到那个你先别管了原来那个21%点多呢因为
[00:24:08] 78年以来特斯拉是经过多次的增发还有马斯克自己的减持逐步缩减到这个占比的就是它实际的这个钱实际上是膨胀了非常非常多但是它的持股比例有下降是的当然这个数字具体很难算清因为马斯克其实还有一些期权的部分那你行了多少呢其实大多数媒体也只能做一个估算
[00:24:25] 有一个佐证就是这个数字还是比较准确就是马斯克自己在那个方案里面就有一句话叫做如果我的股权没法达到25%的话会影响特斯拉人工智能战略的发展先不说这个说法本身是什么但是确实可以这样算就是25%然后减掉这个方案里面可能给到他12%那他其实手上就应该是13%左右对差不多
[00:24:46] 那我们接下来就去讲一下225年的这个方案这1万亿到底怎么来的首先核心的原因就是因为这个市值的目标大幅的增长第一级的台阶就达到了2万亿美元然后接下来每级5000亿美元最终达到第12级的目标是8.5万亿美元也就是说当特斯拉的市值达到8.5万亿美元的时候马斯克的这个最重要的目标就可以完成了这也是为什么能算出1万亿的原因你想想看8.5乘以12%就是1.02
[00:25:15] 首先我想说这个已经不是台阶了这个是天梯吧其次我想说这个10年以后人类社会会有接近10万亿美元级别这个公司这个美元得贬值到什么程度确实让你忍不住想一想这当时的世界会是什么样子就这个数字怎么说呢我们说起来就8.5万亿这个数字在2024年可以排全球GDP的第三名仅次于两大国全球GDP第三到底是哪个国家德国德国颤抖吧德国
[00:25:43] 我们说回来这个事情就是二五版的这个方案里面它对于经营目标还是有些调整这个是大家其实关注比较多的零售那个部分取消掉了它只有Aptit的要求第一档你记得吗前面一档的话最高是140亿美元现在第一档是500亿美元然后最高一档是4000亿美元当然这个差就不是过去那个稳定的它会有一些我们这个就不讲了除此以外还有一个新的指标就是一些产业的指标经营指标对
[00:26:12] 第一条叫做交付2000万辆特斯拉的汽车第二条叫做FSD就是特斯拉自动驾驶系统活跃订阅用户要达到1000万好讲话第三个就是特斯拉交付100万台人形机器人还有就是特斯拉要有100万台的RoboTaxi自动驾驶的出租车投入商业运营我觉得任意一条目标想起来都已经很夸张了然后还要加在一起是吗这里边最最简单的有可能是2000万台特斯拉汽车那我后面还在说
[00:26:41] 除了这些目标以外呢这次方案还有一个比较大的调整就是每达到一个台阶就会给马斯克1%的投票权就即便那时候股票没有给到投票权和股权是绑定在一起你只有在行权以后你才能获得相应的投票权但现在就是你没有行权你就已经可以获得投票权了是而且这次给发给他的不是那个期权了而是那个限制性股票当然还是花钱买的就这个差别不大啊因为你还有税啊等等差别不大但是这个每达一个台阶就给1%的投票权这个实际上是个非常罕见的条款
[00:27:10] 听都没有听说过简单来说就是你随着这些目标实现你就可以逐步提升你对整个特斯拉的控制力对如果你到了完成这个指标的时候那个时候你就已经获得了特斯拉25%的投票权了是这个感觉他已经可以推行一些更疯狂的计划是另外就是这个方案其实也回应了一些股东的担忧就不是有的股东担忧你跟这个公司绑定太深所以他要求马斯克在最后必须提交一份董事会认可的继任者的方案
[00:27:38] 我觉得这个就很像最后找补了一下整个方案里面所有的条款都在加深马斯克和特斯拉的绑定然后你最后说你再给我一个将来结绑的方案我其实很难想这个方案会长什么样同意
[00:27:54] 这里我们就基本上把马斯克整个天价薪酬方案的来龙去脉和具体内容都讲掉了算是解决了第一个好奇听完以后我觉得第二个问题基本上也有了一定的解答就是这个方案跟常规的高管薪酬的方案多大区别听起来就是完全不一样是的当然我觉得还是可以稍微展开一下给大家稍微科普一下首先程序上面比如说美国的证券委员会SEC
[00:28:18] 他对于上市公司的高管的薪酬他没有规定你具体有多少没有这个上限的你就没有公字帽那个概念对他规定的主要就是程序合规和长治披露他是这个概念就是你这个公司必须详细的解释你这个薪酬计划的目标设计的逻辑奖励的具体指标然后为什么选择这些指标包括马斯克这种方案他也是要遵循这些规则的所以他必须要解释为什么你把这个市值目标定的这么高那他是怎么解释的呢这个我们到后面到你拿多少钱再讲
[00:28:45] 其次就是像前面说的一般而言薪酬委员会都会参考同行的水平就你不能超过太多其实美国上市公司的高管薪酬大家就是有些统计会有一个一般的概念它分成三个部分第一个就是固定工资比较常见的有可能是100多万美元200多万美元这样一个水平第二个就是年度奖金就是一般和短期的绩效是挂钩的这就是我们就是俗称的年终奖这个部分是吧这个部分就经常是工资的两三倍很符合我们年终奖这个比例
[00:29:14] 第三个就是长期的股权这里边要说明一下就当中有两种一种叫做基于时间的股权就是你只要在位就一定会给你不论你的业绩的另一部分是根据业绩挂钩的第四个就是福利的津贴比如说私人飞机安保等等这些东西一般知道福利津贴是不算在高管薪酬里面的
[00:29:33] 这样一个设置其实从CEO角度基本上能够保证它有一个非常稳定的丰厚的回报同时也有一个你能做好业绩的这样一个激烈作用它是一个比较平衡的模式比如说库克它在苹果薪酬高的时候一年有7亿美元这里面大头就是第三种就是长期的股票期权而且基于时间的所以是稳定会给你的这种设置往往是为了留住一些重要的CEO对于让你不要跳槽你只要还在我们这个公司做这个位置我就给你这个钱是的
[00:30:01] 但这里面有个关键的区分就是CEO的类型一种叫做创始人CEO一种就是职业经理人这个其实在薪酬方案上面是差别非常大的一般而言职业经理人你是需要更高的底薪或者说是一些激励因为他本来没有股份的话没跟公司有利益绑定的那你要做得好我就给你一点东西绑定
[00:30:20] 而创始人CEO往往拿的钱是比较少的你像乔布斯扎克伯格
[00:30:50] 后来就发现这些是他在位的时候公司跟他签约的然后这个也引发了非常大的争议公司竟然愿意给他养老很厉害对的然后包括库克的薪酬里面的期权的部分与时间挂钩都太多了后来也有很多的争议最后是被迫有一个调整的
[00:31:05] 对于创始人的这个CEO呢其实管的是比较少的因为本来就是你的自己的生意嘛还会担心你自己不认真做嘛其实从这个角度来看马斯克当时的那个方案确实是一个异类就是你又是创始人还是要给你很多这件事情对如果我们把视角从美国挪开的话那就更异类了就是在像日本啊欧洲包括中国其实很多上市公司的高管的薪酬是有明确的或者说是不那么在明面上的一些限制的
[00:31:30] 在中国其实很多国有上市公司
[00:31:54] 尺度拿捏的很好对当然了因为现在有很多全球化的日期就引入很多外国的高管他们就相对无所谓这个气氛空气该要高价就是要的所以突破一日元的也有很多
[00:32:07] 这个当中最有名的呢就是当年雷诺日产联盟的掌门人卡洛斯戈恩后来被抓起来然后从乐器箱里面逃出去的那个朋友他当年是被捕的一大原因就是因为他瞒报了很多的收入大家对这个事情非常不爽心因为他本来收入就很高了他当时的薪酬已经超过一千万美元了就在日本属于非常高的一个异类在欧洲也很高了当然跟美国的比如说马斯克同学相比这个就是小巫见大巫了
[00:32:32] 说白了就是在大多数的地区呢其实人们还是有一定的社会文化的观念就是你不能赚太太太太多的钱
[00:32:42] 最后我们回过头来来聊一下最后那个问题就是马斯克这个二五版方案到底能实现多少个台阶以及他自己到底能拿到多少钱首先我们要说的就是我们先把实验后的事情放一放这个方案其实有个最主要当下价值我觉得是还是要强调就是股东最看重的有可能就是马斯克能不能你现在先把精力聚焦在特斯拉的发展上面我觉得他辞任了政治以后我觉得会好很多过去两年大家看到马斯克他把大量的精力花在了特斯拉乃至商业运营以外
[00:33:11] 然后特斯拉本身最基础的造车生意其实在今年是明显的看出停滞的状态了还有包括它自己的一些经营决策也会让大家有点担心好像你对特斯拉进行你不上心了比如说原本预计当中一个更加廉价车的一个计划就被取消了还有另外一方面虽然自动驾驶的进步还是很显著的但是其实最后在业绩上面没有特别明确的一个收益还没有明确的收益卖车这块也有瓶颈的话大家看到2025年的时候特斯拉整个业绩是不怎么样的
[00:33:40] 那其实他整个公司的股价呢也跟高点相比是有个大幅的下滑的那如果我是股东的话我首先希望你能够收收心是吧这个时候如果你提出要拿来更多钱的这个方案的话然后跟这个公司更加绑定然后也讲出了这个很宏大的AI战略这个新的故事表示至少你对经营特斯拉还是有热情的对吧就是你的期待已经变成了你只要对这个事情还有热情我就愿意支持你是吧我觉得有些特斯拉的这个股东确实是这么想的还蛮单纯的
[00:34:05] 接下来我们就看一下二五方案的野望到底能不能实现感觉还是要回答一个基础问题就是为什么特斯拉这次又要定那么激进的市值目标对就是他这个钱为什么那么多是因为你这个目标定的很高对吧你定的比如说一半啊或者什么几分之一啊那你相对来说大家就好像能接受一点点啊这里边的马斯克有一套自己的逻辑就是在那个方案里面他都会阐释的嘛他认为特斯拉也是或者特斯拉认为自己吧
[00:34:30] 不仅是汽车公司而是一个机器人加自动驾驶
[00:35:00] 但是比如说AI的部分机器人的部分这些都是属于未来的估值的东西这里其实有很多假设的环节或者你把整个估值的方式做一个大的改变这个其实对于比如说你对特斯拉不够了解或者你没有那么相信的人来说其实就是个问题是的我觉得这里面有个关键的一个点就是除了特斯拉的个体努力以外其实这个还是有很多历史进程的问题因为他定的这些目标其实都是建立在很多大环境的未来的预期之上的首先市值的目标
