Vol.241 2025年度商业人物：特朗普
[00:04:35] 传统本身也很值得研究而特朗普其实在过去一年里就挑战了很多这个公司原本的一些形式的习惯这是第一个点第二个点就是我们尽量限定在经济和商业的范畴里面但是对于美国的总统来说他所主导的经济决策一定是同时会考虑经济问题和政治问题的这一点其实在特朗普时期是尤其明显的所以这一期我们有可能不会聊一些大家更加熟悉的一些重大的事件但是大家也有个概念就是这些事情跟经济商业是紧密相关的
[00:05:05] 第三个点就是打个预防针我们毕竟不是美国研究的专家也不是宏观经济的专家我们能做的就是根据公开的一手材料以及我们认为比较有洞见的一些媒体的报道来做个总结所以这不是一个严肃的研究报告你可以把它看作一个我们自己学习的心得的一个小节那里面肯定有理解不够到位不够正确的地方也欢迎大家来讨论最后一点就是即便如此这些内容也不可能是我们自己能够完全的消耗得了的
[00:05:32] 所以过程当中也离不开AI的帮助这次节目的制作过程当中我们有幸试用了我们的朋友王汉阳 仲青等等他们公司所创作的一个AI的工作平台叫无等AI如果大家熟悉新版EVA新版EVA的朋友可能对这个名字的由来能够猜得出来我们觉得这个平台是一个非常不错的来用来做研究和做一些长篇的深度的写作的一个工具或者平台
[00:05:59] 他们最大程度的减少了AI的幻觉带来的干扰并且有很多有利于研究写作的一些针对性的功能反正用起来我觉得比那些平台的deep research的功能要好用多了所以在这边也非常感谢他们OK整个铺垫也够多够长了我们就开始吧
[00:06:44] 这里是商业就是这样那首先第一个关键词就是关税这可能是我们在中国感知到最明显一个关键词了因为2025年特朗普发起这个关税战当中中国肯定是首当其冲的一个斗争的焦点是吧但是我们知道就是我们自己知道2018年我们是经历过一次贸易战的所以2025年这一波呢对于中国包括我们这些受众来说大家应该反映没有那么的意外对吧
[00:07:11] 而且从结果上来看中国也的确是反制措施最迅速最彻底的国家之一但是对于其他的一些市场来说尤其是一些原本跟美国算是没有关系的一些国家来说就确实是产生了很大的恐慌所以我们觉得还是要从全球的视角来回顾一下整个关税战的过程其实回过头来看2025年这个关税战还是可以比较清晰的分成四个阶段的第一个阶段就是年初的所谓定调和开战
[00:07:38] 1月20日特朗普宣誓就职之后就马上签署了一个叫做美国优先贸易的备忘录然后就开始在小范围的增加关税了第一批的增关税的对象就是加拿大墨西哥这两个邻居还有就是中国第二个阶段叫做全面开战关键的节点就是4月2日的所谓解放日的关税这一点在当天美国几乎宣布了对所有国家征收至少10%的互惠关税
[00:08:05] 等一下我还没注意到的这个关税还互惠呢对的就是这个英文的原名叫reciprocal本意是那种就对等啊或者对互相都有利的意思我觉得这个词好像现在就是一般来说是对等关税没有人说互惠这个解释但是其实我看到有一些比较多的翻译也会翻译成互惠的包括过去他一些文件里面也会这么说啊我觉得这个词就是你发觉也挺妙的就他确实很微妙的能体现出来
[00:08:30] 特朗普和他的团队对于关税或者说对于国际贸易的一个核心的理解简单来说他们认为全球化的时代里边美国长期的贸易逆差就是出口的少进口的多贸易逆差本质上是美国吃亏了至少是他们是这样理解的对他们认为大量价廉物美的产品进入美国国内就是让美国国内的产业受损了他们要扭转这种局面就要让贸易是对等的公平的他竟然会这么说对吗
[00:08:57] 那双方都能得利那如何能够实现这个扭转这个局面呢就是要靠关税所以这个关税叫做这个对的或者互惠的关税那对于很多成长于全球化时代的中国听友来说这一套说法肯定是比较难理解的对吧我们的感觉就是全球贸易自由市场这个好像理所当然的事情而且不是你们带我们上这个道的吗对啊现在又不认了但是事实上我们知道就通过关税来保护美国国内的制造业其实在美国的历史上面是有比较久远的传统的
[00:09:24] 特朗普是很喜欢之前一位美国总统麦金利麦金利那个时候就是搞高关税然后就也是希望通过高的关税能让制造业在美国本土落地生长的是的而且全球贸易让美国制造业衰落这的确是事实那么执政者认为这个情况要扭转其实从逻辑上你也能说得通但是回到我们说的贸易战上面其实4月2日特朗普是突然对全球包括自己的盟友无差别的开战
[00:09:50] 的确是出乎很多人的意料的所以第一时间所有人都是慌的那我们看到就是美国的股市和债市这个大幅的下跌就股占双杀是一个最典型的一个反应
[00:10:00] 当时我们看到就是美股实际上是经历了2020年疫情以来跌幅最大的一个一周的就可以看出市场这个恐慌的这个反应那这是第二个阶段接下来第三个阶段呢就是所谓的僵持和分化在这个阶段呢就是有很多国家因为那个一下子惊到了嘛很快就开始寻求和美国谈判因为在那个解放人关税里面都会说的我有个90天的一个谈判期那么很多人就去抓住这个谈判就去谈判了这个其实也是特朗普想要获得的一个结果
[00:10:26] 最后包括像日本和欧盟都达成了一系列的协议可以说他整个设计的话就是为了达到最后去谈然后谈一个更好的结果的一个目的是的所谓的分化就是另外一方面像中国以中国为代表一些国家就是坚决的来反制并且逐步的把措施升级到关税以外的一些反制的措施这时候特朗普就已经开始降低关税的调门了
[00:10:49] 一方面呢就是外部进入了一个僵局而且内部呢就是我们前面提到这个金融市场的糟糕的表现其实对特朗普来说也有很大的压力市场的担心主要就是你这个关税战肯定会让很多商品啊服务都变贵嘛那就会加剧美国国内的通货膨胀然而这个事情是美国人很在意的事情特朗普也非常在意这件事情另外一方面呢就是这种通货膨胀又不会带来经济的增长就是所谓滞胀的风险对就是停滞的通胀不是
[00:11:16] 另外前面我们提到它一个关税很重要的一个目的就是让制造业回流
[00:11:21] 但是现在这个事情肯定不会马上就实现在那个之前经济就先已经不好了还有包括就像中国稀土的断供等等的这些确实击中了它的要害等等里外的一些因素加在一起其实美国的制造业也承受不住这样的打击这其实也说明了就是关税问题不是一个简单的贸易顺差或者逆差的问题它还是跟宏观经济金融还包括它的相关的产业政策都是紧密相关的你真的如果出现了像金融市场那个时候持续的走衰然后你甚至会影响到美元的地位了
[00:11:51] 那也会影响特朗普自己的这个声誉所以在那个之后其实谈判就变成了一个关税战的主旋律了那最后就是到了第四阶段就是通过双方很多的这个极限的施压拉扯等等的我们看到了尤其是稀土的管制这个威慑力出来之后反正中美双方都意识到目前阶段如果双方完全彻底的脱钩显然是都承受不了的
[00:12:12] 所以到了11月份就签署了一个吉隆坡协议可以说是这一轮的关税战基本上是休战的刚刚肖老师你在讲整个贸易战的过程的时候其实讲到特朗普和他的团队是如何理解关税这件事情的或者说他希望通过关税的调节来达到一个什么目标他核心就是希望扭转贸易逆差局面逆转美国整体制造业空心化局面那么我想问实际上面这个效果上面到底达成了怎么样
[00:12:40] 首先最直观的就是美国这一年收了多少关税这个数字就是2025年大约是2000亿美元的新增吗不是就是总的收到的然后新增比前面一年大概是多了1200亿美元左右前面一年收的关税真的很少对所以这一年就涨了很多确实是涨了很多至于这个数字如何评价我们可以放到后面结合后面减税的部分再来讲这边先放一放好吗
[00:13:05] 至于产业回流这个部分其实也很好想就你第一年数据上肯定不会有实现的你什么产业它这么快回流就可以建成小生产业对所以我们能看到的就是很多的跨国公司尤其是最主流的一些大的公司像苹果台积电的确都宣布了这种千亿美元级别的在美国投资计划包括像软银这样的公司但是这些投资离落地还是有比较长的时间的
[00:13:32] 那仅就2025年来看如果我们仅就2025年看的话美国制造业的就业人数实际上是净流出的那这个主要就是因为像汽车啊等等行业它有一些官工厂或者裁员这样的一些举措那为什么呢其实也是跟这个原材料的这个价格大幅的上涨啊包括这个供应的一些紧张都是有关系的我觉得可以这么讲吧就是他希望通过关税来实现制造业回流这个大的趋势已经形成了但是在2025年肯定是没有立干净的效果
[00:14:00] 之前网上有一个说法就是说美国之前因为工业基础已经衰落很久了你哪怕现在想在美国建厂建工业链其实都没有工人或者说技术上面有很大难度等等这个是一个比较常见的一个看法我觉得可能在一些微观层面上面这些说法是有一些道理的但是你要说这形成了整个制造业回流美国会形成一个难以克服的阻碍吗我觉得应该也不至于是的包括你像半导体行业也比较明显就很快
[00:14:28] 一系列投资下去的话你觉得产业链应该是比较快能够形成一个比较完整的规模的另外我觉得还需要补充一点特朗普对于关税战的理想中的描述还有另外一半就是关税并不会增加国内的通货膨胀因为大多数人都会认为是这样而且也不会减少国内的一些物美价廉的货物的供应
[00:14:47] 它的核心的逻辑就是什么呢就是背靠美国这个全球最香的内需市场那你企业就算要负担更多的关税嘛对吧你也得进来同时呢我还能迫使你这个关税的这个成本不转嫁到消费者的这个价格上面其实我们之前在讲星巴克那期节目里面就已经提到这美国的这个内需市场确实是很香很强大那即使是增加关税但是在这里做消费生意的话其实
[00:15:12] 整体的环境还是要比全球的其他地方可能是要更好一些的是的所以我们看到关税战的一个效果一方面要看制造业的数据另外一方面也要看通货膨胀的情况但通货膨胀的事情又跟我们后面要讲的降息利率的问题紧密相关所以我们还是留到后面再讲又留到后面再说了我们就回过头来再聊一个基础问题美国对其他国家的关税竟然是特朗普一句话就可以改的
[00:15:40] 为什么此前的总统没有像他这么大胆呢我觉得这个问题确实是要回过头来讲一讲的首先就是从宪法层面来讲美国征关税的权利是在国会手里边的这个是比较明确的但在实际运转当中其实国会通过一些法案已经把这个权利很大程度上授予给总统和政府了当然这个授权也是一套很复杂的流程比如说有贸易代表办公室来谈判和调查然后包括商务部会做所谓的反倾销反补贴的调查等等的
[00:16:09] 还有一个国际贸易委员会来判定比如说美国和另一个国家的交易是否实质性的损害了国内的某个产业等等的就是有这些调查之后通过一个流程走完有了一个结果然后
[00:16:21] 总统说我们要征税是这样的过程也就是说先有一个法律然后再通过行政机构完成一些流程然后总统认可他流程的结果然后他就可以征税虽然看上去是他一句话但是背后好像还是有一些东西要走一下是吧是的但是特朗普在2025年征的关税里面其实有一部分是按照这个规则走的比如说第一个阶段像比如说对钢铁还履的征税它援引的就是一个1962年的叫做贸易扩张法的第232条
[00:16:51] 就是他认为这一些特定的进口商品危害国家安全了然后总统可以对这些商品来征税那这个调查一般就成为叫232调查又比如呢他根据1971年的贸易法的第301条就规定说如果认定某国存在比如说侵犯知识产权啊强行技术转让等等行为也可以对该国征税
[00:17:12] 这个就是我们比较熟悉的301调查301调查这个听的好像更多一点对就是2018年的贸易战的时候其实就已经开始有很多这样的调查了但你刚说这些还是比如说针对一些特定的商品或者说特定的国家的但还是有一些
[00:17:28] 别的情况就感觉特朗普就是有些领域上面是针对在座的所有人对如果你就是用232调查或者301调查的话其实你很难就针对在座的所有人一下子不是一个广泛的打击是的那所以让特朗普能够2025年对所有国家全面开战的一个核心的法律依据呢是一个叫做国际紧急经济权利法的这样一个法律它里面有个触发条件就是说总统如果因为某个原因宣布国家进入紧急状态的话
[00:17:56] 然后就可以对某国征税对大致是这样一个逻辑在我们录音之前美国又进入了国家紧急状态他又可以征税了是这个意思吧对像我们之前不是有期节目讲芬太尼关税当时真芬太尼关税的原因就是国家紧急状态就是他认为芬太尼的进口对国家产生安全这个你还算是比较有道理的是吧有一点道理有一点道理对吧毕竟毒品是吧
[00:18:17] 但是芬太尼毕竟还是个特定问题是不是而这一次特朗普宣布的是什么紧急状态呢就是美国长期的贸易逆差导致了美国工业基础的空心化危害了国家安全所以以此为理由宣布国家进入紧急状态相当于他不是用一个短期的事件他是用一个长期的状态然后把它作为国家紧急状态的理由是的好怪
[00:18:43] 我就想起来上次11大公司讲到那个荷兰政府接管安市半导体它是扩大化解释和引用了一个冷战时期的法律但是我感觉跟特朗普相比这个也不算什么特别的扩大了是的当然这个明显挑战常规的策略肯定引起反弹了美国的最高法院正在审理一个案件是就是去年年终的时候开始的它主要的目的就是说特朗普的这个引用这个援引这个法律来什么就贞观说这件事情是违法的
[00:19:11] 不是美国最高法院脑回路这么长吗就是他已经用了这么久还在确认他到底有没有违法在我们录制的时候其实最终这个判决还没有出来但是大多数媒体其实上预测是政府就特朗普这边会败诉的但这也意味着他可能没有办法使用我们说他以后的口袋法律来快速的掀起大规模的官学战了但他的发言人就说我们觉得我们会胜诉但是如果败诉了的话我们也会通过别的方式来继续的他就会从美国
[00:19:38] 众多的古老法案里面找到一条新的口袋法对或者就是232和301还是可以继续的但是无论如何对于其他的国家以及所有想和美国做生意的公司来说其实他们做这个跟美国市场相关的决策这个分析的框架在2025年确实就变掉了怎么说呢就是一件原本认为匪夷所思的事情它真的发生了那你就应该认为它有可能再次发生是吧那你以后比如说做一些进出口的这个决策的时候就得把这个因素纳入考量当中
[00:20:08] 那现在大家的确在形成一种共识就是关税真的是一根大棒然后可以轻易的被美国的总统来挥舞的虽然这个关税战在2025年下半年它的烈度降低了然后大家也预期2026年可能是相对比较平缓的一年毕竟他这一年有些别的事情可以忙是的但是你能判断2027年和2028年吗很困难所以这种威慑可能是关税战对于整个全球贸易体系真正比较大的一个影响
[00:20:34] 聊完了关税部分接下来我们再进入到第二个关键词就是减税我觉得这可能是我们在国内讨论比较少的一个部分毕竟减税也不减到我头上是但可能是特朗普自己最看重的一件事情因为相比于别的领域的一些行政命令在减税这件事情上面他是真的推动了一个立法就他通过了一个法案把他竞选时的一个重要的承诺也是他背后支持者非常看重的这个减税这个目标给永久化的实现了
[00:21:01] 那这个法案的名字呢叫做One Big Beautiful Bill Act简称就是OBBBA不要说这个简称了还是用我们中国的简称吧叫大而美法案对我觉得他应该会更加喜欢中文名称这种简洁有力的表达他就想要这种感觉那这一部分呢我们就简单的介绍一下这个大而美法案到底有哪些内容这个名字大家可能听过啊以及这个减税到底会产生什么样的影响
[00:21:25] 我们大致可以按照个人和企业两个层面来分因为它减税主要就是减个人部分的税和减企业部分的税首先看个人这个大安美法案在个人的部分实际上是对于2017年就是特朗普第一个任期的时候的一个叫做减税与就业法案的一个延续那个法案在当时就是提升了美国的个人所得税的免征额就类似于我们理解这个个税起征点的那个位置对 它把那个起征点提高了它通过这种方式来减个税的
[00:21:52] 但是那个法案的问题它是到2025年到期的所以如果这大外媒法案没有在2025年及时的通过的话其实也要谈回去的要谈回去这个叫做什么税收悬崖这是一个美国历史上最大程度的一个自动增税这个会对普通人有很大的影响所以大外媒法案是一定要对特朗普来说是一定要通过的但在这个法案里面它就延续了2017年那个法案的很多的规定把它给永久化了
[00:22:17] 就等于说特朗普就是在他两个任期里面减税其实是他一个长期的一个政策是吧是的这个其实也比较符合共和党一贯的这个政策的主张就是减税就意味着你钱从政府的手里回到了个人和企业的手里然后他们可以去经营消费保障自己的生活等等这政府就少包一些少管一些大致是这个逻辑但我们具体看一下这个大完美法案的这个规定就是从2025纳税年度开始
[00:22:43] 美国的这个个税它的单身的申报的免征额为15750美元然后联合申报就比如说你是夫妻联合申报的话就是31500美元并且这些数据呢会根据通胀来调整这个就跟前面延续下来跟那个17年那个法案是一样的为什么强调个税呢还是因为就是个税是美国联邦最主要就是它的税种之一所以这个个税的低税率肯定是整个法案的核心了是的除此以外呢它还规定了一些个人的一个税收的一些
[00:23:10] 比如说美国的州税和地方税它有一个扣除额这个扣除额也上限也提升了就是说你在这个部分你可以用来抵扣的总量提升了可以这么来理解另外还有一些舆论上比较引人注目的法条就没那么大但是关注度很高一个就是小费小费免征税加班费免征税这其实对于服务行业从业者来说是非常有用的一些政策是的就是大而美法案宣传的时候就最喜欢用这些例子来说明
[00:23:38] 这个反而是给基层的普通人带来好处的就等于以后美国餐厅那个收的小费比例可以越来越高对那你对于服务人员来说肯定希望这个小费的比例越高我的这工资的部分的比例小一点对但实际上就是也有很多的评论认为这一条能带来的实际的减税额可能有限因为很多服务人员他一年的收入有可能比那个前面讲的那个起征点就免征额也高不了太多好心酸的结论那事实就是这样嘛那你如果对那些人来说的话你其实能减的部分不多
[00:24:05] 另外其实还有一个我印象比较深的条款就是所谓的特朗普账户就是28年12月31日以前出生的婴儿一次性存每人1000美元放到一个托管账户里面去买指数基金是的就等于是给每个小孩买了一个美国的这种投资型保险强制从小开始投资对从小开始投标普500是吧这些都实际上都是宣传上很加分的一些措施像我们这边都会有报道对吧那这是个人的部分接下来讲讲企业层面
[00:24:33] 这个其实是真正的大头它有两条非常重要的措施它有很多措施但两条我觉得最重要的第一个叫做100%的额外折旧就是你企业购买一些符合它要求的一些资产比如说买设备机械照明什么地板等等这些反正是厂房里面经常有的一些东西这些投资都可以在当年100%的进入成本来抵税而在过去它是要折旧的你买一些设备要折旧它就等于是要一年一年的来摊销
[00:25:01] 那你现在都可以在当年一次性的折旧抬销进去那你就大大减少了你这些投资第一年所产生的个人的企业所得税就听上去跟就是所谓的他希望制造业回流也是完全紧密相关就你可以第一年多买一些设备你确认落户下来那我可以把这个税相当于有一部分可以返还给你了对对对那第二条呢就是所谓的研发费用化就是允许企业把当年产生的研发支出完全的计入当年的研发费用
[00:25:29] 然后也可以在征税的时候来做扣除而不用像过去一样就是必须要摊销五年或者更久的时间不用了就对于那些一次性投入很大的这种制药的企业来说或者是一些科技的企业等等的这个其实也是可以大大减少头年的企业所得税这个其实就跟我们之前说那个爱尔兰的香农自贸区一样
[00:25:50] 把这个摊销年限缩短的本质上是提供了一个无息贷款而且考虑到通胀的影响提前扣除比分摊到几年里面扣除也更合算尤其对于研发投入巨大的企业来说还是能省很多钱也鼓励他们继续加大研发投入可以想到如果一个公司既有制造需求又有研发需求在两项叠加以后他应该过得很爽你可以想象是哪些类型的企业在里面是最受益的
[00:26:15] 等于我们刚才把大而美法案在个人和企业层面一些主要的减税措施梳理了一下那现在肖老师能不能给我们一个总数就这一套下来就是全美到底减了多少税吧根据美国国会的这个预算办公室的计算未来十年这个法案会减少联邦收入大约4万亿美元就是一年4000亿美元那其中的就是这个中低收入的这个个人的部分大概是减税1.4万亿
[00:26:42] 剩下的减税主要是集中在企业和高收入人群有高收入人群其实我们刚刚有一些没有讲到的比如像遗产的部分其实它也有减税的只是它这个东西宣传的少而且你可以认为整体来说有钱人这个部分会更多为什么呢因为你企业获得的收益很有可能反映在股价的上涨上面
[00:26:59] 而我们知道在美国90%的股票是属于最富的10%的人群的所以可以看到有一些评论总结说大而美法案是一个直观上有利于低收入人群不利于中产阶级的一个方案但实际上它总体只利好于有钱人比较犀利的一个评价但其实从这个角度来看也可以理解为什么特朗普非常
[00:27:21] 重视要推动这样一个减税的法案这显然是符合他想要争取的就政治上争取的人群的就是一个是中低收入的劳动者一个就是企业主当然有利于谁其实只是这个法案的一半另一半就是你前面说的比如说10年他少收了4万亿美元的税政府少收了这么部分钱怎么办大家都知道美国政府是一个就是频繁要靠借贷生活的一个
[00:27:45] 这个国家那这个少这笔钱到底怎么办呢是就这个问题是政府来减税的时候必须要考虑的那特朗普在这个方面实际上是就是画了个饼来说我们怎么解决的这个饼主要分三块第一块呢就是因为减税然后经济会增长那么税基就会扩大实际上的赤子不会那么多感觉是一个就是正确但是难以就是测算也难以预测的一个乐观的废话是
[00:28:09] 当然你也可以说肯定是会有一部分实现吧好吧部分吧部分第二块品叫做关税替代这个是他最喜欢说的就是我们前面说的那个征关税的部分可以弥补上个税的口子那你前面不是说了吗这个2025年他也就是收到2000亿美元的这个关税对然后你平均下来那个大安美法每年就是会4000亿还是少一些部分对
[00:28:36] 对所以我觉得基本的算法其实非常重要但有可能他就不会说这些事情而且就更加不用提一个点是什么就是我们前面讲到关税不是会带来价格的上涨吗但这个其实会减少很多的家庭的购买力的比如说耶鲁的预算实验室他有个估算就是关税带来的购买力的减少大约是每年一个家庭1700美元左右所以这个其实又是对于减税的利好是有个削弱的反正是加加减减就
[00:29:04] 一项影响另一项是的那第三块饼呢就是削减政府的开支就是既然我的进项少了对吧那我出项也要减少就是2025年头上就是马斯克为什么率领了一个部门在那疯狂的裁员对对对就是这个政府效力不足的事情其实这个虽然属于行政改革的部分啊就我们今天不展开但就像我们开头说的这个显然是与经济政策是紧密
[00:29:28] 这样一个过程
[00:29:51] 那么我觉得通过这样一个削减联邦政府的架构裁员等等来给整个的政府来省钱实际上也是他改革的一个目标的动机之一这里我们其实简单梳理的是2025年特朗普在减税上的主要成果就是大而没法案
[00:30:08] 我们搞清楚了这个税到底是减在谁的头上以及在理想状态下这个减税产生赤字的部分他不是准备怎么去消化的但其实关于赤字的消化我们还有一个最主要的一个方式没有讲就是降息这个降息实际上是美国政府减少债务压力最简单直接的方式而这就是我们的第三个关键词
[00:30:31] 关于降息的话我觉得跟前面两个关键词的状态稍微有点区别因为特朗普在降息这件事情上呢就是他少有的就是权力是比较受限制的一个状态就是他既不能扩大化原因任何的法律也不能直接通过一个什么法案就把这个事情推下去了那过去一年感觉主要在做一个事情就是不停地敲打美联储就是你赶快给我降息对就是不停地喊话对吧把老头都敲得更牢了已经是
[00:30:57] 我觉得这里面有个背景还是跟大家说明一下就是美国的这个升息还是降息就是这个货币政策的决定权是在美联储这么一个机构的而这个机构是一个我们可以说面上相对比较独立的一个组织就是虽然美联储的这个主席是总统提名的但是美联储的决策不需要总统的批准
[00:31:16] 而且美联储的政策的目标它也是在明文上写得非常清楚就是两条一个就是控制美国的通胀第二个就是保证美国的就业它主要的政策工具就是升息降息这个息指的是联邦基金利率这是个名词反正你就理解为一种基准的利率实际金融体系里面比如说国债的利率什么银行的贷款的利率等等都是以这个为基准的
[00:31:39] 这反正就是一个跟很多其他国家都不太一样的一个设置就是美国这个国家它的货币政策是由一个相对独立的而且是由专家型的技术官僚组成的一个组织来决定的比如说在中国的话像央行财政部决策肯定还是比如说它是一个一脉相承的要从上至下的一个思路
[00:32:00] 至于美联储为什么会变成这个样子或者说它为什么长成这个样子背后有很多历史原因我们就不赘述了推荐大家去听一下声东击西最近一期聊联储节目其实聊的蛮清楚的在这个前提背景之下其实过去大多数的美国总统有的人有可能对货币政策发表看法但都是比较间接和温和的甚至有的总统从来不评论利率就比如说克林顿应该是从来没有评论过利率的
[00:32:28] 也不会公开的评论联储的主席比较多的施加影响的方式就是私下接触比如说跟你关系比较好或者是给你施加很大的压力像尼克松就施加很大的压力这种会有的
[00:32:39] 但是像特朗普这样反复在公开的媒体上社交的账号上面不停的喊话美联储就是第一遭这种喊话已经到了一个攻击美联储主席鲍威尔个人的一个地步了对的他反复的威胁要让鲍威尔提前的下台而且就是最新的新闻就是2026年1月份哥伦比亚特区的检察官已经开始对鲍威尔的一些别的事情展开刑事调查
[00:33:02] 就是改造美联储大楼的时候可能有些贪污什么的对就是用这种方式了然后就鲍威尔就说就是你查吧随你查就都是借口对对对你就是因为利率的事情在搞我但我们实际上知道就是第一这个鲍威尔首先当年是特朗普这个提名的第二就是他2026年任期就要到了就是特朗普在月份就会提名新的联储主席了在这种情况下他还是不停的施压鲍威尔希望能够实现
[00:33:28] 大幅的降息所以一个最主要的问题就是首先汤普为什么那么希望要降息第二降息到底有什么用第三其实就是说那快一点降息和慢一点降息就是这个差异到底在哪里对吧我觉得要从头解释这个降息对于鸿河基地有什么用这个要开好多集的一个经济小课堂我觉得大家好像一般来说都是记一个结论就行了在这个方面
[00:33:50] 对我们就这个结论一般而言降息会带来什么样的影响你降息就是借款的利息减少了对吧要还的利息少了对于企业和个人来说你就是你借钱的成本降低了那么理论上你会更愿意去借钱对你会更愿意借钱然后借来的钱你可以去投资消费都会更加火热
[00:34:07] 那你像推动企业在境内投资这本来特朗普很看重的事情对吗然后大家都买买买这个消费活跃他也很看重那么各类的资产的价格都会上涨这个总体而言对于GDP啊就业都会有一定的刺激作用就是跳过所有中间环节就是降息对于经济有刺激作用是是是降好的刺激作用是第二个点呢就是更加具体一点就刚刚我们讲的一些就是这个借钱的成本低啊什么他会带来一个什么就是股票的折现率也会下降
[00:34:33] 你也不用理解实现率是什么就简而言之企业会更加愿意回购股票这是经常降息会出现一个效果这会导致一个直接的一个结果就是股市会上涨跳过中年缓解降息会导致股市的上涨对那么特朗普又是最在意股市的总统第三个点就是我们前面讲到的就大二美法案的这个减税会增加政府的赤字那么你要减少这个赤字降息就是最简单的方法
[00:34:58] 这个应该你可以很理解就是我借了美国政府借了那么多钱就国家都是你借的钱这么多年基本上只还利息如果还的利息少其实对他压力就会减小对所以降息对于降低美国的赤字也是有帮助的是的所以总体而言降息就是特朗普所有的重要的经济政策的一个实现的基础一个底盘也是最能够直接起效的一个强心剂那么就有个问题了就本来说肯定也都懂这些东西那他为什么就是不听特朗普的呢
[00:35:26] 简单粗暴的讲就是联储有一个重要的目标我们前面讲就是控制通胀那么降息一般而言还是会加剧通胀的又跳过去中间环节就是降息会加剧通胀但是到了下半年其实我们看到就是联储还是实现了三次降息每次是25个基点那现在这个联邦基金的利率是3.5到3.75那大家有可能觉得这是受迫于这个特朗普的压力但特朗普都还觉得你这个太慢了太少了
