Vol.64 詹姆斯·戴森如何创造戴森
[00:04:45] 在做第5127个模型的时候才终于成功达到了他为这个产品设计的目标就是能够有效地吸附0.5微米的灰尘5127次这个听上去就是一个非常煎熬的过程我看在采访里面詹姆斯自己都开玩笑说早知道要花这么多时间这么多精力的话就未必会有最终的那个成品了
[00:05:07] 但在当下的环境里,你只是一直在追求一个目标,有些时候你会取得进展,有些时候你会倒退,有些时候你会有一个惊人的发现。但我真正从中学到的东西是,如果你做显而易见的事情,做一个专业人士会做的事情,通常不会成功。你必须做一些愚昧的事情,做一些错误的事情,才能使得成功。
[00:05:35] 我经常认为当你做任何形式的创造性行为时错误的思维都是一个非常好的开始不要做明显正常的事情那是其他人所做的做错误的事情故意犯错故意失败因为这将使你开始走上一条与其他人不同的道路
[00:05:55] 刚才这段话其实就让我想起詹姆斯在书中
[00:06:18] 我也对你说的这句话印象深刻戴森吸尘器的那个核心呢我们前面也提过了是一种叫做气旋分离器的技术相当于它是用离心力把不同大小的灰尘从空气里面分离出来这样子的话吸尘器上面不需要安装一个承带也能够大幅的提升这个吸尘的效果我们也看了一下资料就是这种技术其实在1885年就被发明出来了但是呢一直被用在工厂里面去收集工厂的灰尘没有人想过在家里来用它的
[00:06:46] 詹姆斯就相当于是把一个已有的技术和一个全新的使用场景他想尝试结合起来那他就经过了5127次的尝试才最终做出了一个可用的产品对吧对大家现在应该对戴森的吸尘器是非常熟悉了就是它的性能各方面都很出跳然后也很受市场欢迎所以一个理所当然的想法就是当时戴森发明出这个产品之后应该也是很快就大卖然后戴森这家公司就一帆风顺了
[00:07:14] 但其实不是就接下来詹姆斯还要经历许多的失败才能够最终走向成功的这个轨道那这个当中的失败简单总结的话都可以说是把一个发明变成一个成熟的商业模式过程当中的一个挑战这个过程其实才是许许多多发明家所面临的最大的困难就是发明的商业化没错那这段故事其实现在已经快至人口了我们简单的介绍一下
[00:07:41] 最开始的时候其实詹姆斯是想把自己的产品带给当时的吸尘器巨头叫胡佛这个胡佛这个品牌呢也是所谓成袋模式的领导者成袋就是装灰尘的袋袋结果胡佛公司呢就是完全无视了它因为我们前面讲到戴森的这个吸尘器它一个化石袋的一个改变就是它没有成袋了它是靠这个气旋分离器来实现吸灰尘的那没有成袋的话消费者就不需要一直买这个成袋的耗材
[00:08:09] 那你等于是断了人家一个重要的商业模式了你都要来颠覆我了然后你还想要我来把你收购或者说是我来支持你造这个新的产品那怎么可能呢所以后来詹姆斯就不停地在全球各地去推销他的这个新的吸尘器的产品当中有非常多的挫折就大多数情况下也是吃了个闭门羹人们对这个产品是根本不感兴趣或者就算感兴趣听到他比一般的吸尘器要贵个三四倍也是望而却步了
[00:08:36] 最后是直到1986年一个日本的代理商看中了戴森的产品请戴森到日本来然后演示了之后最后决定把这个吸尘器带到日本去生产并且大获成功之后戴森的这个吸尘器市场才逐渐打开来这个故事告诉我们优秀的产品还是需要找到匹配的市场才好戴森吸尘器1980年代能在日本率先获得成功的话也是因为当时日本是处在所谓泡沫经济时期
[00:09:03] 消费力可以说是非常的旺盛尤其他们很青睐一些新奇的科技这个简直就是一个完美适配戴森的市场了
[00:09:11] 同理在2012年之后呢戴森在中国市场如果大家有印象的话其实他的市场规模也是突飞猛进的也是因为当时的他这个产品匹配到了当时中国的一个市场环境没错我觉得大家前几年应该非常能够理解这种市场的氛围就是所谓的消费升级这个消费力又比较旺盛而且同样也很喜欢新奇的黑科技的产品吧那么说回戴森啊就是他在日本成功了之后呢他就想要回到本土的市场英国重新打开局面
[00:09:40] 这个过程当中有一些细节也很有趣可以体现出詹姆斯本人以及戴森这家公司的气质在那个年代的英国其实不单单是英国了很多的市场目录销售还是一个非常重要的一个零售的渠道
[00:09:53] 我们的听众都非常年轻啊可能大家都不知道什么是目录销售了其实我都不太记得有这个实践其实很简单就是寄给你一份小册子上面呢都是各种产品信息的广告或者是目录你想买的话呢就打电话过去订购我记得2000年前后我们国家也有类似的一些公司比如麦考林啊九九读书会啊对总之就是一种纸质版的内容比较有限的淘宝
[00:10:21] 差不多是这种感觉1993年的时候詹姆斯为了打开英国的销售局面他自己就开车去了曼彻斯特在曼彻斯特有一家叫GUS的公司它是英国最大的一家目录销售公司之一接待他的是GUS的一位采购员叫拉门特詹姆斯就跟他解释了一堆自己吸尘器的原理并且说自己的吸尘器配上自己研发的叫干粉清洁剂非常适合来清洁地毯
[00:10:48] 在欧美国家地毯清洁是一个刚需中的刚需我现在在家里天天清洁地毯我也觉得是刚需了没错那个时候其实大多数的清洁方案还是要用专门的那种地毯清洁剂就是那种液体的把这个地毯弄湿了之后然后开始吸它没人见过这种所谓的干粉清洁剂更不用提见过带子这种吸尘器了那拉门特就说你说的这么好那如果这地毯上染上了利宾纳你也能把它弄得干净吗
[00:11:13] 大家可能不太清楚利宾纳是一种黑加仑饮料就是地毯沾上这种颜色的话就是一种噩梦就相当于拉姆特就完全是在刁难他的对结果詹姆斯做了什么他就直接冲出去跑到旁边的加油站买了一瓶利宾纳然后再冲回拉姆特的房间里边一瓶就倒在他地毯上面然后再用戴森的清洁剂加上吸尘器把它弄干净了
[00:11:34] 我就不知道从这个饮料倒上去的那一瞬间到詹姆斯把它弄干净这段时间里面这个拉蒙特的心情开始什么样子心情不知道但我感觉他的表情应该是眼睛瞪大像同龄那种总之就经过这次推销戴森的这个产品是成功地登上了GVS公司的目录而且出乎意料的是反响一开始就很不错订单的不断地来
[00:11:57] 因为大家知道戴森这个吸尘器卖的很贵在整个这个目录里边这清洁产品这一栏里边它都是最贵的一个产品了一般太贵的产品是不太适合在目录里面销售的结果它卖的很好后来戴森呢又更进一步进入了百货商店的渠道到了1995年的时候戴森就已经获得了英国吸尘器市场20%的份额了非常快一个进展啊
[00:12:20] 詹姆斯是说到了这个时候他和妻子才终于摆脱了贷款和抵押的重负做到了生活无忧了然后可以无牵无挂的去做那个发明这个时候其实距离詹姆斯戴森成功的发明气旋吸尘器已经过去了12年等于说他是在4年充满失败的研发之后然后又经历了8年在商业上的非常努力的探索最后这个发明才发光了对
[00:12:47] 刚才我们说到了一些销售和营销的一些故事这个我觉得还可以展开来更说一说其实詹姆斯本人对于一些商业的技巧尤其是市场营销上的一些规定动作是有点嗤之以鼻的
[00:13:02] 在戴森公司开发吸尘器的时候他们就请人做了一份市场调查结果说消费者不喜欢看到透明容器里的灰尘但是詹姆斯自己还有他的同事都非常喜欢看到他这个气旋的吸尘器里面吸出那么多灰最后他们决定是忽视这个调查结果相信自己的直觉现在证明这个直觉也是大多数消费者的直觉就这个透明的灰尘的容器已经成为了戴森吸尘器一个经典的标志性的设计了
[00:13:29] 我觉得我自己非常能guess到他这个直觉就是你看到一个吸尘器高速运转然后灰尘逐渐变多这个是有一种爽感的对的有的时候就是我没有在吸尘还是会去按那个按钮让它转一转然后感觉看到那个灰在里面转我也觉得很舒服说到这里就我们还要回过头来说一下詹姆斯本人的一个个人经历因为他在经营公司的时候这种对于常规套路的不屑一顾其实是和他对发明的爱好是比较相关的
[00:13:57] 小时候的詹姆斯·戴森就体现出对于工程设计产品细节的一些喜好我看他在那个自传里面说当时英国流行一本少年杂志叫做Eagle老鹰那詹姆斯是最喜欢其中的一个专栏里面是插画师莱斯利·阿什维尔伍德的作品那这位插画师他画的呢都是物体的彩色铺面图有很多都是机械比如说迷你汽车啊喷气式飞机啊涡轮发动机啊工厂等等
[00:14:25] 他就把它做了一个横剖面然后可以看到里面的各种细节画得是非常精细的詹姆斯就非常喜欢看这样的一些插画到2007年也就是詹姆斯60岁生日的时候戴森公司的工程师们就送给了他一辆原版的Morris Mini汽车送一辆车不是什么但是这个车是被纵向切开的
[00:14:45] 大家能够清楚地看到它的发动机悬架座椅等等的内部结构和整个车的运作方式这个车本身就像是他小时候喜欢看的那些插画一样
[00:14:55] 我们这里有世界上最古老的还能运转的喷气发动机现在我们的工程师还让它保持健康我们在我的办公室外面有一个垂直飞机一个垂直起飞的喷气机同样每个人都认为这是不可能的事实上这是非常困难的技术我们在园区里还有一辆mini汽车
[00:15:21] 在我看来mini汽车是唯一在发明60年后仍在路上行驶的汽车而且仍然像60年前一样好看一样好用到了青年时代詹姆斯·戴森的这些爱好就更加明显了他当时就非常崇拜几位活跃在那个时代的有名的发明家比如说发明mini汽车的伊斯格尼斯然后发明本田小狼摩托车的本田增益郎我们之前还有一期节目讲过本田增益郎的故事
[00:15:49] 还有发明喷气式飞机发动机的惠特尔等等这些发明家都有个共性就是他们的发明在当时都被认为是不符合需求或者甚至是没有必要的一些产品如果大家记得我们之前讲本田宗一郎故事那期节目的话应该就会想起来当时市场上面根本没有像本田小郎这种定位的摩托车没错迷你汽车也是一样的就市场上此前根本就没有这种小型的但是内部空间又很大的这种汽车那个时候很多人都觉得车要越大越好嘛
[00:16:19] 但是这些发明家们他们都坚持把这些产品给做下来了我个人的一个感觉就是与其说詹姆斯他是欣赏这些产品不如说他欣赏的是这些发明家独立思考不按常规形式的这种做法你前面提到这种独立性的话我觉得在戴森公司身上也有体现戴森公司现在还是一个家族企业它没有上市所以每次詹姆斯决定做一个新产品的话他不需要听那些投资者的意见
[00:16:45] 这种经验呢也来自于詹姆斯长年的一次失败他第一次创业的时候尝试的就是他个人的第一个发明叫球轮手推车大家如果见过那种两个轮子的手推车的话大概知道手推车长什么样子但是詹姆斯的话是把两个轮子改成一整个塑料球这样整个车的话会更平稳更灵活也不会陷到泥地里对就我看过那个球轮手推车的那个图啊就是属于哦原来这样就是那种很精彩的一个工业设计吧
[00:17:14] 没错啊所以说他这个发明的话在市场上也受到了一定程度的欢迎但是他在商业上非常的失败詹姆斯为了筹钱来做这个公司的时候引入了一些投资者结果呢他就失去了这个公司的绝对控股权而且他是用发明专利来入股的导致说最后这个专利是属于公司的后来在经营发生分歧的时候他就被董事会赶出公司了然后他也就失去了这个产品我看到詹姆斯艾森在书里是这么总结的
[00:17:42] 由于不重视自己的发明创作我没能保护对我来说最有价值的东西我从中吸取了宝贵的教训一个是不能转让专利另一个则是不要有股东的存在我觉得他在后面的创业过程中非常坚决地执行了自己的两个想法没错前面提到在整个吸尘器大火成功以后詹姆斯就相当于是一个一发不可收拾的状态了随后呢他就研发出了另一个核心技术就是数码马达
[00:18:11] 詹姆斯以此为出发点不断去发明很多新的产品如今建立起了在家用生活电器领域黑科技的这么一个名声但即使是功成名就以后詹姆斯也不是说每一个产品都成功的我们依然能看到一些失败没错比如说戴森公司其实做过滚筒洗衣机我就没有听说过戴森有滚筒洗衣机这件事情但那个产品的设计还是蛮有意思的就一般的洗衣机大家都知道就是一个滚筒就是朝一个方向转
[00:18:38] 但是詹姆斯做了一个两个滚筒的设计然后他们同时朝不同的方向来转就有点像我们人手来拧毛巾的那种感觉据他说根据他们的研究这样能够把衣服洗得更加干净而且这个产品确实也上市销售过但是市场表现不太好关于这些戴森公司已经做强做大之后的一些失败的案例其实我们在对谈当中詹姆斯本人也提到过
[00:19:02] 我有几个著名的失败案例比如洗衣机它是一个商业失败汽车也是一个商业失败如果你总是有成功成功就不会那么珍贵不会那么有价值失败是你尝试改变尝试发明尝试创造一个新事物的一部分你只需要接受会有失败的事实深情地回顾一下他们不要对他们感到羞耻
[00:19:29] 这也不是什么值得感到羞耻的事情在这本虚书里面詹姆斯·戴森讲述了很多在失败当中不断突破的创造之旅比如詹姆斯就专门用了一章来讲他最近的一个失败案里造车2014年詹姆斯其实是秘密组织了他的造车团队到2019年的时候他又宣布终止了这个项目
[00:19:51] 这个我还是蛮熟悉的就当初戴森宣布开始造电动车的时候其实整个业界汽车业界还是很期待的因为那个时候还是属于什么状态就是特斯拉已经兴起了然后呢中国有很多的电动车创业公司刚刚成立不多久但是传统的车企巨头还没有一个是all in电动车的而且詹姆斯当时确实有一些技术积累一个就是我们前面提到戴森的数码马达虽然车用的马达和所谓吹风机上的马达不是一回事吧
[00:20:20] 但是戴森公司的确自研了车的动力系统包括电池这个最重要的核心零部件而且在其他方面也取得了很多进展詹姆斯在书中就写到戴森选择进入电动车行业的首要动机其实也是他做各种产品的一个首要动机就是戴森的技术可以大幅改善已有的产品而不是考虑说自己的产品比别人性价比更高能卖得更好更有商业前景不是的所以说在初期戴森就投入了大量的资金
[00:20:49] 在上面提到这些电动的核心技术上面并且戴森还决定自己来做汽车的底盘设计因为这样的话能够让整车这个平台更加完整而不是有一些半吊子当然这个就会耗更多的精力了而最终的结果就是戴森的造车项目没有持续下去一方面汽车创业本来就是非常困难的你有可能要先投入几十亿美元但看不到一点点产出所谓久之久死一生就是形容这样的这种创业的项目
[00:21:15] 而且新的玩家在这个行业里面有非常明显的成本劣势就是因为你一开始造码这个是供应商对你都不是很熟悉或者是你这个采购的量比较少他卖给你的钱就会比较多那你这是一个成本的劣势另一方面就是戴森这个项目持续到一半的过程当中整个电动车市场出现了变化在欧洲尤其是欧洲就是2015年大众的柴油门事件爆发之后这个汽车巨头们都开始认真的对待电动车了
[00:21:42] 而且是政府的导向也很明确所以整个竞争压力就非常加剧了那权衡之下詹姆斯就决定终止这车项目及时止损詹姆斯对这个决定的总结非常简单他说这是一个商业决策与产品无关结束这个项目很可惜但团队只能接受不过整个戴森公司并没有因为这个尝试而影响到已有的现金流业务其实戴森在投入资源来研发一个新产品之前不管这个产品多大
[00:22:09] 他们还是会测算自己能够承受多大风险的那电动车也是一样的所以他们最后虽然这个项目没有成功但是不至于说因为这个项目整个戴森公司要出现什么问题有些听众可能已经发现了刚才我们对詹姆斯创业之路这个梳理过程中失败始终是一个经常出现的一个关键词如果按照时间维度来看詹姆斯经历失败的时间可能远远多过他成功的那些瞬间但是从整体来看詹姆斯还是在不断取得一些进展的
[00:22:38] 可以说这算是一段充满失败的成功史我觉得这个充满失败的成功史这个总结还蛮到位的从充满失败的成功史这个角度来观察戴森这样的公司其实就很有意思我们相当于是要看它整体的运营策略比如说要看这个公司整体是不是一直有保持创新的能力而不是去看单个项目的得失
[00:23:00] 比如说我们应该看就说它已有的成熟产品是不是还能持续的改进是不是能不断有新的产品出炉获得成功如果是的话那么我们其实可以允许一些失败只要这些失败能够及时止损就可以了对的那这个当中的核心就有两个首先就是整个团队要一直保持有旺盛的创造力第二就是它还要有一种系统能力能够把这些创造力持续的变成有价值的产品
[00:23:26] 说的更直接一点就是戴森这家公司始终要保持詹姆斯这种发明家的状态那这个其实就是我们下一个话题要讨论的事情了
[00:23:36] 我们前面提到过詹姆斯这本书最后是改了名字的改叫《发明》詹姆斯戴森创造之旅在这本400多页的书里面发明这个词在252页里面都是出现过詹姆斯甚至说发明是人类的当务之急我们还可以引用他在书中的一段原话对于热爱发明的人来说发明的动力无法抗拒发明家本意并不在于赚钱如果他们想要赚钱的话那他们的梦想通常不会实现
[00:24:05] 所以这一部分的话我们就来聊一聊发明和发明家这个话题刚刚萧老师引了一段书中的话这段话好像很符合我们对于发明家的一种刻板印象就是发明家可能是一种满脑子都是点子是天才型的动手爱好者这样的人但是他们又不是那么擅长赚钱詹姆斯自己也说发明家其实更像是一个艺术家他是向别人分享自己的作品而不该一味地满足市场的需求
[00:24:31] 不过我们知道就其实发明这件事变得有利可图基本上是一个要等专利制度被广泛重视以及所谓的C2M这样的概念流行起来之后的事情了但专利制度逐步完善之后呢又会有很多人去挖空心思的钻研这个制度想办法把自己的商业力最大化而不是单纯的去搞一个真正的发明
[00:24:53] 我们个人觉得就是进入21世纪以来我们讨论发明或者是发明家的这种机会似乎越来越少可能也是因为这样一个原因你说这个情况我也有同感而且还确实找到了一些相关的数据这个数据来自于苏黎世联邦理工学院管理技术与经济学院教授这位教授还有一个著名字叫宋迪迭
[00:25:16] 这位教授在2020年发表了一篇论文他分析了与发明创新相关的两个概念从1750年到1988年的变化趋势这个时间非常长这两个概念是什么呢其中一个叫思想之流思想之流指的就是活跃的发明家创新者以及前沿科学的研究者的规模另一个概念叫做研究生产率指的是我们前面提到这三类人在其所在区域人口里的占比
[00:25:42] 我简单总结一下宋迪迭教授从数据得出的结论他是说思想之流大概从1870年开始快速的增长到1970年左右达到了顶峰以后就开始快速的下降其中发明家的规模缩水是尤其显著的研究生产率的衰退来得更早其实在1950年之后就已经开始下降了而且研究生产率在1988年也就是他研究这个末期的水平大概已经退化到了1760年的规模了
[00:26:11] 感觉他好像是在说人类社会的这个发明创造能力其实在最近一段时间已经下降了很多了是吧没错那他有没有分析过这个原因啊他提到了一个可能原因是因为20世纪下半叶整个世界的经济增长都非常的快很多国家都非常重视现在手上有的财富所以说相对来说也更业务风险而发明创新科研这些事情呢普遍是投入产出比较低
[00:26:38] 然后风险又很高的一些方向他们的关注度自然也就变低了简单的说就是大家都想要稳妥的赚钱了嘛包括现在其实全球最重要的一些互联网公司我们看到他们的商业模式普遍都很传统就是所谓的最聪明的头脑都在想着如何让你去点击广告嘛关于在互联网时代是不是这个世界的创新力下降这件事呢我们这次也问了詹姆斯但是他的想法跟我们也不太一样他是这么说的
[00:27:03] 我认为全球各地的研究项目以及花在研究上的时间其实更多了但总体来说创新是一点点达成的有时候新的技术刚诞生时相对于原先的技术进步并不大但是到了第二版第三版就会有巨大的差异了
[00:27:26] 也就是说詹姆斯认为我们不应该一味的去特别关注那种一出手就石破天惊的很厉害的伟大发明而应该更加关注创新的迭代过程以及一个长期的影响力对这个就是所谓持续改善和持续创新的一个作用这个当中还有一个问题詹姆斯是尤其强调的
[00:27:46] 就是不能因为做出一款很畅销的产品这个公司就满足了就停止改善了这个不是工程式的思路对就是他一方面认为你们不要老是想着一下子就搞一个大事情但是同时他又说你不要因为有了一点小小的成就就停止不停的创新了这个当中其实戴森本身的那个电动马达就是个很好的例子嘛这个马达的技术一开始看起来还没有那么的特殊
[00:28:10] 直到它开发到第三第四个版本的时候人们才发现它和传统的这个马达产品有了一个显著的区别这个性能非常的高它变得更轻便用量更少更省电同时这个马力又更强了等于这个性能是有了一个全方位的提高詹姆斯显然不是所谓高速马达最初发明者但是现在戴森的马达彻底改变了很多人的生活方式詹姆斯就认为市场往往是因为轻视了最初的这一点点的技术进步才会失去之后更大的一个市场机会
[00:28:39] 有道理啊而且我感觉这样的一些判断的话一般都是要真的有非常多实践经验的人才能够给出的一个判断还是很难的一个判断前面提到发明家这个问题的话我们还找到了另一篇2005年发表的论文这个论文标题很有意思它叫独立发明家的示威一个熊比特式的故事熊比特是一个非常著名的经济学家前两年非常火的一个概念叫破坏式创新这整个理论都是源自于他的简单来说呢这篇2005年的论文就指出来
[00:29:08] 随着时代的发展有创造力的年轻人是更难成为发明家的因为发明对于资金和人力的要求越来越高了而从19世纪末到20世纪初一些高产发明家的职业轨迹来看的话会发现他们普遍会流向两个方向要么是进入大公司工作
[00:29:37] 而且从公司的角度来看的话戴森这家公司本身也有很多特别之处比如他现在的业务跨度非常大
[00:29:46] 还有就是他的总部是在新加坡的这个做法也是欧美公司当中比较罕见的最重要的一点呢就是我们前面也提到过的但是很重要我们再提一下就是戴森还是一个家族企业他没有选择在公开市场上市所以我也蛮好奇的詹姆斯目前在他自己的这个大公司里面主要负责什么呢他还是一个研发的人吗这个我们肯定也问了他嘛然后他也做了一个非常诚恳的回答
[00:30:10] 如今我花在开发新技术和研究产品如何应用技术上的时间比我花在其他方面的时间都要多这可能会占据我90%以上的时间这不仅是我的事业也是我的专业发明是此生不变的追求当你拥有自己的企业的时候你将永远不会停止思考所以从某种程度上而言它定义了工作时长有时可能是在半夜有时候我甚至在床上都无法停止思考
[00:30:40] 我每天都要工作10到12个小时这是我的日常我还有一个重要的工作就是提供鼓励保证工程师的成果得到充分肯定我的热情很高因为这是最重要的事
[00:30:58] 也就是说詹姆斯除了自己仍然在一线做研发还有一点像工程师的鼓励师鼓励师那我觉得他肯定比单纯的鼓励师要高级多了而且詹姆斯这个管理团队的思路主要是因为他觉得公司吸引到那么多优秀的工程师之后最重要的事情就是释放这些工程师的创造力和发明力据说现在戴森内部的绝大多数新点子其实都不是他本人来想出来的了更多的是一个集体的质问
[00:31:26] 这个其实就跟我们想象中那种家族企业非常保守的形象还不是很一样当然家族企业等同于保守这个本身也算是一种刻板印象了家族企业其实也有非常多好处比如它可以保持一个有益的长远的思考做非常多有价值的长期投资如果这个企业家的商业精神商业道德和经营哲学能够非常好的流传下去的话一个家族企业显然有可能比一个单独主力的上市公司表现得更好
[00:31:53] 我看詹姆斯在书里面也提到从他开始创业到公司初步取得成功再到公司赚到第一个100万英镑的时候都有人劝过他说你把公司卖掉吧因为家族企业既是一种风险也是一种责任但是他就似乎特别喜欢这种在刀尖上跳舞的生活特别热衷去开发新的技术而且和团队通力合作所谓被淹死总比做个笨蛋强
[00:32:17] 但是这种想法在英国的企业家里面其实不是很流行詹姆斯是一个非常特立独行的英国企业家是的然后刚才我们提到戴森公司有一个特别之处就是他的总部是在新加坡的这个在当时的全球跨国企业当中还是一个很少见的选择那个时候是2002年戴森想要扩建工厂而东南亚当地有比较良好的一个制造业的基础尤其是有许多优秀的技术工人和工程师
[00:32:44] 这工程师戴森真的是非常喜欢然后他就在新加坡建厂之后索性就在新加坡建立了总部那这个战略决策呢其实也帮助戴森开拓了亚洲市场目前戴森有一半的销售额是来自亚洲的中国日本韩国这些市场的消费者对于高性能产品都很感兴趣这也会激发戴森工程师进一步根据本地的需求来改良产品但是这个又回到了我们之前提的一个问题就是戴森我们也知道他是一个有13000多名员工的公司
[00:33:13] 他的发源地在英国然后现在总部就在新加坡感觉其实很容易遇到一些沟通不畅或者水土不服之类的大公司病关于这点呢我们也问了一下詹姆斯他有没有什么好的办法关于这一点我没有什么大道理或者万灵咒重要的是你每天如何工作如何鼓励别人做了什么大胆的决定想要开发什么新技术
[00:33:38] 我觉得这些都能带来成功但是成功本身没有魔法可言
[00:33:48] 看起来其他公司想要简单的复制詹姆斯和戴森公司的经验可能也没有那么容易虽然詹姆斯自己说如何保持创新的活力这个事情没有标准答案但是我觉得有一件事情肯定很重要就是人才嘛没有一流的人才就谈不上创新和发明詹姆斯自己在这方面的做法也蛮独特的甚至说可以说超出了一个公司能做的范畴他办了一所大学没错就2017年的时候戴森工程技术学院正式成立了
[00:34:17] 然后招收了第一批44名学生这个学院从学位的角度很正式它能够颁发那种正式的学位但是它教学形式和一般大学不一样本科生每周上课两天另外两天在戴森公司工作而且他们还可以到戴森全球各地的基地去实践并且戴森也非常鼓励学生在实习期间来开发自己的项目整个这个学习过程当中学费是全免的而且两年的实习期还能领工资
[00:34:44] 学费全面半工半学的项目了我觉得是非常条件优渥的一个半工半学詹姆斯反复在强调当今社会对于工程师的教育是重视不足的导致的结果就是学习工科的学生很少出了一班也缺乏对于这个专业的荣誉感那我有个问题这个詹姆斯的想法确实是很正确但是他为什么非要自己去办一个学校呢
[00:35:07] 没错因为很多的企业家如果你要去资助教育的话你可以捐钱或者搞一些比赛等等的其实戴森也会做这方面的事情但为什么他会单独做一个学校呢比较主要的一个原因还是因为他觉得跟其他人合作效率未必很高不如索性自己做戴森最早的时候其实也和一些中学的一些学校合作过一些工程师教育的项目后来因为各种的原因吧就没有持续下去
[00:35:35] 就像他自己自建工厂自建核心零部件一样他索性就自己做这件他觉得很重要的事情了所以到了2016年的时候戴森基金会就自己拿出了3500万英镑开设了戴森工程技术学院截至2020年他已经有33名毕业生了而且都进入戴森工作除了办大学我看戴森其实还是在全球搞戴森设计大奖的这个奖项就是用来奖励大学生的发明创造
[00:36:02] 中国的大学生也曾经在这个里面拿过大奖我们就看一下2021年的戴森设计大奖当时中国大陆地区的参赛作品是再次刷新记录的总共有613个参赛作品这个作品数量在28个参赛国家和地区里面也是排名第一的当然戴森还确实有一个基金会同样会资助工程师的培养也就是他其他事情也做的
[00:36:25] 等于是又办大学然后又搞面向大学生的设计比赛然后还有个基金会加在一起的话可以说到了这个阶段詹姆斯本人已经是一个教育家了或者说是一个工程师文化的步道者毕竟他做的各种各样的事情里面反复强调的就是要工程师教育
[00:36:44] 是的今天这个节目呢我们是从詹姆斯的新书出发但是反过来从失败这个角度来观察了詹姆斯本人和戴森公司的发展故事然后我们还是从发明这个点来切入讨论了一下这个时代创新和发明有没有一些难点和痛点最后呢我们还简单讨论一下工程师的教育问题从这些角度的话我们相信能够帮助大家对詹姆斯戴森本人以及戴森公司有一个相对比较全面的了解吧
