Vol.15 大数据选址，玄学还是科学？
[00:10:00] 像奢侈品前两年的状况就是因为奢侈品它本身开店比较少所以他们在选址的时候不一定会有专门的网络规划的负责的人他们可能会跟就是比较相信某一些购物中心然后去跟着这些购物中心去在一些新的城市拓展的区域里面去开店那这个时候就会发现可能它进入的那个地方它实际的效益并没有那么好所以也会出现说前几年的这个关店潮
[00:10:29] 这个其实是挺典型的大公司里面或者那种大公司病就是不同的部门它的分工比较明确比较细结果就是不同的部门之间会有各自的利益或者各自的工作习惯各自的目标然后这些目标之间会有相互的冲突和矛盾对吧就是他们可能做选择鼻涕做选择为什么采用经验主义的跟着购物中心的方式是因为这样做之前很有成效然后也比较方便所以他就习惯了
[00:10:56] 但是在某一个时间段有可能对整体对整个公司品牌来说并不是一个最优的选择当然没有最优解的话其实也就是选址的一个常见状态就是你先设定了一个理想的状态就是在一个城市里面找十个比如说十个街边的黄金铺位来开店但是事实上能不能找到十个点位都符合你这个要求呢未必的呀别忘了选址不是单项的事情它是一个双项的
[00:11:24] 在选址的时候商场和房东也在招商所以是双向选择的过程你看中了这个铺面对方还不一定要你呢或者你看不上的地方对方很想你来开所以我听一个做选址的高管说过就是说没有完美的选址这件事比如说我们就说汉堡王和肯德基这两个快餐品牌他们从逻辑上来说其实选址的这个选点啊什么的目标都应该差不多对吗
[00:11:51] 但是实际上有可能他们都想要进入同一个购物中心或者一个商超的品牌但因为肯德基和他的这个购物中心招商的人关系特别好甚至签订了一些协议结果汉堡王可能长期在这一系列的商超里面只能找到一个比较差的店面我们提到协议啊协议这件事情就是说决定了说为什么没有完美的招商可能协议在里面也起到了很重要的作用
[00:12:18] 刚才讲了那么多就是
[00:12:41] 你可能会有一个感觉就好像在选址这件事情上面经验和实际的操作是更加重要的我们刚才讲了很多例子对吧你店铺要最后实际落地有太多的不确定的因素了能让这些因素确定下来然后尽量获得比较好的一个结果有可能都是要靠实际操作的BD这个角色来完成的这个就有点像后方的人制定好了一个促销的政策但是最后能不能完成销售目标还是要靠一线的销售人员对吧是有这样的感觉
[00:13:10] 但如果是这样的话就问题就来了毛毛就既然实践这个重要性那么高那么数据在这个选举当中真的能派很大的用场吗再有经验也还是会出错的以前选址的方式大多是像依靠经验啊或者是关系啊开店的bg会有一定开店的惯性和盲区
[00:13:32] 这时候呢也会需要大量的数据来一起做决策依据
[00:14:01] 这里能不能讲的具体点就是说品牌到底要依靠哪些数据来做这些决策所有数据这个数据指的其实是第三方数据品牌不是没有数据他们肯定有但他们主要的是有自己内部的数据比如说自己门店的位置租金希望开的一些点位自己门店的销售预测的销售或者是自己门店的一些客流等等再多一点的话他们会有一些
[00:14:29] 国家统计公报的一些数据比如说像GDP啊常住人口啊这类但这些数据其实是不太够的这里就要讲到一个非常重大的一个这一段时间中国商业发展的一个背景就是新一线城市甚至是更低线一线城市的发展对吧过去很多的一些零售品牌尤其是一些直营的零售品牌主要都是开在一线城市为主的
[00:14:54] 他们对于城市的了解或者一些具体商圈的认识也主要集中在这些大城市里面当他们接下来要去一些过去没有开过店那些城市去拓展的时候就会发现对那些城市的了解非常的少甚至是一无所知的这个时候你要快速的了解这个新的疆域你就需要一些数据来帮忙了对吧那这边毛毛能不能具体介绍一下就是选址的时候需要的那些你刚刚说的第三方的数据具体是有哪一些
[00:15:22] 选址需要的数据其实比较多元比如说它需要竞品相关的数据需要门店周边客流的一些画像的数据也需要说像地理信息类的POI的数据等等比如说竞品类的数据呢主要就是指位置的信息啊竞品的规模啊布局选址偏好竞品的客流竞品的一些销售额等等地理信息类的数据呢主要说的是这个地块的属性和构成
[00:15:49] 比如说这个地块的商业画像啊业态结构啊潜在服务的人口啊等等这些信息还有一些像商圈或者是说是购物中心的标签也可以帮助品牌选址的人做一些判断比如说像有一些办公楼为主的商圈那他可能是工作是白天人流量比较高的
[00:16:07] 然后有一些可能周边
[00:16:36] 对对对刚才毛毛讲的这一段还是
[00:16:58] 我大致理解了一下就是说过去我们对一个地区的理解其实是非常粗浅的比如说这是一个市中心它的人口大概有多少但是它居住的是怎么样的人口这些人会在这里做什么其实很多品牌是不知道的这个时候就需要一些机构来帮助他们去给这些人贴一些标签就有点像电商平台现在给消费者做的事情一样标签越精准越多的话所以说需要的数据也就越多
[00:17:27] 然后在这里再给我们一个概念吧就是比如说要做到一个完善的标签的话需要哪些平台的数据不同的标签它需要的数据维度其实不太一样比如说我要判定一个商圈是否是一个母婴亲子类的商圈那我就需要知道这个商圈有哪些母婴亲子的品牌然后它在整体的品牌类型里的占比如何
[00:17:49] 它和其他的张圈相比较它的比例是高还是低然后它在全国的范围内属于一个什么样的水平标签呢它能帮助我们更好的理解这个区域地块的属性背后需要比较大量的数据去支撑它我们也在建构自己的关于地块的标签池
[00:18:08] 讲到这里就是我其实挺疑惑的就是因为听上去一个品牌做选址的话肯定需要很多数据来帮助自己的工作显得更专业更加不要出错但是这个难道不是一个基本的常识或者是一个基础的工作吗就是品牌连这些事情都做不到吗或者说之前市面上没有这种专业的机构来帮他们做这些工作吗
[00:18:29] 现状的确就是这个样子的就是以前其实也有一些专业机构会帮他们做但是可能它是一个以咨询的方式去介入去选一些某些个点但现在可能品牌它也需要去大量的数据去快速的去做决策而且说就其实现在目前的话市面上也有一些很多选址类的APP或者是SaaS的平台那很多数据的信息已经有第三方的数据公司帮忙收集好了
[00:18:57] 但我们获得的一些的客户的反馈是其实大部分都没有办法
[00:19:24] 很多选址平台或者是产品离满足客户需求还是会有一段距离要走而真正有用的工具的话我觉得是首先要深入行业然后要去知道如何去区分不同行业的选址逻辑如何敏捷地去获取不同行业的一些前沿变化从而去调整不同的算法我觉得这是做选址产品或者是平台的人一直要努力学习和做到的事情
[00:19:53] 其实从历史发展的角度我多少也可以理解毛毛刚刚讲的那个现实就是许多品牌还没有接受数据在选址当中的重要性或者没有把它变成一个习惯因为数据对零售的品牌的选址的帮助其实是最近几年因为一些新玩家的进入之后在中国大家才开始重视起来的就比如说一个其中的代表就是河马对吧像17年18年左右河马刚开始的时候
[00:20:19] 他在业内被关注最多的除了他那个移动端的那个服务和配送以外就是他的这个选址了因为他在北京上海这样的城市里面都基本上不开在那些有名的成熟的商圈里面就是经常开在那些让我们觉得有一些鸡脚尬辣的地方但是他是有自己一套选址的逻辑的他会根据很多线上的数据那些数据是过去在选址里面很少被使用的那些资源
[00:20:42] 然后他着重就是看半径三公里里面用户在线上的一些消费的数据他们的人群的一些画像因为他的这个河马里面有一个配送的功能所以他半径三公里这个概念非常的重要最后就会让他去在一些过去很多品牌意想不到的一些地方来选址那这个时候其实大家才会逐渐的意识到原来丰富的一些第三方的数据对于店铺的选址是非常重要的一件事情河马不是有一个著名的概念叫做河区房吗但是你仔细想想
[00:21:10] 到底是为了河马买房子还是为了房子去河马这个事情其实逻辑上还有点可以讨论的地方但是我们还是回到这个话题上来就是毛毛能不能具体再介绍一下就是说现在制成平台上面就是说对于选址的话到底是怎么做的就是说这个产品的背后逻辑大概是什么呢这个广告的感觉要来了
[00:21:30] 诗城其实提供了覆盖全国所有城市的关于就是社会经济啊城市基础商业环境消费活跃人口潜力还有些品牌规模等等200多个的数据指标
[00:21:45] 用户呢其实可以自行去修改纳入计算的数据维度和权重然后根据我们自己设定的这样的一个算法测算的模型会给你推荐你选择的这些推荐这些城市然后谨慎选择城市哪些潜力城市是哪些毛毛你刚才有讲到说品牌可以自行去修改这个不同数据的维度和权重这是一个怎么样的概念
[00:22:09] 就是说我们其实会给到用户一个默认的一个算法的体系
[00:22:39] 但刚才你讲的其实主要还是在选择城市这个概念上面对吧那在城市里面具体要选一个地方的时候会有哪些数据的结果呢因为我们了解到品牌选址上的侧重嘛所以我们也会说去单独把商圈购物中心地铁站住宅小区医院学校这些重点的区域单独拎出来去做一些空间的分析去看这些重点区周边的一些商业环境一些周边的设施
[00:23:05] 包括品牌竞品竞注的情况潜在的服务人口等等一些信息刚忙我讲的稍微有点枯燥但是如果大家自己去用一下之城平台的话会觉得它是一个很像一个很好玩的经营类游戏而且这个经营类游戏的一个最大优势就是在于你可以同时看到很多日常生活中就能见到但是你根本不知道他们经营状况是什么样子的一些品牌的数据目前之城上面大概有多少个品牌的数据
[00:23:31] 支撑目前的话主要有500个左右的主流的连锁品牌的数据然后我们主要是基于每个品牌的官网或者小程序还有地图的数据然后按阅读去更新清洗维护这样的一个数据库所以说就不会存在说这个店关了以后我还在上面能看到它的这种情况是吧
[00:23:54] 对对对我们会去做一轮就是清洗和校宴这500个主流连锁品牌其实就可以支撑到我们之前说的做门店的竞品分析啊包括不同品牌的分布啊规模选址偏好商圈偏好利率变化等等这些情绪然后也因为我们有比较强大的商业地理的数据库门店落在城市里的位置就不仅仅是一个地址了它就会有一些属性和标签
[00:24:23] 这些上面还有一个功能好像是可以把不同维度的东西都叠合在一起来讨论对吧对我们可以叠合就客流的图层门店信息图层竞品信息图层还有一些商业资源图层包括一些住宅小区等等然后像综合了这些地块的信息然后去帮大家去推荐潜力地块然后用户呢也可以根据自己的需求去调整不同图层所要纳入计算的范围
[00:24:50] 刚刚那个部分其实还是比较专业的而且其实还是需要落到各个品牌他自己来操作的时候会比较有感觉这边的话毛毛其实主要也就是做一个介绍但我刚才听下来有个感觉就是其实支成这个工具或者说你刚刚提到的一些已有的第三方的一些数据平台的工具它更多还是一个辅助型的一个功能它的主要作用还是为了
[00:25:15] 帮助品牌在实际选址的时候
[00:25:39] BD去来做的事情了它其实就是数据和你实际经验要互相结合来共同配合的一个概念只不过过去有可能很多品牌实际操作的时候数据并不是非常强然后又和实际的操作之间互相会有一些矛盾最后产生效果不太好好像觉得数据和实际经验要二选一了但其实它是应该是一个结合在一起的一个概念其实讲到这一层的话就我自己也比较有感触就是会让我想到一个电影就是点球成金
[00:26:07] 那个是一个讲棒球的一个体育的一个电影他讲就是美国的那个MLB棒球联盟里面本来有支球队非常的弱但是他的经营者通过数据分析的方法就挖掘了很多被低估的一些球员然后这些球员组成在一起变成了一支强队这个其实是一个历史当中实际发生的状况就是在美国这个职业体育有越来越多的赛事比如剩下棒球的MLB包括篮球NBA他们越来越看重数据分析这样一个工具
[00:26:36] 因为这个工具可以帮助他重新看待自己所处的这个运动建立起一套评价的框架和体系就像你刚才讲的选址里边要贴不同的标签你要用通过不同的维度来看待一个新的地址它不是单单的一个地址而是有不同的属性的一个区域了因为有了这样一个标签和坐标系之后你才能去做一些具体实践的一些操作
[00:26:57] 这个的话其实就有点像玩即时战略的游戏啊就是如果你没有数据的这样一个框架的支撑你有可能就像没有开地图一样都在黑暗里面摸索但你有了数据之后你不一定能够帮着你一定能赢但是你至少能够知道一个整体的大冒不是处于一个混沌的一个经验的状态了说实话在这样一个时代里边数据或者说数据的思维已经成为了所有生意的一个基础选址也是其中之一商业就是这样
[00:27:31] 感谢收听这一期的商业就是这样
