Vol.113 “新一线”十年，中国城市大改变
[00:22:50] 这个其实我们在后来的这个快时尚的发展里面是看到了这个问题比方说我们大概是在五六年前去新一线城市或者在第一线一些二三线城市看他们的商场的时候会跟当地的消费者聊说像HM ZARA这样的牌子你们会买吗一些可能他们目标的受众18到35岁的女性会跟我们反馈说
[00:23:09] 这种牌子吧性价比太低你说这个也得几百块钱买件衣服但是只能穿一季它也不能洗也不能怎么样然后就不能下一季就不能穿了其实对于这种相对偏低线的市场的女性来说这些品牌并不在她们主流的消费视野里面她们可能还是在所谓百货和购物中心品牌的一个转档期是倒是对她们来说更加受认可的其实是一些国产的内资的一些传统的女装品牌
[00:23:38] 我们说的这个概念现在听上去很老中少书对就类似于这样的概念的这种这种类型的国内品牌在百货的商场里还是很容易见到的这个我觉得很有意思就是说我们之前前几年都会说这些所谓的快食是让
[00:23:51] 或者说是一些别的品类的零售的品牌扩张在中国的更低线的城市扩张之类的概念好像觉得主欲是他们主体是他们但其实有的时候他们是被拱着或者说是带着往下去的这个概念其实不一样对甚至就是大概在17 18年的时候还观察到一轮当时像特别欧美系的这些服装它其实扩张的速度慢一些了但是像优衣库和H&M有一段时间在所有新开的商场里面绑着走
[00:24:20] 而且我们后来了解到从内部讲就是两个品牌互相对标只要你去我就去所以两个品牌就是像卵生兄弟一样的不停的在一些三四线的城市的新开的购物中心里出现当然这个脚步也随着后来H&M的一些遭遇停止了所以我们看过去几年有一些快池上品牌的收缩不能只看收缩而看的是他们前面几年是怎么涨到这么大的然后其实我觉得这个收缩如果排除一下一些非商业的因素的话也有一定的必然性对吧你本来有可能就不应该以这么快的速度开下去
[00:24:49] 所以我们刚刚讲到这个复制的话就是我们每到一个购物中心的这个旗舰店或者说是主力店就能看到一个两层的筷子上的品牌这件事情
[00:24:57] 其实蛮晚近或者说是也是一个多少有些偶然并不是一个商业上的必然的一个东西而是一个就是成功了之后然后他迅速把这个路径复制复制复制下去的一个很快的过程是有一段时间我们去跑新的城市然后去看他们新开业的商场一个基本的逻辑就是跑到他商场的门口先去看谁是把门的位置当然一般的万达他了不起哪一两个轻车的品牌这已经是他最成场面的了
[00:25:20] 那么很多商场他做不到呢他就会先把Zara把H&M的这种大的快市商品牌先把最好的位置占掉是毛底型的对其实这里面就是这些快市商品牌也很精里面的这个租金的免租期然后这个装修的补贴其实进去开店也不怎么花钱对那刚才我们其实一直在讲就是这个购物中心的复制对于这个城市面貌的我们可以说是刷新或者多少从个人主观的感觉来说有一些无聊嘛就是越来越多的城市的这个商业中心都有点类似了
[00:25:48] 我们看到另一个就是现在经过长期复制之后的一个反过来的趋势就是大家现在开始讲究一些非标非标准化的东西而不是完全复制的一些案例这个其实是有可能以后我们看到一个趋势对那我觉得这个主要的一个问题还是可能我最近两年感受最深的其实是反而是一线城市就北京了就北京因为它在可能是二环还是三环以内它不批新的商业用地了那你这个时候还想做新的商业你怎么办你只能
[00:26:15] 在存量的地块里面找去更新或者你找一找有什么做的很烂的一个厂子你把它改出来上海也是类似上海也是一样的对另一个我觉得现在走的比较前头有可能是成都是的成都其实我前段时间刚去过一次然后发现大家说成都这两年的面貌更新到就算是行业内的人有非常多新厂子可以看
[00:26:33] 然后说市中心他们其实就是一个老的百货商场改成了叫Cosmo它其实这个模式如果是上海的朋友可能比较熟悉跟TX淮海有点类似打了一大堆主理人就是现在说主理人城市一个是上海一个是成都对然后也包括成都它其实是在这个天府行区包括陆湖的附近他们也开了好几个这种我们说叫非标商业体其实这个商业空间已经不是一个我们传统意义上的大盒子的购物中心了而是邀请了很多这种比较
[00:27:03] 小众的本土的品牌然后在一些比较特别的
[00:27:29] 还有行业里面更频繁的去看这些新潮的厂子这个概念的流通其实速度是要比原来要更快的是的包括现在这个概念的流动过去我们会单向的认为它是一个从国际到一线城市再到新一线再到二三线的一个单向的下沉的过程但其实现在很多的概念是从中间的某一些城市里面长沙啊成都啊突然跳出来的它甚至是跳过了我们一线城市的这种概念源起头的这种状态我们看那些城市也会觉得比较fancy是吧洋气洋气也不一定是完全的
[00:27:59] 就是你讲原来我们可能说每年大家会去东京看或者去纽约看这两年可能新潮点去曼谷或者首尔都已经开始有一些新的东西了但确实是这两年你哪怕在国内一些就像我们说成都长沙你去看一些新的场子你也会有新的感觉的很有意思的一个变化
[00:28:18] 刚才讲了两个这个观察的角度其实都是花钱的对吧都是买的一个部分第三个角度我们来看一下赚钱的角度看一下中国城市的这个怎么说除了一线城市以外的那些新的大城市的职场人或者公司人的职业化的这样一个变化这个点其实也是我们前面就是在准备这期节目讨论的时候从了提到这个点我自己都觉得挺新鲜挺意外的一个点你们可以介绍一下具体
[00:28:42] 对其实在这个观察里面其实有一句老生常谈的话就十年前我们一直挂在嘴上叫逃离北上广说的不能再腻了对但是这句话其实过去十年的每一个阶段里面都有它自己本质上的一些内涵它是不同的怎么讲比方说我们在2013年就十年前我们去讨论逃离北上广的时候很多人是迫于在一线城市的生活成本比较高
[00:29:05] 这个高是很明显的有极差的比方说当时在他的收入在北京上海这样的城市买房已经非常困难了但是当他回到比方说像成都杭州当时的房价还没有很贵可能也就一万两万甚至也就是比较更低的水平的时候他会觉得他的收入是可以支撑他来获得一个更好的居住环境给家人提供更好的生活的
[00:29:26] 他是真正的在逃这个逃是被动的去选择一个生活性价比更高的地方当然他们的逃里面也有一种无奈这种无奈可能是在当地回去之后他并没有一定能够找到一个和他的理想和他的情怀和他能力适配的工作有可能是他要在职业上折损来换取更好的生活说的直白点的话就是那个时候我们所谓的新一线和二线的这个城市能够提供的像一线城市那样的一些公司的机会是比较少
[00:29:52] 比较少对但是中间我们发生过一段时间呢是我们会提到很多的这个在新一线城市里面漂的概念很多城市甚至从城市营销角度去复制这个概念就把北漂的这个词换成他们当地的一个简称然后哪里漂哪里漂这种漂呢就是开始出现了一些我们说的这个新一线城市包括一些二线的城市它在吸引一些和它文化相关的地域相近的人
[00:30:16] 在他这个城市里面去从事一些自己职业发展的一些状况比方说我们当时会发现像西南地区很多的年轻人他就不出来了
[00:30:25] 本来并不一定是这个头部的省会城市里的但是它往省会城市流动比方说往成都往重庆的市区流动包括说可能它包含的是像云南像贵州这样的这些文化相近的地域上的年轻人往这个方向去比方说中部地区可能有一些就是我们说进省会城市的这种工作机会是蛮多的中部的像这些郑州武汉那个长沙都有一定的吸引性所以是它不是往超级头部的城市流动它就是一个变成一个区域性的流动
[00:30:54] 所以这个也让我们在这个七普的数据出来之后发现像成都像长沙它其实这个城市的人口是在快速的增长和翻倍的这个过程当中为什么强调是在西部和中部出现这个情况呢因为再早的时候就十年再之前的时候其实大量的人是直接往东部沿海去流动的所以我们说在大概这十年的中间阶段的时候出现了我们说的中西部的新一线城市
[00:31:23] 一些年轻人让他们能够在本地找到一个相对比较合适的这些工作能够留下来那这群人呢其实是没有过一些一线城市的憧憬也没有一线城市的经验的所以在他们他们憧憬最高也就是到新一线城市对他们到新一线城市觉得已经非常舒服了这是一种我觉得是圈住了一群人那么再进入到现在这个阶段我们去看的时候其实就变成了这个吸引力从他的去吸引力扩大到了全国性的吸引力可能我不是在西部的但我到了
[00:31:51] 你现在会听到过很多东部地区的人他甚至都不能吃辣的往成都跑因为那边主理人多有类似的这个可能是个感但是这种吸引力是存在就是说他现在的我们说吸引力其实最大的就是在他与他拉扯的这个距离能有多长当他吸引力足够大的时候他可以去吸全国的人
[00:32:12] 去那么这种就变成了一种
[00:32:33] 吸引过去了但这种类型的流动呢其实也是在最近几年里面我们应该也不能叫最近几年因为最近几年的流动稍微有点异态啊就是这种趋势整体上是有一定的存在的那为什么呢就是因为你要有这个需求首先要有这个供给嘛之前我们讲的是这些地方公司的这个能提供的岗位不多嘛或者你能寻找的这个机会不够所以大家他留不住那边的人那现在是哪些东西增长了使得他那边的人能够年纪轻的人能够留在那边了
[00:33:01] 最开始新一线城市的这种岗位的增长其实来自于我们说的第三产业里面相对中层的一些岗位的出现比如呢比方说它的这个原来我们说最多的人的这种
[00:33:15] 工作的岗位是来自于这个生产一线嘛就是说工人的这个阶段这个比较早那么到我们其实十年前来看的时候更多的有一些管理类的岗位出现对吧他们其实是会吸引到一些一线城市已经有职业经验的人返回到离自己家更近的地方去把他在一线城市掌握到的这种职业化技能向下反哺这一类的岗位在一线城市当中层管理者然后到新一线就可以变成高层或者中高层的一些管理者
[00:33:41] 那么他的这种管理类的岗位的流动其实是一个起头做办公室的人有可能他们原来是在一线层做办公室的然后新一线那边由于业务的发展对他需要有人去有一些分支机构开过去我记得你早年有写一个报道就是UberUber当时在杭州有个开城的一个活动其实它就吸引了很多人
[00:34:02] 我可以到杭州还是在一个很好的
[00:34:31] 每个层级上都有一些
[00:34:58] 表示你这个眉头皱的我也不知道我自己是不是扯远了不是就是已经上升到课程是这样的学术概念了我们就就此打住吧我觉得好的好的我们还是可以讲点具体的例子就我们可能最近两年有没有看到过就像你说的就是文化创意的这个带动其的某一个城市它有些独特的发展这种案例对我们其实在今年的这个e-magazine的六月刊里面我们写了几个城市一个是泉州像泉州其实就出现了一些尤其是福建当地的闽南文化的
[00:35:27] 一些认同感的人其实是回到泉州然后他这样就变网红城市那还有一个典型案例是我们未来与想图在关注的景德镇对景德镇其实是把很多原来最开始可能是跟制陶相关的陶艺相关的这些人吸引过去慢慢的他其实是把整体的这种手工艺类的文化创意工作者吸引过去现在渐渐的他变成了一个网红的打卡点所以其实很多人是冲着那个地方去短暂的去游玩一下体验一下但是这种大规模的全国性的人口的到访
[00:35:56] 肯定还会对这个城市持续的去改变它就不是一个我们说工业时代的景德镇是一个制讨的基底文化创意时代的景德镇是一个文化创意的中心所谓一个灵感的源头了打个广告就是我们未来想图正在做一本书专门就是讲景德镇这个城市的我们最近正在制作很有意思尤其就是刚刚丛乐讲的他所谓文化创意或者说是灵感的这样一个诞生的过程那个城市到底怎么样的我觉得那个还是蛮有意思的
[00:36:24] 当然我觉得从大盘上面来说的话你肯定会看到就是比如说第二产业什么的肯定是对一个城市的就业来说还是一个很重要的一个盘但是我们刚刚讲的那些的话是一个新的变化就是新的增量之前有可能是没有的或者说你很难想象一些东西
[00:36:37] OK那我们进入第四点第四点这个切入点我们叫做公司城这个其实也是一个非常有时代感的一个非常经典的一个话题就是城市和公司之间的关系尤其是稍微小一点的城市和非常大的公司之间的一个关系一个公司和一座城的这个关系是的假设大家都看过了这个漫长的季节就是里面花岭和花岗的关系对就是这个就设置到一个非常有时代感的一个精细对比我们过去讲的公司城有可能就是非常明确的一个工业城市
[00:37:06] 比如说像长春和汽车对吧然后实验和汽车柳州和汽车都是什么汽车或者比如像大庆这种资源型的包括那个安商的钢铁茂名的石化他们这个就是集中性强到什么程度就是这个地方的这个城市的有可能一个领导者就是公司的领导者
