Vol.84 利乐的“垄断式成功”
[00:06:41] 卷里面的那个直筒那个形状把它变得软一点然后如果用这个直筒来做这么一个四面体的造型的话其实只要你横着在下面封一下口上面竖着封一下口其实就形成了对吧那么这样子封好以后呢这个包装有一个好处就是它可以自己支棱起来这不像是那种你前面说的那种枕头包装那种形状你必须要手拿着它才能支棱起来
[00:07:03] 但是为什么前面提到那个枕头包装因为现在好像也会有这样的类型的这种包装的饮品对吧像丽乐应该它也是一个比较经典一个造型了对枕头包呢现在在他们这里是一个非常基础的造型甚至是一个中间形态你如果把这个枕头包稍微做一下塑形把上面下面四个角都拎起来然后折一折贴起来其实可以折出来一个长方体
[00:07:28] 就是我们现在比较常见的四方的一个造型这个在他们那个系统里叫利乐砖然后呢如果你在这个长方体的这个四条棱上面再做做造型再多压四个窄的面出来呢就是现在在爱慕西里面特别常见的一个造型这个叫利乐钻那反正现在利乐呢可以根据客户的需求提供很多很多种造型的方案那总体上都是靠不同的直筒压法和粘法实现的
[00:07:53] 不断地压出更多的面来就是隐约能够感觉到这种折纸的技术和数学是有点关系的但问题是再怎么折这个纸是造型上的一个独特性你用的还是纸的话也没有特别解决前面说的这个保湿器的问题吧这个其实涉及到两个新的技术首先是所谓这个包装材料本身你刚说利乐包用的是纸但是利乐包用的也不是什么普通的纸它其实是一种七层结构的复合材料
[00:08:23] 从内到外我分别说一下最里面那一层是聚乙烯的内壁然后是一层粘合胶然后是一层铝箔再来粘合胶再是纸然后一个印刷层最后还有一个聚乙烯的外图层这一共是七层然后靠这个多层结构呢它就能实现说整个包装的厚度也很好强度也很好韧性也很好然后整个密封性也特别好它本身就很有利于延长保质期嘛
[00:08:50] 同时呢因为整个包装里面虽然有很多塑料但是70%的主体部分还是纸所以呢整体来说比较轻又能做一定的塑形然后长途运输也没有任何问题这个是一个技术其次是所谓的灌装技术就是把牛奶灌到这个过程里面的一个技术利乐呢是希望在灌装的过程中尽可能的降低细菌的干扰它的这个灌装机的设计呢就有一点像在灌香肠
[00:09:15] 就是把牛奶先灌到一个很大的灭菌的直通里面再被很快地封成一份一份的然后再切开来就变成一个一个利乐包整个灌装速度也非常快按照规格不同我查了一下一台利乐机器可能每小时能够生产出几千包甚至一两万包的产品每个小时所以所谓的利乐包装其实是一套包装的生产线不单单是这个纸对吧对
[00:09:39] 那么如果说再加上对牛奶自己做一些灭菌处理比如说巴士杀菌或者UHT的那种灭菌它整个产品的保质期就被显著的延长了虽然这么做的风味上肯定有点损失但是牛奶总算可以走出自己的产地卖到全国各地了甚至不是卖到全国了可以卖到全世界了是吧
[00:09:59] 其实刚才游老师还提到那个巴氏杀菌也是这个行业里面非常有名的技术这个杀菌技术和这个包装技术在就是延长保质期上面其实是并重的就两件事情都要一起做才能够大幅的延长像牛奶或者别的饮品的一个保质期对但是今天我们主要讲包装技术就是牛奶杀菌这个话题我们先放一放以后有机会可以再展开
[00:10:21] 回到利落包装那我们前面讲到它里面技术性最强两个点吧一个是这个多层结构的包裁本身另外一个就是这个罐装系统那么这个公司去想商业策略的时候呢自然也会从这两个方向上入手肖老师肯定知道有一个经典的商业模型叫剃须刀架和刀片的组合意思就是你把这个产品拆成耗材和非耗材两个部分然后这公司绝大部分的利润其实是来自于耗材这个部分的
[00:10:49] 虽然很多人现在都在用电动的提取刀但我确实现在还是用手动的所以非常熟悉这个类似的案例就是像打印机和墨盒或者是净水器和净水的滤芯这样的概念对吧对举一些大家都能更有感觉的例子会更好一点其实利乐的商业模式也是类似的就是它其实不太靠卖这个罐装机械这个生产性来赚钱甚至说机器本身它可以不要利润
[00:11:16] 大客户可以拿一个非常夸张的折扣
[00:11:42] 可以跟这个客户形成非常长期的合作关系然后也能从他身上赚很长线的利益所以是客户自己的这个产品卖得越好利乐就赚得越多没错这一点我们在后面也会讲到利乐为了让这个客户卖得更好其实也做了很多像产业上下游延伸的工作这个就让他超越了一个传统的所谓包装公司的范畴这已经暗下不表但是我们从前面讲这个利乐的商业模式里面也能看出来很多问题
[00:12:10] 首先呢就是这个核心包材定价权其实完全掌握在利乐手上而且他自己又有技术专利嘛理论上他想涨价就涨价你根本拿他没有办法其次就是因为他做的比较早然后这个技术呢也算是市面上比较领先的所以说利乐在市场上是有很多先发优势的靠这个先发优势呢又跟大客户形成了长期绑定就导致他这个市占率又高又稳定
[00:12:35] 然后查一下到1990年利乐公司可能就已经是全世界最大的纸质包装公司了它的营收也是稳定增长的那这个公司身上就开始出现一种垄断的气质或者说是一种可能性吧那我们就要进入第二个部分了
[00:12:52] 那第二个部分关于垄断呢我们主要是来看看中国市场的案例前面我们讲了这么多利乐包装对于延长牛奶保质期的好处在中国的话最直观的就会联想到猛牛和伊利的崛起跟利乐的关系非常的大对吧嗯对的不过利乐在中国做成的第一笔生意不是跟那种牛奶企业而是跟一个饮料公司或者说是一个罐头厂
[00:13:16] 是在1979年的时候广东的本土的一个罐头厂引入了第一条利乐的产线生产了一种叫做鲜宝牌菊花茶的东西这个也是中国市场上第一个所谓无菌包装饮料非常先进但是直到1990年代之前利乐在中国市场影响力基本上就局限在了华南和香港市场内地市场的份额都不是很大当时利乐已经是由家族的二代叫盖德劳辛的这么一个人掌权了
[00:13:45] 盖德劳辛非常喜欢中国文化他很想要打入中国市场但是他发现首先中国经济还在复苏期大众消费品还比较匮乏所以说他这个事情确实比较难做所以说他当时给中国区提出了先行的要求就是说先让普通人多喝牛奶多喝牛奶我们东西才能卖得出去这个想法是非常超前的而且没想到就是让普通人多喝牛奶这个战略在中国居然是由一个包装商提出来的
[00:14:13] 可谓是自己把大客户奶了出来奶出来当时因为利乐在欧美市场的这个商业模式已经说是完全跑通了所以说他们有很多钱可以支撑他们在中国市场这么去砸钱培育市场当时的伊利和猛牛都还是所谓地方性的乳制品企业但是都很有奶一奶的潜力利乐就开始在他们身上下注而且用的就是我们前面说的这种低价卖设备长期卖耗材的方案
[00:14:41] 就很适合当时这些没有什么钱的中国企业1997年利乐是为伊利提供了它的第一条五金产线然后到2002年伊利的所谓利乐产线就已经有61条了从一条到61条其实只花了五年时间这个扩张速度是非常快的然后直到现在猛牛和伊利都是利乐在全球范围内最大的客户全球范围
[00:15:05] 在这个过程里面呢某牛伊利大家也知道他们自己在渠道和营销策略上面也做了特别多的工作包括把这个广告直接打到央视上面然后把货扑到了全国各个级别的市场里面然后整个肠胃奶的销量在中国一下就拉起来了有一种数据是2000年中国人均每年只喝一公斤肠胃奶然后到2005年就已经接近8.8公斤了这个喝奶量确实是明显上升了
[00:15:33] 所以那个盖德老心当初提出的这个目标等于是乃成功了对吧对的完全是实现了利乐呢就作为就是帮助实现这一切的重要的技术服务商他也从这个市场的增长里面获得了很高的回报但是早期报道里面就是会广泛应用有一组数据说是一小盒说250毫升的那种利乐专牛奶如果它售价是两块钱的话
[00:16:00] 那么其中有四毛五是利乐的包装费用这个还是从售价角度来看的但是如果从整体的成本结构来看这个利乐占比就更高了大概能够占到一盒牛奶成本的40%我们都知道矿泉水的主要成本是包装没想到牛奶也是这么高那这个利乐这个包装的生意也太好做了
[00:16:22] 既然这么好赚钱就不能想象当时国内是有很多企业是特别想做类似于丽乐这样的包装生意的因为这个东西看起来也不是特别难嘛这个想法呢后来甚至吸引到了丽乐自己人就是丽乐大中华区有两个高管在2003年先后离开丽乐和一个叫做全灵包装的山东工厂合作他们准备自主创业
[00:16:47] 但是自己纵手做了以后就发现呢力乐在这个生产流程里面其实设置了特别多的技术障碍这个技术障碍有些很难破解有些呢很难超越很难破解的点呢主要就是我们前面说力乐在包采上面有一些做法他在包采上面加了一个所谓识别码系统力乐的罐装机只有读到这个识别码才会去正常的工作你想换用其他公司的包采因为没有这个识别码嘛就根本就赚不起来
[00:17:15] 很难超越的部分呢主要是所谓设备精度问题前面也提到了这个利乐的罐装机这个效率是每小时出几千包甚至说一两万包产品的它这个罐装和封包的速度都是所谓毫秒级的非常快如果这个包材本身图案印的有点不到位呢这个机器转一会儿有可能就把你这个公司的logo和产品名字切了一半切的读不出来了这个产品呢就可能报废了
[00:17:39] 利乐自己的体系呢可以把这个精度控制得很好报废率做到很低但是你要作为一个创业企业追上这一点就非常非常困难这个就是大公司的一个先发优势了因为你这个事情看上去原理很简单但是难点就在于每一环对吧人家都已经打磨了非常久细节的精度非常高再加上一些技术手段然后价格壁垒的话你要想打掉利乐真的是非常困难的嗯
[00:18:04] 这还算好的就是所谓技术和工艺上的进步你理论上只要花精力想办法总归还是能缩短一点距离的但是像识别嘛这种它其实是一种明确服务于捆绑销售的策略确实比较讨厌很难打掉它所以说全林包装这两位潜力的高管就决定我们正面硬钢吧就直接从知识产权的方向入手
[00:18:27] 通过向大众明确利乐这个做法是捆绑销售然后把利乐当时在中国这几项重要的专利币给拆掉这个真的是釜底抽薪literally釜底抽薪是吧对但是这个也涉及到一个很重要的时代背景就是2000年代初呢中国的商法还不是很完善他当时呢能够用来讨论这个案例的一个法条呢就是所谓的反不当竞争法但他适用范围又不是很广
[00:18:56] 对 已经成立一个小组嘛
[00:19:22] 盛杰明本人对这个利乐的案例其实很感兴趣他还找了几个博士生专门去研究然后最后把他写到了一篇名为警惕跨国公司在华实施反竞争行为的报告里面然后这个报告又被国家工商总局看到了然后又研究了一通最后又吸引到了国务院的注意虽然这个一层层吸引到高层注意的这个细节我们不了解但这个过程肯定是非常重要也蛮不容易的
[00:19:48] 反正就是靠着这一系列立法的过程然后包括一些案例的分析
[00:19:53] 到2008年反垄断法就正式出台了到反垄断法正式出台前夜呢丽乐就通过传真告知自己的所有中国客户说过去我们双方所签的合同中所有涉及到违反反垄断法的条款自动作废就是比法律提前了一步把自己的一些做法就废掉了然后到了2012年国家工商总局还真的是以反垄断法为依据
[00:20:19] 他认定了利乐在华的六家分公司是滥用市场支配地位然后这个案子是罚了利乐接近6.7亿元当时是很高的一个数字随后利乐还发表声明称虽然我们对这个结果表示遗憾但是接受了这个处罚决定感觉整个过程里面利乐还是比较平静地接受了这个结果
[00:20:44] 虽然和这两年国内几个反垄断的罚金相比6.7亿不算很多但是整个包装行业其实并没有那么大所以对于利乐来说如果他吃鱼的话对于别的那些像全灵等等的一些国内的公司来说那就是一个很明确的市场机会了对的严格来说利乐在2012年被处罚的原因不仅仅是因为前面所说捆绑销售的问题
[00:21:10] 其实还是因为它跟客户有一个别的合作关系就是客户如果大量采购它的包裁利乐还会给客户提供各种各样的所谓忠诚折扣和返利那么这一套体系就是进一步挤压了自己的竞争对手然后为了讨论利乐这个忠诚折扣制度是不是实际上就会造成垄断的效果国家工商总局的人还在做出这个处罚决定之前做了很多经济分析和逻辑推理
[00:21:37] 相当于有一个比较详实的准备才最后下这个处罚决定书顺便一提啊忠实折扣也是就是历时多年的另一个案子就是所谓欧盟诉英特尔垄断案的一个核心争论点英特尔案本身是2009年就有过一个判决了但是在2022年初呢还经历了一个反转就是把那个罚金呢又给退回去了这是一个很有意思的案例
[00:22:00] 关于这两个案例我们在这期节目里面就不展开了但是会在show notes里面给大家提供包括像处罚决定书以及一些行业分析之类的更详细的参考资料感兴趣的听众朋友们就可以自取了话说回来就利乐被反垄断法管起来了之后其实国内外的大小的包裁公司都开始竞争市场机会了就我们前面提到的其中就包括跟利乐比较类似的一个跨国的巨头叫SIG当然也包括像权林包装这样的本土的公司
[00:22:30] 从整体来说的话之后乳制品和饮料公司就不再是一个完全和利乐绑定的这样一个状态了甚至一个品牌下面不同口味的产品完全可以是由不同的包装公司来出品的对于这些做饮料的或做牛奶的公司来说这肯定也是件好事你引入了一些新的供应商也可以降低一下自己的风险也可以提高一下自己在整个供应链里面的一个溢价能力
[00:22:53] 现在据说猛牛就是同时用着利乐和你前面提到SIG以及全灵包装三家的包裁的当然全灵这个公司后来是得到了一个比较好的发展因为他们有所谓利乐系的高管然后打利乐也打得很出名然后资深业务也还不错所以后来吸引到了一些投资还变成一家香港上市企业现在叫分美包装如果去查的话会发现分美包装这两年的业绩不是特别好但是还是比较稳定在增长
[00:23:21] 因为他们后来又拓展了很大一块海外业务,
[00:23:47] 法国的路线但是可以想象也耗了很多时间你像前面提到的在欧洲是10年到18年这个过程你在中国的话确实也是赶上了反垄断法的这样一个时代背景所以说比较快的得到了一个有利于他们的结果然后他们的策略也比较得法其实不是很多公司都能耗得起这么长时间的一个重要的法律诉讼的
[00:24:10] 既然利乐已经被作为一个反垄断的典型处罚了那按照我们这个朴素的直觉来说就这个市场的格局应该会开放非常非常多对吧甚至于说那个利乐应该没有太大的领先优势了但是问题来了就是利乐被反垄断法管过之后这个市场好像没有特别大的变化利乐还是这个市场上最领先的一个品牌而且领先优势还是蛮大的为什么呢这个里面就涉及到很多原因我们一点一点来讲
[00:24:39] 首先是为什么全林这个小的创业公司会选在2003年前后去打当时如日中天的利乐其实我们当时介绍的时候漏了一点背景当时中国市场对于像利乐这种无菌饮品包装的需求增长非常快但是利乐自己出了一个什么问题呢就是它的包材供应量不足产量不足了然后许多中小企业呢想用利乐包但是拿不到这个材料然后就导致他们损失很大
[00:25:06] 利乐自己又没有很及时地解决这个问题所以才给了这些小的国内公司一个可乘之机实际上利乐也是从2004年就开始强化在中国本地的包材生产然后一口气投了两个工厂相当于说这个问题不算很难解决纯粹是之前他自己不重视我们都觉得快速增长的市场里面就是你东西不够卖好像是一件非常凡尔赛的事情但其实是
[00:25:31] 对领先的公司来说是个很大的危机如果你没有跟上速度的话有可能你就会出现一些问题对的这是第一点第二点就是前面提到反垄断法反垄断法主要限制还是说利乐把罐装机和包材捆绑销售的这个模式前面我们提到中程折扣这个问题其实不在反垄断法的法条的明确规定里面还是总局去专门分析去确定的一个状态
[00:25:58] 但是对于利乐来说呢这个原本这套方案就是他早期为了快速打开市场所用的一个策略如果说这个企业在耗材上面现在有了一些别的替代方案那他完全可以把这个利润重心回到这个设备上因为这个设备本来价格就比较高嘛像我们前面提到全灵以及最近申请在A股上市另一家国内的包材企业叫新巨峰他们这些国产的替代方案呢都是不做设备的只做包材
[00:26:26] 所以他们用的机器还是用的是利乐的对的他们的目标就是我能进到利乐机器里面顺利的运转起来那么真正在市场上同时做设备和包裁的还是只有两个大的国际公司一个是利乐还有一个是SIG这个就导致了国内的公司在比如说所谓的下一个竞争阶段就是所谓设备阶段依然是很被动的所以对于小的那些包裁公司来说原本可能觉得
[00:26:53] 只要能上利乐的这个罐装机能够正常的生产然后成本上比利乐的那个包材更低一点就算成功了但其实这个思路的话你这个市场的天花板就比较有限了嗯对的第三个就是我们前面在讲到利乐商业模式时候已经提到了他现在突破了所谓包装企业的这个范畴往上游和下游都做了很多事情吧先说下游的部分其实就是利乐会为他的大客户开拓市场提供各种各样的帮助
[00:27:21] 在利乐内部据说有一个专门的市场服务部门能够为各种各样的食品和饮料品牌提供个性化的支持就是帮你研发一些新品另外利乐每年也会出像乳液指数这样的白皮书然后帮助企业了解一些全球的消费趋势技术升级趋势然后帮助厂商可以对未来做一些预判简单来说就是大客户想开发什么新产品或者想知道哪些新概念可能成为未来的消费趋势都可以问利乐这样一个包装的供应商
[00:27:50] 对它有点这里有点像咨询公司了另外呢丽乐也自己会拿着锤子去找钉子去看看市面上还有什么可以用到这种包装技术的地方我前段时间就看到一个稿子说丽乐在拿一种它的保质效果跟罐头接近的包装的产品去接触那些预制菜公司这也是一个很新的市场但是他对这个市场也很重视接下来说所谓上游的部分这个就涉及到丽乐历史上最重要的一次并购了
[00:28:18] 在1991年利乐是收购了全球最大的食品加工和农产品设备提供商之一也是一家瑞典公司叫阿法拉法所以现在的利乐呢实际上是利乐拉法集团的一部分这个利乐的logo里面前面不是说它是个三角形吗其实还有一个阿法拉法的一个字母A阿法拉法这个名字大家如果对着字来念的话确实是有点难度啊反正大家就记住这是一个设备的公司对吧
[00:28:47] 反正这个公司大家应该都不太知道我也是查这个东西才发现有这么一个公司的但他们其实在特种设备领域是很专精的这家公司最擅长做的是三个方向第一叫热传导第二叫离心分离第三叫流体控制然后只要是你的业务在这个三个方向上那它在各种行业的解决方案都可以做小到食品饮料大到石油化工什么都可以做
[00:29:14] 利乐的客户主要就是所谓的乳制品和饮料公司那么其实像生产酸奶和奶油的过程都会涉及到理性分离那饮料会涉及到所谓原料的混合啤酒也会涉及到冷却那么这个阿法拉法公司其实都可以参与到这些生产的环节里面去这个是属于真真实实的隐形冠军了虽然跟利乐的包装没有什么关系但是和利乐的客户都紧密相关
[00:29:41] 等于是一方面能够给整个集团贡献一块收入另一方面也是跟客户更强的绑定了进一步能够拿捏客户了对吧嗯最后呢立了还有一个也是他先发时候就具备优势就是品牌价值
[00:29:55] 一般来说2C的公司会更加重视所谓品牌形象和露出这些问题而2B的公司主要是靠客户口碑来拉生意的或者是在客户圈子里面打广告但是利乐特别重视2C的品牌露出比如说每个利乐包装上一定会找个地方印公司的logo不管大小这个倒是现在各家都做的只不过别的包装的logo有可能没有利乐那么知名了就是你看到也不知道是哪家做的
[00:30:22] 但是可能除了利乐之外不会再有哪家包装公司会直接去做或者说去投那种户外的广告和电视广告这个是一个很有特色的策略而且利乐还围绕这个广告的事情研究出了两种非常有效的投放策略一种是让比如说猛牛和伊利的利乐包产品直接在自己的广告里面出现就是你利乐的广告里面拿着一瓶猛牛的牛奶
[00:30:48] 另外一种就是在客户打广告的时候你紧跟一个利乐的广告比如说你一例在央视打完广告然后接下来马上贴一个利乐的广告这两个思路都是可以说借助比自己影响力更大的2C的品牌和产品来推广一个所谓的2B的品牌但是效果上面是实现了双赢后面一个策略我记得了就是在电视上面看到过想想看的话其实也是一种非常罕见的供应商和品牌之间的这种关系
[00:31:16] 这个其实也是利乐一开始能够愿意去主导新市场然后获得的一个好处因为你是一个引领者就是你才能可能跟客户有这样的关系让他们答应你非常紧密的绑定来这样做一个市场的宣传当然最后的结果就是因为别家都不打广告只有利乐一直在吆喝那么消费者自然记住了就是利乐这家公司
[00:31:36] 据说在利乐打完广告之后竟然会有消费者专门去超市找利乐牌的牛奶这个也说明了所谓业务规模和品牌营销做到一定程度以后像比如说利乐或者邦迪乐高这样的品牌就是有可能所谓品牌级品类它变成一个小的品类来代名词
[00:31:58] 那讲到这边的话我们关于力乐的三部分的内容都讲差不多了要么岳老师给我们简单总结一下吧还要总结啊力乐做的其实是一个非常传统的生意就是所谓干净又安全的食品外包装它的优势是首先它有一些领先于市场的技术比如说复合的材料贯装的技术以及造型设计然后呢它又把这些技术的优势镶嵌在了一整个生产流程里面
[00:32:23] 其次他根据这些优势也选择了最适合自己的商业模式当然这个商业模式并不一定是特别好的或者说大家并不一定是最认可的第三个就是利乐跳了一个非常好的时间点进到了中国市场他陪着他潜在的大客户一起成长形成了非常长期的稳定关系最后利乐自己也花了很多精力去做服务和做品牌所以他即使被竞争对手打掉了一些保护装备也可以让自己始终有一个相对的领先优势
[00:32:50] 在这个之中我其实个人觉得最有意思的地方还是利乐如何利用自己的技术优势最大化了他自己在产业链当中的这样一个地位然后获得了最多的商业回报就是他在做本职工作以外的那些事情其实是和他别的品牌最大的一个不同当然我们说利乐的所谓市场占有率高竞争优势大还是在一个很细分的方向上就是指这种软包装
[00:33:15] 但实际上这两年国内的乳制品其实大多数都回归到所谓传统的新鲜主题上就上了很多低温的产品线然后低温产品线上会大规模使用像塑料瓶 塑料盒这样的方案它不再用利乐包了像饮料市场也是有点类似的因为有很多寒气的饮料出现了他们也经常会用回传统的像金属罐或者玻璃瓶这些包装材料其实都是利乐在更大范围内的竞争对手
[00:33:42] 所以从这个角度上面来说就更加考验利乐的市场趋势或者研究的部门能够要花更多的心思来想想以后需要怎么样的包装了不过利乐这个公司的成功还是告诉我们如果一个企业有很好的市场洞察和技术能力并且能围绕这两点不断优化自己的商业模式那么即使是一个非常细分的品类也可以长出庞然大物商业就是这样
[00:34:13] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
