Vol.211 没有利息，怎么搞金融？
[00:19:41] 在讲个人存款的时候我们不是提到有一种变通方案就是说银行可以把那个储蓄协议变成一种投资协议吗对对对那在企业贷款里面呢其实也有种解决方案是类似的这个阿拉伯语叫穆沙拉卡中文可以叫做股本参与什么意思我们举个例子你申请贷款贷款一般来说有个贷款目的对吧你的贷款目的是为了我拿这些钱去开一个新店OK银行接受你的申请
[00:20:08] 那么接下来银行和你都是这个店的股东占股比例是按照各自出资的这个比例来划分的经营的过程当中呢银行跟你每年会按照这个占股的比例或者说事先再约定好一些别的比例来分这个利润那如果说亏损也是分摊亏损你可以选择跟银行一直合伙做下去你也可以选择你赚了这些钱以后去逐步回购银行的手里的股票所以这个风险共担利润共享的意思就是
[00:20:33] 得让银行进来做你这个公司的股东了对那这个跟一般的银行贷款差别还是很大的是传统金融里面如果是企业贷款比例比较大的话那银行确实可能对一些业务有一定的话语权甚至就比如说像你说的就是债转股啊等等的这种方式但是还是比较少的吧这个跟贷款还是两回事情对就不会大到像股东这样的影响力
[00:20:53] 还有种方案阿拉伯语里面叫做木达拉巴这个事情里面资方在经营权上面介入会小一点它很像是我们现代金融里面风险投资基金的结构一边是出资方主要提供资金就相当于基金的LP有限合伙人另外一方面是运营方它主要提供一些专业知识把资金投入到双方都认可的一些领域里面就相当于基金的GP普通合伙人
[00:21:19] 那双方呢是按照事先约定的比例就是在投资过程中比如说产生了利润我们就分享但是如果出现亏损的话也是跟基金很像就是资方来独立承担这个问题那这个确实有很多的银行在我们的这个理解当中确实就是LP的这个角色有点像这个比较好理解我觉得那在这种情况下呢其实一般来说是由金融机构比如说伊斯兰银行而不是企业来当运营方
[00:21:44] 他把钱收集起来我去做投资那这个跟我们前面的理解也不一样了就是我还以为你说的银行当ARP呢对他这里是主要是当GP那他的出资方呢就是比如说是一些更大的金融机构或者是一些有钱的阿拉伯富商也可能是他把一些单纯的个人存款就聚集在一起然后他去投资我懂你意思他其实很像是基金啊就是分别对应了母基金这个私募和公募对吧对就是这个意思但他的其实目的还是为了就是要遵循他那个原则嘛
[00:22:12] 对吧就是那个风险共担利润共享这个原则不然的话就其实就是所谓的有限责任就是他如果只是贷款的话那这个风险就跟他这个原则有可能有点不太匹配对他其实就是在风险这个部分在做一些细分的话有的这个银行比如说如果你纯粹作为一个债权人的话你把钱贷给他就是在他们这个理念里面有可能不太属于是风险共担对是不是这个意思是这个意思那其实我们前面说这三种融资方案基本上还都是比如说企业像金融机构比如说银行来融资的
[00:22:41] 对企业来说其实还有一种很主流的融资渠道就是像公众融资发股票发债其实我们可以讲讲债券的部分因为伊斯兰金融也有自己的债券方案叫Skook传统金融模式里面我们简单介绍一下这个过程企业发债你买债那么你就是企业的债主对企业要定期向你支付一部分债务并且按照这个债券的票面约定来给你支付利息这个就是传统债券的逻辑对吧
[00:23:07] 伊斯兰债券Sukuk跟传统债券的差异主要是两点首先Sukuk一般都会有实体的资产作为核心标点我们这里举一个例子比如说阿联酋航空去发行Sukuk它的目的是为了从波音公司那里买30架飞机
[00:23:24] 其次Sucuk在卖出去那一刻债券的买方比如说你买了这个债券你就会立即按比例获得这些实体资产的一部分所有权债券的发行方会按照合约逐步向你买回这些所有权如果你存从一个债券的购买方来说好像跟平时没有什么区别但实际上它当中权益的关系是不太一样的跟一般的债券对你可以想象我们刚才这个例子比如说
[00:23:51] 阿联销航空这个Sococo的核心资产不是30架飞机吗比如说我们把这个Sococo本身拆300份来卖对你买了其中的一份我就马上拥有了十分之一架飞机的所有权对然后接下来他付我钱实际上是在我买回这十分之一的飞机对那相比于普通债券Sococo还有一个灵活的地方就是他在偿债的部分这个思路是非常多样的
[00:24:13] 在实际场景当中俗库一般是跟我们前面说的几种融资方案是结合起来的就是融资租赁那种有点像比如说我们最常见这种租赁型的俗库就是我们前面说的那个以加拉和俗库的结合以加拉有的朋友再重新讲一遍这个例子就比如说这种情况下阿联酋航空付钱是为了向你租这十分之一架飞机不是买了就像前面说你租期到了以后你可以买断你手上的飞机所有权就转回给阿联酋航空了
[00:24:42] 同样比较普遍的是苏库和那个成本加利润那个穆拉巴哈所结合那这种情况下呢阿联信航空定期付给你钱呢会高于这十分之一架飞机的成本价那给你点利润空间嘛阿联信航空也可以发行穆沙拉卡和苏库的结合的债券这件事确实是比较热但是大家把这些名字先往往一遍只讲方案我们还是举例子嘛就是相当于在这种模式下他自己也要出钱跟出资方共同拥有这30架飞机的所有权
[00:25:10] 那假设阿联酋航空是在这个整个的资金里面出资50%那它相当于就是拥有30架飞机的一半就15架飞机的所有权那苏库克是把剩下的50%资金筹来了那这苏库克还是分成300份来卖你还是买了其中一份但是这是拥有的是二十分之一的这个飞机的所有权对你可以选择飞机上的一块就比如飞机翅膀哪一块写你名字上面有块名牌是吗签一个名是吗
[00:25:39] 但我理解就是虽然就是刚刚叶老师讲的就是好像听上去非常的绕但其实就是把刚才谈的几种我们前面讲的几个方案结合在一起就是你也可以全部的类似于像融资租赁的这样租也可以就是最后把这个所有权来买断下来也可以一半一半这个部分比较灵活后面这个资金就比如说他还给你的这个资金是怎么来的比如说这阿联酋航空买了这30架飞机他很快就开始
[00:26:03] 赚钱了那常债资金其实就是他每天飞来飞去给你赚回来这些收入他就很实在对吧就一定要落在一个实在的有一个东西可以一直赚钱或有一个具体的一个资产对OK实际上就是这个目的他就需要在这个合同或者这个协议当中就把这一切的这个权益都落实到这个具体的资产上面这样也可以规避掉前面说的不确定性还有就是风险那个部分是的那其实在伊斯兰金融领域呢索库克因为他这个前面这个部分的灵活性其实是一个发展非常充分的分支
[00:26:32] 也可以说是伊斯兰世界大型企业的一个融资主流手段有非常多的变体今天时间有限我们就不一一介绍了这个看得出来就是一旦你定好了那个具体的边界之后创新就很多创新就可以在规范上面就可以出现了就是你只有先做好封控或者做好具体的合规的要求然后接下来就可以做很多在这个要求下就有个创新前面讲这个Sukuk我觉得就是一个最明确的一个例子
[00:26:55] 简单小结一下就是我们前面是介绍了很多伊斯兰金融摸索出来的现代的解决方案吧讲了很多阿拉伯的这个名字如果你记不清楚那些的话整体一个核心的要点就是他借鉴了很多经典的金融产品然后在此基础之上呢想办法能够遵从这个教育的限制同时呢又把这个事情能够做下去比如说一些主要的方法一个就是用利润替代利息另外一个的话就是强化这个合伙和投资的概念
[00:27:26] OK前面几个部分呢我们基本上是在介绍如何在伊斯兰语境下面搞金融这件事情虽然有些这个阿拉伯语的这个词会有可能对大多数的听友来说听起来会有点绕啊但是我觉得里面具体的例子大家如果听下去的话我觉得还是蛮有意思的紧紧的记住阿联酋航空这个例子对对就把这个飞机这件事情搞清楚我觉得就是已经懂了很多了啊那接下来一个问题我们就要再往前一步了就既然方案有的话那我就是要请教一下袁老师那这个方案具体性在实践上面
[00:27:54] 伊斯兰金融发展的到底怎么样我们先说它的整体市场规模根据标普国际今年出的一个报告2024年全球的伊斯兰金融市场总规模大概是3.6万亿美元这个数字是什么概念呢它大致相当于2024年英伟达股价最高点时候对应的英伟达市值绝对实际上看出来是很多但是在一个金融市场里面其实在整个全球的市场的盘子里面属于是相对比较小的一个部分其实是非常小的我怀疑大概是个位数比例的一个小的市场
[00:28:23] 那具体到各类资产上面呢银行资产可以占到伊斯兰金融市场的60%大概是21500亿美元而伊斯兰债券就是Sucuk的那个总规模是在去年首次超过了1万亿美元那剩下的部分就是保险和基金而在具体的地域分布上面伊斯兰金融的发展显然会和信教人口的聚集程度相关也就是部分国家如果我们看2024年各个国家Sucuk的发行规模
[00:28:50] 排在第一位的是沙特阿拉伯阿联酋是第三位那还有一些中东国家比如说卡塔尔阿曼巴林和科威特也都会发行一些苏克你好像漏掉了第二位第二位不是中东的国家吗对第二位是马来西亚对也很合理对其实现在有大概60%的马来西亚人是信奉伊斯兰教的同样信奉伊斯兰教为主的印尼这两年巴苏克这个规模也有明显的增长
[00:29:15] 除了国家层面还有一些定位为比如说国际金融中心或者区域金融中心的一些城市还有一种可能就是它已经吸纳了大量穆斯林就业人口的城市也可能对穆斯林金融是比较感兴趣的比如说呢在亚洲范围内香港和新加坡是比较典型的例子香港是属于你前面讲的第一种然后新加坡是属于两种兼有
[00:29:35] 对我们可以先讲新加坡新加坡就是因为它夹在马来西亚和印尼当中就其实它一个是穆斯林人口多另外一个就是它本来就是一个金融中心对所以说它也会做一些伊斯兰金融业务香港的话是自己努力来它其实在2009年就想发展这一块到2014年的9月份呢香港政府实际上是发行过10亿美元的伊斯兰债券这个也是全球首支有3A评级的政府机构推出的美元伊斯兰债券
[00:30:01] 这个也很符合一个金融中心的这样一个定位就是你开门做生意我都要做一做
[00:30:07] 那在欧洲市场伦敦其实是一个很典型的例子伦敦既是传统的金融中心近年来又增加了不少穆斯林常住人口而且他还对伊斯兰金融很感兴趣但是在整个西方社会很多情况下伊斯兰金融的服务不是由那种专门的比如说这个银行就是伊斯兰银行这些品牌来提供的而是一个本来就是一个当地的一个大银行下面有个部门对就是这种情况就是综合金融机构里面一个独立的部门
[00:30:35] 渣打银行它就有一个伊斯兰银行业务它这个业务就覆盖全球70多个国家OK讲到这个组织架构其实我有个比较好奇就是在这一类业务在一个大银行的体系里面它需不需要和其他的部门的业务有防火墙的隔离不然跟别的有些流通的话那岂不是都不符合交易了吗这个我不是说完全肯定但是比如说像渣打银行这个案例里面它这个伊斯兰银行业务最后可以归到它的马来西亚的份号
[00:31:03] 相当于是他的马来西亚分行在全球各地一起去开业务但是他共用这个渣打的牌子OK那有可能就是像我们猜测的那种情况他实际上还是要做一些肯定要做一些隔离否则就不是很对
[00:31:17] 最后说一下中国内地的情况伊斯兰金融主要是在两个阶段有一些试点性的项目第一个阶段是在1984年到87年它主要是出现在甘肃省的林下回族自治州林是林时的林为了发展民族经济当时在林下的民间出现了一些便民银行和名叫信贷部的一些民间金融机构这个引发了一些金融学者的好奇和关注
[00:31:41] 到了1987年他们又设立了经过中国人民银行批准和参股的一家公司叫做河州穆斯林融资公司这个也是全国第一批民营股份制银行很厉害很早当时的融资公司是基于教育自己摸索出了一些比如说没有利息但是有报酬的存贷款模式
[00:32:01] 这个很受当地居民的欢迎所以说在市营业的第一个月里面他就筹集了股金104万吸收了66万的存款并且发放了198万元的贷款那很厉害1987年而且是在一个其实比较小的地方对第二个阶段是在2010年前后这个部分的事件主要是集中在宁夏回族自治区以类似个人金融是由宁夏银行在2009年底试点开设了伊斯兰金融事业部以及伊斯兰金融服务窗口
[00:32:30] 不过这个试点的规模比较小就截止到2012年年中累计开立的保管账户只有1011户账户的余额总规模是5300万元这个试点持续三年就结束了另外一类是债券在2014年底宁夏回族自治区政府是和一家叫做中行证券的券商签署了财务顾问协议他们是希望发行不超过15亿美元的五年期伊斯兰债券
[00:32:55] 不过因为我没有查到后续具体的这个债券的募集说明书以及具体的财务数据所以我理解呢这笔债券可能是没发成OK所以在内地的情况主要还是以一些小范围的或者时间比较短的一些试点为主是的
[00:33:11] 介绍完这个伊斯兰金融在全球实际运营的大概的情况之后我觉得最后约老师我们可以来做一个简单的比较就是相比于传统的现代金融产品目前这些伊斯兰金融产品到底有什么优势和劣势虽然说它的这个市场规模不大性质条件也很多但是我觉得伊斯兰金融产品肯定还是有一些优势特点的这个大致可以总结四条吧第一条就是金融普惠
[00:33:37] 因为宗教在内的各种原因我们说阿拉伯地区它的金融市场其实一直不是很发达这个有可能是跟大家认知不是太一样的
[00:33:46] 这里有一份联合国的报告就是2021年整个阿拉伯地区有多达64%的成年人是没有转账账户的这转账账户既包括就正规的银行之间那个转账账户也包括就是微信支付宝什么paypal之类的这数字账户也包括在内64%成年是没有这些东西的这个比例其实是要远远高于全球24%的这个平均水准的
[00:34:11] 那这个渗透率很低对就没有账户是什么意思呢就是说比如说你要交公用事业费你要去银行门口排队付现钱没法通过什么银行转账或者直接扣款是没有这个办法的更不用说你去享受什么个人贷款贷款那不可能了钱都没法打给你嘛那我觉得至少这些伊斯兰金融产品在这个层面推出的话可以提高一些正规金融服务的渗透率这是最基本的对那从这一点其实引申出第二个优势就是
[00:34:38] 它可以将一些有风险的民间借贷正规化
[00:34:41] 过去穆斯林是很难找到就是完全符合教义的金融产品的这会导致什么就是大量的资金是陈列在民间然后流入到一些非正规的借贷体系里面的教义对于说信徒是有道德约束那在信用层面的影响力很大但是从法律的视角来说呢民间借贷肯定是有很多不规范的地方的比如说像穆斯林之间的借款他不一定签书面协议口头就可以了比如说你逾期了你也不能强制追偿
[00:35:09] 等等的这次学习了零下当地的一种习俗叫做转债这个转债什么意思就是说比如说我没有办法还债了我可以把债务转给一个愿意帮我背债的亲戚亲戚来帮我这个确实比较像有的地区的这个民间借贷一样的就因为它是建立在我们说宗族啊人情社会啊或者血缘啊包括就是族群等等这些基础之上的所以说会有这种传统就比较好理解了
