Vol.91 星野集团启示录：从家族旅馆到酒店行家
[00:04:35] 家族的第五代继承人辛野家禄是从美国学成归来了中间还跳了几弹幕啊这个主人公终于要登场了没错这个辛野家禄呢他一直是按照家族继承人这个身份来培养的所以呢他在美国念的是康奈尔大学的酒店管理的专业从小呢他的父母就跟他说要多见见国外的世面所以辛野家禄的做事风格是很美式的据说在康奈尔读书的时候还是一名很不错的冰球运动员
[00:05:02] 打冰球这个确实是非常美式的跟这个传统的温泉旅馆感觉很不搭呀所以可想而知啊他1987年回到清井泽的时候刚开始在家族生意里面做事肯定会有很多矛盾和不习惯的地方新野家路自己说他刚回去的时候干劲十足啊就觉得哪都需要改革结果是半年之后他就被父亲赶出家门了这么刺激的吗对当时的主要矛盾焦点就是新野家路发现温泉里面管事的大多都是家族的成员嘛
[00:05:31] 但是这些家族成员经常公私不分然后人浮于事所以他就想从自家人入手开刀然后要改革然后父亲就说你这样操之过急了两个人就吵吵吵话不投机然后父亲就说你滚出去后来新野家路在自己的回忆录里面也说他的职业生涯其实一直在挑战父亲父亲也一直在驾驶他这个继承人所以这两个人只要还在新野一起工作的话就很难恢复到正常的父子关系里
[00:05:58] 对其实也是日本的这种家族企业常有的情况了但是毕竟是大户人家的公子嘛就你被赶出去了也不至于真的没饭吃然后仙野家路就惊人介绍去了一家美资的银行里又工作了四年主要做的其实还是和酒店相关的就是度假村的一些投资啊重组啊这些工作这段经历呢很重要我们之后还会提到然后就这样过了四年之后到了1991年他的家族又把他召唤回去了
[00:06:25] 怎么又叫他回去了是不是又允许他改革了呢对的那这个里面就有个时代背景就是当时日本的酒店业业和旅游业已经开始不景气了你想1987年新野家路刚回来的时候还是泡沫经济时期日本的旅游业地产业都是高速发展的这两个产业结合在一起你就可以想象酒店投资有多么的热但是到了1991年的时候这个泡沫是逐渐破灭了
[00:06:49] 同时呢新野温泉自己这个旅馆也是因为设施啊包括管理的老化生意其实在走下坡路的那这个时候就真的需要一些新鲜的血液了没错就在1991年新野加入是正式的接手了新野温泉旅馆的这个生意然后马上就开始了延期四年的大刀阔斧的改革其中第一条就是前面说的要把工和私分开来家族企业的公私不分呢其实有这么几个弊病一个是账目不清
[00:07:18] 比如说当时新野家族就有人会用温泉旅馆占到的利润去买高档的轿车自己开新野家路还吐槽说自家人开的是高档汽车但是接送客人的还是破旧的巴士第二个问题就是非家族的员工就会没有积极性因为反正我也不可能升职当管理层的我永远都是给你们家族打工的所以在温泉旅馆里边最重要的服务水平也不是很理想那么新野家路就把家族成员逐渐都请出董事会
[00:07:46] 取消他们的撤权那其中有一个改革是很重要的就是把家族成员的居住的土地逐步的收归公司这样就为日后新野温泉一个很大的改造项目提供了空间虽然说是改革但是动的既得利益是不是也太多了这个到底能不能推行下去确实是难度很大尤其是土地这件事情以可想而知它前后是花了总共12年的时间才把新野家族就是分散的各个家族成员的这些土地都收归公司的
[00:08:16] 而这个其中呢新野家路首先要拿自己开刀他自己先搬出了原来住的祖宅在外面贷款买房子起一个带头作用嘛这系列改革里面还可以看到有一个标志性的事件就是他把公司的名字从新野温泉改为了新野集团更像是一个公司而不是一个家族了对这个就是他其实改革的一个核心目的嘛那在消除这些顽疾之后呢新野家路就开始招募更多的人才
[00:08:44] 据说他每年招新的时候会先请新人来新野温泉住几天体验一下好山好水好森林然后吸引他们留下来并且告诉他们你们在这里是有很高的一个成长的空间的就是他是要把这些员工培养成所谓的经营度假酒店的达人出现了日本人最喜欢的达人没错没错那同时呢他相应的就要改革一些管理的方式其中我觉得有一点比较重要就是他开始搞扁平化的管理
[00:09:13] 具体而言在横向就是它会打破温泉旅馆内部部门之间的一些隔阂比如说过去客房部是不会对餐饮部提什么意见的也不可能对这些厨师来提那些要求但现在不是了大家都可以就运营当中的一些细节来提问题那么纵向的也是的过去有很多的等级然后等级之间也很森严这些取消了非常多一个典型的怎么说呢一个小案例就是
[00:09:40] 新野集团他们拍集体照的时候是不讲究谁站在中间的大家就随便站着就开始拍了上世纪90年代就在日本搞扁平化管理这个是非常前卫啊对真的很前卫当然了就是当时一个温泉旅馆嘛就是员工总数也不会很多所以相对是可操作一点的
[00:09:58] 但是另一个方面这个扁平化确实很有价值因为酒店业是一个非常需要一线员工来发挥主观能动性的一个行业他们是直接接触顾客的嘛顾客的体验他们最清楚所以往往能提出很多有用的建议比如说有的顾客就会反馈说你们这个旅馆明明是这个内陆的高原上面的怎么这个餐食都是自身啊海里的没有一点本地的食材吗然后后厨就会跟新野家录解释说我们也不知道有什么本地的食材怎么解决这个问题呢
[00:10:27] 是一个清扫部的阿姨说她知道在本地哪里有卖很好的蔬菜和蘑菇啊等等的后来呢这个本地的食材就成为了新野这个旗下的一些酒店一个很大的特色而且我们看到新野集团内部不仅是让员工可以跨部门提意见它甚至可以让员工直接跨部门流动是那种从客房部到餐饮部从前台到后勤那种调度
[00:10:51] 这样的好处就是员工可以自如地应对各种各样的情况他对整个旅馆的经营也更加了解对关于新野家路和员工之间的这种平等的关系我们还有一个最近的案例可以提一下就是节目开头提到的那篇说公司倒闭概率的那个博客其实那个博客就是新野家路自己写的未来一小时的主编赵辉就问过他为什么要写这个倒闭概率这种文章他说疫情之下我们的客人少了九成
[00:11:18] 你这个老板不说难道员工就不知道生意不好了吗而且肯定会私下讨论的那还不如我直接就把公司实际的经营情况明明白白地算给大家看这样的话大家都比较清楚这个作风真的很美式很像硅谷的创业公司对的而且他这么做还是蛮有媒体嗅觉的因为这篇blog出来之后还被日本的媒体广泛地报道他还持续地更新这个倒闭的概率所以我们看到在初期新业加入的改革主要是集中在组织和人事上的
[00:11:47] 通过这种方式他逐渐把整个公司从一个等级森严的传统的家族生意变成了一个比较超前的扁平化的所谓创业团队那新野温泉本身的经营状况就有了很大的改善也有了一些小的名气到21世纪初新野集团就遇到了一个发展的新契机
[00:12:07] 具体这个契机就是在2001年的时候新野家路他得到了一个委托说能不能请他去接管运营一个山梨县的濒临倒闭的一个度假村当时的背景就是日本有好多泡沫时期建的那种大型的度假村生意都凋敝维持不下去了新野家路其实对这个现象一直是很警惕的他在接手家族生意的时候就说日本人的假期总时长并没有增长所以盲目的新开酒店是很危险的
[00:12:36] 不过犹豫再三呢他还是答应去试一试没想到这个改造拯救的效果非常好然后新野这个公司就开始接二连三的接手一些低股融的度假村了所以他接手了以后都做了点什么呢这里呢我们先不介绍山里县的这个例子而是来说另一个很著名的度假村的改造就是位于北海道的头麻木度假村这个例子呢更有名也更典型一些这个度假村呢它位于北海道一个滑雪圣地嘛
[00:13:03] 每年的雪季都是滑雪客非常非常多但是2004年的时候新野去接手的时候它已经是濒临破产了道理也很简单就是泡沫破裂就有钱来滑雪度假的人就减少了而且这种滑雪的度假村还有个问题就是雪季过后它的生意更差了没有雪的时候大家都不会去来但是这个人工设备的成本都还要承担所以这个亏损就扩大了
[00:13:28] 我们看到一些回忆说当时的头麻木的员工听说有新的运营团队过来都很担心自己是不是要被裁员了因为改变现状最简单的方法之一就是节流对的但是新业的思路是反过来的就是它要开源既然雪季以外的时间没有吸引力那就想办法找一个吸引力了这里面就要引入新业集团一个很著名的概念叫魅力会议就是酒店的员工和大家一起开会讨论我们这个度假设施还有周边的环境
[00:13:57] 有什么能够吸引游客的魅力点然后呢托马姆就想出了两个方向第一个就是他们不去分析说为什么客流流失了而去分析说现在还来的那些游客他们到底喜欢我们这个度假村什么地方然后经过一番调研之后就发现啊现在还来的那些游客呢有很多都是年轻的亲子游客带着小朋友那种这个思路其实我们现在很多中国酒店也能理解亲子其实是度假的一大主力
[00:14:26] 但是在当时的北海道去滑雪的可能还是更多
[00:14:55] 但是呢旁边搞一个小朋友的托管区叫儿童活动俱乐部这个头麻木项目的负责人向内学接受我们采访的时候就说他说亲子的度假村一定要给父母放松的时间同时要设立一个儿童的放电专区这个洞察的话我觉得年轻的父母肯定是很有共鸣的对所以后来啊新也把旗下的家庭度假村统一改成了一个新的品牌叫Lizonale
[00:15:20] 然后这个儿童活动俱乐部啊就成为了李泽纳列这个品牌里面的一个标志性的设施这个呢就是他们改革的第一个方向就是深度的挖掘既有的这个顾客那第二个方向呢就是要寻找除了雪以外的魅力点因为毕竟你要解决夏天这个问题啊他们想了半天呢就有一位叫伊腾修的当地员工提出了一个想法这位伊腾修啊他是负责维修这个雪场的缆车所到的
[00:15:47] 所以他经常要很早就跑到山顶上面去工作然后他就说其实早晨在山上是可以看到非常壮丽的云海消费者肯定很喜欢不如我们就在那边搞一个观景台然后这个点子就广受好评好几十个同事一致通过所以这边后来就变成了头麻木度假村的一个标志性的景点他们在这个山顶上建了咖啡馆建了专门拍照的设施还在平台上面开过瑜伽课
[00:16:14] 到了2018年云海特雷萨这样一个景点就已经接待了100万人次的游客照片书里面都有大家自己去看真的是很漂亮说到这里我有个感觉就是所谓的魅力会议本质上还是在调动所谓一线员工的创造力你像云海伊藤修这个人自己都看了十多年了他都没把这个点子提出来但是在新一年来了以后他就提出来了这个其实还是组织和经营的能力没错
[00:16:43] 这种充分信任和发挥本地员工的这个习惯啊新野其实也会带到海外他现在在巴厘岛和台中都有那个度假的酒店嘛新野就会有意识的主要聘用当地人并且让他们深度的参与到前期的策划和设计当中因为他们可以提供很多只有本地人知道的信息比如说爬到这个地方能看到最好的风景啊这种点这种信息对度假来说其实是很有价值的
[00:17:09] 那随着连续接手几个濒临破产的度假村效果都很好之后呢新野家路还有它这个新野集团在行业里的名声就逐渐响了起来2006年就NHK推出了一个很有名的纪录片节目叫Professional Shikodono Ryugi中文就叫行家本色就是每期跟拍一个各行各业的专业人士这个节目的第一期就是新野家路除了输出运营能力之外呢新野集团在2005年的时候还做了一个自己的酒店项目
[00:17:38] 是奠定了行业里面的一个标杆的地位吧就是红西诺亚清井泽它呢其实就是在前面那个近百年历史的新野温泉旅馆的原址上重新建了一个全新的度假酒店取名叫红西诺亚那中文呢就是翻译成红西诺亚后来这个品牌也成为了新野旗下最高端最有名的一个品牌这个红西诺亚就是你去看那种报道都说它最大的特色是什么呢就是所谓的非日常感
[00:18:05] 它会用很多的设计和服务让你沉浸在一个非常放松的度假的状态里边它有些体验真的很有名比如说京都南山的一家红西诺亚就是你一定要划船走水路才能进入到这个酒店里对就是这种氛围感然后你去看很多的那个顾客的评价都是说它的建筑景观和自然融为一体等等的这些都是顾客角度的
[00:18:29] 那么从商业上来看呢红西诺亚其实现在已经开了八家了然后每家的价格都很高但是呢入住率却又都很不错效果上面来说也是经营效果很好的那怎么做到就是所谓又好又叫座呢就感觉就需要点方法论了对这里呢我们简单的举一个我自己印象比较深的点啊就是新野对合作方的一个放权或者说信任
[00:18:53] 因为这些红西诺亚的项目并不都是这个新野自己来设计的都是找外面的设计师一般会有一个景观设计的团队还有一个建筑设计的团队传统来讲这些团队都是乙方就是甲方有了一个比较明确的brief之后你就去着手来执行命题作文但是新野的合作方告诉我们他们这个合作方是不是的他们基本上是从头开始和新野来共创一个红西诺亚的什么叫共创啊
[00:19:21] 比如说这个洪熙诺雅清景泽它前后大概花了十年的时间才完成那么很多的时间都是花在前期的勘探和策划上面设计师呢他是从酒店的选址刚开始这个时候就会一起参与进来你像洪熙诺雅清景泽的景观设计师他叫长谷川浩吉他就说新野家路本人当时是经常和他们一起通宵来熬这个方案出来的而且设计师经常要做很多很细的工作
[00:19:50] 比如说在冲绳的红西诺亚他们就要设计一个农田嘛然后他们就要去翻看当地的植物图鉴看看适合种什么样的作物在这个地方才比较好反正就是会花很多时间在这种很细的事情上面
[00:20:03] 当然了就是投入这么多时间的成本也是有原因的因为红西诺亚的这个定位是一个非常高端的然后精品的这个度假酒店嘛所以他们希望维持这种稀缺性而且他们要追求的是一个长期的收益所以你只要前期的这个投入最后能够支撑这个比较高昂的酒店的定价消费者愿意买单那就可以了当然了设计一般来说只是酒店的一部分要成功还有很多很多细节
[00:20:27] 我这里看到新也提出过一个很不一样的思路就是他们会强调所谓很强调又很不强调顾客的体验这个到底是什么意思啊对这个我们觉得蛮有意思的就是一方面啊他们会特别说你这个酒店要考虑顾客的体验心情比如说啊他们开在东京市区的那个红西诺亚东京就会在进门换鞋之后啊就是设计一个长长的玄关
[00:20:53] 它的目的就是让顾客能够从大都市的这个喧嚣里边转换心情实际上很多新鲜酒店都会强调这个酒店的硬件软件要有这个故事性比如说你刚进大堂的时候不要给顾客太多的惊喜让他先放松下来然后check in之后一步步走向房间让他的这个情绪逐渐上升到进入房间的那一刻达到高潮这个空间设计有点像在写剧本了对
[00:21:17] 然后另外一个就是强调用户体验的部分呢就是新野是比较早的开发了线上用户反馈系统的一个酒店集团就所有员工啊都可以在上面查看然后如果指名到你的话你还要回复而且你知道就是日本人其实是那种比较喜欢认真点评的顾客所以这些反馈对酒店的运营还是有帮助的那么所谓的不强调用户体验是什么概念呢就是说不能什么都听顾客的比如说还是在前面那个红星的东京啊
[00:21:46] 就有用户提议说你们能不能搞一个发型的沙龙因为我这个需求还蛮多的感觉在酒店里搞沙龙还蛮合适如果是海底捞的话说不定会听这个建议但是新野就说完全没有必要理睬这一建议因为这不是我们这个酒店要提供的服务说到这里还有一个相关的点就是新野内部不是强调平等吗其实这个平等也包括员工和顾客之间的互动的平等
[00:22:10] 就是新野要求的不是那种低眉顺眼的然后把消费者当上帝的那种服务态度他们说员工应该是把消费者当做来我家做客的客人的那种用心招待的感觉那自然也不会就是说百依百顺什么都答应你说实话日本人招待客人其实已经够客气了我们家招待客人才不会这么体贴了没错那关于红西诺亚这个品牌呢我觉得还有个点值得一提
[00:22:36] 就是我们前面不是一直说新野家路改革改革好像他把家族过去的东西都抛掉了吗其实不是的在红星洞青井泽这个项目里面我们就能看到他其实继承了很多之前家族的一些遗产比如说这个酒店是继续使用并且优化了上世纪初建的水利系统然后他们仍然把森林的观鸟作为一个重要的酒店的体验教堂婚礼也是一个很重要的业务所以客观的说新野家路的改革是很彻底的
[00:23:04] 但是他能这么改的一个基础还是新野这个家族在清锦泽长期的积累有了很丰富的资源
[00:23:13] 那在红西诺亚这个品牌获得成功之后呢新野的发展就进入了快车岛它开始推出一些针对不同客群的子品牌除了刚才讲到的那个家庭度假村定位的Lizona还有一个专门改造传统温泉旅馆的品牌叫G就是世界的G还有专门做城市度假的品牌叫OMO还有一个青年旅馆形式的叫BEB那等于是它要覆盖各种各样的度假场景了对的
[00:23:40] 这个过程里面有一个点还蛮有趣的我觉得可以分享就是新野他们开这些酒店的时候不是盯着酒店本身而是很强调和周围的街区融合在一起很注重和当地人的一些互动那是不是所谓那种在地文化什么社区营造之类的有一点这种感觉这里我们举一个温泉旅馆的例子会比较典型就是在山口县的长门市那边有一个交通不便老气横秋的温泉街
[00:24:09] 然后在2014年的时候当地的温泉旅馆都开始倒闭了当地市政府就想我们要不要请新野过来开一家温泉旅馆借然后新野加入就到了那边勘探了一番就说我在这边开一家旅馆的话肯定没戏因为周围的氛围太差了要开的话你要么就让我把整个温泉街一起改造一下然后那个长门市长就说好呀好呀这个市长我直沟钓鱼竟然有鱼上钩了对本来的目的就是这个说不定
[00:24:36] 然后他们就开始改造温泉街负责这个项目的企划部经理叫石景芳明他就想了一个思路既然是温泉街大家肯定是要逛的所以我们要把温泉街的公共的空间这个路广场要搞搞好但是最适合逛的一条河边的路还有广场当中有很多的建筑阻碍比如说有个停车场还有一个公共的温泉叫礼汤就是礼仪的礼这个温泉正好挡在漫步的路当中
[00:25:04] 辛野就想把这两个地方都搬走这个停车场搬走还好办呢他把它挪到旁边去了但是这个礼汤的搬迁就遭到了当地居民的强烈反对因为他们说这个温泉是在神社旁边的是传说中神社里供奉的神明造的是神圣的水不能动的这是一个非常典型的本地商业改造时候会经常遇到的麻烦对据说辛野家路本人还自己两次去和当地的居民开会然后还是抵抗的情绪非常大
[00:25:34] 后来是怎么办的呢是当地600多年历史的一个大宁寺这个寺庙的住持出来说话了出现了就是遇到这种麻烦的时候一定会出现一位得高望处的人物对那这位住持呢他就说这个礼堂搬迁之后规划的那个地址其实离神社还是很近的呀而且现在这个礼堂的位置也不知道是不是当初自找那个位置了历史上可能早就搬过了大家不用太纠结然后住持都这么说了当地居民就逐渐接受了
[00:26:03] 这个我们就不知道了但是最后这个效果你就看得出来他通过和当地的互动把这个问题给解决了嘛
[00:26:13] 那除了温泉以外呢在后来新也推出的这个城市度假品牌OMO的时候他们就把这个和本地街区的互动发挥到了极致像这个OMO酒店啊你要说设施和价格其实和很多城市的酒店差不了太多的但是他的员工啊会自己徒步在开店之前去勘探周围的一些店铺啊小的景点然后形成几条独有的这个城市散步的路线然后带你去玩这一点呢就变成他这个酒店一个招牌
[00:26:40] 然后因为前期的充分沟通所以说那些被选为小景点的这些店铺那些店主都会跟游客聊得非常深入这个体验也很好听上去好像就是之前Airbnb也搞过那些事情等于说把本地的风情作为一个差异化的点去强调没错就强调这个词我觉得很重要因为新野做事给我的思路就一贯就是他们去强化优点牢牢抓住已有的目标的客群而不是想着怎么去扩大覆盖面像之前我们说的那个亲子度假村其实也是这个逻辑
[00:27:12] 那说到这里我其实就有一个疑问了就是我们节目经常讨论的钱的问题星野家族虽然本身应该是很有钱吧但是开了二三十年的这么多的酒店发展也蛮快的那个钱到底是从哪里来的这个呢就要涉及到星野集团一个核心的商业模式就是轻资产的这个酒店运营模式其实很好理解就是不自己花钱买地建房子但是呢酒店是由我的人来运营的然后我就出当中的运营费
[00:27:40] 一般而言新野集团会收取销售额的3%作为一个保底的收入然后还会收取利润的20%作为一个提成这个倒也是全球很多跨国酒店管理集团这个模式因为如果全靠自己投资的话扩张速度肯定就很慢了风险也很大当然也发挥不出你在酒店运营上面的长处没错所以其实现在新野集团的品牌大多数的酒店的物业所有者都不是新野集团自己
[00:28:07] 那如果不是他们自己花钱造这个酒店那钱到底谁出呢其实我们在中国看到比较多的方式是那种一家大公司他出钱买地了然后和酒店品牌来合作嘛所以酒店的名字都会叫某某希尔顿某某万豪这种的但是新野在日本采取的方式是成立一个不动产的信托基金然后通过金融市场来筹集资金的做信托基金这听上去就是新野加入很熟悉的领域了
[00:28:35] 这个我可以给大家介绍一下具体来说呢就是新野先成立一个所谓资产管理公司然后呢他可以去比如说东京证券交易所上面去发行一个所谓的房地产投资信托叫瑞兹然后大家都可以来买这个信托就类似于你发行了一个股票但是瑞兹的要求其实比股票还是要严格的多所以说很多时候都是由大型的金融机构来买这个瑞兹
[00:29:00] 买这个瑞士筹来的钱呢就可以给公司拿去用来买地啊造酒店然后这些项目呢再委托给星野集团这个母公司来管理然后最后呢这个经营所得还可以给投资者分红对简而言之就是大家冲着星野在酒店行业里的这个运营的能力筹钱来给你开酒店嗯对的当然了星野集团自己也会往这个信托里面投钱这是基本的嗯
[00:29:23] 这种房地产信托的模式对于投资者来说呢优点是可以保持一个长期的收益因为像瑞士的核心资产一般来说都是酒店办公楼或者说经营情况比较好的一些购物中心这种都是做几十年生意的那只要这个标的本身比较优质管理比较可靠租金有一个稳定增长的话是可以稳定赚钱的
[00:29:45] 那我们也看了一下新业的这个瑞兹的业绩还算蛮好的因为它是每半年发一季财务数字嘛疫情之前它每一期的净利润就是每半年的话是可以达到近30亿日元转化成人民币的话大概是一亿多
[00:30:02] 疫情之后净利润是缩水了快一半但还是盈利的这个模式对于星野来说还有一个好处就是确保了自己对项目从头到尾的一个掌控因为他这个投资者比较分散不是独一家他也不太会去干预你的经营当然了星野也会和一些独资持有物业的一些合作方来合作的比如他在内地的首个项目天台山家住酒店这个物业就是绿城的那星野他不是从头开始参与的
[00:30:28] 当然他也会想办法来融入一些自己的理念关于这个部分呢具体的一些故事可以看书里面的介绍讲到这里呢我有个感觉就是新野家路不是当初被赶出家门去银行工作那几年吗其实还是很重要的日后新野集团的发展里面他对金融体系的这个熟悉还有他的一些人脉还是很重要的做房地产信托就不用说了那他最早开始经营那个快倒闭的度假村嘛不是也是金融机构来找他接手的吗
[00:30:57] 对,但另一方面它在金融上也不激进比如说它仍然保持了家族企业这个性质公司本身是没有上市的这样确保了公司的战略一直是面向长期来确定的财务上面的更可控
[00:31:12] 说到这里我们基本上勾勒了新野集团进化过程当中几个比较重要的因素简单总结一下第一就是第五代掌门人新野加入他有一个大刀阔斧的管理模式改革把新野变成了一个能够发挥一线员工创造力的有活力的组织第二就是这种创造力帮助他们成功地挽救了几个濒临倒闭的度假村然后走出了清静泽第三就是通过和合作方的深度合作
[00:31:41] 打磨出了像红心诺雅这样的行业标杆并且确立了融入当地特色这个核心的思路陆续开发出了几个新品牌第四个就是通过像不动产信托基金来建立的一个轻资产的运营模式加速了扩张于老师总结的很清楚了那到这里呢我还是打个广告就是今天我们节目对于新野的介绍其实只是一个很简单的概括那这个品牌呢其实还有很多有意思的细节比如说我们采访了为他们设计服装
[00:32:10] 设计酒店商品还有设计餐饮的一些负责人还采访了新野加入本人投资的一个啤酒品牌这个品牌的营销非常有趣说不定可以单独做一期节目那最近呢我还会做客友台景湖端会议从一个更个人的角度来聊聊日本度假这件事情那今天这期节目呢我们也会从各个平台的留言区里面抽取两位听友各赠送一本书所以还是很自豪的推荐
[00:32:35] 就是这个话题聊得多一点也没什么关系我觉得至少能够帮助大家找回一点对于正常生活的向往没错最后的最后呢其实我们在书中也专访了新野家路本人其中最让我自己印象深刻的一个问答是赵慧就问新野家路你脑海中有没有那种最理想的酒店的样子然后新野家路的回答说没有因为我做酒店不是因为兴趣而只是因为工作
[00:33:02] 这个其实和我们在星眼的酒店里面看到的那种非常用心的细节完全的不一样但我觉得这种态度可能是星眼集团最有意思的地方就是它不是一个酒店业的所谓天才凭借自己的想象和能力一己之力来创建的而更像是一个企业家尊重行业规律尊重人才价值的一个结果商业就是这样
[00:33:29] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
