Vol.192 餐饮“过冬”的三个故事
[00:04:08] 还有就是一些高收入人群的降薪等等的感觉都是一些大家也能想得到的理由这几年其实大家都会发现在餐饮业的话高价的餐饮品牌受到冲击似乎都更大一点或者说它在风险里面的缓冲空间都会更少一点在这种环境下其实主要的应对措施就是想办法吸引一些新的客人最直接的办法当然是降价但是单纯的直接的降价这一条其实是被牛排馆最早pass的因为像他们这样的1000元左右的人均的餐厅
[00:04:37] 其实是比较难做大幅的降价的这里面有一个比较重要的因素就是毛利率餐厅的毛利也就是售价减去原材料成本后的利润一般它是销售为的50%到70%左右就是毛利率是50%到70%有的菜系可能可以做到80%甚至更多但是当中有可能有点反之觉得是一些比较昂贵的餐厅或者菜系比如像日料或者牛排其实毛利率是相对比较低的因为他们食材本身的成本
[00:05:04] 是蛮高的所谓的一分价钱一分货其实没有那么多的压价的空间怎么感觉在复习东京大饭店说到这里插播一下日料店在高端的餐饮里面还是一个相对比较特别的品类它在中国的需求其实比较大但是过去一两年经历了一个原材料来源切换的过程这其实对他们经营策略也产生了很大的影响这部分就推荐大家听一些我们
[00:05:27] 的朋友陈雨慧老师田楼老师主持的播客除此以外他最新一期节目就讲这个问题我们也会把这个节目贴在show notes里这个厨是厨师的厨那说回这个牛排馆因为这样一个原材料价格比较高的这个原因所以其实不存在说原本这个人均1000元的这个餐厅
[00:05:45] 什么都不变就是它一切的服务或者产品都不变它直接打对折这种情况那它的利润可能就要打股折基本上就肯定亏了那现实当中我们看到有的餐厅的确是这样一个剧烈的降幅那基本上就是赔本来赚吆喝的这其实是另一个问题就是高价餐厅从品牌认知的考虑其实也没有办法一下子降价太多我们看到经理他在接受采访的时候就说以前是人均1000块现在是双人400块
[00:06:10] 那过去的书客就很难不琢磨以前是我傻叉还是现在你喂我吃粑粑感觉你对这个原生采访还是做了一些润色处理的对所以到底怎么这样怎么把握这个尺度感觉就很困难这里呢我们就介绍一下牛排馆做的一些试错吧那首先呢它肯定是先从五式开始做调整这个其实没有什么争议大家也比较熟悉但是具体怎么调整就比较有讲究一开始呢它其实就是搞了一个人均400左右的一个套餐
[00:06:37] 但是发自虚这个降幅呢高不成低不就就老客呢他也不会去点他觉得你肯定降低品质了而新客人呢确实会吸引一些但对这些新客来说呢这个价格其实又有点高了他还是会把这个套餐和一些外面更便宜的一些比如说一两百元的连锁牛排餐厅来做比较转头去吃好想来再转头去吃萨里啊对他这样一比较就发现好像也没有好吃到两三倍这种程度嘛所以变成新客老客都不满意
[00:07:04] 后来呢他又尝试了第二个方案就是做更低价的一些套餐他搞了一个人群100多的无牛排套餐那无牛排我为什么要来你这里吃呢就这个问题他确实因为这个低价吸引来了一些客人但人家到你这边来觉得我没吃到招牌菜虽然很便宜但我觉得还是白来了那之后呢他只能再调试那第三个方案呢就是他现在推出了一个双人500多的套餐这里面的牛排也有的但是呢
[00:07:27] 品质略略下调他特别强调这个品质指的不是说我原本的牛排是比如说M的现在我用M3了不是的而是同样一个档次牛排但是我不会稍微降一下档次然后分量减半这是很重要的这个套餐现在的销售情况还可以尤其是对三人家庭比较有吸引力所以等于是三口之家也知道点一个双人套餐也吃不饱但是还是要再加一点菜对基本上都是这样点的这个其实是实践出来的一个经验
[00:07:55] 那与此同时他还要做一件事情就是原本高价的一些套餐或者是一些菜都要仍然保留的就虽然老客好像流失了一半但毕竟还是要以老客为主的这一方面呢是为了考虑这个品牌的这个要求嘛还有一个因素呢也是先天条件所限就是这些高价餐厅啊它天然的翻台率就很低甚至有一些以包间为主的餐厅你就没有什么翻台率的吧你一个晚餐的时段就坐着一桌客人的
[00:08:19] 也就是说就算你降价了其实也换不了太多的量上面的提升
[00:08:38] 我们刚讲一个概念是毛利另一个概念是净利就是在毛利基础上还要扣掉一些支出房租水电人工对主要就是这三样还有一个就是最早的装修产生一个折旧也要算进去问题就是对于一个高端餐厅来说这些都是没有什么很大调整空间的尤其是你比如说你不可能摆更多的桌子摆太多之类的这些都没法很多的调整还有就是人工这个部分也没有办法特别的降尤其是对于高端餐厅我们听到经理讲的一个点就是
[00:09:04] 消费者对于服务的敏感程度有可能比菜市本身要更高就你这个菜有可能稍微减点量或者稍微变化了一些不是每个人都能感受的非常鲜明但是如果你这个服务稍微降下一点的话他其实会感受非常强烈就等于他花这个钱他同时购买的是食物和服务对那在这些限制条件之下其实如果你要尽量的降成本的话还是只能从原材料上面想办法但是问题就是也不能太击穿底线所以现在这个牛排馆的做法就是我们刚讲的第一个就是
[00:09:33] 牛肉容量保证原来的这个进货的渠道然后同样的档次品质但是换部位还有一个呢就是他们原来做的是熟成嘛就是那种熟成牛肉就是比较厚切的现在熟成的天数减少一些还有就是从一些配菜上面来琢磨比如说他举了一个挺好笑的例子就是过去比如一个芝麻菜的色拉说到这个我不喜欢吃芝麻
[00:09:55] 他可以考虑把芝麻菜煮出色拉几但是这个其实还是我们经常可以看到的一个西餐里面一个配菜芝麻菜的色拉他们过去要求比较高只选择芝麻菜最嫩的尖尖的那些叶子现在就多保留一些就是把菜精去点然后整个叶子都保留下来但是不会只选最嫩的那些从这些边边角的地方尽量的稍微多抠出来一些但总体而言毛利率还是会从原来的60% 70%降到40% 50%
[00:10:23] 这个时候对于高端餐饮来说他们其实能做的东西也不是很多主要还是保持品质 努力维持然后静静地等待那些高消费客人的回归
[00:10:34] 那接下来我们进入第二个案例就是人均百元岛位这个连锁餐厅我们举的例子大家应该很熟悉就西贝西贝其实只是一个代表它代表的是一批主要开在城市的购物中心里面那种面积相对比较大一些的连锁餐厅对比如三四百平甚至更大的一些那对于这些餐厅来说其实他们需求测的这个情况要比高端餐厅要我们说清晰一些或者说市场的共识很明确第一就是客流
[00:11:02] 购物中心的客流量下降所以说餐厅的客流量自然也会下降第二个情况就是租金租金一般是这些餐厅除了原材料以外的第二大支出那么一个比较明确的共同情况就是过去一两年在很多城市不论你是街铺还是购物中心其实餐厅的租金都有一个上涨的情况第三就是价格过去这一类餐厅消费者比较可以接受的一个人均的客单价是80到100
[00:11:28] 但现在我们采访了很多他们普遍认为的一个区间就是调到了60到80第四就是评次人们到餐厅里面外食的评次过去有可能是三到四次一周现在可能是两到三次基本上就是这样四个情况很清晰但你肯定也不能说很乐观所以对于餐厅来说他们要做的就是尽量抓住这些减少的需求看到这次吹硕采访了一位西北的高管这位高管提了一个概念叫从客单价到客单价段
[00:11:57] 我们尝试做一下中翻中过去西北可能是用一些比如说主打菜品为核心然后能够确定出一个相对来说比较窄的客单价的范围它其实就有点像客单价这个数字了但是现在就是要从消费者的接受度出发来拓宽整个菜品也好或者客单价也好的区间范围让我们再次中翻中下说的更直白点就是调整菜单让菜单上面有一些价格更低的菜
[00:12:22] 其实难点就是怎么降嘛比如说西北我一度以为我真的已经吃不起西北了因为它那个肉菜其实长得还是蛮快的羊肉牛肉其实过去都已经长到一两百块水平了而且它的牛羊肉也是招牌嘛就是品质也不会说刻意的去降低那现在看得出来就是西北做了一些调整的方法就是把这个东西分两片小一点做一些小锅系列
[00:12:44] 比如说他那个小锅牛南线单价就是70左右等于是在同一份菜单里面给你一些相对比较低价的选择但是还是保留远来的用这种方式其实也是给价格敏感的消费者一个相对舒服的选择我觉得这个逻辑还是属于和牛排馆比较类似的还有另一个西北其实做的很明确的方法就是他要重点做儿童餐这个其实已经完全不是近期的调整了可能已经好几年了西北现在已经是一个亲子餐厅了是
[00:13:11] 他很强调家庭用餐属性这个事情已经有一段时间了不管是从配套的设备服务还是一些主题活动其实都已经是非常明确的针对家庭用户的按照西北自己说法他大概40%用户都是家庭用户这里面有很重要的逻辑就是亲子其实是很重要的外食的场景就你自己吃或者怎么样你可以叫个外卖或者怎么样对付一下但是你带小朋友出去的话肯定会有堂食这一环节所以说这个
[00:13:37] 需求实际上是在外食当中反而比较刚需的这里西贝说了一个比较重要的理念就是儿童餐其实卷的不是价格卷的是品质这个其实对于保障整个餐厅的毛利率有一定的好处也是一定的护身盒对我觉得这个护身盒也是对西贝自己而言因为他这个菜式就是不辣但是对于一些比较辣的菜系有可能就不那么方便做儿童餐或者说你可以加儿童餐但是跟你这个餐厅本身的这个特色就没有关系了
[00:14:03] 像我们之前其实聊的鼎泰丰因为它主打干净清爽也会有很多口味清淡的菜所以儿童餐也是它很重要的一个场景但儿童餐品牌竟然是鼎泰丰和西贝很有意思除此以外西贝还有一个门店上的策略就是增加一线服务员和厨师的薪酬福利这个福利除了涨薪以外还有提升宿舍条件确保无限衣金等等的
[00:14:25] 这个动作其实不仅是西北然后看到吹售采访的其他一些大型的连锁餐饮都在做这个事情感觉有点反常识就是为什么市场冷下来但是这些服务员的工资还能涨呢仔细想想也不是很奇怪比如说西北他要做家庭要做亲子这个其实对于这个线下的这个门店的服务员的水平或者这个水准是有比较高的要求的然后这个水准呢大家如果做餐饮比较了解就是你是慢慢的积累慢慢的磨
[00:14:50] 所以你就必须要降低人员的流动不然你人员流动非常快的话其实这个水平就一直没办法提上来而且对于这些餐厅来说它一个基本的逻辑就是外卖的利润率实在是无法保证或者说实在是主动权不掌握在自己的手中所以堂食是在当下的环境下面反而更加要重视的但它要尽可能的做强堂食的话就要想这样的一些办法我觉得我们刚刚讲的还是一些比如说具体门店层面的调整相对来说比较微观其实西北在整个集团层面还有一些比较重要的动作就是
[00:15:18] 他停止了一些新项目的探索停止在这个方面花钱因为我们知道西贝的老板贾国龙是一个我们可以说很不安分或者想法非常多的一个餐饮企业家西贝前几年在行业里面比较为人所熟知的就是他不停地在尝试一些新的业态然后有的时候试错了就直接关掉了但有的其实还比较赚钱比如说他有一个产品线叫小牛焖饭就是西贝的小牛焖饭
[00:15:46] 其实最早的时候做的还是更加贵一些东西然后后来它调整到了40元左右的小牛焖饭据我们了解其实它还是相对经营状况比较好的一个新品牌但是2024年西贝就把它的扩张的速度给停止了基本上就是维持在现在这样一个状态这个逻辑也很简单就是从整个市场大盘考虑必须要收缩战线减少风险然后专攻核心的主品牌感觉这也是一个大型企业过冬的标准动作了
[00:16:15] 那在讲完了高价的牛排馆和以西北为代表的开在商场里的中等价位餐厅之后呢我们最后再来聊一聊低价的餐饮那这一部分的案例的主角呢是一位叫蔡喜庆的餐饮人他呢有两个角色第一个角色呢是自己开的一个连锁的安徽版面的一个店
[00:16:33] 板面我本身没有吃过我只听过一个梗叫河北正宗安徽牛肉板面是就是这个梗对这个板面是不是类似于刀削面就比较宽的那种是有点类似而它一碗达十来元然后主要就是开在我们开头讲的那种美食城的档口所谓的美食城就是布局上有点类似于购物中心地下一层或者地下两层的那种大时代那种感觉但它的密度要更高然后价格要更低然后主要就是开在一些比如说企业园区或者写字楼的附近
[00:17:02] 或者是一些人流密集的一些地方它主要服务的是一些比如说快递员外卖员等等的体力劳动者他们就需要能快速的然后比较价格低廉的能够吃饱一顿饭据蔡喜庆说北京这样的美食城有三四百个这个其实我第一次听到的时候还有点反正大部分你肯定是没有去过对其实大量的职工或者是工人包括一些做办公室的人还有一些服务人员对服务人员
[00:17:27] 他们自己日常吃饭的问题就是在这里解决的你前面说他有两个生意他另一个生意是做什么的就是承包美食城本身说直白点这个意思就是做二房东就是你把一个物业包下来然后重新装修好划分好档口然后配备好基本的设备然后出租给那些做餐饮的小生意的人然后赚当中的租金的差价他为什么会选择又做房客又做房东的生意这个其实也蛮有意思的就是后面我们还会提到一点但不完全的展开
[00:17:54] 但说回来从他这个双重的身份也能猜得出来这个蔡喜庆在餐饮业肯定是摸爬滚打了很多年了而且他对于低价区间的这个餐饮业会看得比较全面这也是为什么我们把这个他的这个例子拎出来主要来讲讲的我们看了一看崔硕和他的这个采访的这个记录先说一个结论吧就是在如今的环境下低价的市场的确是相对受影响比较小的一个区间但只是相对这当中有几个变数啊
[00:18:20] 第一呢就是不同档口的生意差别可能非常的大非常考验细节第二呢就是即便受影响较小呢但还是受影响的接下来我们展开介绍一下先说第二点就是这个市场的整个情况大家直觉上可能会有感觉就是因为所谓的这个消费降级了那么很便宜的餐饮应该会迎来红利比如说我们之前讲过的萨利亚对吧最近有新闻就是说它盈利又创了新高了然后像咖啡啊或者这个饮料连锁等等这方面的这个例子就更多了
[00:18:48] 但这种情况在美食城里面有没有呢也有就是说中午来这边吃饭的呢的确会多一些过去不来的一些白领就他们可能过去吃的是三四十元四五十元的这个餐但现在呢一份一二十元的快餐他们觉得也可以但另一方面蔡锡进也看到就是说整个美食城它自己的空置率其实是有所上升的原因很简单
[00:19:08] 就是你这个餐饮配套的控制率其实是跟随着附近的写字楼企业园区的控制率来浮动的它是一个成比例的关系其实按照蔡奇信的说法当下的确是出现一些过去十年都没有遇到过的情况比如说开始偶尔出现一些商家欠租跑路的现象也有说美食城整个因为生意惨淡就关门的这种情况其实过去比较少因为美食城里面的档口虽然客单价低但是因为人流量本来就选的一些比较大的地方
[00:19:36] 就你只要人流量在那里基本上的收益还是能够保证的因为餐饮是所谓现金流的生意就是你只要有个基本的量你每天都是有很多进账的比如说这个蔡喜庆就是说他的这个生意因为在北京但他那些美食成了一个档口一个月的租金大约是一万左右然后如果你卖一碗面或者是卖一个炒饭
[00:19:56] 我们算它15元吧那一天你做200份那么一天的流水就是3000一个月呢就是25000到30000那你就算整体算下来是亏的就我们把那些什么人工啊这个水电啊什么都算进去如果你是亏的话你也不会亏太厉害对吧然后你顶多就是觉得做不下去了我就这个租约到期就不做了你不至于跑路不过如果从美式城整体的角度来说呢它其实也是一个非常吃客流量的生意那要为了保证它整体客流量呢你
[00:20:23] 档口的控制率就不能太高你如果走进一个档口控制率很高的美食城你会马上跑路你心理上会觉得不太舒服所以说美食城为了保证它自己的档口控制率不能太高它就需要给大家减一些租金比如说降到七八千这样大家都能好过一点这个其实就和商业地产给商户免租是一个道理就是共度时间这个也是这段时间里边就是它应对一个新情况他们做的一些调整和反应
[00:20:49] 当然同样在一个美食城里面不同的档口之间它生意差别也会很大最近这段时间蔡喜新就经常碰到租户来跟他说你能不能降一点租但是有的租户其实你给他降到七八千他还是活不下去那也不可能无限降再降二房东的成本就已经打不住了所以他只能说我再帮你看看怎么做调改这个就是他身兼房东和房客的优势我还能教你怎么你做点什么能做得更好
[00:21:17] 那这边我们可以举点例子啊当然首先是菜品就根据蔡喜庆的说法就是比如说像面食是一个在当下比较稳定的需求就是受影响真的不是很大虽然它这个价格低啊但它有个好处就是毛利比较高能做到七八十当然啊这个结论其实也不是那么的就是理所当然或者说那么众所周知吧你像蔡喜庆得出这个结论也是通过他做了十几种餐饮才慢慢摸索出来他做过什么火锅啊米线啊煎饼啊
[00:21:43] 然后亏了很多次之后他现在发觉这个价位的这个面食在当下这个环境里边他的生意是比较稳定的那除了菜品呢还有一些就是管理的细节的变化了比如说基本的环境卫生食品卫生你如果把这些细节做好其实就已经挺加分了还有就是减少一些其他的费用比如说他的建议是如果你现在想开一个餐饮店最好是就是选择两人搭伙这种夫妻店
[00:22:07] 尤其是你自己也要出工否则你去聘那些服务员尤其是要做两班或者三班的话其实既增加了一大块成本管理起来还很难就有很多坑最好自己上手先稳定起来再去招工另外采访里面还提到一个点我觉得很重要就是谨慎扩张这个就要说到前面我们讲到他为什么会有双重身份在承包美食城之前蔡锡进他连锁的安徽板面的生意其实做得很不错了他直营有十几家店还有一些家门的店
[00:22:35] 所以他一度要考虑啊就是要不要把这个品牌做做好就是做一些宣传啊投放然后把这个规模做大要做大的连锁但那个时候呢他就遇到了我们节目开头提到的安大为就是狗哥然后他们聊了很多之后呢就发现我还是保守一些为妙所以呢他反而收缩了这个家门的数量然后关掉了一些盈利不是那么稳定的一些店然后呢就利用自己的这个经验然后找人合伙去做了这个现金流更稳定的美食城二房东的这个生意
[00:23:03] 目前来看至少这个生意在这个环境下面是有了一个更强的抗风险的能力的与此同时在原本低价市场里面其实还能看到很多的档口就是还是在打价格战这其实也会加剧整个美食城里面的内部竞争对于这件事情蔡喜庆的态度是他尽量的不参与这种跌穿底价的这种活动要保证基本的毛利因为他觉得是没有人能够长期做这样的活动
[00:23:26] 那到这里呢我们就把三个餐饮店的案例讲了一遍大家可以发现第一我们主要还是聚焦在门店本身的经营那对于它上流的供应链乃至一些像中央厨房预制菜智能烹调设备这些上游的话题就涉及的不是很多当然这些也很重要但是如果要都展开了可能又需要一些节目了我们就留待以后
[00:23:48] 第二个点就是虽然这些案例之间都有一些相似的情节比如说都在做降价都在精简业务等等但是他们其实各自的做法和最后的结果都有一些差别这也是为什么我们在节目开头就要声明这些案例仅代表个体然后不扩大到整体你想一个美食城里面的生意都能天差地别然后餐厅和餐厅之间的区分实在是太大了谁的经验都不能简单的附用
[00:24:12] 如果一定要说一条通用的或者大概率正确的经验呢就是你要对整个行业保持敬畏以及做好亏钱的准备那节目开头我们提到那个做二手餐饮设备生意的安大为他就发现说2024年找他收购设备的这个需求最旺盛这个只是故事的一部分但故事的另一部分是这是2024年的前一年2023年他其实是买二手设备的需求最旺盛的时候
[00:24:38] 当时它的设备收购进来70%都可以在10天里面就卖掉根据他的回忆当时的买家有一大部分就是餐饮业的新手其中有不少曾经有一份不错的工作而餐饮业是他们重新开始的一个选择的创业方向原因很简单就是他们觉得餐饮的门槛比较低门槛确实比较低但是门道比较深中国餐饮本来就是一个极其分散而且快速在迭代的市场平均而言很多餐厅都是一年内就会关门以致它租约到期就会退出市场
[00:25:06] 而如今的环境下还有一些行业内的因素就加之了这些淘汰因素这个当中我们想要强调一下就是家门这件事情安大为在2019年的时候他收购的这些二手餐饮的设备大约只有五分之一来自于一些家门连锁的品牌但在过去两年这个比例迅速的提升到了接近三分之二也就是说很多新手他们做餐饮都会选择家门一些连锁的品牌但这些家门往往有很多的坑一个比较经典的一个做法就是
[00:25:34] 这些品牌它先不寄回本在一些热门的商圈开店把这个生意做起来然后看上去很旺之后呢开启加盟然后它通过低的加盟费吸引人们参与但在这个过程当中呢然后再通过物料运营推广费等等方式获取了实际上远高于那个加盟费的收入在开店之后呢它就不管你这个加盟商的后续的经营了而当这样的新店集中出现之后呢又会推高租金的水平降低餐饮业整体的净利
[00:26:01] 这种快速靠加盟费赚钱的品牌其实也加剧了餐饮行业整体的淘汰尤其是对于新店的淘汰这个对于整体餐饮业的复苏来说并不是什么好事情在这里还是希望大家能够锻炼身体抱团取暖过冬就是这样
