Vol.168 透视恒隆
[00:16:37] 然后是这些城市里边市中心最好的一个大型的商业综合体这个反差很有趣这形象提升其实完全是由恒隆在1990年代上海这两个项目奠定的基础1991年陈启中上任以后实际上不仅在香港市场扩张其实他同时也在做内地市场调研个人感觉这应该跟改革开放以及部分城市的土地出让政策松动有关系但是1992到93年恒隆就牵头在上海徐汇和静安分别拿下了一块发展用地
[00:17:06] 这就是目前港汇恒隆和恒隆广场的基础这里要稍微展开说明一下这两个项目的股权结构因为在仔细看财报之前呢我也会有一个错觉就是大概觉得恒隆应该是自持全资占有这两个项目的吧实际上不完全是这样啊恒隆广场的股权其实比较干净恒隆持有商场加两栋写字楼99%的权益剩下的1%在哪里呢在
[00:17:31] 上海静安工房资产经营有限公司手上根据时任恒隆内地业务负责人叫林楚生的说法原本应该是一个89%对11%的关系这个在恒隆比如说2000年代早期的财报里面也可以印证就是这个比例那后来呢是因为建设资金到位比较滞后的一些原因啊包括一些内部的交易那恒隆是通过逐渐的增资来稀释掉了工房公司的这部分股份那最后剩的1%呢
[00:17:59] 有一点象征意义它象征意义主要是把这个项目的税收稳定在静安区之内另外呢工房公司也可以靠着1%的股权每年获得一点收益感觉这样来说的话其实在静安区的这个恒隆广场这个股权结构还是比较干净比较明确你说它是全部归恒隆也没什么太大问题但是港汇恒隆的股权就比较复杂因为拿地的时候呢恒隆只是这个资方财团的一个牵头方
[00:18:24] 那整个项目呢其实是有三家港资公司分别是恒隆恒基照业和西圣实业三家公司拿的他们还是跟徐家汇商城有限公司联合开发等于是有四个股东方那从股权比例来看呢早期恒隆持有的部分应该是47.25%其实没到50%恒基有25.88%西圣有17%徐家汇商场拥有剩下的大概10%那港汇恒隆比较复杂一点因为它本身还是分期开发的
[00:18:52] 像商场和服务室公寓的一期先是在1990年代末入市的随后到2000年代的中期才有了两栋写字楼和公寓的二期后期的股东们也围绕着具体的资产做了一些复杂的交易我们就跳过中间所有的过程目前的结论是恒隆地产拥有商场部分96.3%的股权恒隆集团拥有写字楼一栋和两栋公寓69.3%的股权
[00:19:20] 横积照业只拥有写字楼二栋但是是100%的股权而西镇实业和徐家汇商城有限公司分别持有除写字楼二栋以外整个港汇恒隆项目24.7%和6%的股权就是我看着我们这个脚本的稿子呢我是还是比较清楚能够捋得清楚但是我觉得如果大家只是听的话刚刚那个真的非常复杂
[00:19:42] 就为什么要理这么清楚这个部分呢因为如果从结果上来看的话其实说穿来还是说恒隆的两家公司目前是实际拥有整个港汇项目比较大的一个持股比例的可以这么说吗对就是结果上确实是这样子但是它有一点问题就在于因为它涉及到具体的收入它也分楼了一个是分楼了另外一个涉及到具体的收入确认和分配的问题
[00:20:05] 这就是上市公司和我们一般概念上的不同比如说写字楼二栋它肯定会受惠于整个项目的发展但是租金收入其实是全部归属于恒基造业的那项目的品质提升其实也会让西圣实业和协会商城获利但是在恒隆的财报里面这个项目的商场写字楼和公寓的租赁收入应该都是打过七折以后归属于恒隆的部分
[00:20:28] 如果我们实际说这个项目本身做的如何的话应该是要把它除以70%水平的它总数应该是更高的等于在恒隆的财报里面第一个是体现不出二期写字楼的收益第二个就算体现出商场和一期写字楼还有服务公寓的话它也只是打了个七折你如果说要看整个项目的整体情况的话你可以再把70%给除回去但是运营的层面其实刚刚讲了那么多的写字办公商场其实又是互相影响互相促进的
[00:20:57] 不过我觉得从运营层面的恒隆其实还是拥有这两个项目相对完整的运营权就是收益有可能是分的比较开但是基本上都是恒隆这个公司来管就是他来主导的OK只是收入上略有一些折让的但关于恒隆在上海这两个项目的成功其实公开的分析讨论非常的多简而言之这个结论就是他一举就奠定了中国最好的众奢或者说是顶级写字楼的这样一个地位关于他成功的逻辑其实也比较简单
[00:21:26] 一个就是刚才我们讲的all in的众奢并且在开发的阶段他就学习那些服务众奢品牌的一些经验这个是帮他奠定了商场的地位但在写字楼这个层面其实主要他就是提供了当时市场上在内地市场非常少的这种服务外企所需要的一些顶级的写字楼的一些品质
[00:21:44] 甚至会给一些超前于客户需求的一些能力这个主要说的是恒隆广场这个项目对主要恒隆广场这个比较典型的至于港汇恒隆它就因为没有太强的众设所以它主要靠运营器的不懈的调改尤其是它2006年把百货的部分取消当时是市场上也是比较新鲜的一件事情变成纯购物中心以后很快这个品质有个明显的提升
[00:22:06] 那加上写字楼落成以后呢又有稳定的商务客流这个也是反补他的商场部分的包括他最近几年又有一次大的一个调感嘛其实又是往一个更加高的一个定位在走对没错那从政府角度来看呢商场那显然可以带来很好的消费市场的形象但是他们还在意一点就是写字楼租客可以带来更加直接利益就是区内税收的提升招商引资嘛那陈启宗其实在2010到11年的恒隆年报里面提到过一组官方的数字就是
[00:22:34] 当时恒隆广场就是南京西路这个它的租户每年的纳税额达到了人民币24亿元那港汇恒隆稍微差一点当年的纳税额也有17亿元那我们把这两个项目加在一起再跟当年的政府的公开数据比较一下结论就是说这些租客每年可以贡献上海全市税收的1%到1.5%非常非常夸张的数字尤其这个只是已经是十多年前的数字了如果放在现在的话有可能会更加夸张也必是更高的
[00:23:02] 关于这个部分我们就不具体展开讲了但是会在show notes里面推荐林宠生先生就是刚才我们讲到他内地的商场的负责人关于这两个项目的一些回顾的文章里边还是有很多细节的大家可以具体的展开来取悦一下
[00:23:17] OK的刚刚其实我们只讲完了这个第二部分的前半部分就是上海这两个恒隆项目的怎么说呢来龙去脉吧接下来我们要不就是具体看看它到底有多赚钱来点数字上的东西定量来看一下那整个过程我把它分为三层第一层呢我们只看上海项目的三个指标租金收入无杠杆租金回报率以及租金边际收益率专业名词比较多我们之后边解释边分析
[00:23:45] 第二层我们纳入一个其他品牌在其他城市的可比对象就是深圳万象城拿它跟恒隆来做对比第三我们就再简单看一下在恒隆体系里面上海和香港这两大城市的租赁收入对比我们先看第一层第一层最复杂前面提到三个细分指标里面租金收入是最好理解的绝对值2023年恒隆广场的商场家写字头总共为恒隆贡献了
[00:24:10] 2423亿人民币的租金收入这个租金收入比港汇恒隆多了1000亿港汇恒隆也有1000多亿也很厉害了那在1000亿元的差值里面500亿元是商场部分的差距那这个里面既有众设和轻设休闲这两个定位之间的影响差别也有持股比例的影响就是因为港汇恒隆它只是打了个七折的一个收入
[00:24:34] 另外500亿元的写字楼的租赁收入差距我觉得就是因为港汇恒隆这个资产包里也少了一栋写字楼这个影响是非常大的对从项目的规模上面来说还是港汇这个有可能比恒隆还更大一点就其实没有那么大的差距但账面上会有差距另外根据租金收入和建筑的面积其实也可以算一下单价这方面恒隆广场和港汇恒隆在商场部分的差距就更明显了
[00:24:59] 那前者也是恒隆广场重设的它的每平米每个月的租金收入可以达到恐怖的5500块一平米每个月的收入那后者也是港汇恒隆现在的每平米每月的收入也只有2400块但也很高了也已经非常高了那租金收入的差异呢我们先讲到这里另外两个指标呢说实话我是从恒隆财报里面现学的特训班特训班了那先说租金回报率这个其实
[00:25:26] 也很简单就是项目每年的租金收入和这个项目初期的全部投入比如说拿地成本建设成本加在一起这个租金收入和这个前期投入的一个比值就是它的租金回报率那为什么强调无杠杆呢就是因为房企经常会利用贷款资金来做前期开发也要考虑这个资金的杠杆率利息成本之类的也把它算进去反正就是理论上是要这样算的好在恒隆非常少借债
[00:25:53] 而且上海两个项目做的比较早它基本上都是靠自有资金开发的所以算法相对来说比较简单所以它就是本身就是无杠杆是吧那么这个无杠杆租金收益率的话指的就是每年的租金收入可以赚回它当初的投入成本的百分之几对吧就这个意思有点点类似于利率的感觉你横比一下
[00:26:13] 陈启宗在2014年的财报里面其实披露过当时上海两个项目的合计五杠杆租金回报率是44%
[00:26:23] 真厉害我们先不说这个事情这个数字披露有个什么好处呢因为当年和之后的每年这个商场的租金数据都是有的所以说我们其实可以根据它披露的这一个回报率的数字就反向推出这两个项目的初期成本之和然后再以此为基础把之后所有的指标全部都算出来所以我干了一个数字就是算了一下2014年这个40%是刚才一说已经很高了对吧但是2021年以后这个上海项目就更上一个台阶我们把这两个项目合计
[00:26:53] 他每年的租金回报率都在50%以上2023年是达到了58%什么概念啊就是听朋友们就是按照2021年的水平如果恒隆干两年的话这个项目就已经回本了
[00:27:05] 之后就全都是纯利了血赚又是血赚这是每一年是它当初回报的44%或者50%的回报率它太夸张了不过大家有时候算这个问题也会考虑到比如说资金本身有复利之类的就倒也没那么快回本对当然按照什么21年来算肯定是比较夸张的了因为过了这么多年它是非常成熟的项目了对上海这项目已经是非常成熟的项目了它在前面比较长的培养期里面肯定是达不到这个水平的对陈其中自己说法是成熟项目的年租金回报
[00:27:35] 一般保持在30%左右是个比较合理的状态那上海项目我看了一下实际是应该在2010年达到这个数字那相当于就是在它运营了10年左右的时候差不多10年左右其实是符合预期的那第三个指标就是租金边际收益率其实名字很奇怪其实也很容易理解它指的就是这个项目除掉每年的运营维护成本之后这个租金里面的纯利部分
[00:28:00] 在这个租金里面的占比我感觉就是有点类似于商业项目的一个毛利率和净利率的概念对那这个指标其实也不在这种运营数据的强制披露的范围里面那陈启宗其实是在2015年的中报里面明确提到过当时上海两个项目的合计边际收益率在87%哇如果熟悉商业地产的朋友们肯定知道就如果单说运营的水平或者说是这个投入来说的话
[00:28:25] 港汇和这个恒隆这两个商场绝对算是国内的一流水平但即便如此他们还有这么高的余老师刚讲这个BNG的收益率就只能说恒隆集团在运营的精细化管理上面很突出还有就是他这个租金收入实在是太高小结一下就前面这些数字首先就是众说的恒隆广场它可以做到每个月每平米都有5500块的租金收入
[00:28:49] 其次就是上海这两个项目合计的租金回报率目前都上升到了50%到60%的恐怖水平最后就是每年上海项目的租金里面有80%到90%都是纯利非常恐怖的一组数据我觉得是任何不管是做商业地产还是做任何生意都是梦寐以求的一个盈利的一个模型来这么好的讨赚模型对这规模又这么大对吧那接下来我们就以上海项目这些数据作为基础再做两轮对比
[00:29:16] 第一轮是跟深圳万象城对比为什么选深圳万象城呢一方面是因为它项目的周期和定位跟上海的恒隆都比较类似都是2000年代初的产品而且都是以众设为核心的所以很适合恒碧另外一方面也是因为华润置地本身是一个上市公司它针对关键项目里也有相对比较具体的披露
[00:29:38] 否则我觉得如果从横比的角度更好的横比就应该是陆家嘴的国进中心但是很可惜新鸿基不公布具体项目数据我没法比具体展开一下我们看到在商城的收入方面深圳万象城的目前年收入其实是介于恒隆和港汇恒隆之间的这规模实际上还是可以比的在横比过程中发现一个比较有意思的点就是2022年
[00:30:03] 当年大家知道上海的线下商业实际上受到了三个月非常大的影响这个其实也体现在了两个恒隆项目的租金收入上面当年是有点下滑的不过这一年深圳万夏城可能也做了一些调改它全年的租金收入也在下滑而且下滑幅度比较大到了一个跟当年的港汇恒隆齐平的水平OK那这个有可能是有一年单独有个调整的原因对
[00:30:27] 投资回报率方面呢华润的这个披露非常不系统所以说我们只能大致讨论一下他披露最系统的那一年就是2018年的情况当时华润说是在所有成熟项目里面的平均投资回报率是37%这个其实是跟当年恒隆上海两个项目一致的那考虑到这是平均嘛那深圳万象城在这个组合里面的定位是最高的
[00:30:51] 合理猜测他的投资回报率应该略高于37%而且他后期的走势也应该是跟恒隆类似就是往上走的但是不一定会到50%以上简而言之的话就是深圳万象城
[00:31:20] 就从租金收入来看恒隆的总租赁收入里面上海项目贡献不到三分之一香港项目略多于三分之一剩下的只是来自于内地其他恒隆项目的而从边际收益率来看上海项目前面说过了已经到了85%到90%之间而香港项目这个部分是偏低的一般是80%到85%这样对比的话其实可以比较清楚的理解就是上海这个市场目前对于恒隆这个公司来说它的重要性
[00:31:49] 基本上已经可以与香港本土来接近了甚至可以说是略略超过那在数字之外呢上海这两个项目的成功一方面是整个确立了中国城市顶级商场和写作标准另外一方面也奠定了恒隆在中国内地商业地产市场这个超然的地位啊现在大家提到上海两个恒隆都是
[00:32:08] 羡慕为主刚才我们也一直以一些具体的数字来羡慕对吧对但是还是要看到恒隆其实是在1992年这个年份就很超前的进入去拿地了这个在当时是很大胆的决策当时陈启东接班也不过一年所以说股东其实有很多不理解的地方的而且恒隆是从一开始就一直在坚持自己的节奏的比如说港汇是1999年开幕的恒隆是2001年开幕的之后一直都是按照自己节奏在发展的所以除了羡慕之外还是有非常多值得推敲的一些部分
[00:32:37] 那在上海的这个成功之后呢其实恒隆就踏上了在内地的这个众奢商业的这个扩张之旅了那接下来我们就进入第三部分就是香港和上海之外的恒隆前面说2005年是一个非常好的年份啊就是恒隆那年的军林天下销售非常的顺利上海项目也已经步入正轨了那陈其中就开始下一阶段内地扩张他的项目选择呢要求比较严格就是时间区位都是要比较稀缺的一个资源才可以
[00:33:08] 按照他当年在股东信里面说法城市选择要选择人口400到500万以上的大城市这是05年05年的大城市然后地址的和位置要绝对的优越而土地价格要比较低一点要在20到25亿之间为1他自己认为这种土地购入的时机每5到6年才会出现一次他一定要最好那个机会次好一点他就不做对他只做最好
[00:33:33] 不过实际上呢之后几年看一下就是恒隆在内地基本上处于一年就出手一次的状态想象速度要快啊他到2013年呢已经先后拿下了沈阳 无锡 济南 大连 昆明 武汉的优质地块那2013年之后呢恒隆休息了五年直到了2018年才重回内地市场拿了杭州的帝王项目那杭州的项目还是蛮有名的不过刚因为老师讲这个拿了帝杰多的话我感觉
[00:34:01] 陈启聪手上比嘴上要松一点如果只看这个节奏的话而且一般大家都会认为说和上海的项目相比内地其他几个城市的恒隆的项目没有那么的成功所以也有一观点认为恒隆在一些非一线城市它多点开花这个策略多多少少有点浪费了它的资源这里我觉得判断一个项目成功与否这个标准不仅比较复杂而且因人而异因地而异对 而且恒隆本身可能也没有对这些项目提很高的要求
[00:34:30] 陈立东自己说法就是其他内地城市项目租金收入能达到上海项目的一半就已经甚为可观了不好意思我想到了一个有点命的甄嬛这样的梗就是你们十字就很好了是有点命当然我们可以通过长龙披露的数据确实也还可以看一下具体几个项目的成绩这次挑了三个项目分别是无锡大连和天津的恒隆主要原因首先都是因为他们开业相对比较早而且差不多时间
[00:34:58] 我们可以一口气看他们至少八年的数据其次呢这三个项目其实是基本介绍完成了那沈阳和昆明这些项目因为没有介绍完成这方面对数据影响会比较大所以不太好算那反过来呢通过这三个项目目前表现呢也可以窥探一下不同城市消费能力和商业地产现状那数据和运营信息方面呢我们具体可以看三个指标第一个还是租金收入的单价
[00:35:23] 第二就是众说的入场节奏第三就是只看无息项目就是它可算的租金回报率因为项目的开业时间虽然相近但是还是略有不一样我们稍微做一下调整都是从每个项目的第一个完整的运营的财报年开始看看到它的第八年的情况就前八岁对前八岁正好可以横比一下这个变化节奏和结果我觉得可以直接把结论说出来就是无息项目是一个上等吧
[00:35:48] 大连是中灯马天津是下灯马你这个总结或者这个简称有点危险不仅不是指这些城市我们单纯是说这些项目当时的现状展开讲讲我觉得可以先讲讲看无锡因为他你从直觉上面来说他离上海非常的近没想到他还可以做这么大一个项目毕竟无锡本身就是一个整体比较富裕的城市我们先看租金的单价其实就是每平米的租金收入这方面无锡和天津
