Vol.218 F1的美式大改造
[00:06:01] 简而言之1970年代Bernie还是一个F1小车队的老板此前的财富积累主要是靠汽车经销房地产还有些金融投资等等的
[00:06:11] 当时F1的主办方叫国际汽联简称叫FIA这是一个成立于20世纪初的组织就跟汽车行业的发展是同步的它主要的任务就是组织和推广赛车运动就是类似于国际足联和国际奥委会在整个行业里面的那个位置一样一样的就是一个概念顺便说一句F1它之所以叫Formula 1就是一级方程式赛车就是因为1946年的时候FIA这个组织它在巴黎召开了一次大会
[00:06:39] 重新规定了各类赛车比赛的规则这套规则呢就叫Formula而最高级别的赛事呢就叫Formula 1这个名字是这么来的查问一句有Formula 2有啊就是F2 F3 F4都是有的就是F4也有吗也有有它现在也是一个就是从低到高然后让车手逐渐升级的一个过程然后你在F2比如说拿到很好的成绩之后你就有可能就能到F1就是中乙中甲和中超的关系对那它这个像清训的这个概念会更加强烈一些OK
[00:07:07] 然后呢就像我们讲过的世界杯和奥运会的故事一样在1970年代的时候F1也面临一个同样的问题就是比赛它历史很悠久或者它影响力是很大的很多人很喜欢很狂热但是它的商业开发很落后所以参与者们呢都赚不到什么钱在F1的语境里边这个参与者主要指的就是各大车队
[00:07:27] Bernie他作为参与者之一就合纵连横获得了各大车队尤其是法拉利麦卡伦这些老牌车队的支持他就组成了一个叫做车队协会的组织联合起来造了FIA的反就不跟你玩了
[00:07:42] 最后经过一系列的权力斗争到了1981年的时候车队协会就和FIA签订了一个协和协议这个协和是他们签协议的那个酒店的名字但是也挺贴切的就是握手言和了反正但这个协议呢就重新划分了F1的权力版图
[00:07:59] 在这个协议之下国际汽车联就是FIA它只负责比赛的规则制定准入资质还有安全规范等等的而实际比赛的运营还有商业开发然后决定每年有多少站的比赛等等这些事情全都由车队协会准确的说是它这个协会下属的一个叫做一级方程式管理集团来负责这个集团就简称FOM而这个FOM的CEO就是化石人的就是Bernie
[00:08:26] 这个FOM除了经营这个车队以外它还有一个很重要的职责就是把它收入的一大部分每年作为分成分给这个车队这样就保证了车队的收益感觉是把经营权和管理权分开来就管办分离管办分离的一种感觉有点像我们之前提到英超联盟和英足总的关系对我们在英超那期节目里面其实讲到这个过程反正就是球队可以说它为了更大的商业利益可以去拿这个权利去换一些东西
[00:08:55] 对就是他们等于用这样一个权力斗争的方式换得了在这个市场里面跟他的这个实际价值比较相匹配的一种权力的结构吧那Bernie在掌权之后呢的确是让F1的商业价值大增了他的主要策略有三个第一个就是牢牢抓住电视转播这样一个事业他把卖版权费变成了F1最大的收入来源第二呢就是他增加商业赞助尤其是一些富裕的男性喜欢的
[00:09:23] 品牌类型能源烟草手表但是烟草后来禁止了
[00:09:28] 第三就是他把F1从欧洲推向了全球尤其是开拓了美洲和亚太的一些市场亚洲比如说日本后来的中国等等的其实是他主要的一个开拓的方向其实我们之前聊奥运会和世界杯的商业复兴也都是这几条路看起来这个三大体育赛是名不虚传对对对而且尤其是第一条就是跟上电视这个潮流实际上是最主要的他也是因为有了这样一个想法才去推动说我要就是夺权然后要往这个方向去推的所以他这个实际上是一整套的一个思路
[00:09:56] 另外还要补充一个点我觉得也是比较重要的就是F1商业运营上面很重要的一个特色就是他培养了很多超级明星就是让F1的赛车手变成了像摇滚明星一般的存在那你像舒马赫都是那个时代全球收入最高最富市民的运动员
[00:10:16] 那所以波尼从1980年代开始这个改革呢方向就跟我们之前说的奥运会和世界杯非常类似但实现方法就跟英超比较类似对他没有在这个协会本身的这个体系下面来改革跳出来做了一个对另起炉灶了
[00:10:31] 接下来的问题就是这套不是挺好的吗就是为什么现在又行不通了呢我们同事江瑞杰他在那个盐爆的稿子里面总结了两个原因啊我觉得其实蛮到位了所以这边就引用一下第一个问题就是电视逐渐已经过时了这个大家比较好理解啊因为F1它把电视的转播权做成了最大的收入来源所以Bernie之下的F1呢其实非常的注重保障电视转播商的权益
[00:10:57] 到了2010年代的时候F1的赛事它在视频网站包括一些智能手机的APP上面都没有什么存在感的甚至连车手的肖像采访视频等等都是严格限制传到网上去的更别提具体的比赛画面了是不是管比杰尼斯还演什么要比语我觉得是的
[00:11:14] 这实际上是个很大的问题就使得F1的受众规模出现了很大的瓶颈就你没办法让一些新的人去了解这个赛事的更加难以说让他们去喜欢上F1了就没有路人粉了对对对传统的粉丝当然还是很喜欢但它就逐渐的老化了虽然老不一定是坏事就是有很多的F1粉丝虽然老但确实还挺有钱的但是常有来看肯定是个隐患
[00:11:34] 那这是第一个问题其实我觉得还好了第二个问题我觉得才是更严重或者更根本的就是F1的车队之间的贫富差距太大了这里的贫富差距有两个方面一个是比赛成绩一个是真金白银的那个贫富差距而且这两者是互相叠加互相加剧的在F1当中最著名的一些大牌车队你像法拉利麦凯伦等等的他们每年从FOM当中拿到的分成就我们提到的那个分成要远多于一些中小车队
[00:12:04] 那拿到了更多的钱之后呢就又使得他们能够投入更多的钱在赛车的研发上面这个好像在第92期讲红牛那期节目里面提到过就是在F1世界里面车这个事情本身对于比赛结果影响其实比车手是要更大的对那你有了更多的钱去研发好车那你的成绩又会更好你拿到的分成因为那个分成实际上是跟这个你的成绩积分是紧密相关的你拿到钱又更多了这不就是马太效应吗没错
[00:12:29] 这样的话就会产生一种横者横强的状态而且就像这些豪门车队他一时比如说有一两个赛季比较落后了出现一些bug了他因为有很多钱他又能够追回来永远能够保持在一个比较领先的状态而中小车队呢则基本上处于常年亏损的状态一不小心还会破产这个实际上就是比较麻烦的一个问题了就你如果你是只是穷一点但是你还能维持还好但是你搞不好就要破产或者是退出了那其实对这个赛事很大的问题
[00:12:57] 事实上那十几二十年来那个阶段尤其是21世纪之后只有红牛它作为新车队是站稳脚跟的甚至是进入豪门的行列具体怎么做到的可以听我们前面红牛那一期节目我们之前只有几期体育相关的节目基本上都脸上对什么奥运会世界杯红牛然后什么英超都跟它相关总之邦尼之下这个F1虽然钱看起来赚的更多了但是首先并不是每个车队
[00:13:24] 都赚钱其次就是可能参与的车队他们的性质也越来越低了对那我就又有新的疑问了就是首先为什么老牌车队就能拿到更多的分成呢这个是不是不公平啊这个不是有成绩不好的时候吗难道不应该就成绩不好的时候就应该多扣一点吗第二就是既然中小车队一直亏钱为什么他们还要去参加F1呢直击灵魂的两个问题先回到第一个以法拉利为首的老牌车队之所以能够拿到更多的钱
[00:13:53] 是因为这是协和协议里面写下来的
[00:13:56] 在那个协议里边就给他们准备了一份特别的分成就是除了那些跟比赛成绩挂钩的分成以外有一个特别的分成叫做历史奖金而且这个奖金金额非常的高就是根据很多的推测估算在2021年之前就像法拉利拿到最多的话就是有大几千万美元而中小车队呢他们每年靠比赛成绩拿到的奖金可能只有两三千万美元也就是说中小车队一年辛辛苦苦吭哧吭哧比赛赚来的钱
[00:14:24] 还不如法拉利汉唠宝收的部分为什么会有历史奖金这种东西就是这不是什么贵族制遗留吗我觉得你说的非常对我觉得那个时候的FE就是有贵族制的这种感觉还有个问题就是为什么是每年都给他们发这个东西难道不应该是一次性就是把过去清算就结束吗他的概念就是只要你这个历史悠久的品牌愿意参赛你只要保证每年都参赛我每年都给你钱就这个协议里面对他的要求所以这是每年固定的一部分钱
[00:14:51] 是不是非常像贵族制是希望听那其实接下来的问题就是为什么会出现这样的就是协议里面会有这样的条款会有这样历史的遗留问题呢主要就是因为当年伯尼联合车队造反他并不是一个本来就很强势的一个领导者他是合纵连横的对吧就是一个一个拉对一个个拉的那他要拉拢像法拉利这样的核心车队这要提供给对方一些特权因为那个时候他拉动的时候恩佐法拉利就是这个老法师还在呢
[00:15:18] 所以他必须要给他一些特别大的福利而且在当时的伯尼看来这个也是符合商业规律的因为确实很多人就是对于这个老牌的车队非常的向往或者是他的粉丝他自己说过一句话就有点夸张但是有可能是他的真实意思的一个想法就是没有法拉利谁会看这项运动
[00:15:37] 而法拉利的确也是F1历史最悠久的参赛的车队他一直参赛下来了所以就是你要说他这个有很大的号召力也的确是这样所以就是最后变成大家一起搓汤圆那就是非常贵族政治的一套玩法那获益最大的不一定是台前的这个领导者应该是后面的那个幕后的大佬这种感觉
[00:15:56] 那这就回到你前面问的第二个问题就是既然车队和车队之间其实是有平民和贵族之分的那为什么小车队还要前仆后继的来参加F1我能想到就是类似于什么招投票的时候一定要留几个炮灰在那里场面才会有点好看这种感觉是这样吗但为什么他们愿意去做炮灰呢因为那些小车队也是有一些老板自己真金白银去投进去的大致总结一下原因吧就是有三个第一个呢就是对于一些厂商车队来说
[00:16:25] F1是最好的宣传方式和技术试验田比如像我们曾经讲过的本田啊分田这些日本的这个汽车厂商他们在高速增长期或者要迈向全球的时候他们都会选择砸重金来参加F1展现自己的技术实力而这个呢也确实达到了一定的效果这种厂商车队呢他就是抱着亏损的这个预算这个准备来的品牌费用对对对这些亏的钱对于一个大车厂来说其实还好就是他们其实不是特别在乎成绩广告打出去
[00:16:53] 效果好就可以或者他也不特别在意就是说这个车队要自负盈亏明白第二点就是中小车队里边还有一部分就是那种真的是一个私人老板他自己投了钱来搞的或者是一个小小的公司来投的为什么他们还要花这个钱呢
[00:17:08] 虽然经营车队就是你自己在运营的过程当中你是肯定是运营亏损的但是呢车队这个壳从历史上来看基本上总是有人能够接手的就跟买股票是一样的对对对因为这个壳还是比较有稀缺性的就一年就是这么十来个车队参加比赛你也不可能马上就新造一个车队出来所以买壳是新人要加入FE的一个比较直接的一个方式
[00:17:30] 而且这个稀缺性还在于如果你成为了一个FE车队老板那你就能挤进FE为厂这个字面意思的这个贵族的精英圈子里边对于那些老板来说有的时候这个价值还是挺高的第三个点呢就是有些人是真的比较热爱吧就像这次FE大典里面那个车队的老板还有就是2013年的部电影就是Rush极速风流里面的车队老板他们都是这个类型就是本身挺有钱的甚至是本身就是有一点爵位的那种人然后呢他们想要过把影就去买了这个车队
[00:17:58] 而且其实不仅是小车队的老板很多F1大奖赛的主办方也都是亏钱的他们办赛每年要支付几千万美元的费用给FOM的这些钱有可能靠门票是赚不回来但是他们还是愿意搞
[00:18:11] 总之就是因为F1这个赛事能够带来巨大的关注度和声誉然后由此衍生出了各种的一些隐形的一些价值所以本质上邦尼之下这个F1他们当时商业模式核心还是不断的去增加这个品牌的价值靠着这个牌子就能吸引很多的有钱人来为这个他所谓这个牌子的部分来买单对我觉得如果说的更加直白一点的话就是这样一个系统他并不擅长于自我造血就在这个比赛的圈子里面他并不擅长自己能够维持下去
[00:18:39] 他擅长的是不断的吸血就是有人维持不下去了还会有人继续进来只要这个能够转下去就可以了
[00:18:45] 但是就像你前面讲的马太效应实际上还是存在的而且随着时间的推移它只会越来越严重最终它还是会影响到F1本身最显性的一点就是F1这个比赛不好看了比赛的结果会大同小异超车的场面越来越少一个多小时的比赛从紧张刺激的过程变成了当中经常会有一些比较乏味的段落我自己切身的体会就是
[00:19:11] 我看比赛最多的时候是在20世纪末到21世纪初的那段时间的几年吧就从哈基宁舒马赫到Kimi阿隆索汉米尔顿那个阶段那一开始我喜欢看的时候就发觉这个比赛一直都是很有悬念的然后你会肾上腺素一直很高但不知道从什么时候开始甘味的结果也好最终的成绩也好都没有太多的惊喜了逐渐逐渐就不感兴趣了你这个个人体验里面是不是有些年龄的滤镜就是人总是会喜欢自己十几二十岁时候看上的事物或许吧
[00:19:38] 不过比赛魅力缺乏有可能还是个事实因为有一些比如说老的车迷到现在一直在看他们也会说过去比赛比较刺激的但是我觉得那个也有可能有年龄滤镜吧但是这个比赛的不好看实际上是有公论的一个标志性的场面就是2015年F1的第一站的赛事就是墨尔本大奖赛
[00:19:57] 那场比赛应该有20辆赛车就是10个车队来参赛的最后真正完赛的只有11辆赛车
[00:20:25] 前面我们花了比较长的篇幅来讲2017年之前F1的商业版图以及为什么它会逐渐的衰败为什么花这么长的篇幅呢主要是因为厘清了这个背景之后我们就更容易能够get到自由媒体集团收购后的一系列改革措施因为它其实都是对症下药的
[00:20:45] 说回2017年的那个收购它其实这个收购的过程是发生在2016年为主的17年年头上是正式的完成了这里边有一个背景就是Bernie本人他和大众他们都一样他也知道不改不行了但说的更准确点的就是他自己本人不退不行了
[00:21:03] 在2015年的时候他其实已经86岁了而10年之前就是2005年的时候他其实已经把自己Foam的这个股权出手套现了就卖给了一个私募基金叫CVC只不过这个新股东他是不管经营的那CEO还是让Bernie来当
[00:21:18] 事实上Bernie年纪上去之后他这个力不从心啊我觉得也是跟F1这个跟不上时代是有重要的相关性的算了一下这个1980年造反的时候Bernie只有51岁啊还算是年富力强那个状态那如果说那个时候的Bernie穿越到2015年的时候他其实也肯定会隔86岁的时候自己这个名了对那回到2015年就是Bernie他意识到这一点之后呢就是和股东CVC他们其实都同意了F1需要找一个新的东家或者是新的一个化石人
[00:21:47] 经过一系列的报价自由媒体集团是以总计44亿美元的价格买下了F1公司的控股权如果换算成整个F1的估值的话是80亿美元
[00:22:00] 而当时我们可以比较一下就是北美四大职业体育联盟的估值大约在几百亿到一千亿美元左右感觉还行还行比较正常的价格说不定他自己还能赚一点对但是从这个赛车的估值上面能够看得出FE当时的这个声量其实或者商业开发还是就是有点受限其实已经规模比较小了那所以说这个自由媒体集团到底是什么来头顾名思义这是一家媒体公司sorry废话啊好顾名思义啊
[00:22:28] 自由媒体这个公司它是成立于1991年的其实是有比较多的一些有线电视的业务合并起来的最著名的是探索发现频道Discovery美国历史上最成功的商业纪录片频道对当然后来这部分的资产它又卖掉了现在Discovery属于谁大家都比较了解
[00:22:46] 这个自由媒体集团它一度后面还是美国的通信媒体巨头AT&T的一部分到了21世纪它才独立运营这个过程当中还有不断的一些并购或者出售一些媒体资产来扩大自己的规模
[00:23:00] 在这个过程当中2007年就是一个重要的节点在这一年自由媒体集团和新闻集团还有时代华纳他们达成了一项比较庞大的资产交换协议这协议的一部分结果就是自由媒体集团获得了MLB就是美国职业棒球大联盟的球队亚特兰大勇士队的所有权
[00:23:20] 接着呢在2008年他还参股了一个票务网站叫Ticketmaster这个时候就可以说他在职业体育上面已经是涉足比较深了也通过这一些收购他在职业体育的运营上面积累了比较丰富的经验很想见为什么波尼会找他们就是你既懂怎么搞传媒又懂怎么搞体育这不是很适合我们F1吗对这个优势其实也是帮助他成功地拿下了F1的所有权当然他出的价格也很不错
[00:23:45] 因为你真的要管好F1这个实际上是这个Bernie和CBC一个比较大的一个愿景就Bernie也不希望就是到时候卖给一个完全不懂的人这个F1就完全败掉了那不是显得他最后就是一个很落寞的一个结局吗
[00:23:57] 另外一方面对于这个新的收购方来说你肯定也是要获得Bernie的首肯就是我愿意要配合你这个新东家我才能把这个事情搞下去不然的话你买进来了就算是比如说Bernie说我退位了事实上他的确也退位了他现在是一个名誉主席这样一个title如果他还发挥自己的影响力然后跟你对着干的话那这个赛事也搞不下去所以说Liberty到底是给Bernie画了个什么饼呢他这个改革呢其实在他入主之后呢其实很快就展开了然后这个图景也是非常明确的我们大致可以分为三个方面
[00:24:25] 第一个叫做拥抱新媒体第二个叫做缩小车队之间的贫富差距第三个就是努力拓展新兴市场尤其是美国新兴市场美国好新奇的说法就是为什么美国是新兴市场是吧这个后面我们会再讲我们先讲前面两点第一点我觉得还是比较好理解的我觉得也是最好改革的对吧就你前面讲到不是他在新的媒体里边都比较落后了或者是没有存在感新的F1
[00:24:52] 它就完全的解除了对于这些流媒体也好或者社交媒体的限制不仅这个赛事开了各种的账号也鼓励车队车手开账号现在比如大家现在刷小红书就可以看到很多这种F1的meme的视频或者meme的那些图等等的这几年才流行开来的过去确实是没有这种东西当然最主要的一点就是自由媒体集团推出了一系列的流媒体内容就是关于F1的其中最有名的就是奈飞出品的系列纪录片叫Drive to Survive就是急速求生
[00:25:21] 这个纪录片它是跟着这个比赛每一年每一季都会出的它讲述的是这个比赛幕后的故事比如说这个小车队如何苦苦求生然后车手之间的恩怨情仇还有车队之间的冲突等等的这不就是真人秀吗对对对就是选秀节目当中大家最喜欢看的真人秀摄像头的那个部分
[00:25:40] 这个纪录片说实话呢我觉得其实也就属于是奈培比较典型的那种拍的还不错中规中矩那种吧但对于F1的这个爱好者来说或者对于只对F1有一点点了解的这个观众来说就很解渴因为此前F1是不愿意让你知道这部分内容的像Bernie经常会说就是我们要保持这个赛事的神秘感就你必须要到现场来或者看我们的这个电视才能知道现在他变成了主动八卦给你看感觉就是
[00:26:06] 本来它有一个很好的新闻副矿你随便挖一挖就能挖出很多东西但它硬是把这个矿守了这么多年才开放出来对一旦开放出来的话这效果肯定一开始是比较好的这个纪录片大获成功的确为F1吸到了很多新粉
[00:26:21] 在2025年有一项调查就显示有16%的F1粉丝都说自己是因为这部纪录片而入坑的或者受到这部纪录片的影响所以说今年拍F1大电影其实我可以理解就是一个纪录片的升级吧对这也是我们开头就说它实际上是一整套这个改革当中的一部分传播的一部分没错那这是第一个方向改革的方向第二个改革的方向呢我觉得就是最重要的就是缩小车队之间的贫富差距
[00:26:48] 具体而言呢就下面还可以分三个措施第一个叫做引入研发成本帽制度就是车队啊每个车队每年用于新车研发的费用必须要限制在一个数字限制下这样就避免那些有钱的大车队去花很多很多的钱去砸新车这种状况查问一下就是F1的赛车研发是只要花钱就有效果吗我觉得这么理解这个问题啊就是研发首先还是要看你这个技术实力嘛这个水平对吧不是说你砸钱就可以了
[00:27:16] 但是因为F1车队的技术研发竞争的水平都已经很高了大家都很有水平了在这个情况下钱的叠加就比较重要虽然编辑效应递减但你叠加更多的钱还是会出现编辑效应对比如说你能够花更多的时间去用昂贵的风洞来测试或者你能够试更多版本的零部件的参数等等的甚至还有一个很重要的优势就是有钱的车队他比如经常是赛季前我一个研发的思路这个车的方向出问题了
[00:27:44] 比如说在比赛开始之后发现别人那个方向更好我能够砸钱再熬过来在赛季中还能够调整就甚至我可以想象是不是还可以搞赛同时设两条不同的技术路线这种情况在F1当中还相对比较少要学习一下互联网精神好吗那就可能钱砸的确实有点太多了但你可以想象小球队是肯定干不了这个事情的这个都是钱的优势等于就类似于NBA那个工资帽制度就是不能无限的花钱在就是核心的这个球星身上是可以这么类比
[00:28:13] 要注意的就是F1的这个成本帽它叫研发成本帽所以它实际上是不限制车队给车手还有就是给一些核心的高管开高工资的不是车手也算高管也可以算那有些高管真的非常重要比如说那个技术总监还有车队的领队啊等等的他一个人有可能可以改变一个车队的成绩的所以从字面一上来说车队的确还可以花钱砸车手他没有工资帽
[00:28:38] 但是车本身的差距被缩小了所以车的这些差距还是被缩小的就把这个里面技术的部分的比例压缩还是更多把它变成一个人操纵下的一个效果这戏剧性就会增强或者说我觉得这个部分属于是它还不太方便一下子改掉的部分你一下子说给车手献心那车手不要给你跳脚的不可能的对吧先压一压成本对对对
[00:28:59] 第二个就是缩小差距的措施就是重新调整奖金的分成方案这还是比较核心的首先法拉利车队的这些历史的分红还是保留了但这个数字的规模缩小了这个当然我们没有看到非常明确的公开的信息但是我们看到大多数的报道它的推测就是有可能比大几千万要少掉一小半但这个是不确实的然后分给成绩中后端的中小车队的奖金就更多了就比如说你一场比赛
[00:29:28] 只拿了一个积分你排名是第九第十名过去分到的钱是很少很少的现在会稍微多一点或者你过去几年里面有一些成绩比较好的时候稍微给你多分一点总归就是这个塔尖和塔底之间的这个差距没有那么大首先写转移支付没错没错就是转移支付我们看到很多媒体做了一些推测就是如果我们算总账的话就是车队拿到的F1的分成的总账的话2015年排名第一的法拉利和排名最后面的小车队之间大概是四五倍的差距
[00:29:56] 到了2023年的这个差距大概是两三倍两三倍听上去就合理很多对对对其实这个要差很多很多的这个里面是不算到比如说那些车队自己拿到的赞助等等那些额外的收入的但至少在比赛的范畴里面大家的差距是相对合理一些了
[00:30:12] 那这个当中还更重要一点就是随着F1整个赛事的收入的增加就这几年收入总盘子的增加所以小车队拿到的钱的绝对值变多了而另一方面呢赛车研发的这个支出的绝对值又被你限住了这个此消彼长之后呢就是F1车队运营这个车队本身是可以盈利的账可以算得过来的而不像过去一样每年都要往里面砸几千万不见水花的那种状况长年的亏损是大大的改善了感觉也是
[00:30:39] 北美职业体育已经玩得比较熟练的一个特点就是假设说这是一个封闭圈子球队数量也有限那我们其实就是保证大家都能活下去只要你按照我的规则玩大家其实都能赚到一点钱对不至于破产对吧长期经营就是不能以破产为核心对就是北美那种就是没有升降级的一个封闭的就特许经营权的那种职业赛事的一个特点就是有可能你长期成绩很差但你还是能赚钱的这个时候很重要
[00:31:04] 那按照我们之前讲过的一个比喻呢就是其实这一些改革就使得F1的整个循环机制从过去的外部输血为主变成了自己能够造血了
[00:31:14] 这是第二个具体的缩小屏幕差距的措施第三个措施我觉得比较间接但是对于比赛长远来看也很重要就是增加比赛的可看性让它更加刺激激烈比如说搞了冲刺赛还有通过新的技术规则使得超车更加容易它还有一些比较视觉化的东西比如说让车和地面比较容易摩擦的地方变成一个金属件所以它就会发出火花
[00:31:40] 经常就是你看到车上散火花然后这个据说就是对大家说更加刺激大家很喜欢我不喜欢对不起你觉得比较危险是吗你怕擦枪走火吗anyway但有的人觉得这样就是比较刺激像美国那种赛车很多都是这样的
[00:31:53] 总之这些大大小小的措施就使得比赛的可看性增强了很多尤其是超车这点我觉得比较重要就是它使得一些中游的车队有可能从长线来看这个车的实力没有那么强但是你会在一些单场的比赛当中有机会能够夺魁使得单场比赛结果的悬念大大的增加了这个其实也在FA大电影里面有所体现就是布拉德皮特加门那个小车队他能在短时间内以弱胜强
[00:32:19] 的确跟这些规则改变之后是有关的如果在改变之前的话有可能都没有理论上的可能但现在是有可能的等于说这一系列改革它的手段是缩小贫富差距它甚至不是这个执行的目的因为最后的目的还是为了增强F1比赛本身的悬念和吸引力要把更多钱尤其是观众的钱掏出来对对对我觉得这个实际上是一个最终的目的在这一系列操作之下F1的确就像你说的吸引了更多的观众
[00:32:46] 我们看到尼尔森做了一个调研当然也是跟FE官方来合作的调研2021年的时候FE在全球的粉丝数量是比2015年增加了大约20%而且更关键的是结构更健康了女性的比例从2017年的不足1%提到了2025年的1%左右35岁以下的年轻人的比例从2015年的不足一半提升到了2025年的超过2%等于说先用内容传播来吸粉然后再用比赛改革来雇粉对
[00:33:16] 就是这样当然新粉丝的加入呢还与自由传媒入主之后的第三个改革是息息相关的就是你前面说的就是为什么美国是新兴市场因为美国在大多数体育比赛里面都是重要的市场但是呢它确实跟F1长期相性不合吧我觉得
[00:33:34] 美国本地流行的赛车就像我前面讲是那种比较刺激紧张的像什么纳斯卡它就是一个椭圆一个圆圈然后你就在那边不停地跑不停地跑撞也是允许你撞的就这种类型就是爽简单刺激粗暴那种的但F1历史上其实搞过几次美国的分站赛他一直想要进入美国市场但都不是很成功我自己印象比较深的是21世纪初有一个叫印第安纳波利斯赛道但是这个比赛就是搞了几年然后就终止了
[00:34:02] 当中出过一个很大的事件啊就是有一年有一部分的车队他们用的这个轮胎啊就无法适应这个赛道所以那一战就是这一大批的这个车队他们就没有参赛因为说这个太危险了最后只有六辆车是出战的就比2015年那个什么墨尔本跟我们前面讲的那个夸张更多就这样我办这个比赛我还得向FM花钱呢要我的话就退钱退钱我觉得首先是观众就退钱了对吧就是你对于美国的这些就是现场来看的观众来说
[00:34:28] 今天来干什么我是看什么迷你四驱车比赛四驱车比赛比他就刺激多了好吗还在弹跳
