Vol.136 书为什么会把价格直接印在书上？
[00:02:56] 向建议零售价所引发一些反垄断的讨论以及电子加签干掉所谓菜单成本这些都是经济学当中的经典话题之后节目里面我们都会讲这个坑我就先挖好放在这里了大家敬请期待袁老师讲了这么多就是只是在挖坑吗只是在挖坑啊今天我们就先来解决一个坑就是一个最简单但是也最诡异的明码标价案例就是输
[00:03:22] 跟前面讲的大多数例子都不一样就是在中国和其他很多国家书的这个价格一般都是直接印在这个书的封底和版权页上的它属于非常罕见的真明码标价你这么一说确实就前面我们讲到那些例子大多数都是这个价格和产品在物理上是分离的所以那个价格可以调来调去对吧但想了想像书这样真的印在这个书的这个封面上封皮上的还是非常少见的
[00:03:48] 对的像我们刚才讲到这些例子里面最接近输的可能就是农夫山泉了因为在有些渠道呢这些农夫山泉的品贴上面会印一个建议零售价就是两块钱但是就像农夫山泉它的这个实际售价不可能一直是两块钱一样输在销售过程当中它的实际价格经常是大范围脱离这个标价的
[00:04:08] 所以说因此这个标价和灵活的售价呢组合在一起就是一个很诡异的组合然后呢它也在整个世界范围内分化出两种完全不同的图书定价策略而且呢这个定价策略还彼此影响然后变来变去
[00:04:23] 所以本期节目里面除了中国的情况我们也会聊到像法国和日本的相关制度与改革今晚你会知道商品本身的属性有时候对于定价和标价也会有很大的影响OK 因为今天开头袁老师在挖坑所以开头的导入部分有点长我们还是马上开始吧
[00:04:50] 这里是商业就是这样那第一部分呢我们还是讲中国的图书价格不过可能要从历史部分开始捣起啊大家都知道中国古代四大发明里面有两项是和印刷行业紧密相关的所以书在中国其实很早就是一种商品了有研究表明到了明代中叶有部分的课本上面就是那种雕板印刷的书上面就已经出现了出版商是谁以及价格是什么
[00:05:16] 但是这类书呢一般是那种当时比较畅销的通俗读物就是属于大量印制而且品质比较差的一类书然后呢实际上找到标价的案例也不多可能就几个相反呢更多更重要的经典著作因为兼具了文化和收藏的价值它这个价格呢往往就是真的根据市场的供需来决定的有点像收藏品是吧对不过这个明朝就有畅销书了这个还是有一点点震撼到我的
[00:05:43] 之后有机会我们也可以讲一讲这个故事那之后呢我们就快进一下直接跳到出版业更发达也更现代的民国时期当时中国的出版业中心呢已经是转移到了上海书这种商品的定价权呢基本上是掌握在一个叫做书业同业工会手里就是整个书的一个类似于行业组织里面那定价的方式呢其实比较简单的
[00:06:07] 就相当于每页书呢有一个单价然后呢算算这本书正文有多少页然后封面呢按照印刷工艺可以折合成五到十页的正文然后把这个总的页数折出来简单乘一乘单价呢就是一个总价直到1980年代墨尔我国图书的定价方式其实基本上都是延续这个方法的啊延续了很长时间就是所谓的用印刷成本来定价对的印刷成本定价
[00:06:31] 我去孔夫子旧书网上面稍微搜了一下就找一下民国时期最重要的出版机构之一商务印书馆发行的作品会发现呢当时的书上呢已经有了和现在非常相似的版权页比如说我找了一本就是关注美的一个小百科全书一小本啊它的版权页上不仅标了出版时间作者发行商印刷所分销点也有一个价格
[00:06:54] 这个价格是每本定价大洋两角然后外部卓加运费和汇费那我说明一下当时的商务印书馆的总部其实就在上海包括它的印刷所也是在上海的等于当时上海人花两毛钱就可以买到一本这个书而其他地方的书店或者想买书的人就需要向当地的商务印书馆的分销点来订货那到手的这个价格就是标的这个价格以及物流的费用
[00:07:20] 这个能把标价写到书上的话一方面其实是因为当时这个同业工会本身是掌握了定价权和定价规则嘛然后市场上书的这个价格结构我们刚才讲的也非常的透明另外一方面有个前提我觉得就是整个的这个社会的经济局势尤其是货币的这个价值还是相对得稳定一点对吧才能标这个实价
[00:07:41] 对的这个对于民国时期的书来说是还是很重要的比如说这本《梅》它的印刷时间其实是民国12年就是1923年这个整个经济环境呢相对来说还可以那反过来说呢市面上其实也能找到一些像1942到1948年之间出版的书这些书的版权以上呢有时候会把这个标价就直接空着变成一个无价值书那理由呢也相信就很简单因为当时的国内也是物价飞涨然后法定货币的价值一天一变甚至一天几变
[00:08:11] 如果你把这个价值硬死了书商很不容易就赔死了到新中国成立以后货币价值又稳定下来了图书又变成了一个被中外来总理指示要做到保本威力的特殊行业所以整个书的成本和价格结构又回到了一个长期稳定期标价自然也就回到了书的版权业和封底上
[00:08:33] 到1980年代图书的定价方针就从有关部门管控单价就是我们前面说的印刷单价的问题逐步变成了由出版社按照印刷成本和一个较低的利润率可以灵活定制的一个模式从此书的标价和实际售价就开始走向真正的市场化但是把价格直接标在书上这件事本身我觉得还是作为一种惯例被延续下来的刚才岳老师讲了这么多简单的总结一下就是在中国
[00:09:01] 图书的这个真名码标价这件事情有一部分呢是历史惯性的原因还有一部分因素呢是图书一度受到了这个行业方针以及顶层政策的这个影响所以再加上它本身的这个定价方式是过于透明了所以标了也没关系就一直延续下来了确实啊感觉我们花了点时间讲了点废话但是我觉得这个有助于我们接下来一些横向对比因为在其他很多的国家呢书的价格怎么定这个历史上的博弈要远远多于中国
[00:09:32] 那现在我们放眼世界还来看看其他国家的图书定价策略一个很值得研究的例子就是法国因为他在1980年代初特别明确提出了图书作为一种文化商品应该遵循特殊的定价策略有点像你刚刚讲到的这个周总理提到的那个就是特殊的定价
[00:09:52] 不过也有点利要之中吧就是即便在欧洲的国家里边我们也知道法国对于文化产品的重视程度是数一数二的但是其实选择这种定价方式之前也有过一些波折法国此前是用过两种偏向于自由价格制的方案也就是说当时的这些书的售价不是由出版社而是由这些最终销售书的书店来决定的他们定什么价那就是卖什么价
[00:10:16] 那目前美国和英国也是采用这种图书的自由定价模式的
[00:10:34] 到1980年法国的前五大出版商和另外一个也卖书的一个大型超市集团加在一起他们合计占据的市场份额已经接近50%了这不是一个很好的事情吗那在这个背景下呢有一家小型的出版社叫午夜出版社它的主编热楼姆南东就站了出来说书籍不是普通商品他呼吁法国政府尽快地改变整个书籍的定价策略
[00:10:58] 看了一下资料这个热路姆兰东这个人本身蛮有意思的午夜出版社其实是一个很小的机构但是在他的领导下却敢于出版很多别人不会出版的甚至在当时大家会觉得有点古怪的作者的一些作品比如说像萨特啊波弗啊杜拉斯和这个午夜出版社关系都很好
[00:11:17] 我们看一下在五月出版社的这个合作的作家名单当中有两位后来都拿到了诺贝尔文学奖可以说他这个品位和这个艺术上面还是有蛮高成就的对是个品位很有意思的人而且热龙门南东本身也是一个所谓文化棋手嘛他提出做图书定价改革这个时间呢又正好赶上了1981年法国马上就要进行下一轮总统大选了
[00:11:39] 莱东呢这个人就同时说服了偏右翼的一个候选人希拉克和偏左翼的候选人密特朗就让这两个人都决定说我要把图书定价改革纳入我的竞选纲领一上任就做那最后呢是密特朗当选那他一上任确实也就做了然后是让当时的文化部长叫亚克朗格去筹备了一些相关的立法工作
[00:12:00] 一个图书定价的改革就可以同时笼络
[00:12:26] 这个法案的文本其实只有11条但是我们还是挑几条重点来讲一讲就不全部展开了第一条是由出版社为图书设定一个销售价格而且要印在书上第二就是零售商可以获得基于书架一定比的佣金作为自己的盈利来源但是在计算佣金的时候不是看你的销售数量而是主要看你的服务质量
[00:12:49] 第三就是零售商其实可以在定价基础上面做一些小幅调价但是上下幅度不能超过5%第四就是二手书和库存时间达到六个月的书就是不受朗格法限制了可以打折卖第五就是禁止在书店张贴任何低价促销买书的广告从这几条来看的话朗格法其实是一个相当严格的一个限价规定了我觉得就计划经济到了一个极致了
[00:13:16] 而且它更重视服务而不是销量这一点的话对于那种讲究选品和服务的中小书商来说就很友好当然反过来对于那个之前占优势的大型的连锁书店来说就很受打击了确实自从朗格法推出以来这些大公司就开始想尽办法钻这个法律的空子比如朗格法实际上是1982年1月1日正式生效的有一家大型的连锁书店就选择在1981年底的圣诞节直接去打广告说我们在做最后一次折扣
[00:13:44] 那他就是希望在这个法案生效之前捞最后一笔钱后来呢这个连锁书店集团的老板又发现说朗格法虽然限制有点严啊但是他对于进口书的限制不是很多他就想了一个策略叫转口策略就比如说这个书是在法国本地出版的然后呢这个老板把这些书寄给他这个集团在布鲁塞尔开的一家分公司
[00:14:05] 寄到了以后呢再由这个分公司寄回给法国国内这样相当于出去绕了一圈嘛这个本土书摇身一变变成进口书了那就可以重新定价销售了寄到布鲁塞尔倒也不是很远啊他这个转口贸易这种策略对于那种要绕开出口禁闭的行业来说也蛮常见的对的那后来呢朗格法其实是加强了执法力度对一些顶峰作案就是直接去低价卖出的连锁集团呢都是直接下处罚单的
[00:14:33] 那书籍不是普通商品这个观念呢也随着朗格法的成功变成一种法国的大众共识吧确实有大量的中小书店能够靠着自身服务和大企业平等竞争然后稳定的生存下来同时呢他们成功的把书价降到了每本大概是11.5欧元的一个水平上而且在这个前提下呢整个图书市场总规模还一直在扩大
[00:14:57] 等到电子书兴起以后呢法国又根据朗格法然后把这个朗格法的覆盖范围做了一个扩大推出了一个叫电子书统一价格法那其实早期在美国亚马逊呢就是靠在电子书上面跟出版社打价格战迅速抢占电子出版业的一块市场份额的但是呢他跑到法国这个方法其实就已经不适用了因为电子书统一价格法规定法国境内任何平台上的电子书价格也都是由出版社确定的不是由你平台确定的
[00:15:24] 感觉朗格法是一个非常理想化又被执行的很好的一个法案因为它其实就击中了法国人对于文化产品的一个重视成功的把书变成了一个特殊的商品并且重构了它的价格体系你像电影其实在法国也是有这样一个比较特殊的地位它不是一个单纯的内容商品虽然从做法上它显然是打击了规模更大的或者说我们说在自由的市场当中效率更高的一些大型的企业
[00:15:51] 但他显然不是看重效率他是更看重公平啊他对于中小书商的这个保护让他在这公平性上面显得是更加诱人的其实从实践层面来说法国这个朗格法和日本出版行业现行的一个叫做再贩卖价格维持制度也叫再贩制度有很多相似的地方
[00:16:08] 那日本的再贩制度呢其实主要保证的就是说这个新书上市以后一段时间以内呢在所有的渠道都是以相同的定价销售的然后这个定价呢其实也是赢在书上的那一方面呢这个制度是保证了日本各地读者接触到出版物的机会是均等的另外一方面呢也能帮助中小型的出版社保持一定的利润就是它从很多方面跟老高法都非常像
[00:16:30] 当然除了说严格的限制新书的价格法国和日本在二手书的售价上面其实都不做什么限制的这个也给二手书市场留了很多空间大家就知道这两个地方的二手书市场其实是相当发达的不过根据统计数据来看日本的出版行业其实并没有被再贩制度完全的保护住前面讲到法国的图书市场是一直在扩大的但是日本的
[00:16:55] 新书的销售总额实际上是在逐年下滑的而且每年都还是有
[00:17:25] 前面这两部分我们基本上把书上面标价的固定价格制或者说真固定价格制给讲完了我们还是回到中国市场的特殊情况在中国是形式上有严格的密码标价但是买国书的朋友都知道它和市场的实际售价之间的脱节是越来越严重了实际上已经是一个自由的价格制了
[00:17:48] 那为什么在图书这个细分里面会出现两种截然不同的定价制度呢我也看了一些分析啊就是学者们的一个普遍观点就是说这是跟不同社会的市场和文化观念有关的就是比如说信奉自由竞争的国家呢往往会更重视整个市场的开放度和活力那他会认为图书其实你也就是参与市场竞争的商品之一嘛没有什么特别的而坚持图书固定定价的一个国家呢往往秉持是所谓文化例外论法国就是一个非常典型的例子
[00:18:17] 那他会从平等和保护文化多样性的角度去设计更多的保护政策当然这两种观念就是没有一定的孰错孰对所以问题就是在中国的市场这个行业的观念到底是什么样的对吧
[00:18:30] 我觉得这个就是最难说的部分或者说整个意见分化会比较明显因为其实在消费者里面也有很多人觉得说书好像应该是一个精神产品其实也可以接受原价来买书的当然就是当他们看到这个电商平台打了一个超低折扣的时候
[00:18:51] 打折卖出这个事情普遍是不是太舒服的所以说很多人都觉得说应该用一些比如说行业规范甚至是立法手段来重新规范市场秩序这个事情最后一次引发相关的讨论其实是在2022年国家新闻出版署公布了一份出版业十四五时期发展规划里面就提到了说要推动图书价格立法那目标就是有效制止往上往下恶意价格战
[00:19:17] 目前我们还没有看到具体的落实情况但是比较有意思的是其实早在2010年整个出版行业就试图自己推动一个所谓公平竞争的规则但是因为这个公平竞争的规则涉嫌垄断然后最后流产了这个语境里边公平竞争和垄断的意思都非常的微妙
[00:19:37] 非常微妙然后我们整合找了一篇文章它详细地回顾了出版行业当时制定图书公平交易规则的过程这个例子其实可以帮助我们更深入理解前面一个核心问题就是为什么明码标价和实际售价的差别这么大
[00:19:54] 以及大家到底是怎么想这个问题的首先是一个背景就是说出版行业当时除了面对比如说像电商平台或者一些小的书店的一种低折扣价格战以外还发现了一个问题就是某些出版社在做一些高标价和低售价共存的模式就比如说一套书它可能这个价格写个一两千
[00:20:15] 级别的价格实际上呢是一折卖就是一两百卖给你这个呢他认为说会给消费者带来一个错觉就是这个图书折扣就应该这么生你就应该一折卖给我同时呢这么做呢其实也可以提高整个出版公司的马洋规模就账面上好看一点这个说明一下马洋是属于出版行业的一个术语了他指的就是按照书上面印的这个价格然后乘以销售量得到的一个账面的收入
[00:20:41] 那与马洋相对的呢就是石洋就是实际上他销售的这个价格乘以销售量拿到的真实的这个收入那么高标价低售价呢就虽然不利于收入吧但是有利于这个面子就是马洋这个数字好看一点对吧对的那基于这两个比较明显的所谓价格问题呢出版行业内部就展开了调研然后拿出了方案最后形成了2011年版的这个图书公平交易规则其中直接与价格相关最重要的两条
[00:21:09] 一条叫做新书一年内不得打折销售第二条叫做优惠促销不得低于定价的85%那这个就跟我们前面讲的朗格法比较接近了对吧那些管前管后的变化还是挺大的一下子从一个非常自由的市场变成了一个非常拘谨的市场所以也就是这两条变化呢引发了北京市消费者协会和律师协会的关注他们提出说这个图书公平交易规则涉嫌违反了反垄断法
[00:21:36] 为此呢中国出版协会的副秘书长倒是这位呢也写了五条解释来说明倒是制定这两条规则的目的我觉得这些解释本身很有意思啊也可以给大家罗列一下但是大家一听就觉得这个有些问题啊
[00:21:51] 比如说第一条就是说他说世界各国的图书一般都是明码标价按照统一售价在全国各地区市场销售是图书经营的基本原则这个我们前面也提到了就是还是有很多信奉自由竞争的国家他图书是可以不标价的对吧所以这个一般不是那么一般对吧那第二条就是说新书不打折和优惠促销限折
[00:22:13] 这个都是保护消费者权益的手段这个就比较有意思了很新鲜第一次听说消费者权益的保护是靠消费者多付钱来实现的这个逻辑确实非常绕我尝试着把它展开部分给大家解释一下它是这么说的因为当时中国图书的销售模式是所谓的寄售制也就是说零售商并不需要特别担心我货在这里卖出去多少因为我卖不掉的部分都是可以完全退回给出版社的
[00:22:43] 那如果说这个零售商呢想多卖一点他可能会采取降价促销方式来卖书嘛那这个降价促销这个降价的部分呢他是也是想找补回来的一般来说呢他不是说自己就贴进去了他一般会在退货的时候以我这个已经卖出去多少书的这个销售规模来要挟出版社然后去拿一个更好的进货折扣价就把这个部分省下来了
[00:23:04] 久而久之进货折扣可能会越来越低直到低于整个出版社的出厂成本价这就会引发出版社也自己采取一些相应的政策就是我直接把图书定价先抬高然后你再给我打低然后这样子的话我们成本还能覆盖到这个其实是在零售商和出版社之间在真实的折扣之间在绕来绕去对吧你挖一块然后我再补一块这样跟消费者其实也没有什么实际关系
[00:23:32] 确实没有什么实际关系不过这位副秘书长逻辑就是这样的他的原话是消费者追求打折购物只是满足个人的省钱心理如果出版社定价时候抬高图书定价预留下打折的空间即使零售店打折销售消费者心理上是满足了实际上却受了侵害
[00:23:52] 我觉得这个如果你一直绕在这个价格里面来说消费者受侵害你是讲不通的除非你是讲到说整个图书行业因为这个价格混乱了然后出不了好的书了才影响到消费者的权益这个你还能讲但又是另一个话题了对吧我觉得他还是纯粹的就是看不惯打折卖书对他试图把这个逻辑给你讲清楚但是最后发现其实跟你也没有什么关系然后就是他的第三条他说图书定价的构成的基本要素是公开而且稳定的
[00:24:20] 定价基本上决定了每个环节的利润率然后这个利润率呢普遍很薄然后降气也紧如果说打折卖的话就会往上积压这个上游的回款以及现金流这个我觉得真是一个问题就是一个所谓行业的健康度的问题嘛包括我们早前讨论适应的那个时候也会涉及到这个下游的定价积压到上游的利润率的这个问题但还是那句话就你把这个话拿给消费者呢
[00:24:44] 就是说实话消费者有可能会觉得跟我没什么很大的关系对吧我看的还是价格但是这个问题有可能行业上是实际存在的对行业上是问题但消费者来说可能很难理解吧接下来就是第四条他说我国图书有历史定价的依据也有精神产品的责任意识等因素制约这个精神产品其实就是前面我们一直在提到的这个朗格法的一个核心基础了不过他前面提历史依据这个我就觉得
[00:25:10] 你说依据吧它其实只是一种惯性而且现在当时那个情况社会这个经济的状况已经发生很大的变化了也不是说一直要惯性下来的对吧对的那他最后一条呢就是说新书不打折销售是一个世界通行的方案然后他去了法国德国和瑞士的例子啊这个又绕回到前面讲的第一条了就是要么就是历史规律要么就是全球惯例对吧但我们也讲到了还是有很多的这个不同的情况
[00:25:36] 而且最关键的一条就是法国的朗格法是通过议会通过的一个正式的法案包括日本那个规则也是一个其实是非常强力的一个行业的规则但是你图书公平交易规则这个是一个行业的内部的自我约束它的这个约束率是就相对弱很多了总之就是讲下来这个规则的出发点其实就是要
[00:25:58] 在中国实现像法国那样的一个图书价格定价体系但是呢在推行的逻辑和程序上呢都差点意思他可能一开始呢只是想好了我一定要控制这个新书价格限制打折力度但是呢也没想好为什么也没想好有什么别的手段吧所以说他最后导致就是他给出这些解释和真实的市场需求和消费者行为其实都是脱节的那比如说呢他只关注到这个电商平台会持续的大力度的在这个图书这个单一品类上疯狂的打折
[00:26:27] 但是它不会继续深入解释说电商平台怎么做的动机是什么这么做的动机其实也很简单是因为这些电商平台基本上都是全品类的电商它几乎都是要靠这种低价的图书或者一些别的产品来粘住用户然后把这个用户留在体系里面在其他类物里面创造一些销售收入然后再把这部分在图书上的补贴成本找补回来这些其实都是值得质疑和讨论的点但是当时这个行业规则就没有指出来
[00:26:56] 反过来说就是北京市消费者协会和律师协会说它涉嫌垄断倒是在垄断法的语境上面是有一定道理的因为如果你坚持图书只能按照定价来销售然后你又是一个行业来做的话原则上就会触犯反垄断法的一些规定它属于产业链上的一个纵向的垄断协议对的
[00:27:17] 另外就是中国的图书出版因为还涉及到出版社资质和书号的双重门槛其实在上游环节呢还有一定的天然的垄断性质再结合这个定价权因为现在是掌握在民意定价权还是掌握在出版社手上的那如果把这些问题都合在一起深究起来呢确实你说它真的不是垄断吗可能也有一点很难界定吧
[00:27:41] 当然呢实际情况就是我们从来没有听说过哪家新华书店因为严格按照定价买书就触犯了反垄断法然后最后被罚钱的因为后来针对这类问题呢反垄断法特别留了一些案情性豁免或者按照事实审查的口子所以说就根本没有查过
[00:27:57] 当然至于出版社上面的出书的方面的垄断这些的我觉得就是更深的话题了跟定价本身关系不是很大关于反垄断法这个事情我们这一期就不先展开了以后有机会的话再专门讲讲
[00:28:15] 简单小结一下刚才的内容其实我们详述了2010年中国的图书出版行业他试图来固定新书的售价让明码标价这件事情名副其实的一个过程但我们后来看到它还是流产了如果和法国的案例对比的话我们就发现他想达到的目标可能是通过行业自身的力量难以实现的而且还会有非常多法律上面的一些阻碍比如说反垄断法
[00:28:41] 我觉得更深层的背景还是跟当时整个中国的消费市场的大的环境和大家的一个共识有关系吧或者说它有点像1980年代中国做价格双轨制改革的时候它有一点小小的遗存但它可能就是出现在这个书的价格上面对的最后还有一点点时间我们就从前面对于文化商品的讨论延伸一下肖老师你觉得像书影音这样非常典型的文化产品真的能做到名码标价吗
[00:29:10] 好问题我觉得其实标价是可以的但是要不要贴到产品上这么直接彻底我觉得还是有一些讨论空间的想想看举个例子就是我们小时候去书店里面买书看书的时候那个时候的书其实大多数都没有塑封的就是你随手一本就可以拿过来看我甚至可以决定把一本书看完了之后我再决定他买不买他这个其实比一般的商品消费要公开透明很多了
[00:29:34] 但现在的话书的外面都会有一个速封我们其实只能根据这个腰封的文案或者说是一些网上的这个已经铺好的书品或者评分来判断一下这个书的品质如何也有可能是别人吹的都很好的一本书但拆开来发现是本烂书我们也很难退货
[00:29:52] 这个背后的其实我想说的就是这个我们今天讨论的很多都是明码标价这个价格是不是能够落实的问题但是更上层的一个问题是它这个价格到底值不值的问题其实就是如何给文化产品定价的问题对吧嗯对的其实我们就想讨论这个点啊
[00:30:08] 虽然说给图书上速封主要的一个目的是据说是为了保护品项这样因为出版社可能会接到一些书店退货退货的时候可以减少一些损耗率然后也方便出版社把这些书当做新书再找渠道重新卖出去速封主要是这个目的
[00:30:26] 但是呢上完速风以后呢我觉得书作为一种商品的形态其实就发生了很微妙的变化它就变得更像是像电影啊戏剧或者音乐这些你要先付费才能再享受的文化产品了那在这类产品里面如何能够平衡好价格和体验的关系尽量减少落差其实是一个最主要的课题那其实对于文化商品来说呢速风只是一种所谓有形的限制其实还有更多无形的限制
[00:30:50] 它们和定价方式一起阻碍了我们能够更好地接触和理解这些文化商品那也许未来呢我们应该跳出这种被明码标价框住的思维模式不仅仅是盯着书封底上的价格和电商平台上的折扣而是应该思考对于知识体验以及文化这样的商品是不是有更好的组织形式以及适配的全新的定价方案
[00:31:11] 毕竟价格和价值之间永远都是有落差的尽量缩小这些落差是我们的一个目标最后如果能够探索出更合理的更符合真实需求的价格这可能才是市场所需要的商业就是这样感谢收听这一期的商业就是这样你可以在各个大播客平台收听我们的节目期待你在各个平台与我们交流下期见
