Vol.185 小宇宙就是这样
[00:10:01] 小红书分享的特别多因为就是这次有很多人拍了这个vlog还有那个图片因为我们有现场有很多就是大家
[00:10:12] 有很多比如说主播的见面有可能
[00:10:38] 这其实是
[00:11:04] 我们的环节设置比较去中心化
[00:11:34] 它不是一个场那如果它要是一个场我们就推导出来就是我们希望呈现的是那种散点的去中心化的
[00:12:00] 而不是说有绝对的主旋律其他都是次要的就会在议程上
[00:12:29] 所以我说是复杂的东西,就是这点。
[00:12:55] 商业空间的一天的比较高峰的人量是差不多的而且考虑到当天还下雨早上下雨我也是愁死了我看到你们在分享的时候还戚风苦雨的因为我跟约老师比较早的那个就是站在喷泉广场外面后来我想了一下能够在那个时间点在上海早上要十点左右然后顶着雨过来其实是非常是真爱的谢谢大家我是忍不了撑伞了约老师
[00:13:21] 调忍着不撑伞对因为撑伞实在是体验更差一点其实是我是实在是有点那个淋得不行了头发要保护一下还有下一次吗就希望下一次不要下雨我们先预祝一下好吗我们肯定是这么希望的所以说是有下一次的吗还得看下一次会是什么样的活动这次是我们自己在做那它是有我们想表达的东西给到大家比如说这次我们说播客的连结是很深的下一次如果在座我们有一个要有一个新的想表达的东西
[00:13:50] 或者说有一些新的品牌
[00:14:15] 做活动策划做活动的执行当然有些像搭建这种的也肯定是会有供应商的但是大多数的事情都是你们自己来做没有请你方这个实际上是跟很多品牌活动不太一样这个其实是对公司自己要求会比较高对啊你们平时就算是比如说市场部也好包括运营也好运营的也不是这个东西对这次包括我们可能开发团队然后设计市场运营产品所有的团队都来做这个项目所以刚刚才说
[00:14:45] 我们要决策要立项就是单位时间里我们这个团队是做这件事而不是其他的事情其实是需要比较复杂的思考和严格的论证的包括现场要有什么要没有什么因为我那天碰到Kids然后跟他说你们这个活动太满是不是应该砍掉一点他说我每个都想砍但他们每个都保留了这也是为什么我们可能从头到尾都没有考虑过说请那个活动供应商来做
[00:15:09] 现在我不觉得说有一个专业的活动公司
[00:15:37] 做这个品牌活动的这个目标和最后呈现的形式之间是有一个非常严格的这个探讨的论证的过程我相信里面肯定有很多这个内部不同意见就是有的东西要留有的东西不留或者是要怎么来呈现有没有就是吵得比较厉害的总体上在如何去制定这个主题然后这个主题大概应该有什么样的环节这是基本上是没有什么争执的蛮值得分享的就是说我们在不同时期团队
[00:16:05] 就是这些人他可能原本都不是在做这些工作那在不同时期应该以什么样的逻辑去做分组
[00:16:30] 一个人拆成了多方面去用在不同的时期
[00:16:57] 那或者换一个角度的话有没有你觉得整个活动里边的某一个设置或者是某一个环节很能体现出你们对于这个活动的方向或者它的这个主题或者有没有什么做法你觉得是就这次活动里是很小宇宙的做法我觉得有两个事情就是刚刚除了分工以外还有一个是执行的策略就是我要去哪里怎么去就我知道我要做一次把比如说这样的一次市场品牌活动
[00:17:26] 但是我要怎么样能够达到这个效果
[00:17:54] 聚集的热闹以外还能带着感受走带着收获离开带着一种我走的时候就像您说的意犹未尽或者说是我有一个理解到一些东西
[00:18:05] 这里面就需要有拎起主线拎起每个环节要串联在一个统一的灵魂当中这个也是在策略当中的那我回过来讲第一点第一点就是它有一些我们在执行过程中感受到的一些threats比如说我们自己从五年前我们就非常熟悉博客但是现在有很多今年开始了解的品牌他们可能就是对博客比较陌生
[00:18:30] 那也就发现在这个五年以来积累的不同的破圈的人群他理解的播客的形象深浅不一他的认识的侧面然后主播听众品牌不同的人期待的播客活动想要得到的东西也不同所以会有可能出现就是我们想要面向这么多的人群我们想要触达这个人群但是他们来了以后谁都不满意
[00:18:56] 很有可能是他们每个人
[00:19:24] 或者我每个人我跟你的一天的行程可能是完全不一样的我可能这一天都在买周边和找齐张做一些互动的玩法那我可能另外的一个人可能一整天都在找主播见面可能另外一个人是今天周四在听我们的那个分享会怎么确保说大家都带着统一的认知离开或者说大家理解到的小宇宙和播客差不离大概是我们想要的东西
[00:19:52] 那就需要拎起比如说这次我们的主题是连结连结是一个在线下执行当中我还有比如说陪伴温度然后时长等等这些关键字可能都是可以的但是连结是一个可操作的事情
[00:20:06] 就是我可以跟比如说市集摊位其实我是在跟一个品牌去连接我可能跟一种体验连接那更不用说我去见到商业就是这样的主播这是一个最简单的一个
[00:20:32] 然后这样离开所以可能体验是复杂的不同的但是它的主线是统一的我觉得这个产品思路还是蛮有意思的值得学习我们总体上就是很在乎用户体验和用户角度的设计的除了比如说主播听众品牌主播都还有在细分像你们对我们来说就是老主播了OG了然后呢已经老了吗还有一些
[00:20:56] 比较资深的然后可能还要包括刚刚开始做的人然后可能还在顺着这个过程里哀人我们也会专门去想的然后就比如说他就是没有办法很热络的去面对面然后可能有些人其实是会满意就是我今天要拿着东西走拿着东西走那就包括我们做的很多比如说今天有一个来自宇宙的信号的签语或者说会有一些小的贴纸
[00:21:23] 或者是APP里的东西那他就带着这个东西走他会觉得我存在我来了没有一个形式的存根对那这不同的人他满意的逻辑他的体验是不一样这就是平时我们太常在感受C端用户了所以用这种方式来做策划可能会比较保证提高成功率我觉得听上去你们工作跟迪士尼的乐园的设计是差不多是吗万事皆可迪士尼啊月老师因为我们看到小红书上面有就是
[00:21:52] 不就有个帖子蛮火的吗就是问这个活动是哪个乙方执行的老板让我来问一问然后下面就回复说就可以跟老板说了不用想了我觉得这个是值得分享给大家的因为如果我是创意团队或者说我是一个负责策划的不管是线上线下的活动的策划其实我更多的是即使我是乙方我其实在对谁负责我在对甲方负责或者我对我的传递和表达负责其实更重要的其实这个世界里没有第三
[00:22:21] 就是我的目标受众这件事情没有那么那么重要在我们做事情的逻辑里面你们甲方就是目标受众或者说我不管跟甲方是什么关系我永远要把我的作品放在广大天地整个宇宙的层面去被接收的时候这跟我们做产品是差不多的思路那也可以不这么做我认为绝佳的100分的创意它就是很容易被感知和理解的
[00:22:49] 你只要关专注于自己的表达
[00:23:15] 传达到要借到是吧来多少人最好就是满分的走尽可能多的人尽可能深的感受尽可能多的发酵这些东西每一环如果你都希望能够去提高你想要的成功率那么就比较值得从对方的那一端再推倒一次这个事情是很累的但我会觉得就刚刚说的他值得分享是他能够很大程度上拿到你想要的结果的一个概率
[00:23:43] 我觉得刚刚这段就是因为我们今天有一个主题角度是小宇宙作为一家创业公司的目前的现状就刚刚那个你们做活动的做事方式还是蛮看得出你们这个创业公司的做事方式这个团队我们还办过别的比如说黑客马拉松的活动或者什么样的活动我当时有一个感受就是偏要勉强怎么解释这个词
[00:24:03] 就是那时候我的感受就是我没有那么熟悉我现在要做的这个活动比如说这个AI兴起以后我要很快速地去为它做一个黑客马拉松老板给你发了一个单你接单对就是可能很快时间决定了要做这个事情更不用说我们市场的同事可能哪怕有线下的经验是什么音乐节喜剧演出现场跟这个东西没有半毛钱关他们也有可能
[00:24:29] 有的同事就从来没有接触过这样形式的活动
[00:24:56] 就不应该因为我们自己有没有做过这个事情或者说现在的主客观条件然后来降低这个要求所以我会觉得就是有一种偏要勉强的那种劲的然后这个情绪是互相影响的比如说这次我们设计师整个团队做的这些交互的设计确实是一个主题乐园的玩法它是很复杂的大家有这种想法的时候开发的同事是几乎没有在做减法
[00:25:23] 你有的这些设计以后同时是需要可能要加班去完成的因为我经历过类似的事情就是如果你的开发没有做减法的话你真的要谢谢他不杀之是何止是没有做减法是可能是偏要勉强自己的状态那对于其他人我觉得也是一种很好的暗示就是我会因为我的工作环境里大家都没有想过要将就
[00:25:48] 而感觉到那就拼拼一点对我看到那个kiss后来在极客上面分享的那个就是技术的那个文件就是你们来怎么来实现比如说是那个多快评好像是对多快评包括就是能够投上去你自己的那个什么订阅量今天你们有去投你们商业就是这样的那个我那天在旁边看了很久然后也看到这个东西的内部实际是个什么东西对我看还是有点羞耻所以我就没有去我们都太爱了不行我们
[00:26:17] 的那些实现吧就是说他可能有的可能背后是很简陋但是他体验的时候其实是有点神奇的就是手机可能靠近这个装置然后你立刻你的数据就会出现在屏幕上这样子对那个那个效果还是比较惊艳的而且因为我们那个跟听有变那边的地方就在他旁边嘛是啊我就说
[00:26:36] 你们根本暂时里面是属于订阅数或者是受众很广的节目还有很多就是可能我才十几个听众然后我就是投屏说原来我是作为创作者我今天就可以拥有这样的一座丰碑但我觉得这跟你之前说那个非常强相关就是不同的主播对于这个事情的预期会很不一样就是我们在这个活动上面的预期可能跟一些就是说新的主播他的预期是完全不一样是所以那个功能或者说这个
[00:27:02] 互动对他们来说是非常非常重要的一个体验我完全可以理解他们这个心情是会比较激动的刚刚讲为什么会在今年做这个活动有一个很重要的原因就是你觉得时间到了不管是作为一个平台或者作为一个公司或者是播客这个事物作为一个内容形式内容的一个渠道到了一个聚集了一定能量的阶段我觉得可以把这个判断稍微展开来讲讲就还是要么先说平台就是从你们作为一个播客的
[00:27:31] 内容的平台观察到的现在播客作为一个内容形式景观商业化这个层面它到了一个什么样的程度有没有一些数字也好或者案例也好来分享因为大家有可能了解的话小宇宙其实现在作为一个平台还是比较深度的介入到一些具体的合作当中的是我们今年能够感受到品牌合作的普遍发生这个是跟大家我觉得都能够感受到的然后我们能够监测到
[00:27:58] 整体上应该是有翻倍的情况就是合作的case我们会去看到然后付费的节目它从去年到今年有非常标杆的案例的同时然后基本上也成了一种相当普遍的创作者经济的一种实现形式而且是比较可持续的不太是比如说我做完这个事情以后大家有时候会担心说我可能做了收费节目口碑不太好
[00:28:24] 其实没有就是大部分都是很正向的然后可以持续更新的所以我们能看到的主要是这几种形式然后可能今年还有一些是一种旅行体验方面的比如说带团旅行这样子的带团去日本对去各种各样的地方这部分从我得到的一些信息来看盈利状况其实算蛮好的那总体上今年不管是从平台自己还是从创作者端观察到
[00:28:53] 各方面都在趋于常规稳定健康然后它跟我们整体播客的体量增速我觉得差不多是一种比较稳健的状态不是那种爆发式的然后可能突然间会有非常非常夸张的营业额这样的一个现象但是基本是比较可持续的回购啊然后复购啊什么都很常见有没有比如说像品牌打听过就是为什么会这样
[00:29:21] 或者就是现阶段品牌对于这个内容投放这个层面播客在他们的这个投放的策略里面是个什么样的位置有什么变化今年我能感觉到品牌跟我们的合作的趋势是第一点是逐渐把播客当做一个值得长期投入的媒介所以它就会出现很多是品牌官方账号的形式比如说单期的节目合作变多了品牌可能要在这个平台上开一个官号
[00:29:49] 如果我是一个跨国团队我还要做非常非常多的汇报我之后要怎么运营我可能要投入说专门的人为后续所有的内容更新来做计划
[00:30:00] 这是一个很大的决策但是这件事情变普遍了我们比如说今年有Lululemon LV这样的品牌他们其实都是属于在品牌经营上是很有想法和比较慎重的团队那他们做出这样的决策对外界影响也是有的就是说可能之后就是要布局播客这是一个比较标配的情况长期投入是能看出来的还有一个是整体上我觉得速度在加快
[00:30:28] 上一次之前我跟肖老师有聊过这方面的东西私下也有交流决策可能要熟悉播客要熟悉这个受众然后可能在反复的沟通中我们自己也会去做workshop本来之前我们会觉得从你接触到后面真的下单是一个要时间的一个事情好像我们又花了很多时间做市场教育你会反反复复的去见面
[00:30:55] 而且每次可能提交新的资料可能他们人都换了你又要重新再来今年开始我觉得基本上不太需要去说播客是一个什么内容大家都是一上来就是我应该怎么做上下文和语境相对来说比较对齐了对而且是有一个比较合理的预算的一个构思就是说我已经想好我大概要花多少钱所以这个钱怎么花其实是他们没有想过的对所以他的决策速度就变快了
[00:31:22] 不是从零到一基本上就是说直接是成熟的认知你这个说的是一些已经有复投的品牌还是说一些新品牌新品牌也是一样的就是他们可能自己团队里或者agency对播客能够给自己带来什么东西会比较相对清晰了这个清晰比如说一个比较典型的认知是什么样比如播客是现在新的人群里很有影响力的一种内容媒介
[00:31:50] 如果我的友商在做这件事情
[00:32:18] 那他那个formal的情绪是非常强烈的所以就会变成速度加快跟这个是有关的除了知道这个东西很受一线城市或者说是一些年轻人的欢迎以外我还知道我的同行品牌从业人员对这个媒介的关注度非常高然后可能在这个语境之下就会觉得这是一个我应该要去了解的东西更有动机去加快他的熟悉决策
[00:32:45] 不需要我们去做这些市场教育我觉得就是不太需要再做市场教育是不是还有个点就是前面还是有一些很明显的出权的案例这个其实是最好的市场教育是的是的是的这也是我刚刚说的那种formal的情绪很容易出现其实就是因为会看同行在做什么品牌营销方面最标杆的企业他们在关注什么有什么新的动态新的趋势
[00:33:10] 我可以问吗就是因为像Lululemon这样的品牌如果说它早就有这个理念甚至说它其实更早跟你们合作都可以但之前没有接洽过吗我们觉得有点相见恨晚品牌也有这种感觉我觉得这是一个好问题就是之前可能他们在内部要去沟通是更复杂的但是可能到今年我觉得就是比较简单
[00:33:33] 我们刚刚分享的就是整个的从业者的认知度提升上来他不太需要去交代为什么我做了这样的选择应该现在跟你们接触比较多的还是品牌marketing就是这样的一些部门是具体来决策投放的可以理解吗对在不同的公司架构里他叫法不一样对叫法不一样或者说他服务的目标有一些细微的差别但这个圈子其实也没有想象的那么大
[00:34:01] 然后集中的城市也可能比较集中然后在这两年的这个人员那个流动当中我觉得逐步他们这个对于播客的认知也会提高一点我觉得还有一个占便宜的地方是这些可能做决策的人他们的信息
[00:34:17] 很多的营销知识会从播客里来他很多人就是听众或者是有些听众逐渐走上了决定预算的岗位是就比如说有一些可能我在做营销的人我私下的生活我可能并没有很喜欢短视频虽然这很反直觉但是他们会自我要求很高
[00:34:39] 就是我们有时候遇到品牌朋友他们会这么想就说我平时生活中我就是爱看书或者我怎么怎么样但是他会把播客作为一个我补充营销知识学习最新商业趋势的一个渠道然后他下班生活路径里就是听播客就是我们跟一线城市的白领就是兴趣之匹配我觉得是在这里面能够占到一些便宜的有优势就是别决定预算的人看的是什么平台
[00:35:07] 哪个平台会长得稍微好一点可能是我觉得我们的商业就是这样的听友应该很多人是掌握预算的真的吗今年确实有一些合作的确是一些听友本身对节目比较认可然后内部推动最后能够实现合作这个我们还是蛮开心的对就是职场的中高阶的人群是我们的一个景点性的画像就希望我们的听友多多升官
[00:35:30] 讲到这个的话其实有一个话题是绕不开的也是想要请芒芒这个展开来分享就是小宇宙会做一个这两年大家频繁会看到的动作就是做一个平台本身来和一些品牌接洽然后组织一批播客做品牌的投放的活动就是你们像担当了MCN这样一个角色同时还作为一个平台提供一些权益也好或者说是一些支持为什么会做这个就是
[00:35:57] 我们之前讨论过就是所谓向前一步的这个动作然后这个动作跟前两年相比它现在的这个进化或者进展
[00:36:05] 可以介绍一下我们的服务大概分为这几块一个是平台一般
[00:36:32] 为什么会花比较多的精力投入在内容本身上
[00:36:58] 才进展到说我觉得我对它这个媒介好奇我认为不应该出示但是怎么样能够好或者说怎么样能够在执行当中取得很好的效果这仍然是一个整个行业我都觉得在一起在思考的问题我们来做的话这个案例会效果更明显就是因为我们有平台的优势另一方面是我们也想交出自己的答卷就是从我们的角度
[00:37:25] 在我们平台来做的时候会不会仅仅有甲方乙方的对话
[00:37:52] 更多的还是回到刚刚说的我们有多方的对话尤其是对受众的对话那我们会花最多的时间在
[00:38:11] 我们的视角平时在内容在用户上面得到的learnings会用在为品牌服务的时候我是如何把这种对内容的理解对年轻人的兴趣的理解帮他给到品牌这是我们可能会优势或者说我们在意的这个答案里应该有的部分比如说我投商业就是这样那我肯定是因为觉得商业就是这样是能够触达这部分听众我非常信赖因为我就是其中一员
[00:38:40] 但是我的品牌除了你只讲我这个产品以外我希望借助你这个主播对内容的理解然后你们的表达能力让我的品牌也在受众当中多增加一些好感这是我想要的因为如果纯粹只是说介绍产品并且去转化的话那可能不一定播客是最最最最高效的方式品牌有这样的需求就在怎么实现上面
[00:39:07] 会有一些困惑替要又要的时候怎么办怎么办这个品效合一的时候就这个内容本身我没有办法比主播更了解内容我是更了解我的产品那主播应该怎么去把品牌的价值抽象出来和我
[00:39:23] 很强的表达你我很好的内容形式结合在一起这里面就需要你对听众很了解你对你听众对什么事情感兴趣很了解讲讲这个追光平台吧因为追光平台是小宇宙去年到今年开始做的一个商业化的后台就是类似于像比如说小红书有那个叫什么蒲公英
[00:39:44] 对是一个商业化的投放服务平台对接播客和广告主的对简单来说就是如果你想在小油车上面找一些主播投广告可以尝试一下这个平台是的我们希望做的是一个品牌广告和主播创作者之间的撮合工具这是比单纯用人撮合效率要更高一些是的这是一个平台的
[00:40:06] 标准动作了就是平台大到一定程度就可以搞这个商业化后台了其实我理解就是里面还是有一些可以自动化或者说就是流程化的一些工作是这样的像肖老师说的
[00:40:17] 不是说大到一定程度是你作为一个平台然后做一个互联网产品的公司你应该最知道其实通过产品的手段来解决问题是最有杠杆的最高效的它是我们的角度应该要去思考的问题所以它更像一种基础设施现在的节目越来越多我们的感受是今年创作者入局的速度也是有在增加的增快的那品牌怎么知道
[00:40:44] 所有的节目呢因为之前的话可能我们最熟悉的头部的节目就已经可能就是最值得投放的节目了但是现在有很多节目其实它在垂直人群当中影响力是非常好的但是可能是陌生的我们怎么去把这些节目推介出去那就非常适合说是有这样的一个平台它开发量比较大要做到上线我觉得可能有五分之一的节目
[00:41:10] 涉及到的创作者都是第一次去接商务那这个比例是蛮高的我们会觉得在这个环境里面可能新或者说是小一点的节目会更容易受益或者说有一些明显的感知的不同假设我是一个品牌主的话我可能会遇到一个问题就是我可以想去投垂直的那这个平台可以帮我找到垂直但是我还是同样会顾虑说垂直但是小
[00:41:38] 垂直但是大或者是相对不太垂直但是大的话我有可能还是会选择大的是的比如说现在品牌有没有一个比较常见的内心的基础线这个底线比如说头一个在小语歌上的节目它的订阅量一般来说要到多少多少
[00:41:56] 你见过这种讲法吗感觉上超过一万的订阅的话基本上都是可以有品牌去认可的刚刚约老师说的那个就是说如果大和高效比如说我在公司的操作上不管怎么样我哪怕说整个的转化率或者说是效率层面上
[00:42:19] 他是有折损的他总体的一个合作
[00:42:47] 我觉得在播客里面总体上还是跟其他媒介相比也有这种现象因为我们播客的节目的最有影响力的节目可能量级上我觉得它非要跟最国民度最高的一些播出去比的话我们播客也是有差距所以会变成是跟我们合作的品牌或者是对播客感兴趣的品牌
[00:43:14] 透彻的程度和质量其实本身就筛选出来就是更高要求就是我不是一个要非常广的一个效果的我是要一个非常深的非常高质量的效果所以他们对这方面的精度品质会更有要求所以就是在品效合一里面还是略略会更偏向于品这个部分我觉得可能不止略略还是相对别的平台要偏向这个品要蛮多的
[00:43:40] 对我会选择小宇宙的品牌我本身对这方面的要求或者我在这个媒介里的决策就是应该会有不同的思维的我们看到比较多的品牌比如说现在还是会把波克或者波克主作为一个KOL的一部分这个也是为什么我会觉得追光会比较重要就是如果真的把它当做这个KOL来看的话你一个个投或者就算是找到你们然后一次投几个这个效率对他们公司来说还是太低了有一个基础设施可以让他
[00:44:09] 相对的就是比较好的把一笔一算画下去对他来说也很重要是的在很长时间里就如果这不是一个比如说投播客不是标配的话那在这个公司里就是因为有一个播客听众或者是兴趣爱好者但如果他就是一个营销里面很常规的动作那我不能够把这件事情交给说我团队里有一个人
[00:44:31] 业余生活中有大量的时间投入在这个美界所以我才能够完成这个操作或者说他太低效太随机了太单次了是的我这个团队负责人那我要去负责这个美界的投放我不太能够说让你们所有的投放的同学听一个月的博客
[00:44:53] 来做这个东西因为这部分的人力成本已经非常高了那应该把这个人力成本用工具的方式或者说跟我们平台之间它的服务的方式来把这部分的成本cover掉这是应该是每个平台都会去做的效率提升以后为企业带来生产力提升的一种帮助因为你刚刚也讲到现在做播客的这个总体的数量在小伙伴上面是增长的还是比较快的
[00:45:21] 你觉得现阶段播客作为一个盈利的方式对于那些播客主来说能够维持吗或者说这个大家说能够赚钱这个比例或者说这个规模有跟前几年相比有明显的提升吗刚刚分享的时候我觉得整体上比较健康也是这一点我觉得他做播客能发财可能比较不现实就是火车的发财就是比如说他得到一个
[00:45:44] 直播带货带赚大钱它的峰值或者说它的投入产出是非常非常夸张的比例但是它能够得到一个我心理上觉得我的投入是心理上能够得到回报的今年我们感受到创作者有不少人是觉得是比较理想的就是从没有回报变成有回报或者说可预期的回报或者说变成一个跟我的投入基本持平的回报就是可以工作
[00:46:10] 可以当做一个工作可以假设我喜欢做播客我不会觉得我每天在受委屈比如说像头部的可能节目基本上它今年来看的话广告合作是完全都不会断的很多的节目比如说是我们很常见的比如喜剧最爱的品类等等它如果是有付费的播客节目的话
[00:46:34] 是稳定持续的听友会给他们支持他们非常非常喜欢然后可能我做这个节目可能就是几千订阅的节目我一个人然后我每周更新但是我可以持续从这里面得到一个很稳定的一个副业收入其实我们看到的话我们会觉得不比上班少如果从一些数字上面来看的话比如说像看地价这两年有变化吗
[00:47:01] 一些比如头部的节目或者说是整体的这个这个你是不是问到了别人的商业机密我就是从市场整体观察嘛对吧不是说别人的个个别的随着他们也除说订阅数的增速以外他们本身看例价变化去年到今年很多节目都可能一年都调了两三次调两三次我们要不要
[00:47:27] 我们已经其实比较贵了对对对希望大家多调调网上调调对吧使得我们选择的是一个比较合理的一个价格讲到这个的话其实我想我们可以进入那个公司那个部分吗袁老师我可能想稍微再展开问两个问题
[00:47:42] 一个是我们前面提到就是说可能现在在小车上投放的品牌还是更偏向品这边多一点但是我们也可以看到就是说这一两年上市场上出现了一些专门的播客项目它其实就是偏重效的这个部分它甚至会自己去做一些更贴近于那个零售啊或者说贴近于那个销售的这个层面你怎么看待这种现象我觉得我们更多的跟品牌说你应该更看重品品不是说我们品效不合一只是说
[00:48:08] 如果你非要推点到极致就像刚刚跟约老师说的那我们的平台总体上的博主的量级跟其他平台就不一样那你本身你来做播客的时候你就有个比较清晰的预期讲出来这个效盘子就这么大你能效到就算你效率很高但是你这个总量也没可能没有那么多对但是它并不是说我做这个品牌广告我在效上面是没有收益的很多很多的节目的投放其实是OI都是打正或者是有赚的
