Vol.186 卫生巾的真需求
[00:05:31] 很有意思它没有在纸盒上面就是外包装上写高杰斯具体是什么东西它只印了高杰斯这个品牌名还印了个白色十字就结束了这边稍微插一个科普和介绍给不了解这件事情的听友就是在高杰斯发明这种一次性的卫生巾之前的女性是用什么来做卫生巾的呢有的是她们自制的所谓叫卫生袋那样的产品准确来说卫生袋是一个
[00:05:59] 容器就是它里面还要有一些就是衬垫的部分那这个衬垫部分呢其实中国也是一直到可能八九十年代还有人在用的就是很经典的产品草纸然后也有一些就是当时女性会觉得说棉花对效果更好就会放一些棉花在里面然后当时已经有女性就觉得说我要在这个事情上再做改进就有人用丝袜包着棉花来做这个衬垫的这种情况因为她觉得说这样吸收效果更好其实都是
[00:06:26] 早期大家对于卫生巾这个形态一个探索那只能说纤维棉是一个比较产品化的比较好的一个产品就在那个之前确实有很多人实际上是手工自己来做这个产品来应对每个月这样一个需求的就像那个时候很多的这个婴儿他用的这个尿布是真的用自己的布来扯出来做一样的概念好那我们言归正传说回这个高杰斯的这个一次性的卫生巾刚才你说了他第一个影像上的顾虑就是
[00:06:53] 品牌的名称和品牌的这个包装非常的隐晦不体现出卫生巾这个功能和需求对的不过这个事情还是有一点点好处就是如果你知道它是什么你购买它的时候会有一个方法就是说你不用说出具体的这个产品的功能性词汇比如说你要跟男性的售货员说我要卫生巾或者我要精气护垫这个确实有点羞耻了当时来说
[00:07:15] 那你可以选择说我要一盒高杰斯这样就可以call me by your nameOK那其实除了品牌名以外呢从当时高杰斯一些广告上尤其是早期的广告上面也可以看出金百利对这个产品的顾虑他一直考虑的就是说怎么能让女性消费者意识到我们这个高杰斯是做什么用的然后又能避开这个月经啊阴道流血这些跟卫生巾功能直接相关的词语还能提升我们公司的科技感呢
[00:07:42] 于是呢在1921年我们就看到了高杰斯拿出了他的第一版大众的广告标题叫为了拯救人类的生命科学发现了高杰斯什么什么逻辑对就是广告就是真的很怪就他的内容是主要围绕的是爱国主义战争和科学展开的就他大奖特奖新闻名作为医用绷带时候的那些优秀的功能但整个文章跟月经毫无关系甚至跟女性也没有什么关系
[00:08:08] 后来公司倒是改了一个方案就好歹提到了是当年军队的护士就有一封信是这样讲的说可以这样用以及高杰斯是一种女性用品这件事情但是对于它最重要的功能这个描述依然非常的隐晦而且近乎为零这种遮遮掩掩的宣传策略我们看到其实要到1930年代到1940年代才有一个明确的转变那个时候卫生巾其实已经相对的比较大众化了我们指的是它作为一个快销品来说
[00:08:36] 那高杰斯就开始觉得我可以跨前一步来堂堂正正的宣传了他就进入了青少年的市场对青少年市场其实是很重要市场就是蓝海市场所以说高杰斯是连续做了三轮其实后来看是非常成功的营销第一轮是在1932年高杰斯做了一本小册子叫马乔里梅的12岁生日这个小册子里面虚构了一段这个母女关于出朝的解释性的对话而高杰斯呢是妈妈推荐给小孩的
[00:09:03] 标准产品很经典这个小刺子其实打入了全美的学校市场然后它变成一种大众科普读物第二轮影像是在1940年还是一本小刺子依然是介绍这些知识它会鼓励少女们你可以在这个小刺子上记录自己的月经周期当然也会贴心地提醒说你可以把高杰斯卫生巾用一张疏解纸巾包起来再放到包里如果大家没有听过纸巾的新节目的话我们这边可以直接点破
[00:09:28] 舒捷呢也是金百利旗下的一个纸巾的品牌就是科普不让卖货而且要多卖两套啊那在1946年的第三轮营销呢就是又升级了它从平面升级为视觉传播了那这次呢高杰斯就找到了迪士尼啊对他做了一个宣传影片叫月经的故事我们那个时候说过迪士尼有一段时间实际上是经常做乙方来接一些活的是的那据说在此后的几十年时间里面呢有一亿多名美国高中生看过这个片子而且跟之前小刺子一样啊这种
[00:09:58] 看起来是科教片的一个素材其实非常受到学校老师的怀疑为什么因为这也避免他们自己上课时候要给学生详细讲解的时候可能产生那种尴尬的感觉OK那这么来说的话高杰斯在20世纪上半叶和中叶的一个宣传策略其实就有一个很明显的转向他早期是完全不谈月经的后期则是大谈特谈
[00:10:19] 因为对于青少年这种潜在用户来说你必须知道了月经是什么下一步才能使用卫生巾而且如果你习惯了这个品牌的话更加有可能产生一个忠诚度当然我觉得你把一些生理知识包括性知识和你这个产品的宣传科普结合起来对于青少年来说真的是很必要的因为的确需要给他们传递很多正确的信息和认知
[00:10:41] 我觉得这个策略还是非常可取也非常值得推广的我觉得直到现在中国也还都没有实现这种很大规模的很直接的学习和讨论这个其实也不是完全可以靠商业力量就能解决的一个问题讲到这里我也想插播一个问题因为高杰斯毕竟是一个女性的用品而金百利我们前面也说过它的核心是个很传统的制造业的公司有一个疑问就是它在高杰斯这个品牌创立的早期它这个女性的员工参与的程度高吗
[00:11:10] 是一个有点尴尬的问题就是我们其实主要参考一本书就是金百里早期的一个企业发家史叫温柔的力量在这本书对于高杰斯的早期发展讨论里面其实提到的比较重要的女性只有两位一位是一名注册护士她叫艾伦巴克兰这位护士的签字会出现在每一份高杰斯的包装盒上然后她也会撰写一些跟女性卫生问题相关的一些宣传材料
[00:11:35] 就有点像一种科学领域或者医学领域的专业背书KOL对而且专业KOL其实高杰斯和其他卫生巾品牌早期都会大量生产这类又像科普又像研究但本质还是广告的那种他们会把卫生巾包装成一种准医学产品来获得当时消费者的信任但这个我觉得还是偏就是这个产品已经研发出来之后的这样一个位置有没有跟产品直接相关的就是另一位女性另一位女性叫海特梅亚
[00:12:02] 她是高杰斯研究实验室的负责人她也是金百利公司历史上聘用的第一位女经理当时因为卫生巾市场上面已经挤进来了另一个大公司就是强生一直躺着赚钱金百利就说我必须要做一些产品改良来应对竞争了但是如果把这个市场竞争时间线拉得更长的话就可以发现高杰斯实在是不是很擅长研发就她在跟其他品牌竞争当中实际上没怎么赢过
[00:12:27] 能坚持到现在还没有明显的掉队呢实在是有赖于他做的很久就是悠久的品牌历史包括他20世纪中叶那个非常成功的三轮科普营销还有着他稳定的渠道关系其实是保住了他目前的市场地位的那讲到这里的话我们就可以从高杰斯发明这个现代的卫生巾开始切入到下一个话题就是像强生啊花王保洁油尼加等等这些公司和品牌他们怎么来做卫生巾的产品研发
[00:12:56] 把这个产品做了几次突破性或者说渐进性的创新在我们前面讲到高杰斯对于卫生巾的营销过程当中我觉得他自己最天人交战的部分还是那个话题就是能不能正面的充分的讨论月经以及女性的生理需求那这个问题呢在相对开放认知度高的地区呢其实你这个遮遮掩掩的态度更像是一种心理障碍你还是有办法可以突破的对吧但是在一些相对比较保守和认知度低的地区呢这确实是一个即在解决的问题
[00:13:25] 不过我们前面讨论这种困境还是存在在公共空间里面的那如果说回到品牌内部他去做产品研发的时候肯定是没有这种避讳的自己在避讳那还怎么研发对啊尤其是在竞争之下呢就所有的品牌都为了保证自己不掉队乃至说我能不能取得领先他们其实肯定都会拼命的去研究跃进期间大大小小的各种问题去开发更好的产品那这里面有些问题的解决方案呢现在看起来是很轻松或者很轻盈的
[00:13:52] 在当时却产生了跨时代的效果比如说金百利的第一个竞争对手强生他就是在1969年拿出了一个跨时代产品叫有被教的无代卫生巾我觉得这边又需要科普解释一下了
[00:14:06] 什么是背胶什么是无带月老师背胶其实很容易理解就是你想象一个类似于什么双面胶有点像双面胶有点像便利贴的那种效果就是你把卫生巾贴在内裤上这样就可以固定住了对就是相对的一个比较稳定的固定其实当年高杰斯呢就是最大的问题就是他发明的卫生巾没有这个背胶他就像我们前面就讲到那个早期卫生巾里面的那个衬垫的功能他其实就是一个
[00:14:33] 高级的沉淀它没有办法脱离于比如说卫生袋来使用妇女同志们要么就是要搞一个卫生袋然后把高杰斯塞到中间要么还有一种方法就是你拿一个别针把你的高杰斯别在内裤上现在很难想象对其实是个很不方便的做法其实有了被胶以后这种累赘是完全不存在的这种有袋的卫生巾就是高杰斯就一下子就变得像一个上世纪的过时产品了所以说当时强生的销量一路是比较好的
[00:15:01] 所以这个强生这个备胶实际上就是你刚才说的一个很轻盈但是又有跨时代意义的一个革新是的之后几次突破性创新我觉得对于目前的卫生巾的研发的思路来说也很重要大概捋一下的话有这几个就1978年的时候呢日本花王旗下的乐尔雅是首创了以高吸收性树脂作为吸收体的卫生巾就不是再用那个木质的棉的纤维棉或者说绒毛浆这种主要吸收材料就变得有点过时了
[00:15:29] 那在1983到1984年的时候宝洁是强势进入了卫生精领域他们之前没有做过这个东西但他们一出手就拿出了两个创新点一个叫干爽网面就是说可以强化这个月经的导流和吸收能力的一个面层材料另外一个是护翼护翼就是帮助你把这个卫生精更好的固定在内裤上它就是有一些防渗漏和抗扭转的功能
[00:15:53] 这其实跟备胶特点就已经非常像了就是一个很简单的方案来解决一些消费者特别在意的问题那到2009年呢宝洁又有一个创新就是液体卫生巾它其实是高吸收性数值的一个升级版然后到2013年呢日本游宁家旗下的苏菲又推出了安心库安心库这个产品的创新非常有意思我们之后会展开说
[00:16:13] 所以卫生巾的迭代到现在的这个版本其实要花了100年的时间差不多尤其像你刚才讲的1983年84年出了干爽网面之后到了2009年才出了一些比较大的产品上的革新这时间花的还是蛮长的我们提到的其实就是一些里程碑式的节点其实更多的时间里面整个行业在做的都是一些渐进式的开发我们找到了日本花王的研发专家叫和奇红点
[00:16:41] 他的一篇介绍性论文里面就提到说卫生巾目前的研发方向主要有三块哪三块第一块叫仿渗漏这个其实是很重要的功能里面有很多细的参数比如说液体的吸收总量吸水的倍率也就是说这个材料能够牺牲自身重量或者体积多少倍的一个液体
[00:16:59] 还有吸收的速度回渗性那回渗性就是说吸收层把液体吸住以后你比如压一下它那个液体会不会反回来还有就是一些结构层面的改进比如说这个卫生巾跟身体是否贴合你活动或者扭转以后是否会有形变等等都是一些防渗漏上的参数我感觉你刚才讲的这些术语虽然听上去好像非常的专业但是每个术语其实都是对应到一个非常实际的这个使用的需求是的
[00:17:26] 防渗漏是一个很大的一块还有一块比较重要是舒适性这个里面经常涉及到指标包括卫生巾的厚度然后面层材料的柔软度干爽度然后整个卫生巾的透气性以及一些负向的问题就是不要导致皮肤问题啊等等的那围绕着防渗漏和舒适性这两个很大的方向呢其实品牌的研发主要落脚点就是这两块了一块是在直接接触皮肤的这个表面层
[00:17:52] 还有一块就是卫生巾内部的吸收体就怎么把这两个部分做到更高的功能化那在防渗漏和舒适性之外呢其实还有一个小的研发方向就是使用简单那这里就包括方便携带方便使用和方便丢弃有一个经典设计的例子就是原来这个卫生巾是直条的一层一层叠放在盒子里的那现在我们其实常见的卫生巾是一个三折叠的设计然后有独立的包装这个携带上其实一下子就变得方便了
[00:18:19] 虽然是渐进式的研发但是感觉能改善的地方也是非常的多尤其是比如说像独立包装这样的最后举到这个例子我觉得如果是没有这个经验的人有可能完全想不到有这样一个需求但实际上它非常重要是的毕竟卫生巾是一个很多人长期使用的必需品消费者对于这种小的品质改善的感知也是非常敏锐的你一旦找到了适合自己产品用户的品牌忠诚度往来也是很高的对于卫生巾品牌而言这其实是一个很好的先决条件
[00:18:48] 就是你研发带来的产品优势是真的可以兑现成你未来的业绩增长的就是你认真的做产品是能够提升你品牌的忠诚度是的前面我们讲到了那么多卫生巾的研发创新和关注点但好像漏了一个点就是大家可能知道最近这一轮社交媒体上对于卫生巾产品的大讨论最初的一个出发点就是有热心的网友测量了一下一些常见卫生巾的尺寸结果发现他们没有完全符合标识出来的那个长度
[00:19:17] 几乎都是贴着国标线的误差范围还要缩水那么一点点所以真的没有一个品牌关心长度这个问题吗这个问题我仔细想过感觉这个答案没有那么简单今天可以大致分享一些我的观点大家也可以在评论区里面继续讨论首先不重视尺寸甚至是有意在缩小近期卫生用品的尺寸这件事情从卫生巾的产品发展史上看
[00:19:42] 肯定是高杰斯开的坏头这么早就开了坏头对他们其实在取得初步的成功以后整个研发工作我们前面提到高杰斯有研发但他论及研发工作的方向就是我们能不能做一些修饰身材的产品
[00:19:56] 比如说紧身衣或者说你日常穿着上面看不出来这个效果还是要遮遮掩掩对就一定要遮遮掩掩他们很注意这个点他们会觉得说我们应该尽可能的帮助妇女保守月经周期的秘密这个也就是我们所说的这种回避讨论月经这种保守思想的作水那这种思维它对于研发的一个潜在影响就是大家就会放弃过往用卫生巾的长度来兜底的这样一个思路
[00:20:22] 转而去研究如何把卫生巾做得更薄然后同时吸收效果更好而且要用更强的这个所谓顺时吸收的能力来解决这个问题我个人感觉放弃长度这个兜底方案其实比较冒险的正好之前听了一期播客节目就是这个嘉宾曾经在保洁中国做卫生巾的消费者洞察他是一位男性那这位男性就提到一个现象就是说中国消费者对于夜用卫生巾的品牌忠诚度非常高他轻易不换牌子
[00:20:49] 我觉得这个其实可以讨论一个点就是在业用卫生巾这个场景下到底消费者是对于品牌的依赖更多还是对于长度的依赖更多这个其实也是可以进一步讨论的他们不愿意换是因为正好有一个已经很适合自己的长度了对他们就是为了这个长度买这个产品另外对于卫生巾长度这个指标的在意确实有一点点就是中国或者说通亚特色的一个问题就因为像高杰斯这样的公司很早就意识到说
[00:21:17] 卫生巾的规格不仅要分日夜用还要根据各种各样的身材来分大小所以说如果去看美国的卫生巾市场会发现它的规格会更复杂一些但是在中国市场有一个什么问题就是女性消费者的身材整体是比较均衡的那这个规格其实是有一些简化在里面的就是日夜用加上长度基本上就可以囊括大致的所有需求了那长度又是一个更直观的量化数据这个也就反过来就变成说
[00:21:43] 我们在关注规格时候只关注了长度在美国市场其实有更多选择可以选的那我觉得就算相对比较均衡但还是各自有各自很大的差别是的不然大家怎么会这么在意长度就是这么会忠诚的一个尺寸呢你安心库还要分码呢为什么会这样呢最后你要说真的没有品牌关注长度问题呢我觉得肯定是有的否则不可能有安心库这个产品对
[00:22:05] 安心库是苏菲在2013年推出来的这个日本品牌呢其实是蛮有意思因为日本跟中国市场一样它都是卫生巾作为绝对主导的就很少有人用卫生棉条这样的产品那在推安心库之前呢苏菲也是长期以夜用卫生巾为它的产品主线的就它主要就是做这一块的所以这方面呢首先技术积累会比较多
[00:22:27] 我们前面提到那期播客节目里也说就是安心库是一个非常强的产品就是它出现以后其实是掉了很大一块应用卫生巾的市场但这个其实有一个好奇也是我们的这个朋友也是我们的同事刘大库老师在他自己的播客里面其实最近也提到这个问题就是刚才其实大家听节目的话也会有个好奇就是安心库一推出来之后就这么受欢迎
[00:22:49] 但它却是一个2013年才推出的一个产品而实际上安心库大家如果看过的话它和成人纸尿库也好或者儿童纸尿库也好产品上没有根本的区别它就是一个纸尿库那这么成熟的一个产品和技术为什么这么晚才有这样的一个用到女性卫生巾上面的一个方案呢这个我个人的观点就是大家仔细去想安心库这个产品你会发现它是一个很
[00:23:13] 笨拙的方案就它跟我们前面讲的那些渐进式研发目标比如什么更薄吸收力更强更干爽透气其实完全是反之来的一个东西它只给你兜底它可以被视作一个技术上非常倒退的产品我个人感觉就是你如果在行业里面你拿这么一个产品出来你可能就会被大家耻笑所以它是可能是非常冒险的方案所以直到2013年才真的有人说我选择把这个东西拿到市场上试一试结果效果很好
[00:23:39] 但另一方面就是因为它非常的简单粗暴就是一个非常强的兜底方案这个兜底方案恰恰可以解决亚洲消费者最最担心的核心痛点就是夜间长时间使用的一个防漏问题所以说它就还是能报这个我感觉也是你前面讲到的最初的时候或者行业里边研发方向的一个偏差
[00:23:59] 和消费者实际需求之间实际上是渐行渐远了然后到了这个产品出来之后才发现原来大家需要的根本需求可以用一个非常简单的方式就能解决好对就你那些fancy的产品研发有可能就是完全或者是不是他们真的想要的天理的一些大家使用的初衷了
[00:24:16] 前面我们从卫生巾的产品研发思路入手讨论了一下现在的卫生巾到底在卷些什么那么最后我们来看一看市场的层面简单的聊一聊在中国市场卖卫生巾这件事情本身会和别的市场有什么不同我觉得最大一个特点还是就是线下渠道里面高线城市和低线城市这个品牌是尽为分明的一线城市消费者不管是看广告也好还是接触食物也好
[00:24:40] 长期看到更多都是国际化的四大品牌就是护书宝苏菲 乐儿雅 高杰斯那在广袤的低线城市和乡村的话七度空间和ABC才是更为人所知的品牌这里也可以举个例子就是ABC早年是怎么做低线市场渠道的就是那个时候呢护书宝已经进入中国市场了它通过大量的广告投放在全国都打响知名度所以呢那时候很多
[00:25:04] 文通品牌也想贴一下护书宝就给自己的产品起名叫某某宝在一大堆某某宝的产品里面只有一个ABC它是一个全英文的名字然后呢低线城市消费者反而会觉得说这个ABC是不是一个外国货小链子就上来了我必须承认最早时候我看到这个牌子我也以为它是一个外国的品牌反其道而行之的一个方式对这个思路其实蛮好的
[00:25:28] 那在卫生巾这个品类上面其实低线城市还有个问题就是它非常依赖小的竞销商来把这个货铺下去那大的城市呢其实非常依赖商超的体系那本土品牌和国际品牌这个思论就有点楚河汉建意思就是完全不一样这里也可以提到就是金百利入华的时候有一个昏招啊就是他花了几千万美元收购了一个当时中国的本土卫生巾品牌叫舒尔美金百利本来以为说我收了一个本土品牌能帮我快速打开中国市场而且很便宜嘛对于他来说
[00:25:58] 但是没有想到舒尔美就是一个非常传统的它的渠道全部都是街边店小卖部的这么一个本土品牌那高杰斯或者说金白利旗下像什么好奇纸尿库啊舒杰纸巾在当时肯定是高端品牌就是完全没有办法在舒尔美的渠道上流通我买了你这个本土品牌的这个渠道但是我用不上对完全用不上其实一种很典型的就是外资品牌对于中国市场一无所知的时候才会闹出来这种笑话
[00:26:24] 但它的后果也很严重就是金百利之后是一直拒绝承认这个错误结果就导致它在中国连溃了10年其实是错过最好的开拓中国市场的机会刚才的话其实我们主要聊的是这个市场的渠道层面的敬畏分明带来的品牌层面的这个敬畏分明那接下来要不要从我们这个节目比较惯常的这个财务的层面来具体分析一下这个卫生巾品牌在国内它到底是一个怎样的营收的情况一个商业的结构
[00:26:52] 这次稍微简单的翻了一些几家卫生巾公司的财报和招股书有些小的基本事实还是可以跟大家分享一下这跟产品品质没有直接的关系但是可能能帮大家比较快的了解这个生意是怎么做的那首先呢卫生巾整个行业的毛利率空间是比较高的尤其是对于那些自产自销的公司来说这个毛利率空间是更高的什么叫自产自销简单的就是这个生产品牌是自己的对
[00:27:19] 贴自己的牌子相对应的就是代工代工和只是纯贴牌OK有三种模式那我们就举一个例子就是一个小的地区性品牌叫百亚股份这是上市公司它是一个自产自销的模式然后它单片卫生巾的就是生产的时候的成本价是0.21元然后出厂价是0.38元它要经过第一轮经销商的时候它在初级经销商手里的售价是0.51元
[00:27:46] 然后卖到最终消费者手上的平均每片卫生巾的售价是1.25元我觉得有点高啊但是如果我们就直接用这个出厂价和售价这两个数据来算一个比较粗的毛利率这个大概是70%的一个水平就是自产自销的一个结构了那这个数据呢跟恒安国际的披露是一样的那恒安国际也是一个自产自销的一个大厂它旗下最有名的卫生巾品牌就是七度空间
[00:28:10] 所以自产自销这件事情是会提升工厂本身的毛利率很多吗很多我们可以再看另外两个公司一个叫豪越护理豪越护理基本上只给一些大厂做卫生巾和安心裤的代工它的毛利率根据披露的话一般是30%以内另外一个叫景兴建护这公司没有上市它是ABC的母公司我们只能看到它2018年招股书的一些披露它就是委托加工模式也就是它自己不生产任何的产品
[00:28:39] 只是贴牌销售所以ABC都是贴牌销售的产品那这个公司2018年上半年的毛利率就是43%这也不是很高就是你代工也没有资产自销高然后贴牌也没有它高对就其实资产自销是一个比较好的模式因为这样子的话你公司用来去打广告或者做研发资金也会相对来说更充裕一些
[00:29:02] 那目前国内的卫生巾行业里面平均的销售费用可以占到销售额的接近四分之一就是四分之一收入都要拿去打广告平均的研发费用只占到销售额的6%所以说它确实是一个更重营销更轻研发的一个成熟的消费品模式这个也要找补一句这个大家听上去好像觉得很夸张全都用来打广告了但是很多快销品其实都是这样的一个结构前面我们不是讲了这个百亚股份从生产到出厂这个价格层层递进的过程吗
[00:29:31] 我觉得说这个0.38元每片这个卫生巾出厂价好像比我想象中还是要贵一点这是不是因为这个牌子的生产量不够大导致的所以我们又查了一下就是景兴建户就是ABC那个母公司在招股书里面披露它是从代工厂那里拿货它拿货价格是多少2018年它的拿货价就是卫生巾的话可以控制在0.24到0.27元每片互电的话更便宜每片就是绝对不到一毛钱的
[00:29:58] 那景新建户它的单片的ABC的卫生巾的销售价格可以走到4毛钱左右这感觉也是为了支撑这个渠道端和一些营销费用的支出才会把这个定价提上来那你刚刚讲的还是这个卫生巾的出厂的价格安心库是什么情况安心库的话就还是可以看豪越户里一些财报
[00:30:16] 它的单片的安心库的出厂价其实到了1.3元到1.4元其实还是蛮高一个数字所以说目前大家在市面上如果可能看到那种零售价能每天走到两块钱以内的安心库的话其实这个定价都已经算比较良心了当然这两年电商在植品领域有一些补贴大战其实是把整个行业的利润空间又往下压了很多刚才其实给大家举了一些财报和招股师的例子
[00:30:42] 主要是对这个卫生巾和安心库的价格体系有一个大致的概念包括毛利率空间这样的系数对出厂价是怎么样然后实际的价格是怎么样代工厂贴片他们大致是赚哪些部分的钱大家有个概念了那除了这个价格以外还有没有一些别的市场上的洞察或者品牌洞察能够分享的讲一个吧就是我自己总结就是有一些中国特色的卫生巾研发创新方向
[00:31:08] 刚刚前面讲到就是主流的研发呢主要是围绕着防渗漏舒适性和使用简便这三个方向展开的那中国市场相对来说会有一些很细的就是有点偏的需求比如说这个卫生巾的表面层
[00:31:21] 中国市场会特别注视敷感和材质像干爽网面就不会是所有人的首选就肯定有一部分人不选干爽网面反而会选择那种吸收效率低一些但是敷感比较好的纯棉表面还是纯棉好的对 纯棉这个东西确实是很重要我可以再举一个相关产品这个是宝洁的有一个产品叫进口纯棉液体卫生巾纯棉和液体卫生巾可以合在一起吗可以合在一起这就是这个产品怎么去叠buff的一个东西
[00:31:49] 就是它面层上面用了中国市场很喜欢的一个纯面的面层然后那个吸收新体呢采用的是那个它自己研发的一个技术很高的一个吸水性树脂然后呢它又加了一个中国特色的卖点叫物理隔菌什么叫物理隔菌其实简单来说就是因为它的这个液体卫生巾呢有一个特点就是它的吸收速度特别快而且说可以把精血直接都吸到那个卫生巾的底层表面是很干爽的
[00:32:16] 那这样子你表面感受不到精血你不就物理革军了吗那其实跟刚才讲的这个吸收性的这个要求是一样的对就是他换了一种说法但你觉得这个确实很贴近你的需求包括这个产品的卖法也很中国特色就他不是在用这个传统的海报啊什么蓝色的液体啊在那给你演示了他直接用直播来把这些功能点解说出来然后就很快就把这个事情卖起来了
[00:32:41] 那还有一个特点就是它是个进口产品把进口直接标在产品的名字里边对就是液体卫生巾都是进口的那这方面其实就是中国的本土品牌国际品牌和国际品牌的进口产品就是在消费者心里面这个地位还是不一样的这还大家还是稍微更信任一点进口产品
[00:32:59] 那今天我们是从品牌产品研发渠道价格等等层面分析了一下卫生金这样一个快销品它到底是怎么样一门生意最后我们还是想回过头来聊一聊近期有关卫生金的大讨论因为这次大讨论其实还是暴露出了很多产品层面的一些基础的问题其实这些问题也应该是这个市场的一些地基的问题但这些地基没有品牌自己想象的那么牢固我看有的品牌会说卫生金行业是一个饱和市场
[00:33:28] 这个格局已经很稳定了这个品牌除了冲销量以外其实很难有大的突破但是如果我们回到最广大人民群众的根本利益来看问题可能会得出不一样的结论那像产品质量方面代工厂本身的这种品控不稳定或者说品牌出于成本考虑在这个产品上搞一些小的缩水或者说把这种代表行业利益的标准逐渐上升为国家标准这可能都是一些长期存在的问题了
[00:33:53] 维生素C市场过去有一个特殊之处在于它是一个很难双向互动起来的话题大部分时候是品牌在自夸消费者只是在用但现在情况变了消费者敢于发出质疑了而品牌可能刚才意识到说这些更基础的指标和功能才是你们更重视的东西就是消费者过去很被动但现在主动了之后让品牌才发现自己这个洞察很不到位对就是品牌变成被动了除了质量还有一个值得讨论的问题其实是价格
