Vol.75 蕉下的招股书经得起“晒”吗？
[00:04:05] 第一点是营销第二点是营销第三点还是营销是吧第四点还是营销OK所以我们今天就讲四点营销就是从特别重视营销这点来看交下在很多方面其实都有点像完美日记完美日记前阵子市值狂跌大家也有很多质疑所以说如果说交下勉强上市的话未来的情况也有可能很糟糕我们这一次呢更多是想把它代表这套营销驱动的模式讲清楚也是来跟大家一起讨论一下营销驱动到底有什么问题
[00:04:32] 最后再啰嗦一句啊就本节目的内容不涉及任何的投资建议那我们就开始吧
[00:04:39] 第一个部分我们先不涉及到很多数据我们来从产品的层面来讨论一下为什么会出现这么多细分部位的防晒用品细分部位细分部位就是涉及到另一个核心概念就是前面提到细分概念的营销细分概念的话在这两年新消费领域是蛮热的一个思路比如说大家可以看到在方便食品里面出现了专门的自热火锅或者说是在大的食品里面会出现所谓功能食品
[00:05:08] 这个都是属于所谓细分概念的影响理解了在我们今天讨论防晒的概念里边细分的概念就是前面我们提到那些物理防晒那些新的那些产品原来我们比较熟悉的防晒双是不是真的就被这样一些新的产品给取代了呢就想要了解一下防晒双原有的产品它是个什么样的情况
[00:05:29] 如果是单看中国的这个防晒霜也就是所谓防晒化妆品的市场规模的话这个其实一直是在增长的就是也没有变差2021年整个盘子大概是144亿元而且中国有一个潜力点就是它的防晒化妆品的市场渗透率比较差也就是说用的人不是那么多我看到一个行业数据说是韩国的防晒化妆品的渗透率是最高的
[00:05:55] 可能全球最高就是说有57%的消费者日常都会用到防晒的化妆品这也蛮可以想象的我们一般也觉得说欧美人不是很喜欢晒太阳吗可能防晒方面没有那么重视对吧但是法国和英国的防晒化妆品渗透率也有30%左右的而中国的数字确实很低只有16%
[00:06:15] 个人感觉这个有可能还是因为中国的人口基数太大了你像现在天天图防晒商的基本上还是在城市工作的一些公司人白领对吧但是更多的一些有比较强的防晒需求的人群比如说像城市里面的外卖快递的小哥等等的他们有可能还没有消费意识所以乍一看来说的话防晒商其实还是有蛮大的增长空间的在中国但你仔细想想实际上这个空间
[00:06:41] 不只是属于防晒霜的而是属于整个防晒消费的那么这个硬防晒用品呢想做的就是说从传统的防晒霜这里抢这个空间这个你如果能说服这些潜在消费者用别的防晒产品那他的这个市场单高不就一下大了吗理解了那么这个问题就是相比较于原来的这个防晒霜的话像这种冰锈之类的硬防晒的用品
[00:07:05] 它为什么能够去抢这个市场份额呢它其实有蛮多小的优势举一个例子是直观因为防晒霜图案你看不见你很难判断防晒霜是不是真的在起作用相当于你在拿自己的皮肤冒血但是你戴一个帽子或者套一个冰袖遮挡就是立竿见影的举一个例子我现在在用的那款冰袖它本身还是比较正常一个东西但是在袖口的话它做了个小的设计
[00:07:33] 他放了一个在紫外线下面会变颜色的logo然后如果你用外面紫外线越强呢这个logo的颜色就越深然后我经常骑车的时候会瞄他一眼这个都知道发黑了觉得戴这个东西真的是很有用这就是有一些很有效的心理暗示小技巧
[00:07:50] 什么像那种化学试纸什么分态啊石蕊一样有点像那个东西但是还蛮有意思的感觉有点像戴森做的透明的那个垃圾的那个收容的那个感觉一样就是你要看到那种实际的效果的小老师为什么要callback这么老的节目OK这是第一点对还有个优势就是简单因为防晒霜嘛就是你隔一段时间或者说你出了汗啊下了水你就要注意再补擦一下嘛还是有点麻烦的这个物理防晒就是随拿随用帽子一戴就可以出门了
[00:08:18] 最后还有一个优势就是通用性就是我们前面提到过去防晒霜作为一个化妆品的话它覆盖的可能还是比如说女性消费者或者城市的公司的人会比较多但是它如果变成一个防晒装备就相当于把很大一块的就你前面提到像外卖小哥这样的一个市场给打开来了这么讲的话感觉这几个产品上或者说使用场景上的优势还是蛮make sense的不过我有个问题就是现在这些像娇夏这样的品牌他们
[00:08:46] 推出的可不是一件衣服或者是一个冰袖它是像我们刚才讲的有伞帽子皮肤衣手套就是你整个皮肤都做了个变那这样的话就有个问题就是我要买好多件衣服或者好多个产品这个感觉就把前面的那些比较方便的优势就给抵消了显得很繁琐为什么他们要做这样的一件事情呢
[00:09:06] 肖老师一下就抓住了问题的关键因为我们前面不说它是一个细分概念的营销吗其实就在细分概念里面它还要细分需求物理防晒不是现在是一个新的品类吗他们就是做法就是把需求拆得非常细把每个小需求都做一个产品覆盖到就是从整个防晒需求里面把硬和软给拆封了之后再从硬的里面又拆封了你各个的场景和各个身体的部位没错就比如说你开车的时候
[00:09:36] 会晒手臂然后你就给你弄一个冰袖你怕晒了也就给你戴一个帽子这个想想很体贴再想想就是消费陷阱好吧我见过一个最细分的需求啊就是美甲的时候这个美甲的时候呢需要用紫外线来照你的手指甲那个部分然后呢有的人就怕把手照黑然后就可以戴一个指鹿指尖的防晒手套
[00:09:58] 听上去的话这个还蛮方便玩手机的说不定还有一点意外的使用价值夏天玩手机就本来就不需要戴手套所以说就是细分到这种程度其实你已经很难给它找什么正当性的理由了品牌其实就是为了让你不断的意识到自己身上哪里要补一下防晒或者是不是要在擦防晒霜的基础上面再多盖一层这个就可能是能保证他们自己的产品销量越来越好
[00:10:24] 当然要引导消费者产生这样的意识呢就需要大规模的做营销然后反复强调物理防晒的好处理解了一例外就是有天时地利嘛比如说今年不光是上海全国多地都是高温日非常厉害就是真的暴升到一定程度的话就没有人会忽视防晒了然后你越着急补这一块呢最头部品牌就越有机会
[00:10:46] 那么交下就属于这种头部品牌了那它自己的规模很大程度上也是靠拼命营销造出来的一个市场空间所谓世界上本没有路但是房下的人多了也变成了路突然陆续
[00:11:01] 接下来我们就进入第二个营销的部分就是基于电商平台和KOL带货的营销这个部分的话我们就要来进一些数据了先看两组基础数据都是来自招股书第一个是2021年交下来自电商渠道收入占到了他当年总收入的80.9%还是很大的一个比例典型的一个新消费这里的电商渠道就是还蛮多的包括天猫旗舰店京东唯品会抖音还有他自己的微信商城等等
[00:11:30] 这个里面天猫是绝对的大头另外一个数据就是2021年交下来自于直营电商渠道这个直营渠道的话主要就是天猫它的收入大概是16.43亿元这个相比起2019年翻了8.4倍非常高一个数字相比2020年也是翻了三倍
[00:11:48] 可以看得出它是非常重视电商的而且电商这块增长也很快这也很符合我们对新消费品牌一贯的认知但是可想而知这个销售业绩增长的反面就是广告投放的增长也应该很快或者规模很大没错招股数据是这一点比较好可以看到一些比较细的运营数据的披露比较诚实交下的投放支出主要是集中在四块第一个叫广告与营销开支
[00:12:17] 第二叫电商平台服务收费这两个部分是最最重要的另外还有两个是运输及物流开支以及雇员福利开支我们前面不是说了交夏在两年内在他自己的电商直营渠道的收入翻了8.4倍吗他的电商平台服务费变化跟这个部分是高度一致的也是翻了8.4倍完全一样但是他的广告营销开支是从3600万元直接升到了5.86亿元
[00:12:44] 这个翻了16倍等于是广告的这个增长率还要比他的营业收入更高对的品牌自己也不会演这么多广告费是怎么花出去的然后他说他在2021年跟超过600个KOL合作过
[00:12:59] 这个总共带来了45亿浏览量大幅提升了品牌和产品的知名度因为交下自己也有代言人也投一些投不主播的直播间我们就稍微谨慎一点把这个5.86亿元里面的一半算作给KOL的投放费用这个非常谨慎我们算一下平均数就是平均每个KOL能从交下手上拿到49万
[00:13:23] 保守估计一人拿到49万是吧有点惊到虽然知道KOL很赚钱但是没想到就是这么赚钱因为毕竟交下只是他们这个每个KOL这边掐饭名单上面一个品牌对吧他会有很多的品牌合作这么一想的话他们确实是做了一个收入很高的职业有些机构也去通过专家访谈去调研过交下内部到底是一个什么样的营销策略结果也蛮惊人的
[00:13:49] 据说交下有90%以上的广告预算都投在效果类转化上面也就是俗称的花钱买交易然后也规定了说这个营销预算的ROI底线是0.8到1这个是个什么概念也就是说在一个KOL身上他花一块钱广告费必须至少带来八毛钱的销售收入然后如果这个ROI打标的话理论上来说它就是允许无限投放也就是可以你不停的投放这个KOL或者你不停的投更多的KOL
[00:14:17] 而实际上交下这类投放的ROI总体是能够到0.8到1.3的根据不同的品类的KOL是不太一样的但是这个数字基本上是达标的那等于是真正的一个花钱买成交而且是平进平出对吧有可能稍微能多赚一点点对但总体来说是平进平出另外就是说交下
[00:14:37] 不会去走那种大而全的全渠道投风路线比如说你没有看到他去投什么分众广告他其实是比较聚焦于抖音和小红书的仅仅这两个平台就占到他们在站外营销费用的95%以上所以说你能在这两个平台看到非常非常多关于交下的直播带货种草测评软文
[00:14:56] 等于是在这两块很大的流量的水田里面拼命的种草拼命的种草不是种田是种草但是现在流量整体来说也是越来越贵了2022年经济形势也不是特别好所以说要继续维持这么高的收入增长水平的话想必KOL们拿到的广告费可能会更多
[00:15:18] 如果我们再看交夏这个公司整体的ROI也就是总的收入和它的整个总的消费费用之间的这个比值我们就可以发现2019年的话交夏花1块钱的销售费用可以带来10块钱的销售额但是到了2021年这个数字就变成了花1块钱的销售费用只能带来4块钱的销售额这个整体的ROI和它广告投放的ROI有差别呢是因为
[00:15:44] 就是前面的话还包括了像线下门店啊或者说品牌口碑自己带来的自然的流量及复购这些都是比较良性也不太需要依赖投放的一些收入嘛但是如果它2021年的整体ROI只有4的话其实是一个蛮危险的信号了因为它下降的很快对就是反而是说交下早年是能看出来有一些品牌号召力的但是现在因为各种各样的服饰品牌都去做防晒了它就泯然众人了
[00:16:11] 你不做投放你就看不见它然后更加不会想到去买它刚才我们讲的第二点就是基于电商和KOL带货的这个营销其实归根结底一句话就是一分投放一分收获对吧对讲完了这个部分的话我们要么还是回过来讲讲产品吧因为防晒防晒你毕竟是一个有明确功能指向的一个产品多说少少还是有一些技术门槛在的吧
[00:16:36] 这个就很微妙也蛮复杂的为了方便大家理解技术在这个里面究竟是怎么被品牌异化成一种营销策略的我还是想细分成几个小的点来讲第一个叫技术概念第二个叫体感和面料第三个叫专利第四个就是成本与定价一个一个来讲首先是技术概念我们之前用防晒霜的时候经常会听到一个缩写叫SPF
[00:17:01] 然后现在在物理防晒里面用的是另一个缩写叫UPF所以区别是什么我先说
[00:17:08] 一致的东西就是这两个都是能够直接说明防晒效果的指标他们计算方法也是一样的就是他们会比较防护过的皮肤和裸露的皮肤在晒伤时间上的差异什么意思假设说在同一个日照条件下你直接让太阳晒你的皮肤10分钟就晒红了但是你涂过防晒霜以后连晒5小时也就是300分钟以后才跟原来一样红那么它的SPF就是300除以10就是30
[00:17:36] 哦原来是这么来算的至于SPF和UPF有什么不同呢就是SPF主要关注到的是紫外线里面的UVBUVB是我们这个皮肤晒红晒伤乃至得皮肤癌的主要原因然后SPF到30呢就意味着它可以阻挡大概97%的UVBSPF50呢就是能阻挡98%哇刚才那个一串英文和那个数字已经有点头晕了不过就是我简单的用中文来解释一下
[00:18:05] 就是说我们经常说的防晒的效果的指标就是SPF
[00:18:11] 并不是说数字越高然后它这个效果就成比例的更高的所谓的30到50其实也就是多挡了1%的紫外线里面的有害成分没错你直接抓到了重点然后我们再讲UPFUPF就是指防晒衣里面会用的表示它防晒效率的指标对吧对UPF相比起SPF它好在一点它不仅管UVB也管UVA它多管了一种紫外线的
[00:18:40] 类型是吗对的UVA就是另一种紫外线它这个相比起UVB来说它对皮肤的穿透能力更强它容易引起皮肤的老化起皱纹以及变黑也就是说你如果要管变黑这件事情的话其实要管UVA然后UPF到50呢就跟SPF是一样算法就意味着它能够阻挡掉98%的UVA加UVB
[00:19:01] 就是说它原来的防晒霜只能帮助你不要晒红晒伤然后不要得皮肤碗然后现在防晒衣或者是这些硬防晒的东西的话它还可以帮助你防止它皮肤老化然后起皱纹变黑对这个概念反正归根到底就是一句话就是UPF要比SPF划算OK好的因为它管两种东西但是还是那句话就是UPF
[00:19:26] 30就能挡掉97%我确实不知道市场上为什么会有什么UPF100的产品你要么直接卖镜子算了把太阳光全部弹回去就可以了弹走太阳光当然UPF做到一定量还是管用的管用在哪里因为目前我们国家的仿制品国标对于仿紫外线性能的频率标准里面就是有明确规定的
[00:19:52] 只有当一个产品的UPF大于40且UVA的透过率小于5%的时候才可以被称为是一个防止外线的产品
[00:20:01] 现在网红做测评的种草也会经常给大家提到说要看一下标签是不是符合这个国标的产品所以说防紫外线产品就有点像保健食品一样是一个有明确标准的不能随便乱用的一个称号对吧对对反正这个方面国标还是蛮严谨的它里面专门有一句话就是要提到我们前面讲到的第二种紫外线UVA对否则你全拿SPF就是糊弄过去了也不行技术这个部分大家听起来可能已经有点累了
[00:20:30] 要不我们接下来还是讲另一个品牌宣传的重点就是体感这一部分就比较正常了我们前面了解SPF和UPF的计算方法其实还是有点用的因为它的前期条件就是拿你保护过的皮肤跟裸露的皮肤比套一个长袖其实本来就能有防晒的作用了就是我正常穿一件外套
[00:20:52] 就可以防晒了对你其实正常穿个薄衬衫就可以防晒了当然是你衣服越厚越防晒了我现在就穿一些薄衬衫对但是大夏天去露皮肤本来就是为了散热这个事情就很矛盾这不是所有防晒的矛盾点吗对所以说市场上就出现了像冰袖这种用了特殊纤维面料就是主感一种体感差异的产品你虽然套了一层但是你不会觉得太热太闷甚至你穿上去的时候还会觉得有点凉凉的也是一个根据消费者体
[00:21:21] 体验和场景突出的一个产品的卖点对这个里面就能体现出一点点技术含量不是很多啊主要就是因为大家用了一些像莱塞尔或者天丝这类相对来说比较新鲜的材料或者说你改变这个织物的织法提升它的透气性还有一种方法就是往面料里面插一些矿物颗粒比如说云母片之类的东西就接触了瞬间就可以产生凉感
[00:21:44] 这个就属于是纺织技术或者是材料技术当中的一个领域了我看到像焦夏他们就会说他的防晒产品里边基本上都会用到一种叫AI loop的面料这个是属于什么很先进的技术听上去跟优衣库那个Arizon好像有点亲戚关系是那种亦父亦母的亲戚就不是亲戚吗不是亲戚其实我查了一下就是焦夏在这些防晒服饰的不同的宣传阶段提过好几种不同的面料名字
[00:22:13] 这个我还是在看他们百度百科时候发现的因为这个百度百科也引用了公司在2019年的产品介绍当时的冰秀的面料叫Floid然后防晒帽用的是叫Ultra Red然后防晒服用的是所谓进口Spandex功能性弹力面料
[00:22:32] 这个具体的读法大家真的不要在意啊因为研究了一下除了最后一个好像都是他们自己贴上去的名字这个第一个宾秀的这个Floid好像是法语单词所以我的读法已经是不对的它是法语里面的寒冷的意思然后这个Ultra Read听就是一个生造的一个英语单词嘛就跟这个前面提到Air Loop也差不多
[00:22:51] 刚才不是说有一个不是自创的吗就是最后那个spandex功能性弹力面料这我要吐槽了spandex就是安伦呀就是莱卡你这块是化工家庭出身的所有这种衣服如果你要有弹性啊或者是要免皱都要加这个面料而且我们之前讲Lululemon的时候也提到过这个东西嗯说起来现在各种服饰公司为各种各样材料自己起一些名字是很常见的事情像你前面提到airism还有像heatech或者是
[00:23:21] 然后把这些技术的进步点描述的非常的详细然后再给它起一个很玄的英文
[00:23:50] 所以说你说各家防晒品牌之间这个技术差异真的有那么大呢显然是不能的假如说这个各家正能拉开显著的差异的话是不是早就升级成所谓专利战了这个专利就是你前面提到的第三点了对专利这个事情其实我是看券商引爆看出来的困惑因为这个招股数实在太长了它划的重点就划到了这个点然后我又研究了一下交下的这个面料并没有发现什么特别的地方然后这个招股数里面竟然说这个公司有123项专利
[00:24:18] 还有72项正在申请这个我就不信了我就去用天眼查看了一下具体都是什么专利开始用专业工具了天眼查这类工具还是蛮好用的我发现了几个趋势第一个就是这个公司在专利申请年份上的分布这其实高度集中在2020年和2021年就可能当时他们就想上市了为上市要做一些准备
[00:24:39] 另一个就是专利的类型分布他们申请这么多专利里面70%是那种门槛比较低的所谓外观专利比如说一个防晒服务它跟市面上常见的防晒服务长得比较明显的不一样就可以去申请一下外观专利这也能专利也能专利的其实真正比较有技术竞争力的是所谓发明专利和实用新型专利这个它占的比例就比较少
[00:25:03] 最后就是说他在招股书里面确实写到了三个最重要的专利但是都是围绕遮阳伞的结构专利而不是说现在公司收入最大头这些防晒服饰的专利所以说绕了半天的话他其实没有在材料上面或者防晒的功能上面有特别明显的技术的专利
[00:25:21] 而且你前面讲到的一点简单总结来说
[00:25:50] 如果说我们说这个技术营销营销到最后呢是一般会体现在价格上面但是你反过来说从成本段来看其实就也没有提升多少
[00:26:13] 我们看到一个行业媒体叫电商在线他曾经去一个地方就是纺织房业非常发达的地方叫绍兴科桥很有名去采访过当地的供应商就说了你如果想要这个防晒衣有更高的UPF值只要在面料里面多加那种抗紫外线的助剂就可以实现了这个助剂本身很便宜然后你如果想要冰丝或者四面弹这种面料也是很成熟的解决方案你比如说30块钱到40块钱一米的布料就可以做一件衣服了
[00:26:42] 然后你如果说时尚你再加一些染色印花的工序就是再加10块钱所以说这样算下来一件效果很好的防晒衣的话可能也就是五六十块钱就可以解决了所以其实刚才我们讲到那些非常复杂的防晒的那种指标或者说是它技术上的这些特点的话对应到这个绍兴科桥这边的供应商就是一些非常明确的多少钱多少钱可以你想要什么东西再加几块钱OK
[00:27:08] 对但是如果说品牌的话它因为有前面提到的高昂的这种KOL投放的一些营销的成本所以它会在这个成本的基础上面显著的加价我们看了一下交下来的招股说它的服装的毛利率大概是52%它帽子的毛利率就更高了大概是67%配饰也有61%也就是说衣服是在成本上面翻一倍价格的然后帽子可以翻两倍这还是
[00:27:34] 官方的一个数据实际上你如果去电商平台上面去看的话交下的防晒衣正价基本上都是两三百块钱的跟我们前面说的五六十块钱是没法比的相当于有三到四倍的加价了也就是说从技术上来看物理防晒这一块目前其实没有什么真正意义上的核心技术但是品牌都在拿科技和时尚当卖点然后获取更加多的溢价了
[00:27:59] 最后还有一个小的话题虽然说交下目前线上的部分是占收入的大头但它这两年已经在加速布局线下了包括开直营店也包括跟一些重要的零售渠道以及全国各地的分销商合作这点的话也跟完美日记很像你像线下门店不就是完美日记上市之前很重要的一个新故事吗确实是
[00:28:20] 分销收入这两年在交下的报表占比里面一直是比较稳定的大概占16%到18%如果只看2021年数据呢分销商当年创造了3.95亿元的收入但是要注意一个前提就是2021年也是交下分销商数量暴涨的一年他们2020年的话是274家分销商到2021年就直接升到了872家
[00:28:46] 然后我们也算了一下平均数就是2021年每个分销商能够带来的收入是45万然后如果回到2019年的话每个分销商收入大概是70万还更好了也就是说分销商这部分的收入是增长了并不是因为他找到了更厉害或者销售能力更强的合作伙伴只不过是因为他把这个渠道的数量整个规模给扩大到原来的三倍了没错
[00:29:08] 大规模分享还有一个显著的好处就是可以降低自己公司存货的压力就因为货都压到经销商手里了这个是最有魅力的最有魅力的2019年的时候交下整体的存货周转天数是110天相当于一年能卖3P多一点的货然后到2021年这个数字就降到了62天等于说它靠着业务模式的转变就在存货周转这个事情上面
[00:29:32] 产生了非常显著的进步大家也知道这个从货周转的天数是这种服装行业或者说是零售商品的行业里面非常重要的一个数据指标然后你在招务书里还会看到说教下说自己是一个DTC驱动的品牌OK但是分销商也是直面客户的所以说也不能完全说他是错的只不过和经典意义上的D2C还是有一点出入的
[00:29:56] 到这里我们基本上就把交下招股书里面看到一些问题说完就是你前面讲的四种营销在这些之外呢我觉得有两个更大的就是涉及到行业判断层面的问题需要提一下就是所谓的道果为因和人云亦云什么是道果为因呢比如说物理防晒它本来不算是一个什么明确的细分方向它其实就是靠像交下这样的品牌拼命在做投放而在无数的直播间和小红书笔记里面做出来的一个方向
[00:30:25] 结果行业媒体和平台就会说这个东西火了它可能是一个新的趋势那么他们这么说的目的呢可能还是希望你不要停止投放嘛否则他既没面子又没有钱赚觉得还蛮失利的对的人云亦云其实更好理解就是说招股数怎么说然后券商报告和媒体报道就怎么写嘛品牌自己
[00:30:44] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:31:08] 想办法将所谓的第一股概念合理化他们就会对这种明显的问题视而不见这个是我不太能接受的
[00:31:15] 刚才岳老师讲到有一点还是比较重要的就是招股书这样的重要文件其实是很难做粉饰的但是我们看到很多基于招股书的信息的一些二道的内容它就有太多的粉饰了其实岳老师想要批评的都不单单是一个交叉这个公司的问题而是关于行业的其他一些角色的一些问题大概是这个意思那我们做这档节目的话主要目的也并不是说想要把一些商业现象或者公司直接给分析得出一个不可辩驳的结论说死了并不是这样的
[00:31:43] 我们还是希望能够建立起一个相对严谨
[00:32:08] 感谢收听这一期的商业就是这样
