Vol.208 超市里的食物为什么都有塑料包装？
[00:16:15] 但是这个斯洛洛到零售包装里面其实是要等到1970年据说最早是在墨西哥就是他们在一些水产品和肉类当中实践的我们现在有的在买活鱼或者你现在河马里面买那些活鱼的话这个鱼放在一个有水的袋子里面一个袋子还是要充气的对吧它就充点氧气其实就是为了保证这个鱼活着这个在过去菜场里面还是很常见的是的但你不是节目开头提到就是我们现在
[00:16:40] 那个肉类的包装就是那个一盒一盒肉其实它都会有点鼓嘛那这个里面也是有气条包装的那这个气条呢就是往里面冲了一顶的应该不是氧气吧
[00:16:51] 绝对不可能这样因为它是目的是为了抑制肉的就是不要氧化不要发生化学反应是所以说里面肯定是氮气和二氧化碳的比例是更高的一些惰性气体对那正因为充了这个气所以说那个你会发现那个膜上面是有点鼓鼓的就我们过去都说如果你这个包装或者什么易拉罐或者是罐头鼓了那就是不能吃了不能用了现在也不能这么说了对现在其实你完全不能通过以前的这个经验来判断这个气条包装的这个品质到底是好还是坏了
[00:17:19] 我也是学习了一下才知道这个工艺的现在除了肉类好像很多熟菜也是采用这种包装方式的那除了气条包装还有种方法就是真空包装就是你把这个包装里面空气完全抽走那像这种包装材料也可以使用比如说
[00:17:35] 普通的透明薄膜也可以使用一些热缩膜热缩膜就是可以让这个包装更好地贴合到这个食品表面这个我们在一些比如说可以及时的海产品的时候上面会看到比较多一些一盘一盘的对 而且如果再细说下去就没完了就比如说现在食品表面用的这些塑料薄膜很多时候都不是单一质地的而是好几种材料叠在一起的复合膜那每一层都有自己的功能比如说关于牛肉它的气条包装我看到有一篇论文就比较了五种不同材质的透气性材料的包装
[00:18:04] 保鲜能力差异最后结论是什么最后结论是有一种复合材料是PEPP和PET它组合在一起的保鲜效果最佳这个PEPP和PET大家如果经常看那些塑料瓶或者是一些这种塑料的包装盒等等的经常会看到这个东西不过今天我们就不解释不开有机化学课了不解释它们分别是什么
[00:18:25] 简单总结一下刚刚岳老师这一趴就是在赛路分之后其实如今的食品包装已经是就是又更新换代了很多波了一方面是材料我们可以看到有不同的根据不同食品的需求或者是保鲜需求有些新的材料其实是更加广泛的被使用了第二个就是包装的工艺你除了像过去就包一层以外现在有比如说刚刚讲到气条等等的也好使得包装的形态或者说是食品包装能够应对的场景是越来越多的
[00:18:53] 而这个过程其实又潜移默化的影响到了零售商和消费者的很多决策到这里我们基本上已经把目前超市里边食品塑料包装的前世今生讲完了接下来我们进入后半场就是大家更关心的问题就是超市里边给食品包上那么多塑料这到底是一个真的需求还是一个伪的需求这个问题答案其实正反两个方向都说得通我们就先从
[00:19:19] 塑料包装这些正面的效用说起吧前面我们花了很长时间来介绍食品的这个塑料包装演变其实无非想说明一个问题就是增加了包装以及各种包装技术以后对于在超市的自助购物的条件之下延长食品的保鲜期从而减少食品浪费这个事情是很有效的这其实就是塑料包装最大的价值我们举一个常见蔬菜的例子就是黄瓜超市里面目前常见包装
[00:19:45] 的方法其实就是给黄瓜包点保鲜膜对有论文数据显示如果不包这个保鲜膜黄瓜的常规保鲜期其实只有一到两天哦很短的对但是裹了保鲜膜以后呢它的保鲜期就可以提升到六到九天这是常温的情况下是吧常温对这是因为就是保鲜膜内的水汽接近饱和而且二氧化碳比例也相对比较高这个就相对延缓了黄瓜因为湿水导致的软化的问题
[00:20:08] 以及它益氯素的分解就是可以保鲜我们经常会说牛奶的保质期跟它的销售的好坏是有很大的相关性的对于像蔬菜来说肯定同样也是一样的一到两天扩展到六到九天这是一个巨大的飞跃对于零售商来说对因为它就是多了五六天可以卖的时间而且也减少了每天的损耗相比起消费者日常爆买但是吃不完的这种浪费的问题其实零售端因为食品品质不达标直接报废损耗的这种
[00:20:35] 浪费其实影响肯定是更大的而且我觉得这个趋势也是迎合了现在消费的一个习惯就是大家天天去采买的比例肯定是变低了如果你是一周购买一到两次的话它对于保鲜期的要求就更高这种薄膜或者是包装其实更有必要是的通过延长保鲜期来降低损耗是一个方面另一个方面有了包装之后商品之间交叉污染的风险也更低在流转过程中出现被动损耗的概率也很低
[00:21:02] 什么叫被动损耗被动损耗比较好理解假设一下绿叶菜如果没有包装的话假设你一筐绿叶菜你可能走到半路上已经一堆叶子掉下来了然后在超市里面又被挑挑拣拣然后就又一堆叶子掉下来了这样其实不仅影响了购物和物流的环境也确实造成浪费可是指这个就是浪费了对你刚刚讲到交叉污染又是指什么蔬菜还能怎么交叉对这里的交叉污染主要是指一些特定的
[00:21:29] 这里可以举一个法律法规层面要求就是我国在2016年发布了一个食用农产品市场销售质量安全监督管理办法反正名字很长里面有一条就是对于所有的绿色食品和有机食品它的销售都必须要有包装这个过程其实就是考虑到交叉污染污染指的是有可能是农药残留之类的这种东西对然后你沾到了比如这些绿色产品或有机产品造成它的质量受到了影响所以它必须要有这个包装
[00:21:59] 那除了延长保鲜期减少损耗这个最大的理由之外呢给食品加包装显然也是一个有利于零售商管理库存的做法这些我们在奥勒青年期节目里面稍微提到了一点就是我们开头讲了他们的五大运营原则有一条没有展开的叫做商品要易于操作和处理显然说你要操作生鲜商品的话有包装和没有包装这个管理难度是天壤之别的
[00:22:23] 我们可以找到奥迪在欧洲的一些例子就是超市甚至可以根据货架或者周转箱的尺寸规格来要求供应商设计对应的包装规格那这样改善下来其实有很多好处了首先你配送的物流效率会更高那你均摊到每件商品上物流成本就会变低其次你整个卖场里面可以摆的货品数量也会变多而且能让这个卖场看起来非常整洁
[00:22:46] 第三就是包装以后的商品无需员工自己再介入去称重打标签这个人效提高了然后它捕获理贵难度也大大降低了这工作效率就提升了最后就是超市自己的后仓利用率也会更高包装好的商品也很有利于像外送这种需要快速的去配货取货的场景包装对于现在这种零售商的售卖的方式来说是好处有可能更多的
[00:23:10] 我感觉这个有点类似于集装箱和货轮的关系了就是把原来不同尺寸规格的商品都塞到统一规格尺寸的集装箱里面去就不用再考虑船上的空间如何在最高利用这些问题了对就是这个意思关于食品包装还能想到一个优势就是它很利于那种复杂的商品设计以及信息的传递复杂商品就是比如说我们现在可能在一些新领售品牌里面经常见到各种各样静菜的组合或者是预制菜你如果说内部没有
[00:23:39] 比较复杂的独立包装
[00:24:07] 地方来承载那就是最好的地方就是食品的这个包装就是你这个产品如果你要就是推广出去的话你就得有个包装来给自己打广告对所以总结一下月老师刚刚讲到的食品包装的一些正向的作用首先是保鲜通过延长食物的寿命来降低各种损耗的可能其次是易于操作主要是指对于零售商的操作包括物流展示库存管理等等的
[00:24:29] 最后是承载信息尤其是对于本身比较复杂的产品或者是生鲜电商自由的产品线它能够放更多的内容来告诉消费者自己是个什么样的商品前面的论述听起来就是在各种细节上面都是讲到了食品加了包装之后有很多的好处就是非常可以理解了为什么超市那么喜欢给食品加包装了但是我们既然会想到还有一个负面的层面就说明我们日常作为消费者来跟这些包装接触总归是还是有一些违和的或者是不太舒服的地方
[00:24:57] 那在讨论塑料滥用问题之前呢我们可以从食品包装另一类负面效用先说起就是它会有个绑架消费的问题那如果说我们去回到农贸市场或者说在超市还可以挑挑拣拣零买的那个时代呢很容易发现一个差别吧就是过去买东西你可以根据家里的实际消费能力和消费情况适量的去买比如说一个经典的说法就是南方菜市场可以你每次只买两个土豆或者
[00:25:22] 两根葱这样子那这个其实是一个很典型的一个问题就是买多买少话语人主要是掌握在消费者手上我要买多少我就买多少但是超市给商品加上包装以后呢其实消费者的情况又变了他只能按照超市规定的这个包装规格来购物那这方面的吐槽最多的这个对象就是山姆啊Costco对吧他们的这个包装
[00:25:44] 规格都很大就是瑞士卷吃一半扔一半这种广告我自己也有很多经验就比如说有的时候会做一些就是那种什么白灼汁就是酱油里面要加各种的一些什么胡萝卜啊芹菜等等的我买了这些之后呢我就要把剩下的那些就是在酱油里面煮完的剩下的那些我想我想办法利用它不然就放那边浪费了你也不能走上美式的生活方式就是吃一半扔一半是吧于心不安反正就很麻烦所以说这个问题其实是不单单是那种大型的超市就是普遍存在于
[00:26:12] 就是现在这种零售环境当中的还有个例子就是我们之前不是对比过奥勒西和河马NB的水饺不是当时发现河马NB那个单价更便宜但是规格很大那个还算是动品就是那个只要你自己再买个冰柜还能解决一下但是也很烦你家里放的下多一个冰柜吗在22年之后我们家多了个冰柜我们家还没有所以说我发现这也是一个问题就是它其实跟我们家的就是储藏环境因为冷冻才是很有限的对就也不是很匹配
[00:26:41] 当然最近好像奥勒奇也跟随着这个策略也开始做两公斤的这个水饺我觉得再这样下去那就跟山姆没有区别了大家还是对小的家庭或者是单独生存的这个人稍微友好一点好吗谢谢大家总而言之言而总之就是给食品加上包装其实给超市释放了一个很大的自主权假设我们说这个超市
[00:27:00] 它是一个抠得很细的超市或者说它数字化程度很高就他们可以完全通过自己的精密测算它算出来比如说我一盒到底卖多少个瑞士卷或者一袋青菜到底是做成500克还是550克更有利于我的超市的利润最大化或者说我能在跟同行对比中显得更划算对吧就是它可以去做设计但是我们要被动接受它这个设计当然并不是说有一个固定的规格和包装就一定是
[00:27:25] 就是有利于超市而不利于消费者的理论上还是可以兼顾消费者的感受比如说做小包装或者我们前面讲的那种进菜的组合其实还是满足消费者需求的但实际上就是小包装的价格如果更贵或者利润率更高的话你要说这个东西到底是有利于谁也不太好说对吧反正就是有很多博弈的空间在这里了那在绑架消费之外食品包装另外一个很大的显著问题肯定就是塑料的滥用
[00:27:50] 这也滥用不单是指数量还包括在前面提到因为出现了更复杂的视频的保鲜要求多种组分的复合型包材的使用更广泛了复合型包材本身的性能肯定是更强的但是它在回收端有个很大的问题就是它几乎没有办法有效的被回收因为很难把它还原到不同的母料上其实在国内有垃圾分类规定的这些城市里边如果硬按这个规定来看的话就是像那种贝壳型的这种比较硬壳的这种透明的包装盒或者塑料盒
[00:28:19] 它还是有一定的回收率的还是比较高大家会把它当做一个回收品来回收对我们小区分得非常细透明的塑料盒子专门要扔一块地方因为它回收起来会更容易而且很容易进入到后面的环节你要说薄膜或者是刚刚讲到一些复合塑料那就很困难了当然我们可以理解这个问题其实是相对比较国内比较少的环节里面在好奇的问题就是降解或者是垃圾分类或者塑料回收这些问题
[00:28:45] 但是在别的市场其实这个问题还是蛮重要的对或者他们更care这件事情那到这里可能就要有人问了如果说回收这个环节难度比较高那是不是可以往上走一走一开始就更多使用那种可降解可堆肥的塑料或者说干脆减少使用的塑料呢就是对塑料提出一些更高的非分要求我之前的工作正好接触过一点点相关知识
[00:29:06] 斗胆回答一下这个问题就是有几个点首先就是可降解可堆肥的塑料它本身因为配方不同就会造成它的性质差异而且它的强度会明显的下降那如果要让它承担食品包装这个最重要的保鲜功能可能就有点难度就是它这个降解和你要达到它那些性质稳定的一些要求是互斥的对 而且你还要让它经受住物流配送和门店陈列这些要求的话其实是非常大的挑战
[00:29:33] 其次呢就是研发这类新的材料必然会有成本的上升而成熟的大规模应用的塑料包装方案它本身的一个特别大的优势就是它的成本不会太高所以它才会采用这个方式所以这也是胡吃的最后呢就是即便你告诉消费者这个外包装可降减可堆肥那消费者可能也会困惑但我怎么去降减呢我有没有时间来做这些事情呢所以在一定的情况下还是有可能把它当作普通的塑料处置了但就相当于我们前期所有的投入都白费了
[00:30:01] 所以塑料滥用的这个问题实际上真的是一个很大的很复杂的一个话题吧对那关于塑料滥用其实还可以讲一个反直觉的点就是我们早期节目不是聊过塑料吸管吗那塑料吸管和塑料袋一样都属于我们国家对于限塑力里面限制商家大规模无偿使用的产品所以市面上现在很多产品都在用那个纸吸管或者用可降碱吸管了但是我们今天讨论这个超市里面的食品塑料包装呢
[00:30:28] 它不在限塑性的限制范围内原因就是因为考虑到卫生和食品安全的原因它是直接接触那些生鲜的食品的对就是你在包装外面套那个塑料袋你是得限的对但是这个直接接触食品的这个塑料的包装它是不限的对其实就是国家在于在食品塑料包装的功能性和限制塑料滥用这两个互斥的方向上呢更认可的是就是功能性的这个价值
[00:30:53] 相对来说后面就没有那么重要了这方面其实可以再举一个极端的反例就是假设我们把超市里面所有的商品塑料包装都撤掉变成那种重新可以食品和日用化工产品都可以重新散装可以按需称重购入那种所谓的干粮店澳洲常见那种东西那行不行呢
[00:31:12] 干粮店这两年确实是一个很火的环保概念的零售业态但是也可以发现它从澳洲传回中国的时候就面临两类很典型的质疑一类就集中在它的卫生方面尤其是食品安全这个部分其实大家讨论很多就觉得散装这个东西还确实是有点不卫生的问题另外一类质疑就是它的价格偏高其实违背了消费者在这个方面预期你没有包装你为什么价格变得更高了
[00:31:35] 毕竟现在中国的主力消费者应该都还经历过菜市场和超市等种散卖称重的阶段还没有被美式的消费习惯影响的那么的深但从另一个方面也说明了就是你单纯卖环保的概念在中国还是很困难的吧只能说就是现在越来越多的这个消费品包括食品都被封装起来背后肯定还是跟人的一些根本的就是最主要的需求是相关的比如说对安全的要求啊比如说对性价比的要求啊对方便的要求
[00:32:04] 那环保有可能只能往后排
[00:32:06] 那今天我们是从超市生鲜的塑料包装处罚讨论了材料和包装技术的发展史也讨论了食品包装究竟有什么样的正向和负相的价值那最后对于给食品包装塑料这件事情我们到底能不能给出一个明确的结论我觉得很难给出一个明确结论因为从前面的分析就可以看出来如果我们给这个问题套上不同的主角的视角得出的结论就是完全不一样的那从零售商的角度来说给食品加塑料包装可以说改变整个行业的方方面面
[00:32:34] 不管是运营效率营销方式还是最终的收益率其实都有了大幅的改善而从消费者的角度来讲塑料包装价值也是有两面性的你可能只是厌烦处理这个包装过程或者你的环保意识比较强会觉得这是塑料的滥用但是从购物的体验来说塑料包装还是保证了你的食品安全和食品的新鲜以及还有稳定性和便利性或许我们可以这么理解就是越来越多的食品塑料的包装可能是我们为现代生活所付出的一部分的代价吧当然这里还有一种可能就是
[00:33:03] 零售商和消费者之间能不能形成一些新的共识然后推动整个行业给出一些更好的比如说更环保的消费的或者是包装的解决方案比如说有一些发达国家呢针对商超行业已经提出了更严格的限速要求哪怕是功能性的食品塑料包装也希望尽量减少塑料用量并且提升回收率那对于中国的零售渠道来说呢这感觉也是他们未来需要考虑和承担一部分社会责任行业里经常提的一个说法叫做消费者洞察
[00:33:31] 也就是通过挖掘消费者的真实需求来创造新的消费机会在超市的早期发展过程当中给食品加上塑料包装可以算是一个非常重要的消费者洞察的案例但随着超市行业走向高度的成熟食品包装的价值可能就不再是轻飘飘的顺理成章了而是需要在新的洞察当中被重新理解商业就是这样
