Vol.37 山姆和Costco凭什么让你花钱买会员？
[00:04:02] 没错这个感觉其实很重要因为在零售业里面你这一个店铺的服装范围是三公里和五公里或者三公里和十公里这个差别都很大举一个比较熟悉的例子像洗车店有可能它覆盖的范围就是三公里你会去比较附近地方去洗个车但如果你去4S店的话它有可能覆盖的就是五公里十公里甚至二十公里的这样一个范围这个其实和刚才讲的消费的频率也是很有关系的对吧对
[00:04:27] 最后再跟大家说一下销售货品的方式
[00:04:50] 这个其实对于比如说小企业主来说批发这个事情肯定是有价值的因为你哪怕手上没有经销商的资源
[00:05:19] 你说麦德龙的话我就可以理解了像早期的时候麦德龙很多去买的都是一些小的餐饮门店就一买买几只猪腿这样的概念对啊我们其实也能从这些仓储会员店的会员卡分类来看这个问题不管是山姆还是Costco他们的会员卡里面都分了企业会员和个人会员两类一般
[00:05:41] 个人会员还会给你一张付卡甚至你可以再花一点钱来加一些家庭成员进去他们都可以挂在这张卡上面去买东西当然这里也有一点模糊的地带比如说国外有很常见像自由职业者或者小的工作室一两个人的那种他们其实也可以算公司但是你要说他是个体也没有什么问题Costco在美国也做过估算即使是他们企业卡会员的消费
[00:06:08] 公司用的比例和自己用的比例的话就是在销售上面大概就是一半一半的占比所以说不管是企业卡还是个人卡都要特别重视消费者的个体体验理解意思了所以基本上对于大多数的个人消费者来说去这样的仓储货运店里面买的东西就要接受那种一买就买一大堆的这种状态至于这个为什么这么重要我们后面可以继续再展开
[00:06:32] 既然刚才提到了会员分类我们就先把会员这个事情讨论的清楚一点我们今天讨论的仓储会员店这个会员其实特指的是付费会员像山姆啊Costco它的入场门槛基本上都要几百块钱这个其实会把很多的客人挡在门外对吧哇什么东西都没买就要付几百块钱不是很多人都能接受的那它这样一个模式到底怎么想出来的呢肖老师你知道山姆的这个店的英文名字叫什么啊不叫Sam吗叫Sam's Club呀哦有个Club
[00:06:59] 其实club这个点就能体现出付费会员这个价值了我记得小时候听到club俱乐部这个词主要是在两个地方一个是电视里面有个节目叫小神龙俱乐部另外一个是在凡尔纳的小说里面叫环游地球八十天这个小说的主角福格先生出场的地方叫伦敦改良俱乐部那个是一个服务特别周到然后用很多好东西但是规矩也很多的地方伦敦改良俱乐部也是一个在伦敦真实存在的私人俱乐部
[00:07:27] 然后在中国呢有一种类似的东西叫做会速于老师你这个看似是在解释club这个事情但我感觉你是在夹带很多童年的回忆对啊还是回到付费会员这个事情付费这个点呢也很像一些高端信用卡的思路因为现在很多信用卡呢办起来都是免年费的或者你用很少的一点积分呢就能抵扣掉年费
[00:07:48] 但是有些白金卡不仅办起来对于你的资产要求特别高比如要看你的房证车证之类的而且它的年费有可能是刚性的你每年必须要花那几千块钱哪怕能用积分抵扣那个门槛也特别高说不定要30万积分之类的这个其实反而刺激你平时会消费的更多也就是说这种付费的门槛它会改变消费者的一个心理状态然后再影响你的消费行为是吧如果你能够付会员费的话就等于筛选了一批的消费者说明你是比较有经济实力的
[00:08:17] 然后有一点对于这个产品的需求的然后拿着会员资格入场了你就会尽量想要用足自己的权利买的就更多了对又是所谓的来都来了OK我也看了美国市场一些统计数据发现仓储会员店的会员里面中高产的比例特别高能够占到85%左右然后一般的超市这个比例只有73%这个付费的门槛还会造成另一个现象就是所谓的先到先得
[00:08:43] 比如说一个地方先开了一家山姆然后后面想再开一个Costco的话就会比较困难因为很少有人愿意花两份几百块钱的会员费对吧别说几百块钱了现在大家买一个视频会员都要在爱优腾当中稍微掂量掂量或者是对吧这个月有这个剧我就买这个地方的会员我其实是很多平台的连续包月会员我后面想想就是每个月的钱都不知道花在哪里了不过跟视频网站比一下你就会发现仓主会员店这个收费模式肯定是很不灵活的
[00:09:12] 为什么必须要收年费呢你看黄牛去卖刺卡就说明消费者肯定是有这个需求更灵活的付费对消费者来说肯定是更有利的但是对店来说就肯定是很不利了怎么说我们从山姆和Costco的收入结构就能看出来他们在商品层面的毛利率都压得很低消费者买东西付的钱基本上只够他们的采购费和基础的一些人工费甚至有时候会亏一点这个我们后面具体会讲到
[00:09:40] 所以你可以想象的话就是他们赚钱全靠这个会员费是吧对啊我们还是举个具体例子就是Costco的2018年的财务数据它在商品部分的毛利率是11%哇这个真的很低
[00:09:54] 对这个其实比以抠门著称的沃尔玛还要低啊沃尔玛这个指标也有20%的然后为了卖出这些商品的话Costco的销售费用率是10%11%减10%就是不赚钱对吧但是会员费收入呢可以达到整个公司当年利润的70%
[00:10:12] 理解了就是他先让你付这样一笔钱所以他先收到了很多的现金然后至于你后面的消费的行为他让你体会到那种高质低价让你消费者感觉到赚到但他提前已经把该赚的利润先赚到所以你要是他们去放弃这种能够锁定利润的模式的话显然是不可能的他们只会想办法从比如说更忠实的那些会员身上赚更多的钱比如说山姆的卓越会员一年要花680块钱办这个会员卡普通的会员只要260块
[00:10:41] 在美国的话山姆的卓越会员有一点点小的好处就是每笔消费的话会有2%的信用卡返现然后在中国这个模式稍微有点改良就是可以去领一些优惠券这种用户回馈的手段聊胜于无但是也有点效果属于那种花钱之余的小确幸听上去就是一个扩大版的天猫88会员
[00:11:03] 有点像当然了就是说普通会员也可以榨更多的钱实际上山姆在入华这26年里面呢涨过一次基础的会员费他们最早进中国市场的时候会员费是150块钱大家已经觉得有点高了然后后来一口气是提到了260块当时市场都震惊了但是后来发现呢效果还可以
[00:11:24] 他们其实都测算过如果说整个会员的忠诚度比较高的话涨价其实不会造成非常显著的会员流失而且几年之后呢大家其实也就完全接受这个新的价格体系了然后这公司当然就更赚钱了说到这个我确实有点印象就是当初他们涨价的时候其实在几个核心城市还是引起过蛮大的反弹了结果后来就像你说的效果还不错说明他们这个测算还是蛮有本事
[00:11:49] 讲完了会员的部分终于可以进入仓储这个相对比较陌生的概念了就前面袁老师你也提到过消费者去山姆或者Costco去买东西本质上是去批发进货的这个我就有一个天然的疑问就是大家去消费总共希望体验好一点那你去批发环境或者购物体验肯定不咋地他为什么要这么做呢
[00:12:11] 关于仓储这个点的话其实我们可以拆成几个小的方面来讲首先的话传统的商店的话其实要切出来两块部分一块是叫前厂是卖货的部分另外一块叫后厂是存货的部分这个在中国东北有一个非常形象的说法就是他们管小卖不叫仓买是后面是仓前面是买这个概念的话其实就是非常天然的相关的一个状态很直接这个名字起的很直接非常直接
[00:12:39] 但是像仓储会员店里面基本上是不设后厂的仓库的部分的他们把所有的店面的空间全部当做仓库来用然后因为店就是仓所以说商品的摆放形态也会跟普通的超市特别不一样超市的货架怎么放东西其实是非常非常有讲究的包括说展示面要怎么给大家展示出来然后展示的高度在哪里促销堆头的形式是什么样子的都会影响消费者的决策
[00:13:07] 你这个一说我就想到了几个经典的商学案例里面的名字像保洁联合利华对吧他们这种快销的巨头就特别擅长这一套东西像之前元气森林比较火的时候大家也都会提到他怎么在便利店里面铺那种冰柜要讲究排面这个其实还是有蛮多很细节的学问的
[00:13:25] 但是在仓鼠会员店里面商品的摆放就没有这么多细节上的讲究了一般都是直接连着那个木托盘被裸在地上或者放在货架上面这个上货不是靠人来上货的主要是靠叉车来上货的这个也很对对这个节约时间这点其实非常重要
[00:13:43] 其实时间是一方面另外一方面就是在这个过程里面商品其实一直可以保持那种出厂前的打包状态直到你撕开那个保鲜膜把那个东西拿走的那一刻这个其实也能给消费者一个很强的心理暗示就是觉得这个东西就是厂货非常便宜原来还有这种心理有一点点最后的话就是仓库它不太需要装修
[00:14:06] 在美国的话一个普通的Costco门店从拿到这个物业到开门营业这个整个装修或者说整理的过程的话可以压缩在100天内完成这个效率在美国来说是非常高的仓储会员店挑物业的话普遍有一些需求比如说这个层高得有9米9米是其实非常非常高你一般家里就是3米左右的一个空间那9米的话有个好处就是消费者在这个仓库里面逛不会觉得很压抑当然也能堆更多的货
[00:14:34] 往垂直方向拓展的话也能保证说我在平面上面有很多的空间可以用
[00:15:02] 这里也可以展开说一个我个人的观点因为在美国不重视门店装修这件事情其实从沃尔玛开始就已经做得很绝了然后山姆和Costco只是把这个思路再发挥的极致一点但是在中国的话超市就像你前面说的一般会被认为是一个还不错的购物场所尤其是那种大超市给人的印象普遍是宽敞整洁明亮有序那么为什么国内的消费者能够比较快的接受这种长得像仓库一样的超市呢
[00:15:29] 除了前面提到一些跟消费心理相关的设计的话还有一个原因就是因为宜家先来了宜家那个字体区大家有印象的话就会觉得那个地方本来就是仓库还有一些平板包装的东西也是很颠覆传统的消费者认知的你要自己去扛家具然后自己去开车运家具回家还要自己组装家具这个过程蛮有意思的
[00:15:51] 但是宜家逛多了呢消费者也会对这个事情形成一个基本的认知和接受度然后到他们走到这种仓储会员店里头就会发现你搬鸡蛋搬牛奶搬卫生纸跟搬家具相比还是很轻松的
[00:16:05] 虽然刚才于老师讲了一下这个仓储这种模式对于消费心理上面的一些暗示或者洞察但我个人觉得就是你毕竟还花了几百块钱先前进去然后你的体验又是不是那种非常舒适亮堂的那种消费那他为什么一定要到这个山姆店里面去买呢
[00:16:24] 我们终于要讲到这种仓鼠会员店里面最诱人的部分了我看那种社交媒体上面去打卡的人基本上在这种店里面就是买两类东西类似吃的比如说烤鸡马鼠牛肉或者什么小青年饮料这些都是长销的热销款特别推荐一下奶油可颂看起来你也是山姆的会员吗不是但我今天早上正好吃了这个早饭尊贵的山姆会员
[00:16:51] 另外一类呢是你想不到会在这种店里面能买到的东西比如说茅台Burberry风衣或者是什么北面的三合一冲风衣然后价钱也很合理我记得我第一次去Costco的时候所有人都是去抢那个茅台的没有人去抢烤鸡的那个时候也是一个新闻那个时候的茅台能够正价买到就是赚到所以说是一个很有意思的卖点
[00:17:15] 我以为它只是一个当一开始开店的时候一个用来吸引大众的新闻热点而已不过我们确实可以从两个方面来讲一下所谓仓储会员店的选品讲究仓储会员店这么大的一个店里面实际能够放在里面卖的商品只有大概四五千个这个相当于普通大超市的三分之一所以它其实产品的数量反而更少的对的而且在单个品类里面一般只有一到两个品牌可以让你选
[00:17:43] 举个例子比如说牙膏可能最多让你在假写式和黑人里面选一个那我有点买不了有点可怜对吧然后这些商品里面呢还有25%左右是自由品牌的
[00:17:57] Costco那个自由品牌叫Cokeland然后山姆是Member's Mark这个选品思路呢核心就是有一个要求叫高质低价怎么说自由品牌呢其实是最能体现高质低价这个特点的山姆和Costco都是尽量找市面上面最好的供应商来提供这些自由品牌商品的
[00:18:16] 他们是把走量这个事情做到极致的然后因为量大所以说可以尽量的压低成本这个销售价就可以定在成本价附近然后如果说压不了这个成本就要要求更好的品质举个例子比如说红枣据说山姆的红枣是一颗一颗称重筛选的要保证每颗枣都在10克以上10克是多大我都没有概念
[00:18:40] 然后再举个例子我有个朋友前段时间他去山姆的牛肉供应商那里上班了然后这个供应商就说你市面上要挑进口牛肉的话山姆的品质就是最高的你也不用去费心找别的了
[00:18:52] 这样说的话我就有点大致理解了所以说山姆给那些付费的会员提供的核心的价值就是我不需要费心去货比三家了我直接闭着眼睛在山姆就可以买到符合我需求的那种品质比较好的东西然后像量大或者说是仓储式的那种购物体验不怎么舒服这些都不是很重要了只要这个东西本身是能够让我很满意的
[00:19:15] 对我连红枣食客什么概念都没有这个不重要
[00:19:29] 但是说怎么能让这种没有经验的消费者也能意识到我这个东西品质很好呢就是一些新客人
[00:19:51] 撑着组织出来然后一路全部都是试吃这是去自主餐厅吗有点像其实食品类的东西的话很多时候你试吃一下就知道这个品质是很好的这个比你空口在那里吆喝的话效果好很多山姆和Costco都是很少去打广告的他们更愿意把试吃造成这些损耗当做一笔广告的费用山姆官方的说法是公司一年用来试吃的南美白虾就15吨15吨你总会有概念了吧
[00:20:18] 当然还有一个诱惑就是低价我们经常会说所谓的便宜美好货更何况这个东西还没有牌子它是一个自由品牌的但是如果你买回去试一下发现这个东西不错的话也能留下好印象
[00:20:31] 我理解了所以其实从消费心理上面来说你一开始付那个货源费你就可能觉得我自己弱痛一下下但是你之后一年长期的这个在买便宜的好货的这种过程当中你的这个满足是不断的在累加的就是所谓的先亏后赚然后还有一个问题就是我们前面提到自由品牌自由品牌的话其实很多是集中在一些刚性的消费部分的就是一些每天都要用的东西或者吃完就没了的东西这些部分对于
[00:20:59] 强化会员的忠诚度以及提升消费的评次都很有帮助前面提到像Costco或者山姆的话一般只有4000到5000种商品这些商品里面刚性的需求可以占到三分之二然后另外的三分之一就比较有意思就像我们前面提到像茅台Bubble或者说戴森以及一些现实出售的东西都是为消费者能够创造一些超预期体验的
[00:21:23] 我之前去Costco的时候因为大爷都去抢茅台然后茅台很快就没有了Burberry也很快就没有了然后很快烤鸡也没有了我最后出来的时候呢手里带了两盒威热山丘的凤梨酥这个也算是凤梨酥里面的top品牌是吧蛮好吃的但简单的说就是茅台或者Burberry Dyson这种牌子的话理论上你不会觉得它能出现在一个超市里或者反正是一个
[00:21:48] 不是品牌门店的地方
[00:22:15] 好了不再说烤鸡了我们还是稍微总结一下就是能够把茅台或者Bubble这种重要的品牌吸引过来也是仓储会员店一个很厉害的点他们一般会用客流量或者说会员忠诚度的这些数据去跟这些品牌去谈也会提一些比较有竞争力的分成方案当然品牌也是很精的一般都不会拿最新款去卖而是卖一些次新款或者说经典款
[00:22:39] 当然这个还是会让消费者有惊喜然后让会员店有流量品牌也有销量这是一个共赢的结果
[00:22:47] 最后的话我们再来讲一点仓储会员店的周边的特色业态我记得小时候去那种两层楼的大超市的时候旁边都会有服装店还有快餐店这种业态但是我看山姆和Costco的新闻他们比较有意思他们会在旁边开汽车保养店还有眼镜店据说在美国还有加油战士对比较常见还包括美食广场快照店和药店这些业态的话其实都有一个很重要的特质就是你必须去线下才能
[00:23:17] 也属于那种竟然还有这的这种感觉对的举个例子如果你是去
[00:23:36] 所以说Costco对于这种周边业它就非常重视
[00:24:01] 举个例子加油站Costco在美国的加油站的话是一个非常有意思的东西它的汽油的话也是他们的自由品牌柯克兰的据说这个汽油的价格可以算是全美最便宜的那一档这个汽油钱到底是哪里省出来的呢就是靠大量的采购加上把整个加油的设备都换成那种自主式的节省人工然后提升效率然后也能赚更多钱可惜这个业台在中国现在比较难实现
[00:24:28] 我们前面也提到了宜家和仓储会员店有很多相似的地方尤其是在吃饭的这个部分我觉得这个体验也是很一致的像宜家的餐厅和小吃区的设计里面也有很多自助的部分然后它的餐食是出了名的物美价廉作为吸引客流的手段非常有效所以你如果不太能理解仓储会员店的话不如先去免费入场的宜家餐厅吃一轮试试看
[00:24:52] 总结一下仓储会员店这种形式呢其实它就是找到了那种大体量的零售和小规模的批发它当中的那个重合的部分然后对于传统的大超市的那种选品思路做了一下精简把门店和仓库合二为一
[00:25:08] 从而达到了效率和成本能够压缩到极致那在商品层面呢他们是以自有的品牌为核心通过和供应商的谈判尽量的做到大部分的商品都是高质低价少部分的商品能给你带来点惊喜这个对于他的主要的客群所谓的中产的消费者来说还是蛮有诱惑力的
[00:25:27] 在服务层面他会找到很多让人不得不去线下去做的那种需求比如说眼镜啊加油啊汽车维修保养等等的把它放到一个购物空间里边让他自己变成一个一站式的服务基地最后最重要的一点就是仓储会员店的盈利空间主要就是在他先付的那笔会员费而会员对他的忠诚度呢还是来自于对品质的认可以及潜移默化的过程当中被影响的那些消费习惯
[00:25:52] 总结很好啊说到这里的话有一个话题我们还是要提一下就是在中国这个市场仓储会员店的话还是会面临一些竞争的首先还是讲一下仓储会员店这个模式本身的局限因为这个商业模式的覆盖范围很广客单价也比较高所以它就不能像便利店一样在一个城市里面开几千家甚至可以不断的去加密度这个就是一个只能依靠少数人口密度比较高或者消费水平都比较
[00:26:19] 但是这些都没有改变它
[00:26:47] 这个本体就是一个精品超市这件事情但是后来大家逐渐发现了河马很强的一部分业务就是他的自由品牌他自由品牌也是做高品质的定位的不一定低价但是能够让人记住到今年六月的话我们就看到河马也出手做了自己的仓储会员店他是把所有的优势
[00:27:07] 都集中起来然后也强化了自己付费会员的那个部分河马的X会员它的价格也比较便宜只要218一年而且退费的模式也比较灵活真的是一步步慢慢的学习如果拿河马自身的进化然后和美式这种仓储会员店或者说整个大的商超业态的商业模式来做对比的话可以发现很多有意思的差异然后有一些本土化改造的过程今天我们就点到为止下次有机会的话再展开讲讲河马这个
[00:27:36] 这个就进一步提升了他配送环节的效率
[00:28:05] 讲到这个应对的部分其实我们也了解到前几年电商刚刚兴起的时候像山姆是非常紧张的因为他一方面听说Costco要入华了要打起精神对付这个老对手另一方面呢电商那个时候给线下零售的压力又非常的大很多人当时都是担心有天猫超市了对吧山区人都可以买到进口的海淘的商品了那为什么还需要仓储的会员店是不是这种问题他就没有活路了
[00:28:30] 其实这两年大家都不会再说所谓电商能够完全取代线下门店这些事情了而是经常说两者要结合包括你前面提到天猫超市这些东西现在天猫超市也在做自己的会员也在做仓储所以说这是一个相互融合的过程然后加上电商和外送服务的话其实就突破了我们最早提到的各种零售门店的形态受到那种覆盖范围和购买频率制约的问题
[00:28:56] 但是怎么能够结合得更好哪些地方要变哪些地方不要变其实也很有难度我们也能发现在上一轮所谓新零售的故事里面很多运营者其实是犹豫不决的到底是抓品质抓概念还是抓引力还是全都要呢如果这个犹豫不决的过程过长的话很可能就会对商业模式的基础造成伤害比如永辉就是一个很典型的例子
[00:29:17] 说到底像仓储会员店这种模式他们能够在很长的时间里面都保持成功其实是因为他们首先设计了一个很好的一个比较健康的商业模式或者说是抓住了一个基本的需求在此基础上再去讨论品质概念消费者的中存度这些问题其实仓储会员店这种模式它能够在很长的时间里面都保持成功首先是因为它设计了一个很健康的商业模式抓住了一个特定人群的特定需求
[00:29:46] 在此基础之上再去逐渐完善品质概念周边叶态这些部分从而才能在不断的变化当中生存下来商业就是这样
[00:30:02] 感谢收听这一期的商业就是这样
