Vol.34 “金字招牌”特辑：哪些消费品类发生大变化？
[00:07:20] 你们去看什么爱美奖啊或者是别的那些电影节啊奈飞都是一个很重要的参与者了为什么他这么做呢其实也是想要通过不断的推出新的内容来维持老用户的订阅同时吸引新的用户来付费但是奈飞有个好处就是他能全球扩张所以虽然他的大本营北美市场这个付费用户这两年是有点下降的就是止步不前了但他至少有很多的海外市场可以去增长
[00:07:45] 而腾讯和爱奇艺则有中国市场天花板虽然天花板很高但这两个公司已经涨得很大了
[00:07:53] 我们已经把第二名聊到差不多了要么我还是回到金字招牌B站吧不过B站的部分我不想太多的表扬啊因为这么做的人已经太多了而且B站是那种天然话题度很高的公司因为它上面会产生很多内容嘛而且是那种互动性很强也会辐射到别的社交平台的那种内容再加上2020年B站是资本市场上的可以说明星吧股价是从十多块钱涨到一百多块钱虽然今年以来一直在回落
[00:08:21] 但仍然是一个市值接近300亿美元的一个明星公司所以这些事情其实吸引了更多的眼球但越是这样本身就比较吸睛的公司我们越想要去看一些客观的数字来判断它在去年我们第一财经杂志其实是用一个封面专题来写了B站这家公司它的方方面面怎么起步的up主的群体如何养成的这个网站如何破圈的它的商业逻辑等等我们都写到了
[00:08:46] 我记得那个封面叫前方高能我觉得内容也蛮高能的大家真的可以去看一下对那个封面里边的梗如果都能懂的话说明是一个老B站用户了反正这里就不具体复述那个封面的内容了总结一句话的话就是上市之后的B站在他的董事长的带领下他们是走上了一条以用户规模扩张为核心目标的增长之路而B站现在很多的变化呢其实都可以参照这个目标来理解
[00:09:12] 你说是增长的话增长都要看数字你要么举两个数字吧如果和2018年刚上市相比的话B站确实是变得非常大了变得主流了最近的一个核心数字就是它的日活用户已经超过了优酷仅次于爱奇艺和腾讯了但是如果我们仅看2021年的数据会发觉B站的这个扩张的脚步其实是有些缓慢的我们看几个核心的数字截至2021年第二季度
[00:09:38] B站的月活用户是2.37亿同比增长是38%已经蛮快了对吧但它的日活用户刚才我们讲到那个6300万的数字其实同比只增长了24%而2020年这个增幅是42%
[00:09:54] 当然我们也不能绝对的看这个百分比因为你整个基数规模变大了你这个比例不可能永远都是很高很高的但同时我们也要看到就是B站的亏损也是在一直扩大今年第二季度它的净亏损是11亿元而上一个季度就是第一季度是9亿元去年同期的话是5亿多元那我们到底怎么来理解B站这个亏损是所谓京东那种一直亏损一直变大的那种状态吗我就简单说两个原因一个是
[00:10:21] B站的用户增长很多是靠它在广告和营销上的投入来堆出来的另一个的话就是B站的一个收入支柱就是游戏这一块有点停滞不前第一个点的话其实看数据就能大概知道B站这两年亏损扩大最主要的原因就是广告和市场的投入的增加那这个钱主要是花在哪里呢首先就是APP和各项产品的推广费用这个就跟别的APP一样啊你要引流你要做增长你就需要在各个渠道上去花钱
[00:10:51] 所以是像大家讨论比较多那些跨年晚会啊官方视频啊后浪啊入海之类的是不是都在这个里面对的这个属于是品牌的投入这个虽然大家讨论的比较多但钱花的未必那么多我们在B站的那个专题报道里边也写过像后浪这些宣传片在B站的市场部门原本的规划里边都不是S级的项目费用都不是很高的就算是像跨年晚会这种大制作其实实际的成本我们了解下来也不是那么多
[00:11:18] 所以简单来说就是说B站这部分亏损的话就是为了要快速扩张用户的规模来做了一些投放做一些推广所以才导致亏损了没错那这样的话就显得B站和别的那些APP没有什么特别大的区别当然这也无可厚非因为它现在钱很多你去看它的累积的资金是非常多的另一方面它确实也到了一个需要建立全民品牌形象的一个地步所以这个阶段的亏损虽然需要警惕但也能理解
[00:11:45] 但是你前面好像还提到了收入的部分就是他游戏业务增长不是太好对吧没错大家都知道游戏是B站的收入顶梁柱我就不知道说明你没有玩过FGO这个游戏但是游戏这一块业务他在这两年的营收是基本持平的就是今年和前年的同期没有什么区别这个问题我看到外界很多的评论都比较乐观他们觉得
[00:12:10] B站的比如直播的增值收入是很快的增加了它的广告收入也很快的增加在这种情况下其实对游戏的依赖度在下降是件好事情但我觉得B站当然需要降低游戏的这个占比这也是它在上市之后很多的分析师或者投资者都在谈论的一个话题但是这个前提是你游戏这个业务自己不要萎缩你自己也得增长现在这个情况其实是有些令人担忧的
[00:12:35] 尤其是考虑到近期一系列针对游戏的监管其实B站相关的游戏也受到一些小的牵连的而且为什么我们说B站的游戏收入是很重要的因为相比较于别的那两部分收入游戏和B站的用户是有天然的一个连接的它的用户基础以及很多的二次创作的up主的资源都能跟游戏的发行有很好的互动这个是它做游戏的一个独特的优势
[00:12:59] 而像它的广告的收入直播的收入其实都你需要前期再投入很多东西才能做起来比如广告的时候就要靠你自制的节目才能去赚那些品牌广告所以说B站这两年投了很多跟游戏相关的公司其实它是很重视这一部分的对吧没错而且不仅是游戏还有动漫B站都是投了很多的钱投了很多公司它的核心目的就是希望这些内容和它已有的用户能够很好的互动然后产生比别的公司更大的一个联动的效应
[00:13:28] 所以总结一下我们在B站在长视频品类里面拿了五年第一如日中天的情况下还是给它小破了三盆冷水第一个就是它的用户增长在放缓第二个就是它的用户增长实际上带来了亏损的扩大第三个就是它的游戏收入这个支柱产业的话停滞不前对吧月老师总结的很到位了而且说到这里我突然就想到我们之前写的B站的那个封面专题里
[00:13:52] 有一个受访者的采访最后没有用在稿子里但是可以跟大家在这边分享一下我们是采访了一位B站非常资深的运营的同事名号不方便说了反正很多老B站用户熟悉的up主说是他带出来都不为过比如有一些很著名的up主的栏目还有他们的选题方向都是他帮忙想的但他跟我们聊天的时候说到了一个自己的观点他说他觉得B站接下来最大的竞争对手是快手
[00:14:18] 怎么说呢就是B站要扩大用户群必然就要吸引更多的创作者这样才能吸引更多的用户嘛而这些创作者不再是过去二次元时代的主流的那些人群也就是在大城市长大的90后的年轻人吧他们可能是一些小城市县城农村长大的各式各样有意思的人
[00:14:37] 这个运营他举了一个例子就是有许多的民间的音乐人这群人在视频网站看来是非常重要的一个流量的基础但是这群人现在未必在B站被用户发掘而是在快手一年前我们聊到这个话题的时候这还是一个B站员工自己的个人想法但现在据我们了解B站的管理层很多人已经有了比较明确的共识他们不会把竞争的目光就放在西瓜视频或者爱奇艺腾讯这些同类的网站上
[00:15:05] 而会思考如何和短视频的平台争夺好的内容因为用户总是跟着内容来的再好的这个生态的传统
[00:15:30] 不仅是数字上增加还要是比如说人群覆盖面上面增加品类的广泛度这个其实也会给它带来很多的风险对这个地方我们就点到为止以后有机会再展开
[00:15:42] 那我们第一个品类视频网站就聊到这边接下来就聊一聊于老师非常熟悉的速溶剂饮咖啡其实前面肖老师那个部分聊的太多了我们后面争取都稍微少聊两句速溶剂饮咖啡这个品类是相对于现磨咖啡来说的现磨咖啡就是星巴克Costa以及我们之前聊过的Mana这些品牌我们把不是咖啡是现场制作出来那种快消品咖啡都归在速溶剂饮这个品类里面
[00:16:10] 我来第一餐饮工作以后呢这个部分的内容我大概写了四年所以说先给大家介绍一点历史数据很有意思2016年我们调研这个品类的时候排在第一名的选项其实是我不喝咖啡排在第三选项是我喝咖啡但是不喝速溶和寄饮咖啡如果大家不是因为傲娇啊或者说故意逗我们开心去选这两个选项的话这个其实是体现出来一个非常奇特的市场背景
[00:16:35] 相当于说在2016年国内一线城市的年轻人竟然都还没有形成一种咖啡依赖症有的话也是局限于现磨咖啡这是一个多么理想的潜力型市场当然事实上不是这样因为中国的咖啡消费结构的话是一个还蛮固定的结构它基本上是由速溶和基因咖啡撑起来的然后我们前面提到像星巴克Costa这些现磨咖啡的话其实只占到了市场的20%左右
[00:17:02] 这两年呢因为市场变好了可能会稍微提升几个点但是也不是很多然后在剩下的那个80%左右里面呢又有70%是速溶的咖啡10%左右是基因咖啡这个市场非常的大然后结构我刚才说的是非常固化的一个现象所以是我们关注速溶和基因咖啡的一个很重要的原因也就是说它原有的那些品牌都已经很确定了是吧对尤其是基因咖啡我们先从这个比较小的这块来说起吧
[00:17:29] 寄饮咖啡这个市场呢我觉得这两年一直发展的情况都不是很好今年看下来主要的原因呢还是因为它的可替代性比较强因为现磨咖啡或者说速溶咖啡甚至说是新式茶饮啊瓶装茶饮料都很容易抢走寄饮咖啡也就是罐装咖啡这个生意更何况这个罐装咖啡的一个重要的销售场景就是在便利店里面大家还记得我们前面就是开头提到的全家的派克咖啡吗
[00:17:53] 现在哪个便利店不做咖啡呢大家咖啡的而且都做的还不错那我为什么要在便利店里面专门去买个罐长的咖啡来喝呢另外的话市场上其实现在的话一直缺一个很强的那种进咖啡的品牌
[00:18:06] 唯一能够稳定占住市场的竟然是贝纳松好吧但我身边还是有蛮多朋友很喜欢喝这个饮料他就不把它当咖啡来喝了但这个牌子本身实在是太老了这两年的话其实可以看到农夫山泉和元气森林也在进咖啡这个方向上面做尝试像农夫做了碳冰冰就是两个人的那个冰读起来很奇怪这个字很陌生对然后元气的话其实是通过买品牌的方法他买了一个之前也是一直在做便利店渠道的
[00:18:35] 但是农夫山泉和元气森林他们依然很喜欢商超便利这种老渠道而不是说像UCC在日本当时会通过自动售货机这种比较简单又有效的新渠道来扑货
[00:18:48] 所以呢我觉得这个在中国市场可能大家还要想一想这个怎么来做寄饮咖啡的创业会比较好或者干脆要么就不要做这个方向所以寄饮咖啡总结的话就是现在还没有一个能够冒出来的突破性的品牌对但是速溶咖啡的情况呢就是有点不同我们提到速溶咖啡估计很多听众的脑子里第一个反应还是雀巢三合一这是一种印在大家灵魂深处的味道味道好极了对速溶咖啡呢过去的话就是一个非常非常保守和传统的品类
[00:19:17] 但是里面呢又有很多知名的品牌比如说像欧洲系的雀巢啊伊利啊麦斯威尔老娃子东南亚系呢还有旧街场啊中原集气比如说有一段时间我妈很喜欢喝白咖啡那个就是东南亚系的速溶对吧这些品牌呢其实都经常出现在我们金字招牌榜单的中段位置然后而且有时候是靠前的相信他们有一些铁粉
[00:19:40] 其实就是有一家公司这么想的
[00:19:51] 有一家德国血统的投资机构叫JB Holdings它的背后是德国的传奇富豪雷曼家族这个JB Holdings我们之后有机会的话肯定可以聊一期它是一个非常神奇的多元化品牌管理机构它旗下有各种各样的消费品品牌然后咖啡的话是他们非常重要的一个布局方向在咖啡这个品类上面JB大概花了超过580亿美元哇
[00:20:19] 去疯狂地在全世界买各种各样的咖啡品牌然后把它整合在一起最后又拆分出来一个专门的咖啡业务叫JDE Peets这个是一个相当于咖啡行业里面的超级集团JDE的话去年在欧洲申请上市了当时它的招股书里面列出来它旗下有68个咖啡和茶的品牌
[00:20:40] 而且里面大多数都是速溶咖啡原来世界上有这么多速溶咖啡就是那种欧洲某国的本地品牌就是一个国家一个咖啡品牌那种我们前面提到旧街厂或者说一部分麦斯威尔的业务的话其实也都是JDE在管理的然后录之前我也看了一下JDE这个公司上市以后表现还可以它目前的市值大概是137亿欧元然后折算下来正好是大概千亿人民币的水平
[00:21:07] 还是蛮高的一个市场空间的那看起来确实不能小乔速溶咖啡这个传统的品类它这规模还是够大的而且这两年很多中国市场新出现的品牌也都是围绕速溶咖啡在做生意对吧效果也蛮好的我们也就直接说名字了像什么三顿半玉田川永浦科林这些品牌我们身边很多朋友最近都开始买其实在2019年的金字招牌调研里面三顿半就是已经是第二名了
[00:21:34] 2019年的618的时候我们还正好去采访了这个公司当时他们因为卖的太好了产量跟不上销量大促开始五个小时就断货了老板说我没有什么生意可做了我跟你聊天吧是个很有意思的故事啊今年的话三对半其实是首次打破了外资品牌在速溶剂咖啡这个品类上面的垄断它冲到了第一位然后呢另外永浦的情况也很值得提一下因为它的上升势头很猛
[00:22:01] 2020年的时候它在这个榜单上面是第17位然后今年就是第三位这个冲的势头非常快这个也可以说是今年这个速溶剂饮咖啡里边排名最大的一个变化了对吧没错我觉得三对半和永浦能够这么快冲上来的话背后肯定有一些相似的东西比如说他们都是电商起家的有非常强的电商层面的销售能力然后呢咖啡是一个有成瘾性的东西它可以带来稳定的复购这些都是很重要的原因啊
[00:22:29] 当然这两家公司的话另外很擅长的东西就是做品牌输出包括说产品形态包装设计内容活动跨界合作他们在各个方面探索都非常的多举一个例子就是这两个品牌的速溶咖啡都是那种塑料硬壳的包装三顿半最早出圈的话就是靠把外包装设计成一个彩色的咖啡杯造型这个是非常能够吸引人的
[00:22:53] 然后永浦也去在咖啡造型上面做了一点尝试他把它做成一个小飞碟的样子这两家公司的话实际上都会通过线下的活动来回收这些包装壳消费者可以带着自己的空壳去换一些限量的周边这个其实已经完全脱离了我们过去说速溶咖啡在产品和渠道层面的竞争了它变成了一种以咖啡为起点的品牌社群活动我们办公室里面所有喝完的三顿半的空壳都会交给约老师
[00:23:22] 由它去兑换周边对呀我们过去觉得速溶咖啡很传统可能就是因为像雀巢或者说JDE这样的公司太会卖货了他们觉得比如说我把渠道占满的话消费者就自然会来但是其实对于年轻一代的消费者来说产品只是消费体验的一部分我们完全有可能因为一些什么眼花缭乱的小周边或者说我路过一个市集觉得这个市集很有意思就去进去冲动消费了然后有可能就是因此喜欢上一个新品牌
[00:23:50] 这个过程呢看起来是非常主观的但是对于这些品牌型的公司来说这个其实是一个可以操纵的过程这也可能是国内咖啡市场特有的一个现象月老师又点到为止这个至于如何去操控我们以后有机会再展开三德班的故事我们可以聊很久
[00:24:07] 我把我自己的优势品类聊完了肖老师来进入自己的优势品类把豪华汽车哎呀豪华汽车这个品类呢本身是没什么可聊的因为它一直都比较稳定啊前三名基本就是奔驰宝马奥迪换来换去然后再加上迷你因为迷你可能是国内乃至全球这个做创意营销做的最好的汽车品牌之一了所以说它的喜好度有可能比较高还有一个呢就是最近几年非常热销的完全进口的品牌雷克萨斯这几个品牌就是一直排在前几名
[00:24:36] 那这个排名格局呢除了mini以外也基本是跟销量吻合的也就是说卖的最好的品牌基本上也是大家喜欢的品牌偶尔有一些排位的异动经常是因为公关事件比如说前一年奔驰的车主有维权那他的名字会掉一下特斯拉出现一些公关的事件他的排名也会掉很多我觉得你刚刚说的这个规律就是所谓卖的好的品牌基本上也是大家喜欢的品牌这个喜欢里面也有一些可靠的成分
[00:25:04] 因为豪华车这个品类里面大家要追求那种高级的感觉的话其实是比较稀缺的其实市场上只有那么几个公司可以提供于老师这个点说的很精准这个就有点类似于奢侈品了毕竟都是luxury car或者premium car对吧这个市场这么稳固也是因为这个道理大家愿意去花更多的钱去买豪华车其实就是接受了这个品牌的溢价
[00:25:26] 而这个品牌的溢价带来的结果呢就是豪华车可能只占所有汽车销量的15%左右但赚取了40%到50%的利润虽然没有到28效应这么夸张但是我觉得40%到50%是不是也有点夸张就是啊当然这个溢价也不是白来的就现在这些主流的豪华品牌主要就是德系的这三家奔驰宝马奥迪都是靠几十年在技术品质品牌方方面面的积累才奠定了这样的市场地位的
[00:25:55] 不仅在中国在全球市场都是这样所以我们的金字招牌的评选其实也是从一个角度佐证了他们的这种市场地位说了这么久都稳定但是我觉得你要来个但是了没错就是要但是了但是今年的金字招牌的豪华车排名让我有些小的惊讶主要有两个点我们先说第一个点就是第一名变成了保时捷我们上一期聊杰城的时候也还聊到保时捷上次我们还说以后有机会来聊聊保时捷没想到机会这么快
[00:26:24] 其实在过去几年里边保时捷在我们的调查里面成绩一直不错有的时候能排到前五名它的特点就是反感的比例很低这个不是很难理解因为这个品牌产品的档次摆在那边保时捷即使在跑车里边也一贯是以品质稳定故障率低来著称的但是它从来没有在我们榜单上面排过第一名对吧对的这个其实是比较正常的现象我自己推测的原因就是
[00:26:50] 毕竟保时捷还是一个大多数的产品都要卖到100万元以上的品牌这个离普通人的生活还是远了一点即使在一线城市也是这样但是它今年来到第一名而且优势还挺明显的这个我给不了一个很准确的答案但是有一个基本的推测就是首先保时捷这个品牌它自己的门槛变低了它的入门的SUV Macan还有入门的跑车718起售价都在60万元左右虽然这是一个什么配置都没有的洗盖版一般而言大家都要增配要花很多钱的
[00:27:19] 但是肯定是比过去动辄百万以上要便宜很多了这就是三位数和两位数的区别对还是蛮大的区别对吧另一个方面就是中国市场的消费升级买车是进入了一个存量的市场也就是说置换升级变成了一个主要的需求大家本来都有一辆车了接下来要换更大的或者更好的这是一个主要的需求那么原来开奔驰宝马的你让他们换什么呢很多人就是换保时捷那么这两个方面相向而行就使得保时捷从一个
[00:27:46] 这个真是很大的差距不愧是中国对
[00:28:14] 这个消费者的分析我们今天不具体展开我就说一个例子甚至有点段子了就是我那个时候去上海的普希的保时捷中心去采访如果去过地方大家知道是在闽杭一个消费队比较偏的地方当年的时候他们保时捷的SUV的销量就特别的好我就问他们为什么这两年涨的这么多然后这些用户都是从哪里来的然后那个销售局站在门口驶着马路对面一直你看到那边吗在过去几公里就有很多快递的接收站
[00:28:43] 这些快递站的老板们如果他们真的愿意的话把某一天的快递单价都提高一块钱那他就可以赚一辆保时捷别说是一辆保时捷法拉利都够了这些人就是我们的新用户这就是魔幻的中国市场嘛对所谓的真土豪但他是开个玩笑不可能这个快递站真的就一直要涨一块钱但是这个就是保时捷这样一个品牌在中国会大幅度吸引的一些新的客户
[00:29:07] 它反过来也能反映保时捷是如何在中国普及的这样当然是打引号的普及啊我们终于把保时捷聊完了然后再说说你第二个惊讶的问题吧那第二个比较惊讶的点呢就是在排名前十的品牌里面第一次出现了本土品牌就是蔚来而且紧随其后的第十一名也是本土的是红旗那这两个品牌呢确实也是过去年增长很快的本土的汽车品牌但这个排名更多是有一个历史的意义
[00:29:35] 就是要知道过去一个本土的品牌想卖车卖到20万元以上都是很困难的但这两年他们不仅能卖到30万元甚至40万元以上甚至在这个消费者的喜好排名里面都能够挤到前十位
[00:29:47] 当然要跟大家说明一下我们金字招牌大调研的时候呢未来的车主还没有遭遇那个事故所以呢这个事件的影响没有体现在投票里面大家如果看我们其他一些品类投票能发现一些事件影响还是蛮要紧的关于那个事件呢其实我们之前有期节目已经聊过了这里我们就说本土品牌在豪华车市场的一个崛起吧这个事情我跟一些业内的朋友们讨论过有的人其实是有点不以为意的
[00:30:13] 因为他们觉得从销量的上面来说未来红旗包括理想都还不能跟德系的这些大品牌巨头相提并论这些新公司一年的销量有可能只是人家一两个月的就可以完成了但我相信这些传统的领先的豪华车品牌肯定是非常在意这些现在还排在第十名的新对手的因为确实是非常有威胁这个怎么说展开数就太长了我就举一个上海市场的数据
[00:30:38] 今年有几个月份在上海市场蔚来的整体的销量已经超过了部分主流豪华车品牌同时它的平均售价也比这些品牌高要注意这里不是比的是电动车车型的销量而是所有的销量包括燃油车的那这就是实实在在的在抢你当地的这些4S店的市场份额了虽然我知道上海是蔚来的大本营对吧然后它卖的好也很正常但是这个指正意味还是很强烈的没错
[00:31:04] 要知道我们现在讨论的还只是未来理想还没有说特斯拉了今年的榜单里面特斯拉是因为上半年车展上的那个公关危机直接就排名最后几位了但是论市场份额上的威胁它比这些本土的品牌还要大说白了就电动车其实还是让消费者有了一个理由去选择并信任一个新的品牌我再多说一句就如果大家去看我们平价汽车的就是非豪华的这些汽车的榜单这次的前五名是丰田大众本田
[00:31:32] 五菱和小鹏五菱感觉像是掺进去了什么奇特的东西对这个感觉真的是这样前三名其实是稳定的这个排名靠前的常客但第四第五名都是新出现的他们完完全全就是凭借电动车的产品在2020年一惊突起而在前几年的调查里边经常出现在前五的品牌还有哪些呢马自达别克Jeep他们是这两年的销量都是下滑的这样一个此消彼长的趋势其实是很值得注意的
[00:32:03] 那聊完了汽车我们就进入第四个品类这些年变化很大的一个行业就是潮流电商潮流电商平台的话其实是2019年我们才给这个品类定了一个新叫法在2019年之前它其实叫垂直海淘网站海淘网站对平台和网站潮流和海淘这种区别的话相当于说明2019年是一个非常明确的行业分水岭我自己对于2019年之前也就是
[00:32:31] 不太潮流的那个部分印象更深刻一点2014年的时候我刚刚工作那个年也是我第一次去跟天猫的双十一然后就是一种三天两夜不怎么睡觉的体验非常刺激啊那年的天猫双十一的销售额是571亿就现在看起来非常小但是当年天猫为了把这个数字拉上来的话其实做了很多重要的尝试其中一个就是跨境电商当时天猫新设立的一个部门叫天猫国际
[00:32:58] 他首创了一种以海淘爆款商品为核心的策略简单的说就是首先邀请那些爆款背后的品牌进到天猫国际里面然后在双十一之前做预售然后以这个很大的预售量的话去向这个品牌的海外的工厂去下订单这些货物呢可以发到国内的保税仓里面然后在双十一当天付完尾款以后就直接从仓内发货
[00:33:21] 这个过程因为是很大量的一个采购相当于分它的运费然后保税仓又有很多税收的优惠包括是政策的红利所以那年的话我印象中大家可能买了很多的澳洲坚果日本药庄之类的爆款还有海峡对岸的牛渣糖对的
[00:33:39] 2014年的话其实是天猫国际这个业务的起点它其实是从销售额起步的话把很多的国际品牌都纳入到天猫这个体系里面然后这也是我们为什么现在能看到天猫上面有这么多国际大牌的一个基础所以简单来说2014年的话是天猫国际的起点它是从做销售额起步的然后借着双十一的这个契机的话就是拿下了很多重要的国际品牌的合作
[00:34:03] 这也就是说我们为什么现在能在天王上面看到这么多国际大牌当时是打了一个很重要的基础所以我们最早讨论这个类目的时候其实还是在讲海淘这回事情对吧而且我记得当时市场上是一下子就出来了很多做海淘的公司网易 考拉 波罗蜜 羊马头甚至小红书也是在郑州有自己的保税仓自己会去做海淘的有一位重要的人还去参观过对吧当时中国市场其实是处在一个非常显著的消费上升期
[00:34:32] 大家都很愿意花钱去尝试一些新鲜的东西然后又有像阿里这样的大公司把一些重要的物流税收的环节的坑给摊平了所以说大家的思路是很趋同的然后导致的结果就是竞争的手段非常的单一最后导致一个结果就是2019年天猫国际把网易考拉整个就买下来了相当于把市场投名的位置直接就定稳了
[00:34:54] 2019年其实还有另外两件事情一件是当年的秋天小红书因为一些奇特的原因被下架了大概有两个月左右下架这个原因的话其实当时没有任何的官方说法只是非常笼统叫内容违规所以大家发起了一大轮猜想有的人觉得他是平台上面卖了假货有的人觉得是他平台上面一枚的帖子太多了还有人觉得他是在刷流量反正种种原因吧都可能说造成官方的对他一个处罚
[00:35:24] 虽然只有两个月但是我记得对小红书其实还是有蛮大的打击的当年我们的金字招牌调研里面小红书其实是职业调到了最后一名但这个其实我们调研对于公司来说可能没有那么重要最重要的是当时小红书处在一个特别关键的发展期小红书那年五月份的话刚宣布过她当时的月活跃用户的话是超过了8500万相当于再努努力就可以冲到一级了一级就是一个非常重要的关口
[00:35:52] 但是在这个关口前面的话被迫急刹车了2019年发生的另一件事情是市场上面好像一夜之间冒出来一些非常懂男性消费需求的内容社区和电商平台我知道你要说德物对吧就是原来的毒我们之前在聊虎扑那期的时候就说过虎扑有一种孵化新品牌的爱好比如像德物啊石化啊这些现在在潮流电商这个领域做的比较好的品牌的话当时都是从虎扑这个体系里面跑出来的
[00:36:19] 德乌这个电商平台的核心还是运动鞋运动鞋其实是一个很有意思的市场的变化因为之前的话运动鞋只是一个大家认为它是一个功能性的产品穿鞋就是为了走路你穿篮球鞋就是为了打篮球对吧但是这两年的话市场上有一个非常明确的认知的转向就是说鞋变成了一种个人审美的体现然后也可以变成一种消费力的体现所以围绕着鞋的话就是形成了很多专门的内容和交易需求
