Vol.145 网红景德镇，一段商业史
[00:16:16] 就是我们所谓的包产包销然后有一个天然的垄断地位的一个公司了他面对很多市场的竞争他就发觉自己很难能够怎么说保护好自己的这个核心资产他就像一个有技术但是不懂市场的一个研发机构那么这个时候他调整的时候呢他就选择让当中的一部分这个稀缺资源就是那种我们搞雕塑啊搞创作的这些专家的利益能够最大化
[00:16:40] 这个的确解决了一部分销售难题但是也带来新的矛盾就是另一些产业链上的一些专业的技术工种的一些环节其实也非常的难但是他们在这个改革的过程当中是没有收获到很多的利益价值的所以他们就人心涣散了
[00:16:56] 在这个时候其实雕塑磁场的国营工厂的时代就已经接近终结了之后管理层们想出的那些针对普通工人的一些改革路径大家后面会看到其实并没有起到特别大的作用但反过来它奠定了我们如今看到的雕塑磁场的样貌
[00:17:15] 那接下来呢我们就要进入雕塑磁场历史的第二段了就是它从一个工厂逐渐变成了一块野蛮生长的产业园区我们前面讲到计划经济时代的雕塑磁场承担了出口创会的重任吧但它并不是一个功能完整的现代企业那么面对市场化的改革它就很难适应了其实1990年代这样的国企非常的多啊那摆在他们面前的选择呢也非常简单要么就是你彻底退出了要么就是想办法改变自己寻求出路
[00:17:44] 像雕塑磁场它其实还是挣扎过一段时间的它也想去适应这个市场像当时这个厂长刘远长他又做了几个改革的尝试那么刚刚也提到一个重要的节点就是搞这个车间承包就是紧接着前面的这几个改革它后面又开始一系列的延续的动作就像雕塑磁场它拆分了几个生产流程完整的分厂这个不是流程分工它就好比是不同分厂之间彼此竞争每一个分厂都有一条完整的流水线
[00:18:11] 那就是什么呢他自己有一个研发生产销售职工福利的环节独立做这个经济核算听起来好像有点道理但是这个做得不太顺利因为这个厂子收不到分厂上交上来的钱所以这个厂市这种改革只尝试了一年那后来雕塑市场也想了别的路子就比如说他自己去建这种省外的营销网点然后建立这样的销售渠道刘远长他还在厂子里面建了一个明清园到乡下收了很多保护型建筑他移到园子里面
[00:18:39] 然后再加上雕塑瓷厂的作品展示还有名人作坊这些功能它就结合餐饮啊民宿搞成了一个参观接待的名片这个在当时还是挺有效的为他们打出了不少名气接到了很多外部订单就这个逻辑都是顺下来了那到2004年的时候像明清园还被评为江西省唯一一个全国工业旅游示范点其实这个明清园的尝试包括到哪个外省去建营销的网点
[00:19:05] 但是这个我们前面讲到的
[00:19:31] 专业的技术工人的这个收入的问题没有办法解决对这些工人来说外面赚钱的机会太多了而且都是合法的了为什么我要替这个工厂来做呢对说白了就是机会太多嘛对看到有一个例子其实我感触很深啊就是刘远长他自己到海外去参加过一些工艺陶瓷的一些展销会他亲眼看到就是比如说他们觉得很普通的一些工人做出来一些这个雕塑在那边是被当作艺术品的
[00:19:58] 有的一些东南亚的老板可以花重金就把这个厂子全部都包下来
[00:20:03] 但是对于这个工厂里面工人来说呢他有可能做一个瓷器加工这一道工艺就是一块钱然后你做了一些市场的话改革给他涨到两块钱这个涨幅和市场上真实的这个价值实在是太不匹配了所以到了21世纪初的时候其实雕塑瓷厂从人才的角度来说已经逐渐的空心化了很多的车间已经废弃了因为人都不在了嘛那厂房就开始被私人承包然后转租了
[00:20:27] 到了2009年的时候呢雕塑磁场是从上至下彻底的开始转制了这个厂就不搞生产了不是一个厂了他把厂房全都租了出去呃你的员工呢可以比较低廉价格就是当一个二手的房东然后再把它转租出去也是给他们一个福利这个时候的雕塑磁场其实已经变成了一个旧厂房的资产管理对所以从外观上看这个厂子的园区嘛很多人会觉得哎这个老厂房很像北京798哈对的对的是有点像的
[00:20:55] 那其实这里面是有个问题就是原来那些工匠们到底去什么地方了那事实上呢很多人还是留在雕塑磁场里面或者说在这个厂的周围有一些熟练工会在这边接各种各样的活有的呢就是自己在厂房里面开小作坊或者说这有的作坊就是厂里面原本车间演化而来的这是因为这个它有一个丰富的人才土壤还有生产环节的支持所以雕塑磁场的这个厂房里面还有它的附近很快就聚集起来一批外来的这个陶瓷创作者
[00:21:24] 因为他们发现这里有一个
[00:21:51] 包含创意设计工艺研发还有生产制造还有销售这么一条龙的这个创意陶瓷孵化园区而且很有意思的是因为太多人想来这边开这个工作室那房东呢就不愁把他们手边就是陈租下来的厂房再转租出去嘛所以说这些房东反而没有什么整修的动力这是为什么我们现在在这雕塑子上看到的一些厂房反而破破烂烂的然后新旧并存那个很破的窗子里面可能埋着一个很努力的手艺人还有很惊人的作品
[00:22:20] 这个对比就充满了那种视觉冲击力没错那在这个时候跑去雕塑磁场扎根的人当中最具代表性的案例就是艺术家郑义的乐天陶社那郑义呢是一位名声在外的陶瓷艺术家1985年他就在香港参与创办了乐天陶社那到了1998年他就被邀请到景德镇参观然后看一看有什么合作的空间
[00:22:43] 那个时候他去雕塑磁场的话我们对比刚刚历史我们看到的应该是刘远长搞的那个明清园对的他看的应该就是明清园那时候呢他一方面被雕塑磁场的艺术和技术体运吸引一方面觉得这个地方的硬件设施还跟不上需求那所谓的需求到底是什么呢就是乐天桃舍他想要搞一个艺术家的驻地计划就是请一些好好的艺术家到一个城市住一段时间接受一些新的启发然后搞一些新的创作
[00:23:12] 那搞这种项目呢要有三个要素第一个是人脉就是你要能请得到艺术家那这个正义没问题第二个就是这个地方本身要有吸引力那景德镇对于陶瓷艺术家来说肯定是有吸引力的那第三个呢就是基础测试这方面景德镇包括雕塑瓷厂的老厂房在当时都还是很欠缺的包括那个时候厂房里面的路都还是土路水电都是不太好的所以正义呢就做了一些改造说是改造啊其实非常的基础
[00:23:41] 就是在雕塑磁场离入口处不远的一块地势比较低的厂房里面搞了一个硬件还OK的咖啡馆里面有干净的厕所有网络然后再租了一些空的厂房做工作室
[00:23:55] 到了2005年的时候乐天陶社就开到了雕塑磁场它的主业其实是搞陶瓷教育但这部分在商业上很难养活自己所以维持整个陶社运转的就是艺术家的驻地计划累计有超过200名艺术家到雕塑磁场的乐天陶社搞创作他们支付的租金就是正义主要的收入这些艺术家也会在雕塑磁场里面开一些讲座逐渐的周围就聚集起了一批年轻的陶瓷创作者
[00:24:24] 很多都是景德镇陶瓷大学的学生这个也就是刚才惠总提到的一个创意陶瓷的孵化园区的雏形没错其实我觉得很难得的是这个所谓的孵化园区它可以说是自然生长起来的像雕塑瓷厂这么一个厂本身它没有在其中做很多的主动性的引导作用但是这个还只是雕塑瓷厂转型的一个初级阶段
[00:24:47] 这个阶段他吸引的主要还是陶瓷的业内人士那他们到这个地方呢除了能够找到良好的创作氛围之外这种很低的租金也是一个很重要的原因那这个时候如果你去雕塑磁场也不会感觉到这里有太高的人气但是随着时间推移雕塑磁场的旅游价值也慢慢被挖掘出来了而且它引发了很多意料之外的展开这就是我们接下来要讲的第三段历史了这也是最近几年发生的事情
[00:25:14] 那雕塑磁场变身成为旅游目的地的过程其实还是与乐天陶设息息相关前面我们就说到一批年轻的陶瓷创作者聚集在了陶瓷周围到了2008年的时候就有11名陶瓷大学的年轻人问正义我能不能在咖啡馆的门口的空地摆摊卖自己的陶器这些创作其实就是学生作品正义就同意了就说你们要做也可以但是一定要摆满8个礼拜要坚持下来
[00:25:40] 没想到这些作品第一周就卖了一千多元正义本来要求他们开八周的意思是怕他们做了一会儿就看到没有什么收益就放弃了结果这个头炮打响了之后这边的名声就逐渐的起来了
[00:25:53] 来这边摆摊的年轻人也越来越多甚至就出现过为了争好的位置打架的情况那么正义就自己开始那个规范摊位的安排了就把它逐渐固定成了一个周六在雕塑瓷厂这个咖啡馆门口的一个例行的市集的活动这就是如今名声在外的乐天市集对这个乐天市集现在我们看来它最初的顾客其实主要是一些专业的买家
[00:26:20] 他们把这些创意陶瓷买过去然后呢再卖给一些展示空间啊酒店大堂啊还有民宿这样的机构这里面有一个时代背景啊就是2010年代嘛中国各地商业地产还有商旅需求也就越来越多了然后海外呢有一些创意工艺品也逐渐普及就大家开始认知到这么一个东西了对于这一类的创意陶瓷大家又认可度提高需求呢也就慢慢慢慢增加了嗯所以在这个时期呢这些雕塑瓷厂里面又开始有陶瓷的产品出现了
[00:26:49] 但这些产品和原本生产的这个神仙雕塑完全不一样了这个核心的区别就是你这个陶瓷是以创意为卖点还是以工艺为卖点在此之前呢其实景德镇学陶瓷的年轻人他们主要学的都是一些我们说的创意的艺术创作的陶瓷啊那他们自己呢其实很难早期有创意的机会来创造自己的品牌或者工作室那核心呢就是因为他们缺乏外界认识自己的渠道就你在那边自己做了别人为什么要来买呢或者你到哪里去买
[00:27:18] 那乐天市集其实就给他们一个很大的机会乐天市集里面有一位摊主叫邹阳他就提到过他自己曾经12次申请进入乐天市集摆摊但都被拒绝了但他还是一直申请问他为什么呢他就说当时的乐天市集真的非常的重要因为他们当时自己急需的就是一个窗口而除了乐天市集以外真的没有人能够提供这样的窗口
[00:27:42] 对这听起来都有点像一个传说但是就一次次的在这个故事里面去出现我们当时听了也蛮震惊的像我自己去乐天市集逛的时候他们还没开始收费那四个字可以形容就是人山人海人真的非常多可能去过的朋友有这个深切感受
[00:27:59] 我当时也没想到它有那么小也没有想到人有那么多一下子你就可以从一头逛到另外一头然后你反应过来之后哦不对一游未尽然后你要转回来再来回绕个好几遍可能每个人都这么想导致这个人流量就是反复的每个人乘以三乘以四所以有的时候我就会感觉到就是我那些愉悦的逛街流程被打扰了因为身边就不断地有人在这个直播带货啊或者是谈一些东西那个时候我就会突然意识到这个世界的价值哦原来我们这个游客的身份
[00:28:28] 就我们作为游客不应该是主角但是这一点其实就是后来一个矛盾点就是当这个乐天市集他的这些年轻人的创作吸引到了一些专业的买家之后他最后又逐渐的吸引到一些非专业的买家主要就是像我们这样的一些观光客其实从逻辑上来讲或者从产品的角度上来讲也很好理解我们刚刚讲到的这些以设计或者创意为核心的这些陶瓷的作品
[00:28:53] 那天然就很适合通过图片和视频来传播嘛也更加能够吸引这些擅长使用社交网络这些年轻人对像刚刚这个流程听下来你可能会觉得很顺其自然嘛但这当中还有一些是主动的努力的比如说像乐天市集其实真正在社交网络上走红是要到2018 2019年那在此之前听说很长时间它的这个规模也陷入停滞嘛而且乐天桃社本身也从这个市集里面赚不到什么钱的对的这一点我们可以展开稍微说一说
[00:29:21] 就虽然市集这个称呼听上去好像比较现代比较fancy啊但是乐天市集它这个组织方式啊一开始真的蛮随性的所有的摊主能不能入住刚才我们讲的那个邹阳那个摊主12次被拒绝了被谁拒绝了呢都是郑一一个人拒绝所有摊主他能不能入住都是他个人一个人的判断这个判断的标准呢他自己说了有一些艺术上的标准啊但这个是非常难琢磨的
[00:29:47] 我们去问正一比如说这个有摊主说他12次被夺回了为什么呢他自己也没有明确的理由只是有可能还不够包括邹洋他最后终于入选了他其实也不知道为什么他自己有什么新的改进了从商业上来看呢其实这个市集也不是很赚钱他长期这个摊位费也就是100元或者200元就是如果他正一觉得有的这个作品特别好的话他给他100元的这个优惠的摊位
[00:30:10] 那每次市集的这个摊位啊也就是一百个出头就是刚才惠总有讲到了这个地方真的很小而且是一个下城市的一个小空地吧其实就这样一个地方然后再加上有一段时间也不一定招得满吧所以每次的摊位费都cover不了整个的运营的成本乐天的逃市是要靠别的业务的收入来补贴搞这个市集的就本来是人家就是别人那些年轻人自发到你门口来搞的然后呢你主动把它接下来之后做着做着做着自己还要贴钱进去
[00:30:38] 后来其实是到了2018年的时候乐天陶设引入一位运营的管理的负责人叫大牛他开始把整个陶设变得更像一个公司了首先就是分工明确在此之前同一个负责人要同时兼顾咖啡市集还有他们有一个工具的商铺包括咖啡店里的咖啡师还要负责写公众号的文章那就是很随便的到了现在每个板块都有专门的负责人然后乐天陶设也开始开例会了然后据说例会上面会出现很多的数据
[00:31:08] 怎么样的改进啊越来越大场化了对对对越来越大场化了另外呢就是大牛还成立了一个媒体部门专门在社交网络上面发布乐天市集的内容然后接受媒体的采访这样呢乐天市集才逐渐地在陶瓷圈的外面也就是普通人当中积累了人气所以说嘛就是乐天市集它这个网红感它有点自己有意为之的这个味道对所以不完全是一个自然而然发生的过程
[00:31:35] 那与此同时呢雕塑职场当中也出现越来越多卖陶瓷的摊位小店咖啡馆等等的因为看到乐天市集火起来了嘛那些游客也要去别的地方都到了这个厂他们呢也都是开在职场的老厂房里边销售的呢也都是创意类的陶瓷用品为主
[00:31:53] 整个雕塑市场就变成了一个有点像大的市集那种就形成了一个能够吸引游客的一个旅游景点你现在如果周末过去的话就算这个厂区的主路它这个路边是可以停车的但是我不知道你要多早去才能停得到稍微晚一点就没有停车位了你要停到周边的小区或者商场有的时候你在门口打车车其实就在路边了但是它开不到门口了那边全都是人而游客的爆发呢其实也改变了乐天逃车它自己的收入来源
[00:32:21] 因为我们讲到他最早期的时候其实是靠这个艺术家的驻地来付租金的现在呢他最主要的收入其实就是开陶瓷客这个陶瓷客是面向大众来做一些简单的陶艺的也就是一个旅游向的一个产品吧现在这是他的收入的一个主要来源了到这个时候呢就是引发这种热潮的一个重要推动力量就是外界的各种各样的游客嘛但是乐天陶社他这个正义本人呢又反而有些不太习惯了
[00:32:47] 对他来说这种挤满人的雕塑市场显然不是一个搞创作的好地方他本身毕竟还是艺术家属性就按照他的说法就关上窗都安静不下来这个本身就带有一点点情绪在里面但是对于乐天市集那些年轻摊主来说就是观光客也未必都是一件好事情因为游客会挤占很多的空间他们的购买意愿没有那么高但是拍照的意愿比较高可是专业买家可能因为人太多就不太愿意来了这反而影响了他们乐天市集的收益
[00:33:16] 所以到2023年的时候就刚刚说到乐天市集开始限流他就要买门票才能进去了这里要稍微插一句就是乐天市集应该截至目前这个摊主在上面的这个销售产品这个收益和这个市集都是不相关的他没有所谓的抽成那么复杂的东西他还是以摊会费为主的所以对于组织者来说他是有比较强的动力来控制人群
[00:33:39] 那当然对于摊主来说我们前面也讲到了他们反而也比较有动力来控制一下人群因为人太多的话其实他们也顾不过来然后有可能反而还获得不到这个相应跟人群相匹配的这个收益目的本身是专业性的吗对对对但问题就是这个旅游的窗口一打开就不是你想关上就能关上的了至少我们目前来看雕塑磁场这个旅游的性质已经基本上是奠定了周末就算是你有了买票这个东西之后乐天市集还是人满为患的而且主要还是一些观光客为主
[00:34:08] 而且从政府的角度来看他们会发现原来把这个老厂房租给一些陶瓷的创作者然后让他们摆摊搞市集是一个这么能吸引游客的模式但景泽真的老厂房很多又不止雕塑市场一个所以他们会觉得乐天市集完全可以复制比如说距离雕塑市场不远的有一个叫做陶西川文创街区它原本也是一个老厂房而且面积是雕塑市场的十倍之大它原来的名字叫宇宙市场
[00:34:35] 那他现在的运营者呢就是景德镇的一个国资的文旅公司叫陶文旅其实原来也是跟这个宇宙磁场是有关系的也相当于转制过来但他在这个陶西川呢就会每周搞一个市集叫陶然子摊位呢有700多个是乐天市集的六倍啊而且相比乐天市集呢这边的这个商业化的氛围会更加浓一点那准入门可能就没有乐天市集那么难以琢磨了啊而且还有专门的小程序可以注册摊位
[00:35:02] 据说还有一些就帮助你注册公司品牌的这样一些配套的措施那这个时候的这个市集呢与其说是对接创作者和客户之间的一个平台不如说本身这个市集就是一个景观了对像这个情况我们好不好呢我们不太好做判断但是正一他公开说过他不喜欢所以我们在采访他之后没多久他就在社交网络上发了张图说自己要离开雕塑磁场甚至是离开景德镇
