Vol.148 美图，东张西望的10年
[00:03:17] 这里是商业就是这样
[00:03:46] 为核心的那这个APE服务本身可以做收费收费产生了收入就是这个业务的收入而如果从越活跃用户的整体规模来看呢过去两三年这个部分的业务都是比较稳定的大多数人修图可能只需要免费的那几个功能就可以了但其实还是有相当稳定的一群专业的用户他们用到一些付费的功能来帮他们提高修图效率和效果的嘛那在这种情况下呢如果要产生收入的增长那就有三种可能
[00:04:13] 第一种可能就是愿意付费的人变多了那第二种就是比如说你这个公司开发了一些新的收费项目还有就是说这个费用本身上涨这三种情况都会导致这个收入的增长那从美图2023年的中报来看呢这部分的收入增长主要源自于我们前面说的第一和第二种情况因为这个公司出现了一些跟AIGC相关的新服务然后他把这个服务又绑定到了VIP的会员体系里面
[00:04:37] 所以说上半年的VIP用户的规模同比增长了44%相当于AIGC这个话题为美图带来了比较直接的红利在当下这一点其实也可以从财报的成本端找到一点佐证我们看到2023年上半年美图它披露自己的营业成本就成本的部分同比增加了8.4%其中核心的原因之一就是用户对AIGC相关服务使用量的增加导致了云计算服务费的增加
[00:05:05] 那关于大模型AI对于美图的业务影响我们会在之后详细展开那现在回到财报美图收入里面占比第二高的是比较传统一个业务就是线上广告这个部分呢它跟其他的我们前面说的这些中等规模企业没有什么区别啊所以我们就暂时跳过那美图的第三大主因业务呢竟然是一个这个2B的垂直行业也就是美容行业的解决方案这个其实也挺有意思
[00:05:30] 因为这个板块2021年才正式上线也来自于美图此前的一次第二曲线探索因为之前美图的想法是可以通过照片加AI然后为用户测试自己的皮肤的质量然后就给他们推销一些护肤产品这个在一些化妆品的护肤品的公司或者说是一些美容门店里面还蛮常见的现在但是如果说一个产品的公司自己来做这个事情就有点绕
[00:05:56] 所以说在美图这个公司里面这个思路做了一年左右基本上就放弃了但是他们后来就发现就像你说的放在医美公司或者美容院甚至说化妆品的柜台把它作为一个服务它是有价值的所以说这就撬开了美图这块新的2B的服务的业务它是一个订阅制的服务的收入最后因为美图的长期用户多粘性还比较强他们后来还发展出了自己的达人营销服务也就是搭一个平台来撮合商家和KOL或者KOC实验完成交易
[00:06:26] 然后也会做一些配套的招募培训和结算的服务这个部分的业务在美团的收入中占比已经比较小了官方说法是这个部分的投入成本比较大就不是很划算帮大家小结一下刚才岳老师介绍了美图四个部分的业务收入正好其实它对应了这家公司探索出的四种很不一样的赚钱方式第一个是从用自己的这些APP的用户手上来直接收钱第二个就是把APP的稳定的流量卖给广告主
[00:06:53] 第三个是让美容行业为他的专业的技术服务来付钱最后一个就是撮合营销的供需双方因为他的用户有很多人是这个行业的撮合他们来做一些合作然后自己当中赚手续费其实这个四个模式基本上把国内最常见的几种赚钱的方式都囊括了那接下来我们想看三个时间节点这三个时间节点上面公司各个业务收入当中的占比变化
[00:07:18] 这个三个时间节点选的是2016年年中这个公司提交招股书的时候还有第二个点是2019年底就是疫情之前以及现在也就是我们目前能看到是2023年的年中的一个报告结果看一下这个财报发现这三个时间点有点意思就是完全不能横比你挑这三个点是为了说明他们不太能比
[00:07:41] 不我本来是想横比结果发现完全不能横比的一个原因呢就是公司的业务结构变化非常的剧烈2016年他提交招股书的时候美图的主营业务其实是智能硬件也就是当时美图还在做的手机业务虽然在整个手机行业来看呢美图手机是一个很非主流的产品但是对于当时的美图来说呢职业为公司贡献了95%的营收而其他所有的像付费服务啊广告等等加在一起只贡献了5%
[00:08:09] 其实我还参加过美图手机的发布会因为当时的环境其实像小米华为OPPO这些公司已经属于是本土手机的主流的玩家了如果你要说一些相对小众的牌子的话大家第一时间想到也是锤子其实不太会有人想到美图的手机也不太指望它能够占据很大的市场份额的但是就像你说的在当时对于这家公司本身来说
[00:08:35] 手机的营收的规模它比APP上的这些广告或者这些付费服务还是要多多了所以在上市的时候其实美图可以算作一个比较另类的小型手机公司那确实是到了第二十年级就是2019年底这上市三年以后美图其实就已经没有硬件业务了当年95的现在没了对 它的全部收入都是软件和服务当时公司有77%的收入是来自于在线广告的
[00:09:02] 另外有4.7%的收入是来自于与合作方共同设计的付费增值服务用户的职业付费只剩8.8%等于这个时候的美图又变成了一个单纯的流量的平台赚的是广告费了对的直到走到2023年的年中这个公司的三大收入支柱才变成了用户职业付费广告和B端服务而且这个比例也相对来说比较均衡比较健康了可以说现在的美图才是一个比较理想的或者说抗风险能力更高的重型公司
[00:09:32] OK在收入分析的阶段呢其实我们通过分析三个时间节点它这个业务收入的占比的变动就我们看纸面上财报的这个变化已经能够给大家展现出美图这家公司上市后变得非常多那一方面呢它有一个知名度非常高的达到国民级别的一个核心产品美图秀秀但另一方面呢这个核心产品又是长期不怎么赚钱所以说公司必须要把自己一个的这些能量啊转嫁到其他地方来换取收入
[00:10:00] 像这些硬件刚刚那些变化其实都是这个尝试的一部分
[00:10:03] 所以第二个部分我们就来聊一下美图拧巴的这几年这个公司到底在发生什么变化这边变化大致分为三个方向就是管理层的变化业务方向的变化和投资方向的变化当然这三个方向之间是互相交织互相影响的但我们还是先从管理层说起美图有两个核心人物一个叫蔡文胜一个叫吴星红蔡文胜是投资人背景吴星红是产品和设计的背景
[00:10:28] 美图秀秀最早是2008年由吴兴宏开发然后蔡文森投资的一个产品而到了2013年蔡文森是正式进入了公司直接做美图的董事长做了10年吴兴宏则是在这个期间做CEO他主要负责是产品开发和运营其实这两个人的合作要比美图秀秀诞生要更早在2000年代初中国的互联网行业刚刚开始发展的时候他们就做过倒卖域名网址的生意还做过一些独立战
[00:10:57] 后来呢他们又一起做过一个很火的产品叫火星文转换器之后才是美图火星文这个东西我不知道我们这个年轻的听友们还知不知道有过这个东西啊它是在一个在QQ时代非常流行的网络语言就是把正常的汉字变成一堆乍看不存在但是其实又能看得懂的方块字和它关联的当时的流行语言就是非主流
[00:11:23] 当然这些词听上去都有点老了但是火星文一度是有过病毒式的流行的它的用户级别是千万级的这个也是显示出吴星红当时做产品比较有敏锐的嗅觉但是我觉得我们在写这段时候就是给大家解释火星文是一件非常困难的事情时代的眼泪大家搜一下就知道是什么东西了蔡文胜和吴星红这个组合对于整个公司的初创阶段还是比较合理的因为蔡文胜本身很擅长资本运作然后有利于早期去融资讲故事
[00:11:52] 那公司和产品的负责人吴星红呢这个产品的感觉比较好能做出一些确实看上去很有价值的东西蔡文胜他早期其实投资过非常多年轻创业者的小产品或者是一些小网站吧他就属于那种很典型的有什么机会就投什么的那种生意人那美图射手其实他早期投的项目之一但是是最成功的一个那在PC时代呢就等于是找准了中国人对于人像照片那种美白啊或者磨皮的需求
[00:12:19] 再加上智能手机的时代拍照的需求越来越大了所以它在2010年代就是一个用户上亿的一个装机必备的一个APP了那个时候用户量很大的工具的APP其实有很多比如说有一个公司叫做墨迹天气那这些公司共同挑战就是说之后怎么办就是它怎么继续寻找增长点以及赚钱的方法其实时间到了2013年如果说早期的蔡文胜在广泛的播种的话它这个时候已经发现了说有一个东西
[00:12:48] 他最有可能涨到一个参天大树的级别那就是美图所以说他当时把精力集中到这个公司上从投资人身份变成了美图的董事长也变成了这个公司很明确的一个掌舵人而在这个管理层的变化之后呢美图其实是加快了增长和上市的步伐2013年就是他进去以后美图就决策说我要开始做手机那2014年他就凭借这个新的业务规划一年内连续拿到了三轮融资而且在2016年底就直接实现了港交所上市
[00:13:16] 这个速度在当时实际上是非常快的现在有可能有些火箭上市感觉这个速度也比较正常其实我们刚才也已经提到一句了就是做手机虽然利润不一定高但其实美图做手机都是亏的但它的营收规模要远远大于美图秀秀的这个APP而且它潜在的潜力也大得多所以做手机这个决策显然是有利于融资和上市的后来我们也看到就是在上市成功了以后美图很快就把这块业务就放弃了
[00:13:41] 当然做硬件业务这就不是一个产品经理可以解决的事情了资金供应链合作这些问题会变得更重要所以说蔡老师做一个牵头人也更合理美图当时为手机业务也引入了一些新的负责人如果一定要从业务层面来探讨的话其实美图做手机不是没有合理性就像我们说的就现在拍照好看都是智能手机最重要的一个竞争点当时也是的
[00:14:06] 那美图它在软件和算法上面有很多的积累这个对于拍照的效果价值还是蛮大的但问题是啊你的这个优势其实并不那么绝对你想后来各大手机厂商都开始自研拍照的算法开始堆更高级的这个传感器和摄像头的物料美图的优势很快就消失了所以我们看到美图手机的销量其实一直在百万以下就是有很多时候其实就是几十万一年的这个出货量那它在这手机行业里面就非常非常的小
[00:14:33] 所以上市之后没多久这块业务其实就授权给小米或者实际上就是卖给小米了对应该是2018年的时候反正当时说的好听是授权其实我们业界的看法就是这块业务它确实就是不做了这个时候其实上市的任务也完成了而且就像我们前面说的它这块业务其实不赚钱所以说去掉了之后对它真的利润是没有什么影响的
[00:14:55] 而且你把这个包袱能够抛出去已经算是比较完满的结尾了再晚的话有可能就烂尾对那如果说当时采取手机的这个风口是为了讲一个好故事然后上市的话那么美图在2014年做的另一个新产品尝试可以说当时离一个更大的风口非常非常近但是他没有把握住这个产品就是美拍美拍是美图在2014年5月份推出一个短视频应用
[00:15:23] 在2015年它的用户其实就破亿了这个推出时间点其实跟当时的Musicly几乎是一模一样的而抖音其实2016年才上线的抖音大家也知道它最早就是一个像素级模仿Musicly的产品也就是说在抖音还有快手爆发式增长之前美拍已经是一个亿级用户的短视频产品了不知道大家还记不记得抖音最早
[00:15:47] 只做第一轮起亮快速传播的一大内容就是用一个产品教大家跳各种奇怪的舞舞社会摇啊什么的对那美拍最早流行的其实也是用了类似的内容而且它延续了美图的当年一个优势就是大家拍视频的时候会帮你自动做一些抹皮就是你拍视频是美的那这个是它的一个核心卖点其实产品方向本身没什么问题但是问题就是说
[00:16:11] 美图这个公司的规模决定了美拍只是一个产品它的运营能力跟不上它不足以支撑一个国民级的内容社区比如说它早期其实是非常依赖人工推荐的后来虽然有了一些算法推荐但效果其实就跟抖音是没有办法比的在爆火以后它的推广达人运营管理资源也都不够用所以说在用户破亿以后它的规模就一直上不去了更不要提后面的商业化了
[00:16:37] 那在抖音和快手崛起以后美拍的用户就是迅速的流失了之后他去做直播也没有什么很好起色2018年一度还被整改下架了这个美拍的案例其实很鲜明的能够看出我们说美图这样一个中型公司它的特长和局限一方面它的创始人有很好的产品嗅觉你像美拍它最早的主页面的产品设计其实就是吴星红很快的就自己画出来一个界面非常简单明了最后就是确实这样实现的也确实抓住了用户的需求
[00:17:06] 但是它的公司的架构规模还有能力的局限呢也让这个产品不太有可能更大规模的增长那在手机和短视频这两个风口都没有采得很好的时候呢美图还想过很多第二局限的方案比如说做电商平台做达人营销还有就是广告这些有的就是从美拍当中延伸出来的比如说广告和达人营销其实做的还行但是就是不够大问题还是那个问题毕竟美图不是一个专门管人的机构嘛
[00:17:32] 那像电商平台因为涉及到货的问题本身就会增加一层复杂度再加上你做电商还要再做内容就有一个先种草再拔草的过程那么对于美图这样的公司来说呢从工具到人从人到内容从内容到电商电商再到收入这个链路就是太长了加上美图本来也不是一个什么流量很大的平台那等于这个漏斗走到最后这个收入只有一点点了
[00:17:55] 相当于就是他除了做了自己比较好的一个产品以外这个产品让他增长或者是让他赚钱这些能力他其实都不太擅长就是破天的富贵给了你但是你没法接那可以说在短视频和手机之后投资者眼中的美图有可能是一个比较忙乱的状态他已经是个上市公司了但是他做不到业绩的稳定的增长甚至他主业的流量也在下降因为大家知道的其实修图软件这个事情它的门槛也没有那么高
[00:18:24] 后期其实有很多来挑战美图秀秀的那为了尽可能的达到盈利呢他不得不去探索一些新的义务方向但是也不得其法吧那到这里呢我们就要说美图的另一个所谓业务或者说投资的尝试它就又跟我们前面讲的管理层的变化密切相关也能从另一个层面解释为什么美图最核心的主业产品一直没有长得更大这个业务就是数字货币
[00:18:47] 那蔡文胜自己从2014年开始呢就关注起了当时非常新兴的一部分资产叫数字货币他不仅投资相关机构自己也会去买币所以说在2018年前后呢我们就会发现美图在自己的主业之外呢还会把精力分散到像区块链啊密钥之类的领域直到2021年呢还有了直接的数字货币的投资这部分投资是直接造成当时美图的公司形象有所下滑利润也会产生一定的波动
[00:19:14] 我们可以看一下2020年底也就是美图真正去宣布他买了以太坊和比特币之前这个公司的财报当年年底美图这家公司的总资产是45亿人民币出头其中有11.6亿是现金级现金等价物也就是说这个公司可以随时动用的真正的活钱另外还有8.5亿的银行短期存款1.5亿的长期存款2000万的短期理财产品
[00:19:42] 那加在一起呢等于说这个公司当时总资产将近一半都是现金和流动性特别好的资产再看一个数字就是公司当时的整体资产负债率这个水平极其的健康啊只有0.5%确实啊太健康了那受到疫情的影响呢其实2020年本身比较特殊啊就不管是现金的规模还是资产负债率美图的这两个指标相比较于2019年都没什么特别的变化这个其实也蛮神奇的
[00:20:09] 就是美图在擅长投融资的董事长之下他的财务上是极端保守的反正跟董事长的形象不是很相符过于安全的状态可能最终激发了蔡文森的赌性所以说他在2021年就直接开始买以太坊和比特币了当时是说他累计花费在1亿美元左右但也不是特别多也不算特别少这个部分最后变成了公司账面上面的一块资产当然是一块波动比较大的资产
[00:20:36] 如果我们看美图2023年的中报会发现说这半年时间里面公司进入了1.85亿元的数字货币增值利润那这个其实是占到当期公司总利润的88%等于说这个公司的钱都是数字货币的变化给它赚来的所以2023年年中的时候美图可以说主要是一个炒币公司我们看一下统计就是2022年的上半年
[00:21:01] 同样是这个规模的数字货币资产它带来的是什么呢是三亿元的亏损那就导致当期这个公司在主营业务上它其实是微赚的但是加上这部分资产的贬值它就变成了亏损当年蔡文胜公开说过他说总有人要先吃螃蟹所以他让美图成为了港交所第一个配置数字货币资产的上市公司
[00:21:23] 当然他自己个人的这个钱其实炒币已经像刚刚讲的已经有非常长的历史了但是让一家上市公司的钱去直接投资数字货币反正我不知道投资者们看到利润结果时会怎么想但是在主营业务还不能很好但利润的前提之下有这么一块波动如此巨大的资产还是挺危险的那蔡英胜总市长职务一直是做到了2023年年终之后就由吴星红接任了2023年市场热点的钱就不再是数字货币和区块链了而是AIGC
[00:21:52] 这块美图之前有一些自主的探索所以说浪潮来的时候公司跳下水的速度就非常快它终于可以开始名正言顺用产品和服务来赚钱了我看吴星红后来接受采访的时候也提到说应该多出来讲讲话提高公司在外界的透明度毕竟是一家上市公司如果你总是因为一些奇奇怪怪的事情被外界注意到甚至说大家都已经毫不关心你的这个对于投资者来说其实是不太负责任的
[00:22:18] 我们刚刚讲了非常多美图的管理层的变换其实只是创始的两人组他们之间的轮换但是你可以看到轮换对于美图的业务的变化或者它的公司发展方向的变化影响还是蛮大的其实我们说的就是管理者业务和投资这三个细分方向是一个相互嵌套的关系或者说管理者自己的决策和摸索基本上决定了美图10年来的一个折腾的状态
[00:22:46] 直到2023年大模型AI的热闹才让美图重新回到自己的舒适圈时间终于进入到2023年迷茫的美图可能遇到了自己真正能够改变命运的一个机会就是大模型AI在当年年底美图发布了自家的视觉大模型叫Miracle Vision 4.0它支持视频生成等多个全新功能而2023年的中报显示上半年美图已经产生了来自于AIGC内容的收入
[00:23:16] 看起来一切都很顺利我觉得这边还是有必要袁老师先介绍一下美图目前在AIGC这个领域的布局具体什么情况C端的产品比较简单主要就是一些现有产品上的功能价阶比如说拿AI给你捏个脸什么的这个我们之前也大概展开过了接下来可以简单展开两个点一个是B端可以做的服务另外一个是美图自己的相关的投资
[00:23:39] 前面我们提到美图的B端服务收入主要是来自于医美行业这个行业说实话发展非常的旺盛也非常的野而且只做一个行业未免比较薄弱那AIGC给美图带来的其实就是一种可以横向拓展到其他行业的能力吴星红在接受一个采访的时候提到因为这个公司不是在厦门所以说他们就就近走访了一些福建的大企业比如说去安踏
[00:24:04] 研究安踏所在运动协服行业的一些具体的需求因为这个行业其实电商渗透率已经比较高了而且现在像网红线上的卖家视频博主营销人员日常都有很多拍摄和修图的需求那美图就根据这些需求做了一套相关的解决方案比如说你用手机拍一张商品图传到云端稍微改一下就可以做成一种影视棚里拍出来大片的质感
[00:24:28] 再用AI海报把这个产品卖点快速生成一下就把它变得比较有设计感然后这个还能提升你图文带货的效率这个是一个例子他举的另一个例子是美图的一个新的产品叫开拍开拍这个产品专注是一类非常集中的需求就是口播内容比如你在视频里面做口播和直播里面做口播AI在其中可以辅助生成脚本做智能提词器降低解极的难度快速完成包装提升综艺感等等
[00:24:56] 刚才岳老师举的这两个例子怎么说呢我觉得有一个很重要的共通点就是他虽然做的还是这个B端的解决方案但是他的这个市场规模是变小了原本有可能服务的主要是医美行业的这些机构但现在呢主要是做电商图口播的视频他们的客户就会变成一些网红团队或者主播的团队还有一些营销人员这些人他们作为C端用户的时候可能已经非常熟悉美图秀秀了
[00:25:22] 所以转化成B端的用户相对比较有效一点这点变化还是蛮重要我们在结尾部分还提的这我们先说回来就是美图我们说想看一下它在AI领域的投资情况在2023年底推出大模型的同时美图还对外宣布了几项手头的合作和投资其中投资就包括一家所谓的AI算力芯片公司叫碎原科技还有一家自然语言模型公司叫V2AI
[00:25:49] 另外美图当时是说和国内知名的一个设计师互动平台叫战库达成了深度的战略合作到2024年初美图就直接披露了全资收购战库的计划这个总价大概是2.85亿人民币其中1.57亿是现金首先是这个算力芯片如果做大模型服务的话确实是有必要做一些这方面的投资和储备但是具体用不用我们不知道
[00:26:15] 所以即使美图在岁元科技的这轮投资里面它其实是一个相对比较小的一个跟头的角色实际的持股比例是1.6%但是这个布局还是有必要的那讲到大模型这个叫做魏图AI的公司其实我没有在美图现有的就披露的对外投资里面查到然后找到这个公司的官网其实是一个装饰性质的东西没有任何公开资料
[00:26:38] 而在美图对外介绍当中这个团队在自然语言方面的能力是要跟美图在视觉模型方面的能力形成一个互补的其实是个蛮重要的补充的东西吴星空自己对于这个团队评价是比较高的只不过因为没有什么公开的信息我很难判断这个投资到底是什么状况说不定也有可能是什么草台班子画大饼所以说我们这里充分的保留意见
[00:27:01] 关于战库战库融入到美图生态里面有几方面很明显的好处首先它本身就是一个很成熟的设计师社区这个是最符合美图目前想拓展的B端服务和社区生态的需求的按照吴星红的说法即使是在上面做什么AIGC相关的培训内容放在战库投放也是最有效的战库旗下还有一个规模很大的正版素材库就是战库海洛这个是跟海外的一个著名的素材库网站Shutterstock合作的一个产物
[00:27:29] AIGC那种面试以后呢其实比较大的一部分争议就集中在版权和抄袭上有一个这样的素材货作为支持呢可以避免很多不必要的麻烦折合规定之后也可以完全做一些内容的直接销售这个我们就可以看到其实不管是大模型也好或者是AIGC也好给美图确实带来了一些很直接的机会吧因为它之前的这个业务实在是跟这个很相关啊他们自己本身就做过很多这种算法上的研究
[00:27:55] 那他这公司呢也非常的这个实际就是抓紧时间拿出了自己能够拿出的产品还有一些模型然后做了一些投资尽快的找到了这些新的技术浪潮和自己的主营业务还有工具之间能够结合落地能够卖钱的一些解决方案的方式吧相比过去的就我们前面上一趴讲的那些试水的话我觉得这个已经算是一个比较务实的你说第二曲现在一个尝试也好或者是新的一个改革也好
[00:28:21] 这个过程里面没有什么特别超出想象的部分但这个状态呢我觉得既是整个中国市场目前使用自然语言大模型一个常态也很符合美图这家公司的产品特点就是够用就行啊
[00:28:35] 那看起来在AI时代美图终于走回自己的舒适区了而且甚至把这个舒适区的范围还扩大了这个应该能带来一些公司价值的提升所以最后我们要call back一下肖老师你觉得美图继续发展下去有可能逃出这个所谓的中等规模陷阱吗这个我觉得压力还是有一些还比较大的吧为什么这么说呢其实主要是因为这个概念本身
[00:28:58] 在我们国内的互联网市场里边其实中等规模是一个范围非常非常广的就是中等里边其实差别也会非常大你像美图目前是百亿港元的市值的水平其实它只有月文的不到一半然后只有B站的大约四分之一只有快手的二十分之一你像B站和快手当年大家都以为它会成为一个国民级的非常非常大的一个APP所以说即使在这轮AI的浪潮里面美图真的能有效的扩展自己的用户规模和收入池子
[00:29:25] 而且假设说它很幸运没有被其他做大模型的巨型公司所吞并它可能大概率也会是一个一直是所谓的中型公司的一个状态而且在这期节目之前大家现在都应该非常熟悉了就是OpenAI发布了它最新的视频生成的模型Solar
[00:29:43] 看完这个Solar非常惊艳的这个demo的视频之后其实我们有可能对于美图这些公司它现在在AI方面的这些尝试会产生一些怎么说呢有些复杂的悲观或者说是微妙的一些担忧是吧微妙的感觉因为一方面美图的产品又是一直以来都是易用性而不是专业度就是好用随便用就行的那种感觉
[00:30:04] 这个让他在这两年的中国市场呢反而能够抓住很多个体创作者也好小型的企业也好他们有一些轻量级的需求乃至你可以根据这些轻量级需求去做一些很细分的行业的解决方案这个是由行业本身的变化导致的那像ChatGPT和Sora这样的模型呢它其实是一种新的方式它直接开始用自然语言跟你对话把易用性这个事情做到了一个超乎过去产品想象的水平
[00:30:29] 产品作为一个中间层的价值长期来看还能保留多少在这里是要打个问号的另外一个方面正是因为创作的工具变得过于简单过于容易用了甚至于AI自己就能完成很大一部分创作的时候我们的问题可能就不再是说我能做什么而是我想做什么了
[00:30:49] 比如说对于一个导演来说到底是用Sora去帮助自己去创作一个更有意思的动画电影呢还是你直接拿它去生成一堆可以带来流量乃至带来收入的低质短视频呢或者说对于一家公司来说到底是用AI去探索一些真正有挑战性的行业难题呢还是利用绝大多数人都还不熟悉AI这个时间窗口先赚一波长线和缓解焦虑的快钱呢说实话我觉得这些选择是很难做的
[00:31:15] 它可能长期来看甚至没有什么对错之分只是一个阶段性的讨论那回归到美图这个公司上面的话其实总结一下我们刚才的这个思考如果上一个阶段我们说它是流量和广告为核心的这个阶段的话那困扰像美图这样的中型互联网公司的主要还是增长或者说是赚钱这两个主题那么现在到了以AIGC为核心这个阶段
[00:31:37] 这个问题会变得更加的残酷就可能会变成如何活着或者说如何活出自己独特的价值
