Vol.99 劣币真能驱逐良币吗？
[00:21:04] 所以边区和外面做生意的话你用这个边币人家就不认了对的它基本上只能用法币所以说尤其是在像边区和国统区的交界地带法币的优势始终是比较明显的也很难真的用行政手段去禁止法币在整个边区里面流通再加上边区货币本来就有一些超发的因素影响到1943年初边区的黑市上面一块法币就已经可以折到四块边币的
[00:21:32] 而到1943年底就已经变成了一块法币可以折10块便币这个通货本账蛮厉害想想也很正常因为你在这样一个处处受限的一个市场里边你要发展出一套比较强的货币来感觉是很困难几乎不可能的事情1944年就有一个人来编曲解决这个问题他就是擅长经济工作的陈韵同志陈韵同志研究了以后认为编曲确实离不开所谓的输入也就是进口贸易所以说很难去
[00:22:00] 正儿八经把法币淘汰掉但是如果物价不能稳定呢他就是也没有办法这样长期维持下去所以他想实现的是两种货币之间有个比价稳定就可以了所以他提出一个目标就是尽快让法币和边币它的兑换比例稳定下来最好是能够达到1比1的这个平等的购买水平也就是要让这个打引号的进出口的这个总额能够平衡下来尽快平衡下来那一方面呢边区就要想办法开源嘛
[00:22:28] 就是靠大生产或者开黄你实现更多产出只要有更多东西那你物价这个上涨的势头有可能是能平息下来的另外一方面就是要做货币的改革就是尽快地用工具来调节边币和法币之间的关系陈云当时就提出了一个很有意思的方案叫偷梁换柱什么是偷梁换柱其实他就是想在边币和法币之间我再发行一种过渡时期的准货币
[00:22:54] 因为我们刚刚说了边区的对外支柱产业之一就是盐业这个盐业的牌子大家还是认的所以当时就选定了由边区的盐业贸易公司来发行一种流通券这个流通券它和法币的比值关系是1比1的但是流通券和BNB的比值最初是想定到1比9
[00:23:14] 然后最终发行的时候其实更高就是1比20那你通过发行不同面值的流通券就可以把当时已经大幅贬值这个旧的BNB尽快收回来流通券在当中然后和法币的1比1定好了然后和BNB的1比20就是刚才陈云同志提的尽快把这个比例要确定下来对
[00:23:32] 那使用了流通券以后不仅是可以尽快收回这些已经贬值的边币那其实原本可能直接流入到边区市场里面的法币也有了解决方案就是可以通过边区银行尽量劝大家说你把法币1比1换成流通券然后用流通券这个形式进入到边区做交易那么这样子呢边区政府实际上也有了一定的法币储备因为他把法币换进来了嘛
[00:23:57] 然后呢这个法币储备呢有一些好处比如说你可以利用当时法币和金价之间关系然后利用金价的波动则使把手里的法币换成黄金或者说换成其他食物这样子的话边区政府就通过收法币的这个方法尽快摆脱了对于法币的依赖我听上来的话这个偷梁换柱其实更像是在强势的法币和相对比较弱势的边币当中有了一个缓冲
[00:24:22] 对吧然后对外的话流通币可以跟法币有个互相兑换这样的话可以把法币收回来一点对内的话你可以通过一些行政的手段来扶持流通券的这个价值然后把BNB也尽量收回来对的就其实中间设立一个缓冲还是很重要的就是如果你直接就货币换货币的这样做改革的话其实是很硬的然后消费者肯定不会认
[00:24:46] 对的大家有可能记得就是说法币的话我们现在在讲的是1943年或者1944年的事情其实到1948年法币就是因为一次非常失败的币制改革实现了急速的贬值金元券那个时候是的所以说我觉得当时陈云同志劝大家尽早把法币换成黄金和石武还是很有先见之明的没想到过了几年之后有个意外的好处是的
[00:25:09] 陈寅同志原本设想是等到BNQ的物价基本上稳定了通货膨胀问题大致解决了以后流通券缓冲作用就取掉它用新的BNB一比一再取代原先的流通券就可以了那就相当于恢复到原来的一个货币制度上面去理解了所以就是说它的根本的目的实际上是把原来已经大幅贬值的老BNB变成一种新BNB但它不能直接再换它就用了流通券这样一种方式对 稍微缓冲了一下
[00:25:36] 但是实际上因为流通券在市场上发行了一年以后原本的旧的BNB和法币之间的问题就基本解决了陈毅同志就直接把流通券定为了边区内的实际流通货币所以小结下这个例子最初其实是BNB是一个劣币法币是良币由于边区无法自己来解决贸易的逆差问题所以良币显然会加速的驱逐劣币那么靠BNB实现自力更生就会变成一个空谈
[00:26:06] 陈寅同志这个方案就是用边区自己的流通券等于是一个新的良币来驱逐自己原来旧的那个边币这个劣币这样就有效地挤压了这个法币的一个流通空间另外就是我们前面提到的相比让边区政府直接发行一个新的货币用贸易公司的流通券这种有实际业务和商品作为支撑的准货币来逐渐地驱逐这个旧币市场上面的接受度也更高也避免了很多国家目前常见的所谓的休克疗法的后遗症
[00:26:34] 也是新貨幣發行之後非常常見的經濟衰退的問題
[00:26:40] 袁老师刚才已经举了三个例子了其实说到这边的话我多少有点get到了就是劣币和良币到底谁驱逐谁是会受很多外部因素的影响的既有货币本身的价值的基础然后也有当时的金融包括贸易市场的背景很大的影响所以说相信从前面这几个例子里面大家也能够感受到货币是一个很复杂很微妙但是掌握好了又很能发挥作用的很好用的金融工具没错
[00:27:07] 但是还没有完还没有完还没有完因为我们前面都是讲的是一个市场里面最多两种货币的竞争我们最后再举一个例子是一个市场里面有三种货币这个市场就是改革开放早期的深圳特区于老师这个两种货币我已经听得头很大了三种也太多了吧准确来说其中两种是官方承认的货币它就是一个是原本在深圳就流通的人民币
[00:27:33] 还有一个是因为外商投资消费贸易而流通进来的港币还有一种所谓的货币其实准货币它就是与人民币等值但是仅限于境外人员使用的所谓叫外汇券
[00:27:46] 外汇券呢当时可以买到一些内地难以买到的商品所以说它的实际购买力呢是强于它的票面价值的在深圳有些地方呢你可以看到用三种货币标价的商品也能直观的就是靠一个东西就能看出来三种货币的优劣之分盲猜一下港币还是其中购买力最强的良币确实啊比如说同样一条裤子它的人民币售价是8.5元
[00:28:10] 那外汇券也是用人民币计价的但它这个售价只有5.8元那相当于外汇券的购买力要强于人民币了那港币的售价呢这条裤子是8元是8港元对8港元但是8港元按照当时的外汇牌价折成人民币的话实际上只有2块4毛3就是它如果折成人民币的话是原来人民币的大概三分之一或者四分之一的水平OK那考虑到当时的这个特区的开放程度这个商家显然不可能拒绝收港币
[00:28:39] 而且他也真的不一定愿意收人民币也就是说他明码标价标的这个价格好像是显得八港元很吃亏了但其实在真实的购买力里面八港元其实这个价值是比他这个汇率是要高很多的对的所以说这个阶段一定要说的话就是非常明显的良币驱逐劣币而这个背后就是当时香港和深圳之间有经济实力上的巨大差距我理解的话这个好像跟刚才讲的这个边区和这个法币之类的有点类似
[00:29:08] 稍微有点类似其实当时这种港币加速驱逐人民币的形式已经开始促进了像走私或者黑市外汇买卖的一些活动当时深圳有一些外汇的黑市上面100港元最高可以对55元人民币这个比当时的外汇排价水平高出了19.6元高了很多了前面讲的外汇券相对于人民币来说也是一个相对的两币所以用人民币去买外汇券要加价30%本来是1比1的
[00:29:36] 结果要100比130对那这种加速压榨人民币流通空间的情况显然不是很好所以很快就引起了特区政府乃至中央政府的注意到1981年的春天当时兼任中共深圳市委第一书记的广东省副省长吴南生就提出来说是不是特区能够发行自己的货币啊这个就跟刚才编续那个不一样了他原本已经有三种货币了不够还再加一种第四种
[00:30:03] 其实发行特区币呢主要就是为了防止我们前面提到的港币作为两币的加速渗透嘛
[00:30:09] 因为1981年深圳是自己也做了个统计截至当年的11月底深圳市面上大概十分之一的流通货币都是港币哇很多很多了这不算特别多因为当时已经开始考虑说深港两地经济水平差短期内的两币加速驱逐劣币甚至直接把劣币就赶跑了也是不是不可能所以当时呢虽然说学界对于是否要再发行一个特区币这个看法不一但是国务院呢这个事情上还是蛮有决心的
[00:30:36] 很快就成立了一个国务院特区货币研究小组当时国务院的副总理就下了一个指示说你们这个小组的任务不是研究发不发特区货币而是研究如何发行是最好的那就是说这个发行是肯定要发的了对的这上面已经认定了要发行了不得不说当时的这个特区确实在体制外有很多探索的空间这个胆子也非常大那这个研究小组组长是时任的中国人民银行的副行长叫刘洪儒
[00:31:05] 刘洪荣曾经在接受一次采访的时候就回忆说当时他们为了调研呢在深圳的乡村里面走访走到一位农民家里人家说请你们等一会儿结果等了一会儿呢他就带回来很多的进口饮料说这是我刚才去香港买的这件事情呢对于团队的整个思想冲击特别大因为他们意识到说深冈两地其实往来是非常非常密切的那你在这种情况下割断港币进入特区这种渠道呢是不可能的
[00:31:32] 能想办法说我用一个特区货币然后它在未来能不能发挥一些作用所以那个时候其实是比较认定特区的这个货币是有个价值的之后呢其实是做了很多轮的研究讨论研究讨论直到1984年年中呢整个特区货币的方案就基本形成了方案形成了方案形成还蛮快的它的核心的大致是以下几点一是它实行独立的外汇制度而且各类的外币呢要能跟这个特区货币自由的兑换
[00:32:00] 第二就是特区货币的价格以人民币汇率价格为基准但是跟人民币是不能互相兑换的第三就是特区货币发行以后特区内部就停止港币和外汇券的流通也就相当于基本上你只能用特区货币了
[00:32:16] 最后就是香港回归以后特区货币应该可以在香港与港币按照1比1对价流通理解了我的感觉的话就是它这个时候特区货币是有很明确的时代的目标的就是在一个时间段里面要解决掉港币快速的渗透到深圳市场的这种情况然后到了适时的时候它作用完成它就可以退出
[00:32:40] 或者说长期发挥更大的作用因为他希望是未来能在香港也能流通以后就有可能在香港就是也用特殊币所以说当时中国人民银行牵头货币发行小组觉得说我方案都出来而且上面也差不多批了这个事情已经板上钉钉了所以他们开始为正式发行货币做一些准备了比如说他们当时就买了两栋楼作为未来的造币厂的厂房
[00:33:04] 然后呢因为印纸币还要造纸厂那个厂纸也挑了然后当时的印刷设备啊和技术引进的这个异象书也草签了另外呢他们也把特区货币的这个票面设计啊面值都确定下来了我们看了一下资料就是这个纸币证明用的是三皇五帝当中的皇帝像然后这个背面呢根据面值不同分别有长城 颐和园 桂林 鹿山和华山这么详细了吗反正是方案已经做差不多了
[00:33:31] 时任的国务院副总理古木还评价说这个特区货币这上面用皇帝的头像非常有利于团结广大港澳台桥同胞也有利于对外经济的发展全球华人都可以用的感觉有点意思但是其实到1985年这个基本上只差临门一角的特区货币方案就被暂缓了当时人大常委会会议给出了一个反对意见主要原因也很简单就是一句话一个国家不适宜搞两种货币这么直接的吗
[00:34:00] 最终反而挤压到人民币的流通空间
[00:34:27] 这里就可以看出来就是说陈云觉得当时的两币驱逐劣币是一个客观规律他其实担心的是特区货币和人民币之间的关系到底谁是两币谁是劣币呢这个倒是其实没有想到的因为当时其实主要是站在特区的这个角度来思考的怎么来解决当时的问题对但是他是国家领导所以他好像是整个国家的情况所以说特区币在万事俱备的情况下整个计划就停下来了
[00:34:54] 那么这个深圳的这个问题还没有解决啊你这个港币和外汇券不断流行怎么办呢这个其实就是历史很有意思的地方因为随着改革开放的深入整个特区经济发展很快嘛那其实因为经济发展人民币在整个深圳的市场地位是在逐渐恢复的那我们看到一些数据像在1987年整个深圳市场上外汇券的流通量其实就已经萎缩到了0.1%了就已经可以忽略不计了那再过几年到1991年
[00:35:22] 港币在深圳的流通量也从最高峰的48%左右已经降到了9%左右其实最高峰的时候还是蛮厉害的半壁江山但是在经济发展的过程当中逐渐两地贸易或者说经济的关系相对平衡了之后它自己这个问题就调节好了是的在这种已经调节好的背景下你再去说做特许货币它其实就没什么用了它原来是用来调节或者说限制三种货币相互竞争的关系
[00:35:50] 它现在这个价值其实已经非常有限了OK今天这个节目好长我们用了好几个例子来讨论所谓劣币驱逐两币这个所谓的格雷性法则是不是真的成立那结论就是这其实不是一个非常常见的现象因为格雷性法则要能够实现的话必须要满足几个前提条件第一个就是两币和劣币要有同等的流通和对付效力而且两者之间的官方比价要稳定
[00:36:17] 第二个就是市场上的货币总量应该是要超过实际的流通需求才可以出现驱逐出去
[00:36:46] 最终来回到两种货币不分两列长期共存这种均衡的状态
[00:36:51] 那我觉得还需要加上一个前提就是说格雷辛法则一般只发生在一个国家的范围内它是这个国家内部的良劣竞争那至于跨境贸易的部分在讨论这些货币是良劣劣呢其实要重新判断了对 跨境的时候我们讨论的有可能是强势的货币或者弱势的货币这种感觉其实像我们前面提到的BNB和法币的竞争人民币和港币或者外汇券的竞争看起来是所谓反格雷辛法则这种良币虚主劣币嘛
[00:37:21] 实际上还是因为这些货币背后的政权实力和货币制度赋予了这些货币不同的流通认可度和实际购买力人们是根据这些指标重新判定货币的优劣的这个情况下再去确定说两币的接受度和劣币接受度如何讲到这里的话我们在金融或者货币意义上的劣币两币的话题我觉得已经讨论的蛮充分了我自己也学到很多新知识大家互相学习这个可能也给我们打开了一个新的思路
