Vol.167 一次性说清“退货”这件事
[00:13:09] Wedgewood很著名它做的是瓷器而且代表了当时英国精细制瓷工艺的一个巅峰直到现在也是一个全球很有名的一个品牌这期节目浅浅看了一点Wedgewood的资料发现这家公司包括创始人背后的家族整个都非常有意思他们做了很多技术和商业模式上的创新有机会我们专门做一期节目来聊有啊 可乐放到这里在Wedgewood的商业创新里面承诺退货是其中之一
[00:13:36] 现在没有多少品牌敢说全球退货了
[00:14:04] 外注这个做法肯定启发了很多其他的品牌和零售商所以到1890年代美国的百货公司谢尔斯也拿出了类似的方案谢尔斯当时是印刷了很多邮购目录寄给消费者目录里面都会写一条内容就是我们的商品保证令你满意否则可以全额退款到了20世纪中叶美国的经济是空前繁荣消费市场竞争也非常激烈
[00:14:27] 在各州立法普遍不太给力的情况下呢各大的零售品牌就纷纷开始制定远比联邦标准更宽松的退货政策而且延续至今针对美国上市的头部零售品牌呢我们请ChatGPT帮忙啊梳理一下他们目前的退货政策会发现有些公司真的有点宽松过头了怎么讲比如说最宽松是开示克它除了电子产品是90天内可退以外
[00:14:51] 大部分的商品都没有特别明确的退货时间限制然后退货的时候商品可以是开过封的甚至可以是用过的你也不用自己带购物时的小票作为凭证最严格的是亚马逊但它也可以做到大部分未开封的商品可以在购买30天内退掉另外像塔吉特对于自由品牌商品以及加德堡对于它的联名信用卡用户
[00:15:15] 在退货期方面都可以放缓到一年前面我们说法规层面美国是最严的没想到商家层面是这么宽松而且我觉得尤其是开市客这个人属于无忧退货了不过我觉得开市客还是比较特殊因为它本身是付费会员制就庞大的会员费是它的一个收入基础我觉得还是可以覆盖掉一部分退货带来的成本上升的应该是这样但像沃尔玛这样中低端的零售品牌在美国其实也可以做到大部分商品90天可退而且是包括了开封商品的
[00:15:44] 我觉得市场性确实让消费者在这方面吃到甜头或者说沃尔玛基本上制定了美国的一个零售商的退货的一个基准线另外我觉得美国消费市场还有一个可以跟退货制度配合使用的东西那就是信用卡因为消费者本身就是用消耗信用额度的方式用不占用存款的方式来获得商品如果说这个商品还可以退货那就相当于这个消费者拿到了商品一段时间的免费使用权
[00:16:11] 这个其实比租赁还要更合算我们看到大西洋月刊对于这种行为的总结就是先买后想可以说是一种另类的消费文化了或者是无脑买嘛这种思路简而能促进整个社会都买的更多而到了2020年全球疫情爆发以后呢电商的渗透率提升又把这种退货潮流进一步带起来了出于健康考量以及现象视频普遍都已经关门了
[00:16:34] 消费者就不得不开始在网上去买一些像衣服啊鞋子家电或者家具这些大概率原本会去线下采购的东西那如果说这个线上零售商在退货政策上没有竞争力就很难长期留住这些消费者看到有一家电商咨询公司的分析解释在做出网购的决策时候有利的退货政策甚至比有吸引力的价格更强
[00:16:57] 我觉得这个有点像商场免费停车那种竞争策略如果你能薅到更多羊毛总会让人感觉更好当然这种情况也很容易造成全美的退货率进一步攀升这方面美国零售联合会每年都会有相关的报告可以看一下趋势2022年退货占到了全美所有零售销售额的16.5%其实一个不太低的比例了总价值更高总价值是超过了8000亿美元
[00:17:24] 在疫情之前2019年这个比例只有8.1%不过我看这个报告里边写2023年全面的退货率是下降的只占总销售为的14.5%这个趋势好像又变了吗听上去有点不科学但是怎么会下降呢但这还是合理的因为一方面疫情最凶险的阶段已经过去了大家又恢复了线下购物由于网购反复沟通造成的这种正常的退货肯定是变少了另外一方面的零售商也
[00:17:52] 必然意识到这个退货率过高呢肯定会造成一些压力所以说有一些理受商使用了更严格的政策以更多技术手段这个我们后面还会展开讲
[00:18:04] 此前我们可能关注的主要是国内一些电商平台这两年在退货政策上的调整或者说是创新吧以及这些政策给消费者和商家带来的影响不过没有想到美国这方面的实践确实是更早更宽松甚至变成了一个消费文化的一部分当然我个人觉得就是先买再想实在说不上是什么好的消费习惯而且中国市场其实还远远没有到这一步吧我们前面讨论的主要还是这些退货政策对于消费者来说意味着什么
[00:18:31] 而接下来呢我们就要进入一个苦哈哈的问题就是宽松的退货政策对于商家而言到底意味着什么这个其实要算两类账嘛一类是单件商品层面的小账一个是公司和品牌层面的大账你这么说的话是不是这个小账和大账的结论是不太一样的确实是这样那我们先算小账小账也就是单件被退货商品在被退货以后的收入和成本分析我们这里其实可以做一些比较
[00:18:59] 如果一件商品是直接卖掉的他没有经历退货这个过程那么他的利润粗略来看就等于说他售价带来的收入减去生产成本再减去所有的流通成本最后就剩下就是利润那如果一件商品是退货以后折价做了二次销售那么他收入情况是什么呢他就会变成原本的售价减去折旧形成了一个再售价再售价肯定比原售价要低
[00:19:24] 成本端除了原来的流通成本生产成本以外还会新增退货产生的逆线物流成本然后处理退货的处理成本以及退货在仓库里待的增加的一段仓储成本等等那么对于商家而言退货的过程肯定会让单件商品的利润变薄我觉得大家应该可以理解这么一个算法这么一算的话其实很能理解为什么商家有时候会把退货的商品直接当新品重新混卖了
[00:19:50] 因为这个多出来的这些退货成本是比较难压缩的但是定价是可以自己掌控的
[00:19:57] 如果老老实实做了折旧的话那这些货首先有可能卖掉还是亏钱的其次有可能直接就卖不掉了大逻辑是这样不过在一些特定的情况下呢商家算账的方式可能会有变化比如从库存角度而言如果一批货它本身就很畅销那它在仓里面的流转速度很快的话其实商家没有那么怕退货因为仓储成本没有对仓储成本本身就比较低它哪怕退货回来也会很快就卖出去嘛
[00:20:22] 但如果这批货本身就很滞销它已经产生了很大的仓储成本你再遇到退货的话商家就很头疼对吧我好不容易把这批货请出去你怎么又把它送回来了另外呢从物流角度而言呢商家其实也是很怕在促销季和这种重要的节假日来接受退货的一方面这些时段的物流运力本来就很吃紧而且是单向的运力会比较充足一点那上门去退货这种逆向物流成本势必是更高的
[00:20:47] 所以说在美国其实很多零售商在遇到圣诞节感恩节
[00:21:14] 如果说在一些关键时刻人力财力上面都划不来的情况下那就不如把取货和在售这些后面的环节全部都砍掉我省一点麻烦我感觉这个部分其实就涉及到你前面讲的另外一笔大账就是品牌和零售商的这个账了也就是说在存商品退货带来的盈亏之外品牌和零售商会进一步在退货这个问题上考虑自己的品牌形象长期价值等等这里我们可以举几个点
[00:21:39] 首先就是宽松的退货政策以及更快的比如说克服响应速度那肯定有助于展现这个公司的服务水平提升自己的品牌形象虽然品牌形象一般来说大家认为是无形资产但肯定也是要考虑在内的第二也不排除有些企业对于这个产品比较上心它是希望通过观察退货率以及一些具体的退货原因来对这种产品或者说销售流程做一些迭代和改善的这样来说退货带来的成本上涨是可以接受的
[00:22:08] 第三就是如果我们不完全是从利润和成本的关系而是从像现金流资金的周转速度利息收益这些角度来看问题有可能会有不同的结论这其实我自己一个想法因为我们前面说从产生消费到完成退货这个时间段内消费者是免费的占用了商品
[00:22:28] 不是原来有这么一个结论吗但是相对来说呢商家在这个阶段是不是也免费占用了消费者的资金呢因为退款之前先把这个款身收到了对啊就是这个款会在他账上待一段时间嘛那如果说你这个期间配合一些财务手段比如说做一些短期的投资啊拆借其实有可能还是有一些受益空间的OK
[00:22:47] 那最后呢就是如果有些企业的数字化程度比较高其实上可以通过分析用户的消费行为数据来逐步调整自己的定价销售曝光以及退货率之间的关系一方面呢可以把退货率控制在一个合理的水平范围内另外一方面可以改善现有用户的长期回购率以及他们的LTV等一下啊余老师这个LTV首先是什么东西
[00:23:10] 其次如果一个消费者都开始要求退货了那么他这个长期回购率还能保证吗我感觉这个逻辑有点奇怪先解释一下LTVLTV指的就是生命周期价值Lifetime Value对就是这个缩小它指的就是一个用户在这个平台上的所有时间内创造的所有价值之和打个比方比如说你玩一个游戏刚开始你觉得这个游戏很好玩给它课金但是你一年之后就气坑了我再也没有回去过
[00:23:37] 那么计算你在这个游戏当中LTV的方式就很简单就是你一年当中所课的所有钱加在一起就是你的LTV了当然大部分市场计算过程都要考虑一个用户回到平台上的概率具体的算法就不展开了但反正LTV就是这么一个东西那关于你提到的就是说要求退货的消费者这个长期回购率反而会更高呢这个其实是一家营销咨询机构叫Optimum的分析得出的结论
[00:24:05] 他们的结论就是提出退货的用户他的用户质量也可能更高他有三个具体的结论就是他们从自己分析来的第一个小结论是与未退货的客户相比有过退货的客户他们的成功订单数量平均会多6%那成功订单就指的是所有未退货完成交易订单就是最后他们真的付钱的一些订单这个订单数量会多6%第二个小点是有过退款的客户购买的商品总量也更多
[00:24:34] 即使扣除掉退货的部分他这个购买商品总量平均也比未退货的客户高24%就是他真的买了很多第三就是有过退货的客户他的长期价值更高平均而言他们的前面讲的那个生命周期价值LTV平均可以高64%哇64这么高我感觉你前面讲的第一点和第二点还能够理解
[00:24:57] 这个生命周期价值能够高这么多我是有点没想到的其实从第二点就是商品数量这个24%的增幅来看其实也能大致得到这个结论吧就是他们肯定是长期来看对于这个平台贡献价值会更高一点不过我们要特别找到Optimum做这个研究分析所用的样本说明所以感觉这个数字有一定可能是被高估的只能说它的大趋势我是认可的
[00:25:21] 这个也说明了退货除了成本和利润小账确实也有必要看一下对于公司整体意义的大政要重视它作为品牌宣传以及增加客户粘性的力量
[00:25:33] 前面我们分别是从法律现实和财务层面来讨论一下退货这件事情对于消费者还有对于商家的意义得到了很多有点反常识的结论比如说整个市场的退货率不一定会越来越高还有就是允许退货反而有可能会留住更好的回头客等等的那最后一个部分我们还是回到控制退货率这个话题上那如果说一家零售商不希望自己被这种薅羊毛这种退货党击垮
[00:25:59] 那么在美国语心下呢它还是有很多调节空间的那么可以列举两大类常见的方案第一类方案就我称为摩高一尺道高一丈因为在节目开始我们就提到了美国各州虽然在法律层面普遍没有所谓的退货冷静歇着说法但是反过来说呢各州不都普遍要求这个零售企业得明示自己的退货制度吗这个也就意味着说企业只要一直去更新一些具体的条款再完成公示这个就符合了规定这是合规的一些做法
[00:26:28] 至于具体可以更新的条款其实可改的地方就很多了比如说退货时效可以改或者说对于使用状态有要求或者说你要求是原包装退货或者说附带购物凭证等等这都是很常规的方法包括也可以要求一些具体的退货方式比如说你只能拿到线下门店退货才能拿全款等等
[00:26:48] 还有就是退款本身也有很多说法比如你当时退现金呢还是退购物卡还是退消费基点这些都是可以讨论的这个我也请ChatGPT帮忙确认了一下我们前面讨论过这几家美国的大型零售企业沃尔玛 亚马逊 加德堡 开示克 塔吉特
[00:27:04] 这些公司都在最近五年内调整过自己的退货政策
[00:27:33] 这小策略目前亚马逊是玩的比较赚的因为他们的传统的退货流程跟中国电商流程差不多主要是快递上门那这种情况下呢亚马逊其实有一个小的要求就是你要原包装退货否则我要收你一美元的退货费但是如果你把商品拿到三类线下门店去退货亚马逊不仅不要求你提供任何的外包装啊什么的也不会收你的退货费
[00:27:58] 你只要拿一个退货专用的二维码让店员扫一下然后直接放到一个退货的柜子里就可以了非常是方便具体来说这三个门店分别是亚马逊自己的实体店以及他收购的Whole Foods的门店还有一个是与亚马逊有业务合作的百货商店叫Cost前两者其实很好理解这么宽松的政策肯定是一些内部协同给你引流
[00:28:23] COS是跟亚马逊是从2019年达成的合作而且他们达成的最早合作就是这个线下退货的合作当时就有分析师表示尽管为亚马逊提供这个退货服务会增加COS的成本但是肯定也会为他带来客流然后进而就会刺激到他更重要的统电销售和收入的增长我的这个退货的权益或者退货的这些客人也变成了我一个可以向别人来合作的一个资源了是的
[00:28:47] 所谓这个魔高一尺道高一丈总体来说就是企业根据自己的需要来不断的调整这个退货的细则来控制实际的退货率或者能够通过退货来拉动整体的流量之类的这个还是比较好理解的部分我觉得是的第二类方案听上去更颠一点叫打不过就加入啥什么意思呢就是如果一个公司意识到了我的消费者就是很注重退货这项服务
[00:29:12] 那我觉得应该想办法把退货这件事情产品化机制化甚至融合到它整个商业模式里面前者典型案例其实都在中国一个是阿里的运费险调就是拼多多请退款那融合到商业模式的案例里面在美国那一个是更有名的它其实就是Zappos华裔商人谢家华创立的那个电商品牌
[00:29:34] Zappos就是那种成名比较早的垂直电商它主要是卖女鞋的女鞋是个什么品类呢退货率可能跟女装齐头并进的一个品类了对啊因为鞋这个东西吧就不管是尺寸啊穿着感受啊材质还是单纯的就是你买完反悔这种可能性都很大就是你一双鞋到手没几分钟就会被退货这个概率其实是挺高的
[00:29:58] 不过Zappos在这件事上从一开始就想得比较透彻啊就他们是从很早以前吧就开始提供一年内全额退款或加上包退货运费的这些承诺哦这个其实就是用户非常乐意说我一口气买好多鞋子然后从里面挑一条再把剩下的寄回去啊对这是现在我们电商的一个常规操作是的不过Zappos在跟用户沟通过程中呢会强调说
[00:30:22] 你在我们这里退货和换货是非常非常正常的最重要的还是你要找到自己喜欢的东西我感觉你确实说的比较对他们是想穿了这个话术的设计应该也是让用户满吃这套的对的而且当时Zappos相对于线下零售店来说其实在价格上面没有优势甚至会更贵一点但这个可以轻松免费退货的承诺就让他们当时很快就挣到了很多的用户的忠诚度和一些溢价
[00:30:48] 另外Zappos也会直接问这些消费者具体是因为什么原因退了这单货再把可能产生退货的理由直接写到产品的详情列里面帮助后面的用户做更好的决策我觉得反过来说也是它这个价格上面的优势其实也是把这个退货的成本已经计算在内了但是获得的是什么呢就是用户的消费的心理感受会更加好会觉得这个平台是比较在意消费者本人的而不是只在意我的钱包不过Zappos确实是太古早的一个项目了而且是美国市场的
[00:31:16] 中国市场相对更熟悉还是我们前面提到运费险和紧退款因为节目进行到这里真的已经太长了所以我们就相对简单聊一下而且这两个项目的话其实产品本身我觉得现在大家都已经非常熟悉了运费险我个人认为本身是很有意思的项目运费险其实是用保险产品的设计思路来应对退货问题的如果说是一个退货率越低的优质市场其实越不需要这样的产品如果它是一个退货率越高的劣质市场才越需要
[00:31:45] 运费险来兜底嘛对另外呢阿里现在运费险以赠送为主这很少已经在有什么用户要自己买运费险这个其实也有些研究啊就是因为商家大规模采购运费险呢会有更高的成本优势当然对于运费险的费率设计啊尤其是跟风险挂钩这种定价机制目前公开披露信息其实还很少所以这个其实但也很属于但又很陌生的一个东西
[00:32:11] 关于它我们暂时就聊这些万一以后有些新的研究可以再跟大家讨论至于仅退款这个理论基础其实我们前面算账的时候就已经涉及到了一方面大多数绝对价值比较低的产品其实都不值得专门再请个快递上门来退货了即使是在物流成本更低的中国市场也是这个道理按比例退款或者说退款不退货都是权衡之下比较好的一个选择
[00:32:36] 另外一方面拼多多在扩张过程当中本身也有很强的动力来强化自己的服务体验那这个最后的效果大家也可以看到了好的出奇不过还是要指出一点就是拼多多上线的这个紧退款功能是在2021年而亚马逊针对第三方卖家上线这功能是在2019年所以严格来说紧退款不是拼多多的一个发明创造或者说独创性没有这么强
[00:33:00] 看到当时就是2019年的新闻报道里面亚马逊的商家看到这个政策普遍觉得这个天塌了自己要被杨某党薅惨了但是后续的发展呢可能并没有他们想象这么惨烈反倒是拼多多以及其他跟进的商家目前这个净退款功能对于商家的影响可能比想象中要更大
[00:33:21] 很长的一期节目啊退货这么一个简单的消费者诉求背后要考虑的东西还有可以做的商业设计真的是非常多啊那到了结尾的部分我们就再延伸讨论最后一个点就是宽松的退货制度到底是对于消费者的保护还是一个被滥用的起点这个问题我觉得还是要区分一下主题那相信在前面的内容里面大家也发现了我们总体来说都是在区分主义在做介绍的
[00:33:47] 对于消费者对于品牌以及对于零售平台尤其是非自营平台来说这个问题的答案应该是不太一样的我们先说对于品牌来说正在全面适应中国是仅退款的这种规则的电商品牌来说现阶段日子相信还是比较难熬的有很多短期性的社会压力和经营压力会通过退款这个小小的操作转移到品牌这里让他们来消化
[00:34:12] 所以像美国这样零售业退货率起稳回落的走向在中国我感觉暂时不一定能复现对于平台来说宽松的退货政策首先是有利于他们做大交易规模提升关注度的考虑到很多平台企业的收入跟GMV和流量的规模是按比例挂钩的所以我感觉他们应该是非常有动力参与这一轮竞争的但是长期的退货预约还是要靠品牌端来完成
[00:34:39] 平台自己如何维系跟品牌的脆弱的平衡关系这个其实是很困难的对于消费者来说保护资深权益本身就是这个制度被设计出来初衷所以我们觉得这方面没什么好说的至于会不会被滥用呢一方面有人性的因素另外一方面其实也是受到他们实际消费这些产品的质量的影响的
[00:35:00] 如果说一个平台上充斥着低劣的柠檬商品那消费者频繁的大规模的要求退货我觉得也不应该被视为滥用而是一种正常的reaction我们看到一篇康奈尔大学的学生撰写的一个博客他的话题就是讨论此前美国很火的一个类似拼多多的电商平台叫Wish这个平台是否已经劣化成了柠檬市场以致会如何影响到消费者
[00:35:24] 未许真的就是当时是还美国蛮火一个电商平台就它上面的产品大家普遍认为这个质量真的是很不行所以说我们觉得它确实是有点像一个柠檬市场那这个blog的作者他在文中的结论就是消费者会分化为三类第一类人会放弃这种高损耗的便利然后重新关注他附近的一些商业第二类人会变成非常谨慎聪明的消费者他会做很多的功课绝不会先买再想
[00:35:51] 第三类的人他们会变成内容创作者他们会利用超乎想象的这些柠檬商品以及退货带来的零元购的机会为社交网络生产内容进而从创作过程中赚得更高的收益我觉得第三点是有点属实没想到这三类消费者的分化预测我感觉还是蛮有意思的第一类可能在欧美市场更多而在中国市场后两类消费者则是越来越多这个可能是一个值得观察趋势还是那句话
[00:36:18] 只有在精明的市场里才会诞生更加聪明的消费者商业就是这样
