Vol.76 生鲜电商失败启示录
[00:18:25] 也就是所谓的履约费用了因为这部分像丁东买菜36.1%的履约费用率其实就和前置仓我们前面一直强调的核心商业模式是息息相关的之所以履约费用这么高就是因为生鲜电商它提供给消费者的一个核心的服务就是急速送达不管你是39分钟也好29分钟也好甚至是稍微放宽点一小时也好这个速度就会要求有两点
[00:18:52] 第一点就是你在这个城市里面要密集的铺设前置舱比如说定东买菜在上海就有280个前置舱第二个的话就是你每个骑手一次送出去的这个单量是有限的可能只有四五单原因很简单就如果你一次带十几包东西就算这个骑手跑得非常快就违反交通规则你也不可能保证这十几单全都在30分钟内送达我觉得这个背后更关键的一点就是这个履约费用或者直接一点说就是物流费用
[00:19:19] 它其实不会随着你的业务规模扩大而减少很多就它的这个编辑成本递减很有限说不定你还要花更多的钱去找小哥对对对这个就是你就是想要扩大这个交易量你就要一直要堆人头嘛而且它每个人的这个效率是有一个上限的这也就是我们开头说到的纯粹的这个生鲜电商和那些也做线上下单的但是有线下门店的这些商超很大的一个区别因为这些生鲜电商他们只有仓库没有店铺
[00:19:45] 而像河马 永辉 山姆包括像大润发这样传统超市或者别的一些零售商他们的门店和仓库一般是结合在一起的消费者可以线上下单对吧让别人来送这样比较新鲜的一种方式但是也可以选择到实体店里面去购买而且这个实体店下单或者实体店里面自己去挑至今仍是一个非常重要的选项
[00:20:05] 你想想河马友的店它的线上的比例最高可能到50% 60%的单都是线上来下的那已经算是很高很高了对比较正常像永辉的话可能就是五分之一对差不多对但是这些品牌总归是需要实体店的那么这个部分成本呢天然就少了很多就是所谓的履约费用这个成本就因为都是人自己去扛回家的
[00:20:28] 不是要你来去送了吗对的当然了前置仓因为它没有门店也会稍微少一些成本比如说更大的铺位的话它的租金会高它租金成本会少下来比如说电源人工然后像水电这些都会小一点因为它规模小所以说前期的投入也比较少
[00:20:46] 比较容易快速的铺开这个有点像是比如说星巴克大店和瑞幸的不知道什么地方的外卖店的那种差别有点这个感觉但是你从现在的结果来看至少目前在运营的情况下你这个前期投入少下来的钱并不能够完全压平或者说抵消你这个配送这样的一个急速送达这个服务来增加的那个所谓的履约费用当然了这个部分就跟毛利率一样你总归也是有一个优化的空间的那履约费用最大的优化空间有两个
[00:21:15] 一个方向就是提高客单价另一个方向就是提升每个骑手的平均的客单量说穿了就是你一个骑手你出一次门车上携带的这个货的价值越大那你这次出门就越值因为你平单下来这个旅游费用就降低了嘛就是相当于你一样花了这么多钱来雇一个小哥就是让这个小哥的工作更有效率一点对那我们讲第一个部分就是提高客单价
[00:21:39] 其实刚才我们讲到了一些比如像小龙虾或者一些自由品牌的食品这些都是一些比较常见的做法像2021年叮咚的客单价已经可以做到平均是58.9元而我们了解到的一个数字就是业内普遍认为你要做到80元以上这个前置仓才有可能稳定的实现运营利润的转正这个数字也是我们看到跟一些券商的一些预测是大概是比较接近的
[00:22:06] 那目前叮咚买菜发展的最好的一个市场就在上海它在2021年的第四季度它的客单价是刚刚涨到66元
[00:22:14] 稍微接近了一点这个方面其实最厉害的是山姆山姆因为现在除了开大规模的那种会员店以外也会在一些城市铺置一些他自己的前置仓他名字叫山姆云仓这个山姆云仓客单价分分钟就可以做到100以上因为一方面他本来就是走高品质路线另外一方面就是他单个商品的包装规模都很大比如说李奇肉一份要有三斤或者可颂要有一打
[00:22:43] 这个单量自然就高了但是我觉得这个山姆的小哥应该蛮辛苦的他这个小电驴拖起了整个世界就是那个可送一座山是吧而且山姆还有一个优势就是他的商品不是很多就所谓的SKU比较少你整个商品也就2000多个我们之前讲到过他在云仓里面会更加少大概就是1000多个而且就是锦丁两个品类就是生鲜和母银这两个最最高频的最最刚需的商品类型
[00:23:10] 而商鲜电商在客户参加的方面的改善其实都是朝着山姆这个方向去的如果你仔细去观察的话像电动买菜它一直在做的一个事情就是在砍它的SKU的数量就是尽量的聚焦在一些量大的产品上面而不是做什么1万个2万个那种很多的那些SKU而它大多数的前置仓里面它的货品的种类现在也就在1000左右了
[00:23:31] 所以说就是客单价部分还是稍微有点可以解决的那么接下来单量的部分有没有提升的空间呢其实要提升骑手一次平均的单量最好的办法就是逻辑上最好的办法就是你放宽送货的时间因为就像我们前面讲的如果你规定了30分钟的话那么骑手一次可能只有四五单一天就五六十包如果你规定的这个送达的时间是一个小时以内的话那一次骑手出去他可能就可以装个八到十单甚至更多
[00:23:59] 其实很多线上结合线下的这些零售商目前就是这样的他们不会主打30分钟而是会说一小时或者半日达当日达等等的这个履约费用很轻松就可以下来了像我们了解到普普就是我们前面讲到那家创业公司它在南方市场就会有这样的尝试它会开一些规模更大的前置舱每个舱它覆盖范围就更大不一定是三公里这么急速这个范围了它这样的话起手一次单也比较多它的效率就会相对高一些
[00:24:26] 但是生鲜店上这么做的话肯定就会削弱它这个用户体验这块比较大的招牌就是如果你都不能指望我中午要做的菜现在就能买到的话我还要你干嘛呢对就你最大的一个广告就显得比较弱了嘛对吧之前你想什么你说30分钟我还说29分钟呢如果放宽到一个小时的话就有可能你在吸引客户上面也会比较弱一些所以另外一个更加现实一点的思路的话其实是尽量的提升前置仓所在区域的渗透率
[00:24:55] 就是提高你一个前置仓每日的平均单量因为刚才我们说的什么四到五包什么的都属于是理想状态对吧其实目前有很多的这些骑手一次出去都带不了这么多包的这个单量的他们的工作还属于不饱和的状态所以你首先要做的应该是让你这边雇的骑手都能够工作很饱和对吧然后让他们一次的效率够高在这个现实的情况下来降低这个履约的费用率而要提升单量的话呢就会涉及到我们的第三块费用
[00:25:21] 就是刚才讲到的营销的市场的费用就是广告和补贴了这样比较直白一些我们还是先说提升单量其实逻辑上它就是两个方向一个就是让你这个前置仓所在的区域里边这几个小区有更多的人用你的APP对不对第二个就是让一些已有的用户每个月多在你这边在你这个APP上面多买几次菜
[00:25:42] 这个简单来说就是渗透率和复购率这个在今年春天的上海可能是这些平台前所未见的一个高位对就我们这边没有引用2022年第一季度啊就是丁东买菜发的第一季度这个季报的这个数字就在上海提的非常非常高但是这个我们觉得有一些特殊的因素啊你去看丁东也好或者普普也好包括之前的每日优先
[00:26:04] 刚才讲到的渗透率和复购率都是他们反复强调的核心的运营指标而目前阶段这些平台要提升这两个指标的重要手段就是我们前面提到的发补贴和打广告等于说你要花一些营销或者市场的费用然后来帮助你长期能够降低你这个履约的费用我们可以大致来这么理解
[00:26:24] 然后我们看到券商各家的这个言报里面都会说只要你随着平台的运营不断的深入经营更加的细致那这部分这个广告和补贴的这个费用呢都会逐渐降低然后这个复购率呢会逐渐的上升这是谁给他的资金是瑞幸吗没错所以我们不去看这些乐观的预测我们就看现在的数字还是以叮咚买菜运营最好的这个上海的市场为例啊2021年的第四季度
[00:26:52] 它已经可以做到每个骑手每天平均是89单然后每个前置舱呢每天大概有1200单左右再加上我们前面说的客单价66元这三个数字加在一起它可以做到运营层面刚刚扭亏为盈就是基本上打平要知道这个还是在疫情给生鲜店商带来很大的利好的这个背景下面实现的那这是现在这些平台能做到的最好的水平我们能看到的
[00:27:17] 那至于未来他们在全国市场能够发展到一个什么样的程度能够达到都是上海这样一个水平的还是说比他更好还是不如或者说别的企业能不能做得更好那这个就不得而知了到这里其实我们这个算账过程已经有一个大致的结论了就是一个生鲜店商的前置仓目前还是一个严重亏损的状况而如果要扭亏为盈的话他能做的就是在客单价履约费用
[00:27:44] 还有单量这些方面呢尽可能的有所提升在这个过程里面我们也连带地分析了一下生鲜超市或者会员仓储店这些相关的业态在生鲜方面的一些特点总之目前来看在最乐观的预测之下生鲜店上也是一个威力的生意
[00:28:01] 这里面我们也破除一个迷思就是我们看到很多的这些生鲜电商的平台会说我们是电商然后有很多线上的数据通过这些大数据的分析我们能够优化运营效率然后比如说前置仓的布点会做得更好备货更科学损耗率降得更低客单价能提的更高复购率能够提的更高等等的反正就是通过数据能够优化
[00:28:26] 我们没有这个结果或者说是一些明确的证据来评价这些做法到底有没有实际的效果仅供参考的是当我们把刚才这套话拿来问业内的朋友的时候得到的回答是这种说法听听就可以了好扎心当然我们不是说威力就是一个坏生意因为你像永辉做的好的时候也就是不到5%的净利润率只要你真的规模够大的话威力也可以是一个很好的生意比如说沃尔玛
[00:28:53] 典型的威力大公司它是500强头牌对也是零售的对但是商鲜电商作为一个创业公司想做到这一步的话还有很多路这当中有很多不确定性比如说钱你像这次失败的美日优先就是因为上市以后没有完全解决它的资金问题钱不够烧了而且我们如果展望未来的话像美日优先这次的失败案例也多少会让它接下来这些同行们
[00:29:19] 融资会更加困难因为投资者的信心也会下降这里有一个信息值得大家注意一下
[00:29:33] 其中还包括了对他上游供应商的
[00:30:00] 生鲜电商创业生存的可能性那最后的问题还是你能不能不断地增长并且在增长的过程中提升核心的运营指标直到最后达到一个盈利的状态
[00:30:11] 对就我们刚才讲到的其实很多都是他提升的一个可能性但能不能做到都是要看他自己的那说到这里呢就是想分享一点我们对于这个业务的根本的一些看法我们前面一直在说生鲜店商他提供的一个核心的服务就是把一些新鲜的菜品急速的送到你家门口而他经常会说的一个长期增长渗透力不断提高的基础逻辑是什么呢就是
[00:30:35] 越来越多的年轻人他没空去菜场然后他也习惯了电商的这种服务所以说他会选择生鲜电商但如果从消费行为来看的话年轻人其实不单单是没空去菜场他是没有空来准备一日三餐所以从这个逻辑上看的话餐厅也好预制菜还有外卖同样也是在满足消费者对于方便的一个需求所以你的意思是外卖其实也是生鲜电商的竞争对手因为他们争夺都是所谓一日三餐的这个消费场景没错
[00:31:04] 那这个也是我们开头讲到的伪命题的第三层意思就是生鲜食品是刚需但是生鲜电商未必是刚需他要证明自己存在的意义的话那生鲜电商就不仅要赶超那些我们前面提到的运营能力很强大同时也结合了线上的一些超市同时还要和这些外卖背后的中央厨房来抢用户其实在这个电商everything的国度里面也不是所有的电商都是天然性的通的
[00:31:31] 有的时候你需要把每一个细节都做好才有可能生存下来商业就是这样
[00:31:41] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
