Vol.126 本地商家的新顾客，来自抖音
[00:03:22] 在介绍第一个商家之前呢先说明一下今天三个案例的这个分类啊他们分别是属于餐饮酒旅和综合这三个门类这个其实也是线上平台目前比较通用的一个对于本地这个商家的一个分类餐饮不用解释啊那酒旅呢就是指酒店啊旅游啊景点等等的这些商家
[00:03:43] 综合呢就是除了餐饮和酒旅这两大类以外的更多各样的门店比如说你说美容美发啊电影院啊看展啊包括你玩举本杀啊等等都算的那我们今天聊第一个商家呢他就是属于综合类的他叫星光贝贝是一个专门做儿童摄影的一家公司
[00:04:01] 相信在许多普通人的这个印象里对这个生意也会有一个体感就感觉它是一个近几年需求在不断上升的生意如果你家里面有小朋友的话总会想着要给他留一些好看的这个照片来作为留念对的听上去是这样但是星光贝贝的老板王培华他自己的感觉其实是反过来的
[00:04:19] 先简单介绍一下这家公司的背景它其实2006年就在济南开了它第一家的摄影店属于是当地最早的儿童摄影的品牌之一后来它这个生意一直做得不错然后在济南开了好几家店选址都是在当地最好的一些商场里面包括像济南的恒隆应该就是属于那种走高端路线的摄影工作室对对对因为牌子比较小后来它就逐渐走了全国连锁的这样一个道路其实就是做一些家门的连锁
[00:04:47] 到了2017年18年的时候它这个压力就来了因为越来越多的新的竞争对手冒出来了摄影的这个业务门槛啊它其实不是很高你想一个摄影师然后我找到一个棚其实我就可以开始那个开店可以开始拍了嘛而且他们这些新的这个摄影师他们招客户呢也可以通过一些线上主要的方式那这些新玩家他的这个经营成本就比在这个高端商场里面开店的这个新方倍比要低很多了没错这些新增的竞争对手呢他们还不需要再
[00:05:17] 刚才肖文杰提到的那种横龙对吧租金非常昂贵的商场的二三楼里面去租店铺二三楼都是亲子是是是而且这个租金又是非常大的一块支出王培华就告诉我们此前他有一家大店一年的租金可能就会超过200万这个租金的支出会占他整个店铺的成本要超过三分之一对的但是呢过去其实这种高昂的租金还是能够带来收益的因为商场就是当地最大的一个流量池嘛
[00:05:44] 对于像星光贵贝这样的公司来说也是最直接有效的一个获客的方式但是随着我们刚刚讲的这个竞争加剧其实它这种优势就逐渐的有点收窄了那面对这种局面呢其实王培华他原本的这个计划是我继续走高端路线就是继续去做那个最钉子塔尖的那个生意他做那种比较单家比较高的那种拍摄的套餐然后为此呢还准备开很多大店但是后来啊2020年这个疫情来了之后这个计划就终止了
[00:06:10] 啊这个甲方和
[00:06:39] 以发的关系已经逆转了没错然后在完全不懂的情况下王培华就尝试在抖音上开了一个店铺的账号然后做了一次直播这次直播呢一共八个小时最后实现了十四五万元的这个线上的交易额这个成绩啊让王培华非常的惊讶因为他为这部场直播支付的代孕的费用啊等等的这些投放的费用就一两万元
[00:07:02] 那原本根据他做线下促销的这个经验的预期啊他觉得这个交易额能够到四五万元其实就能不错了就是能回本能够赚一些但现在十四五万元的话相当于他这个ROI也就是产出投入比在六以上这个比传统的线下促销的活动的效率要高太多了
[00:07:21] 过去星光贝贝的主要促销方式可能要做一个月的前期的准备要准备大量的人力物力然后很多线下投放的物料投广告等等的最后能够实现100多万的销售就已经很不错了其实这个对比就特别能说明中小企业在测试新业务的时候它最关注的两个问题一个就是效率一天8小时的直播带来的单量就相当于过去一个月做活动带来的单量的十分之一那就说明这个方法的效率要高得多
[00:07:50] 另外一个核心的就是成本他们尝试做直播的时候其实没有做特别的准备也没有专门的雇人或者做一堆物料什么的所以哪怕剩下来结果不好它的损失也很小而且反过来说因为传统的线下活动前期人力财力投入都非常的大反而是要必须成功这个商家其实在做那一类传统的线下活动的时候他可能其实各方面的压力还会大一些因为你开工就没有回头见了对
[00:08:15] 怎么说呢就是我没想到的是一个做了十几年线下店铺的老板对线上如此的可以说是顺滑地接受了这个线上的转型因为他当时突然讲到一个点让我想起来大学我在大学的时候学市场营销市场营销的老师说的一句话就是当时老师问我们说你们认为那么多商家在淮海路开店是为什么好像也没几个人是为了什么是为了做广告
[00:08:40] 这当时对我的这个影响是蛮大的就是说其实广告的渠道是多种多样的线下可能也是广告那现在的商家很多人已经意识到线上也是这些线下商家的流量的最重要的一部分其实你想一想线下一个店铺一个很好的门市能在一个店里面同时涌入几个人十个人十几个人是一个非常了不起的数字然后你再想一想一个主播他可能同时可以面对五十个甚至上百个人
[00:09:09] 所以其实他的想象空间远远超过了一个线下的门店就我们刚刚说的可能年租金超过200万的这样的门店所以这样的生意几乎是纯增量这也是为什么他看到这样的机会即便他没有学过市场营销没有之前没有真的做过线上的营销他也要全力投入抖音
[00:09:28] 这个里边他其实最大的一个变化就是刚刚林勇讲的就是他做了这一次直播之后他觉得这个可行就是我们刚刚讲的效率上大大提升然后成本上又非常的可控之后他就马上切换他这个做生意的方式把抖音作为一个他核心的获客渠道那接下来他要做的事情就是他其实花了非常多的精力来研究怎么来把这个抖音的这个店铺这个线上这个要做专业选手了是吧能够运营好或者投放好
[00:09:55] 我们这次呢其实也专门的采访了他然后问他具体怎么来做这个抖音线上的这个营销的他讲了蛮多的有很多非常多的细节我们这边就简单的总结了一下来讲三个能耗吧那第一个呢就是如何设计产品就是在上面你要放什么产品的链接啊那对于他这家店来说就是那个拍照的套餐吧目前呢其实他在上面会放大致三类的这个拍照套餐第一类呢就叫引流款就比如说100块以内的那种证件照
[00:10:22] 这个也算刚需但是是流量最大的第二类就是一些有化妆造型的拍小朋友一整套照片的它就是属于它这个店的核心的主力爆款这个爆款的销售额可以占到整个线上的流水的90%以上
[00:10:38] 这当中王老板还特别介绍了一个细节就是说他每次上直播的这个爆款的价格他认为最好不要超过1000块但是在这个三位数的范围里面能卖到多少钱主要是看主播的带货的能力目前王老板店里面的这个爆款的定价就大概是在300到900块这个区间
[00:10:59] 他心里的把握有可能是他长期积累的经验对的他就会提到比如说你300到900有可能你在网上加100的话超过4位数了大家就可能就不太愿意买了但是在3位数的时候你其实多一点只要你做得好销售额也能够保证的
[00:11:15] 最后一类就是利润款就是真正的高端摄影比如说什么直升机摄影之类的这种这类套餐反而是线上线下它是同价的它不会在线上有很大的折扣因为它不是真的用来卖的而是用来打品牌形象甚至来跟爆款做一个比价的这里可以再适当的延伸一下我们很早以前有一期节目关于奶茶小料当时在那期节目里面我们介绍过价格锚点这个概念其实就是引流款和利润款
[00:11:43] 这种策略呢它就相当于是分别确定了一个底价的锚点和一个顶价的锚点消费者呢他一比较就能发现爆款确实很有性价比那么他下单的概率就会更高刚刚我们聊的这个案例呢是星光贝贝其实它主要面对的是这个母婴人群所以相对来说客单价相对较低但其实我们在抖音的镜上看到有一个很大的另外一块业务可以给大家分享一下叫做婚纱摄影
[00:12:10] 其实像这一类摄影它的单价可能在5000左右甚至更贵所以在这一类的决策上往往会更加谨慎所以这边我们也提供了一个很好的功能叫做智能接待也就是用户在看到了被种草了我们很好的一些样片或者直播的介绍之后可以真的直接去询问我们的品牌主的账号那我们也会通过这个私信的功能自动回复
[00:12:36] 就是我们也给这类商家高课单价的商家很难在抖音内直接成交的这些商家提供了这样的顾客来源就是像在这种高课单价的情况下抖音更类似于一个引流的第一步对吧是的是的没错好我们前面其实主要讲了在抖音的这个店铺里面的链接怎么来定价会比较合理比较科学
[00:12:59] 那么另外一个更重要的环节呢就是直播本身了我们前面讲的王老板第一次直播他就这个收获就非常大但是呢可能更多的没有做这个生意的朋友还不那么清楚其实星光贝贝他的这种直播在抖音上非常简单抖音一般把它叫做走播是很多在本地商家会独有的一种直播方式他具体的这个场景呢就是说他在通过这个直播通过镜头就是通过这种应该是动态的展示对吧
[00:13:28] 那他就可以通过这样的一个方式把停留和转化做得非常不错了
[00:13:54] 像前面提到这个价格部分其实也是这个直播的主播他会介绍的重点啊他可能会经常强调门店价和直播间的这个价格的这个差别包括下单的这个福利这个其实也是价格锚点作用就是你的门店价是一个价格锚点嘛对另外他还有一些这个话术上的小技巧就是有种那种有点自问自答的这种互动性啊
[00:14:15] 就比如说大家知道这个我们这个店是在这个济南哪里哪里吗或者说是你之前有没有在我们这个店下过单啊之类的好像是在跟你这个互动其实是为了宣传他这个店铺或者品牌的一些点这个自问自答就是说起来像我们这种节目好像也是这样设计的我们去做直播是不是有先天的优势有可能一定有其实我们在说到这个怎么做直播的时候呢我们跟王总聊的时候也发现他也在这方面挺有悟性的就是
[00:14:43] 他其实也知道平台的流量喜欢的一些内容其实一直在变的我们一直说能启动能启动很多商家能启动是很困难的因为很多商家都会去试错都会用各种方式试错用我们的话来说就是碰运气去试哪个方法能够被自然流量推荐但这其实是非常难的一件事他所做的就是他第一天就做好投放了也就是用我们系统跑出来的人群包去触达那些精准的人群
[00:15:11] 其实这个能精准到什么程度呢可以按照地域因为它的地点本身就在济南所以其实覆盖的范围就那个城市的范围之内第二宝妈人群非常的精准这个是一个良性的循环一旦有成交系统就会给你更多的推荐
[00:15:27] 给你打上一个更良性的标签然后不断地
[00:15:56] 那就能卖2万块那这个ROI自然能够算得很清楚这对他来说其实是一个算术题刚才李勇讲的这一个点就是在一开始就是建这个账号直播的时候就要使用这个流量投放的工具这个其实就是王培华王老板讲的第三个能耗
[00:16:11] 关于投放这个部分我们其实还采访了一位嘉宾叫金楚楚他很有发言权因为他就是巨量引擎自助业务本地生活行业运营负责人这个title比较长简单而言他的工作目标就是要帮助这些本地的商家用好前面讲的抖音上的推广工具采访他的时候他就给了很多具体的建议其中就包括他特别强调了投放时间的一个选择比如说要注意关注周末前的这样一个抖音流量的一个高峰
[00:16:38] 为什么我们要去让商家在周末去做投广和做生意我们先从商家视角来看周末的整体的GNV会爆发的会更快一些因为很多的消费者他其实会在周末有一个消费的行为这个就是很明显的这个是商家视角另外我们从平台视角也会看到在周末的时候投广的ROI会更高因为周末刷到视频的时候它可能会更有转化的动力这样的话你的ROI就会天然的高
[00:17:07] 所以就是从平台视角和我们这个商家的视角我们都觉得他应该去周末投起来然后去验证这个周末投广的这个效率的时候我们当时还去拆分成平时也投指周末投
[00:17:21] 和平时周末都不投的这三类商家很明显就是发现那种周末只投的商家在周末的时候整体爆发系数就会非常高它的爆发系数会比那些平时都不投的爆发的又会非常好我们听了楚楚的这个建议可以发现它其实抖音从平台的角度
[00:17:37] 他们自己为商家总结的这种投放的技巧已经非常的细致了当然我们也可以想见啊这么多的这些know-how不管是抖音平台总结的还是我们这个王老板自己总结的其实都是经过了一些摸索也花了一些真正的钱才能够买来的一些经验或者教训吧肯定是有一点残酷但是我觉得我们很多的传统行业也只能尽快的去学习这些经验教训才能更好的服务于自己的生意
[00:18:05] 好那接下来呢我们进入第二个店家的案例它是一家叫水歹人家的餐厅那开在热门的旅游目的地西双版纳非常著名的那个星光夜市旁边的一条主干道上面听这个名字就知道它是一家做这个歹味特色美食的一个餐厅那这家店的这个东家老板呢是西双版纳的本地人之前在这个这边开过茶叶店啊浴室店啊等等的都是云南名物茶界茶名是云南名物可爱心
[00:18:33] 他们是在2018年开了这家餐厅前面讲到的茶叶店和玉石店其实后面都关掉了只有这家餐厅一直坚持了下来这个餐厅它在客源上面有一个很大的改变是在2020年之后在此之前因为它身处的闹市区其实它主要的客源还是板纳本地的客人所以它的菜品价格也相对低一些人均是不到100元的然后它热门的菜市也比较分散
[00:18:59] 比较也不能叫正宗吧就是当地人会比较喜欢吃的一些这个带味的菜但是疫情之后啊其实大家都知道云南成为了一个非常热门的旅游目的地嘛所以水带人家的这个客源就逐渐转向了以游客为主然后他主卖的菜品呢也变得非常的游客向叫孔雀叶
[00:19:16] 和孔雀有关吗什么叫吃孔雀吗反正看得出来是个孔雀不是真孔雀就是一个大的盘子端上来然后上面用植物搭了一个孔雀的头尾的造型然后中间用叶子成了很多的菜比如说烤鸡烤鱼蔬菜水果等等的就一个很大的拼盘然后你就可以吃到各种的带味的菜它的价格也要更高一些可以把这个店的人均的消费提到100元以上了
[00:19:42] 我没有吃过这孔雀苑但是你刚才描述的这个我的确是在很多社交平台上看到过
[00:19:48] 看到过这个游客的分享听上去你前面讲的这种什么各种套餐的确是非常非常适合去玩的游客一次性做一个团购对吧对的就是很像一个团购的套餐对对对那随着游客的增多呢谁打人家就在想我能不能通过一些线上的这个营销的方式来多吸引点游客的声音因为毕竟多的游客嘛他不可能在就是平时都路过你家店知道你
[00:20:11] 那这种情况下呢就当时还在昆明做这个电商生意的小汪就回到老家他就是家里面的这个年轻人电二代对对对少东家对少东家开始就回来他就开始主管这个餐厅的生意了从小汪变成汪总了啊那他就做了两件事情
[00:20:28] 第一个呢就是让原本做这个餐厅管理的一个长辈呢他休息就工资还是照发给长辈的但是呢就你具体不用管了他从外面的这个餐饮的管理公司专门聘了一位店长来做日常的这个店里的管理啊新陈代谢了要他主要的目的其实是要提升这个服务的水平嘛但第二件事呢就是他自己亲自呃管线上平台的这个营销的运营又是老板亲自做抖音对的但是和星光妹妹不同啊他谁歹人家他做的不是直播
[00:20:56] 他主要是做短视频的营销为主简单而言呢他就会自己拍摄孔雀宴的这个短视频专门花钱啊请一些短视频的博主来拍他们到店的这个就是怎么说呢食吃对这样的一个短视频这些博主啊他们在抖音的生态里面就叫做本地达人当然了这些短视频上面都会附上水带人家孔雀宴的这个团购的链接
[00:21:17] 那这一套打法最后测试下来效果怎么样呢我们说一下结果吧它从2023年的1月就是那个旅游的旺季开始啊水奶人家的这个日均的销售额就从此前的不到1万增长到了两三万左右然后春节是它的一个巅峰时期据他说单日的最高的流水是超过过6万元的而这个店的桌数呢也就28桌使用面积300平米不到
[00:21:41] 我相信如果对餐饮比较了解的话就知道这个翻台率对你算算看这个翻台率包括这个流水实际上是非常厉害的而这些流水里边70%以上是来自孔雀的团购套餐而这70%的团购套餐里边又有70%来自于抖音那所以就是等于这个谁带人家现在他的流水至少增加了一倍而增加的这部分流水里面绝大多数都来自于短视频平台的引流没错那么问题就来了短视频的营销具体又应该怎么做呢
[00:22:11] 这个其实汪汪总也介绍了很多但是在这个之前我觉得有必要先请林勇来就是科普一下我们前面讲到一个关键概念就是本地达人他具体是怎么回事大家都知道这些本地商业是很忙的所以他基本上没有什么时间说我做抖音怎么办要拍视频要做直播要做这些推流投放
[00:22:31] 一听到这些术语刚刚我们又说到本地达人营销对吧都是这种术语一听到就觉得好像门槛很高其实我真的也希望通过这个机会和所有我们真的希望在抖音赚到钱的商家们说其实门槛不高就是什么叫做本地达人的短视频运营就是我们看到很多的商家他其实是没有这样的能力和时间去拍好短视频的谁来拍达人来拍达人本身希望他能够有影响力希望他能增粉他本身就要去找这样的
[00:23:00] 好的内容好的创作素材那其实这样的话平台就提供了一个很好的撮合的一个方式我们叫做一个团购达人中心的平台那在这个上面呢达人可以去发去接这个商家发出推广订单也就是我们的比如说我们这个卖餐饮的一个商家他有一个很好的套餐他下一个订单达人可以去接单那双方就达成一个合作机制可能是一个一口价的广告费
[00:23:27] 也可以是分层的机制因为达人只要在视频上挂一个链接就可以了对商家来说这个启动真的很简单你不用自己拍就能运营起来那这里边其实我觉得对于商家来说它这个关键就是请这个达人来拍要花多少钱对我们正是知道这个本地商家它本身的这个利润空间相对是比较有限的那平台呢是根据你的这个商家的诉求和你的这个预算的承受能力会对达人有一个评级
[00:23:57] 我们把它评为一级到七级基数越高价格会越贵所以我们一定有低的门槛当然有些大的商家他需要一个更大量级的引流我们也有比较优质的比较粉丝量很大的这样的一个达人的选择李温的回答非常的平台因为他肯定不能讲具体的价格我鼓励商家直接去我们团购达人中心看一看
[00:24:22] 看了你就知道没有那么贵跟我们想象的就是大品牌请那个头部达人肯定是不一样的价格那其实水短人家也给了我们一个参考梦过他就刚刚林勇讲到一个点就是这个达人其实是分这个带货的等级从一级到七级就七级是最高的那水短人家他一般会选择五级以上的达人他觉得对他来说比较理想他现在这个汪总他已经有了一个达人的微信群里边就是已经合作过达人他会介绍他的朋友来派
[00:24:48] 或者在他自己的平台上面他也会去给他觉得比较优质的这个达人去留言来邀约这个价格呢就是根据他那边会说比如说几百块钱有可能比较等级低的达人我就请你来吃一顿饭
[00:25:02] 早期也是有可能的给点车马费对大家没有一个非常规定的标准但是他们会有一个相对就是已经谈的比较稳定的一个价格的结构的理解了也可以想象餐饮的确是一个非常非常适合短视频引流的一个方式我相信很多朋友刷短视频看这个所谓的流行的美食博主探店一个人是常见的一个短视频对吧大家都会看
[00:25:25] 那么对于谁带人家这种他开在旅游目的地的餐厅来讲这样的引流就更加重要了你想象一下一个游客他到了谁带人家这个店的附近如果他打开抖音系统正好给他推了一个孔雀宴看上去非常好看菜色呢也很有特色而且这个套餐的链接就在下面他一看地址这个店正好就在我的附近那么他下单的几率的确是非常高的他被推送到就本来就意味着他其实已经有比较大的一个潜在的这个对对对
[00:25:55] 消费的可能性而且这里面还引出另外一个核心问题就是如何让这些达人的视频让更多有价值的人能够看到也就是要最大化它的广告效果
[00:26:04] 对的那这个呢就是其实也是线上你这个做达人投放的一个标配了就是你不仅要花钱来采购这些短视频的内容还要为这些内容来匹配更多合适的流量这一点其实也是我在采访当中印象最深的就是这个汪总啊他现在每天早上起来最主要的工作就是在手机上面给达人的这个内容啊就所谓加热增加曝光其实也就是所谓的投放流量他每天在这个上面就是操作这个东西就要投放在1000
[00:26:34] 他觉得还是很合算的就是说
[00:26:56] 一个月的营销差不多等于一天的流水是这意思吗差不多那的确是还是ROI说了算吧对那这个投流呢其实也是汪总最主要的一个门道他在采访里面其实也透露了一些小的技巧我们就介绍两个第一个点就是很好理解就是要加码投放那些效果好的作品就比如说一个达人他的视频之前有人下单了那谁打人家就会继续为他投放这个流量如果他那个下单的效果更加好呢我就投放的越多
[00:27:24] 就是要加在那个好的那个上面乘胜追击对第二点呢就是这个投入的方式非常的关键其实他在他说在抖音的后台有三种投放的方式第一种呢叫做投店铺浏览
[00:27:36] 第二种叫投商品浏览第三种叫投商品购买其实就是从前往后就代表了这个你购买这个流量能够带来的效果是不一样的前面的两种的更加的这个效果是倾向于曝光就像更多的人能够看到你对吧一个是店铺浏览一个商品浏览都是浏览嘛最后一种呢它会导向更加直接的购买的行为就是它有可能推给的人比较少但这些人更加有可能去买这个孔雀元的套餐
[00:28:01] 而汪总的经验就是投商品购买的效果是最好的这个ROI是最高的就是他同样投一笔钱的这个广告费能够带来的实际的团购的销售额是最高的那关于这一点的前面出场过的金楚楚他也从平台角度给了非常具体的建议我们在投广的时候有投身和投钱的这个概念什么叫投钱什么叫投身在投广的时候你需要去选择有钱集身的营销目的去给一个视频点赞
[00:28:30] 可以作为你的营销目的去加粉可以是一个营销目的浏览你的商品和团购商品可以是一个目的成交可以是一个目的在我们去完成了团购这个经营闭环了之后我们的投广产品就可以直接去上团购成交类似这样子的深度的转换目标
[00:28:49] 商家可以直接去选去投身投身的话他的 ROI 一定是更高的嘛因为我们先知道你要的是成交的人选那这个时候必然你投出来的这个广告的这个效果就是好的OK这个投流的事情我们现在也有一些概念了但不过我还有另外一个问题就是像谁带人家他目前的这一套做法应该很容易模仿吧因为毕竟是在旅游景点对旁边据他说这个百纳就被火了之后开了几十家这个单位餐厅都差不多对吧确实当然有人模仿啊
[00:29:18] 汪总也告诉我们其实除了歹位以外啊就是这一片那个其他的一些口味餐厅比如像君子火锅啊什么的开的更热啊而且也确实有不少的餐厅模仿他在抖音上面发短视频甚至就是那个还同样都是孔雀的短视频都有的实际上在四五月份的时候啊他确实遇到过一些挑战因为他当时他觉得就是经过这个春节那一段时间这个火爆之后他这个生意已经在一个高位比较稳定了他就相应的减少了一些达人的投放
[00:29:44] 结果这个生意就被别人比下去了所以呢他才觉得就是必须要长期稳定的保持一个比较大的量的来花钱要不能停对不过他也说啊就是绝大部分这个餐厅老板呢其实做不到像他这样all in线上运营的就像前面林勇提到的一点就是这个线下餐厅这些老板是非常忙的很多人主要的精力还是在顾
[00:30:06] 这个餐厅的这个前店在管理他们不会在线上投放这件事情上面投入这么多精力像那个就是汪总一样每天早上上班那样的去投那他获得效果呢可能也就会打这个扣了对这个也是我对这个案例印象最深的一点你前面讲到的时候他每天早上起来第一件事情就很像一个资深的股民对这其实是一个生意的运营者对他自己的这个资源的分配的方式可以想象一下啊一个自家人开的餐厅假如你回来帮忙很多老板的做法其实都是自己去
[00:30:36] 就比单纯的买达人更近一步了
[00:31:03] 而且这个摄影师的
[00:31:19] 我没去过但是我的确看过很多这样的短视频那么还有另外一个细节其实就是关于这个线上的具体的运营比如说这个水带人家他现在他这个孔雀宴的套餐也会有了变化因为原本这个套餐里的配菜是有一个本地的汤但是后来呢他发现抖音上90%的人都会买一个饮料的套餐饮料套餐是他后面才增加的选项因为有90%的人都会选择后面这个新增的饮料套餐
[00:31:46] 王总就后面就把这个饮料变成了套餐的标配也就是说他线上这个新的货客方式也是他一个市场调研的一个方式然后反过来开始改变他线下做生意的一些细节了
[00:32:02] 接下来呢我们就来聊聊第三个案例啊就是这个九旅这个框架下面一个比较小众的旅游体验的生意叫滑翔伞具体而言呢它是一家开在长沙近郊的叫黑谜峰国家森林公园里面的一个滑翔伞基地这个基地呢是2017年创立的它的这个创业故事啊可能是我们最常听到那种就是把爱好变成事业的那种故事
[00:32:24] 这个老板朱小勇呢他本人是一个比较资深的户外爱好者之前是做户外组团的就带队去徒步登山滑雪然后在1415年的时候吧他就去爬一座山叫武功山登顶的时候呢就刚好看到有一个滑翔伞的爱好者从山顶飞了出去激情一下被点燃对的所以他很快自己就是学了滑翔伞然后在学习的过程当中他就了解到这门运动看起来很刺激但其实呢因为这个长期的发展
[00:32:50] 比绝大多数的人想象的要安全然后他觉得好像可以做成一个生意所以在2017年的时候他就开了这样一个滑翔伞的基地黑迷峰它是长沙近郊最高的一个山峰它海拔在500米多一点从长沙市区过去也比较方便而且它本身是一个4A级的国家的森林公园所以各方面的条件都比较适合他就选在这个地方
[00:33:13] 当然你可想而知这么一个小众的项目一开始起来肯定是很困难的最大难点就是它没有一个可供参考的一个审批的先例所以它前期其实花了很多的时间去做和各个机构的一些磨合尤其是安全的方面肯定是重中之重这个我们不具体展开了总之就是到了2018年的时候这个基地在合规方面就比较完善了算是国内比较领先的一个滑翔伞的基地
[00:33:40] 但是在这个阶段他们的货客手段还是比较单一的主要就是靠微信然后通过微信公号拉回微信群来发布一些信息或者就是直接靠老客人来推荐新客我记得你前面提到这个老板他原来就是做户外团队游的那他应该其实还相对来说有一个天然的客户的池子吧因为在户外爱好者这个群体里面我相信愿意尝试滑翔伞的人就是想飞的人应该不少的
[00:34:07] 对的还很多早期的客户其实就来源在这边当然同样新生意还是会遇到一个普遍的问题就是模仿者而华香散这门生意最大的模仿者或者竞争对手就是很多从自己公司里面出来的教练又是经典的剧情对的因为其实你仔细想想看教练就是华香散这个生意的一个核心要素首先它是最稀缺的资源同时你教练的水平和规模也决定了你这个基地的营业额的上限这个很好理解因为
[00:34:35] 我们大家都知道一个教练他一天能带的客人总归是有限的因为一天的时间就是有限的对他有个产能的上限对于教练来说其实装备场地合规都有前任来给你套路了自己又握有自己核心资产就是教练的资质和能力所以他就可以自己做了但是我觉得剧情总归是这样发展的看上去简单实际上挑战尤其是我们前面讲到生意它是一门
[00:35:00] 对安全和合规非常非常重要的生意但是这个里面有很多的隐形成本会涉及到举个最简单的例子吧比如说黑米丰他现在就聘了一个国家级的滑翔伞教练作为基地的整个的总的教练相当于是教练的教练了这个人呢会负责日常的培训和考核但是呢有这种资质的教练在全国目前还不到100个
[00:35:22] 这个是生意本身的这个know how的部分那接下来就关于获客的部分其实我们也很容易想到像华夏飞行这种体验也很适合短视频对不对早在2018年的时候其实黑咪峰这个基地他们就开始拍一些现场的视频比如说游客起飞然后再配个音乐对吧就发在抖音上面当时也没有什么具体的运营的经验但是这类视频因为天然就很吸引人所以流量还是挺好的然后黑咪峰的老板他就会要求每个员工每个教练都要拍
[00:35:51] 大家一起来发短视频来增加基地的曝光量比如说员工里面有个叫太阳哥哥的他这个账号就逐渐有了比较大的粉丝基础随便发个短视频都有好几千的自然的流量在当时属于非常好的成绩了然后他们就后来发现这个短视频火了之后他们的后台就会有很多人来询问这是怎么来买什么的感觉他们是一个很好的过客方式了他就意识到
[00:36:14] 不单单是用来做广告的其实可以直接在抖音上面
[00:36:40] 他们那种成批就是租一辆大巴车对吧一个周末就拉来很多达人还有他们自己也会做直播就像新冠未备一样还有他们也会像前面两家一样去投放流量这个当中也有些他自己适合自己类别的一些门道比如说他们会在不同的时间段投不同的人群比如说在工作日的时候或者是日常的平时的时候他就投放长沙本地的一些旅游爱好者的客群
[00:37:05] 然后在旅游的旺季的时候呢就投一些重点的这个游客来源地城市的用户比如说广州的广东的一些地方甚至呢他也可以投一些专门的就是来长沙旅游的外地游客的人群就你已经人来的就这样们专门在不同的时间点投不同的人群这是他的一个技巧差不多在2021年的时候他的月均的投放的费用啊就在一万元左右
[00:37:27] 对比一下刚才我们提到这个水带人家他在高峰期的投流的费用大概是一个月三万对吧对对一天一千左右对对对王总说的不过你可以发现其实相比于星光贝贝和水带人家这个黑迷峰滑翔伞基地他我觉得他值得讲的一点最重要的一点就是他非常的注重直播短视频以及他自己生产内容和达人采购内容这几种方法的结合
[00:37:49] 就相比前面两个案例它更像是打了一套组合拳对吧对 我觉得这个是比较有趣的可以稍微具体介绍一下我们就举它最近做的一次活动的就是营销活动的这样一个案例这个活动的核心是一个一整天的促销大直播这个直播是在自己的账号上面做的那这个直播的目的它定了一个比如说交易额要冲到20万左右这么具体的吗
[00:38:13] 很具体的目标然后为了实现这个目标他就开始拆解了比如说第一个他要在直播之前的几天安排10到20个达人来发直播的预热的短视频然后这些短视频的核心信息都是经过这个黑咪蜂精确把控的比如说要体现出什么200出头体验滑翔伞在绝美的夕阳打卡然后几月几号要有这个直播间了
