Vol.82 三年再开3000家店，星巴克中国太敢了
[00:03:01] 首先是星巴克在中国的门店扩张策略以及与这个事情很相关的一个点叫人才管理其次就是包括运营产品创新和供应链升级在内的所谓前后端协同的部分最后我们会回到这些财务指标以及最后会讨论一下星巴克在中国可能面临的一些长期竞争格局那我们也很感谢星巴克中国对这期节目的支持今天要讲的东西其实非常的多那我们就话不多说马上开始吧这里是商业就是这样
[00:03:41] 那我们就进入第一个点就是门店扩张和于老师刚才强调的人才管理前面于老师报了很多数字里面有两个我注意到了就是9000家门店和9.5万名的伙伴这个也是这次星巴克中国这个战略愿景里边最显眼的一组数字说起来啊就星巴克在中国似乎一直都挺强调要持续开店而且他之前的目标不管定到多高好像都能够实现是吧
[00:04:06] 奇迹般的最后都能完成这是一个很厉害的事情就是对于连锁品牌来说其实是你店开的越多你这个品牌就越会开店的在2017年时候曾经采访过一位在星巴克工作过的业内人士据他当时的说法是星巴克的开店会涉及到三个部门分别是选址开发门店设计和装修工程然后这三个部门的配合是非常紧密的整体而言一个星巴克门店从他们去接触业主方到正式开出来
[00:04:34] 平均用时是140天然后如果你各个环节在压缩压缩的话还可以在提前20到30天就把这个店开出来了这个开店的熟练和速度确实是听到有很多商业地产的朋友都会强调的星巴特的一个特点听上去就是一套非常成熟的流水性的作业是吧对的到现在有可能还会更快一点因为这是2017年我们了解到的情况当然了这么快的开店节奏可能还是要依赖比如说普通门店里常见那种标准的装修方案
[00:05:00] 但是因为现在星巴克也在围绕年轻人感兴趣的消费场景做很多发散性的关于第三空间思考这种新形式的概念店或者说更高规格的店就不太适用这种标准方案了比如说呢其实过去五年里面星巴克在国内的一二线核心城市确实尝试了很多新的概念比如说提供含酒精饮品的这个叫Bar Mixato是这么念的我一直不知道怎么念但是记得那个logo它的中文名字叫甄选咖啡酒坊
[00:05:29] OK然后还有你可以带宠物进去的宠物友好门店然后还有雇佣了听障伙伴的手语门店然后还有环境比较友好的绿色门店以及能够展现中国文化的非裔门店等等这个后面几个听上去比较fancy其实简单来说的话就是它除了快速的复制那种标准的店以外还是在增加一些门店的各种各样形式的也等于是要为了瞄准市场上一些新增的一些需求可以这么理解吗可以这么理解
[00:05:56] 具体未来开什么样类型的店呢我们现在不得而知啊个人非常希望在这一轮门店继续快速增长过程里面星巴克能把这些新概念的门店落地到更多的城市里面就是比较简单的Control C Control V刚刚讲的是这个门店的类型啊就是关于门店扣张其实我还有个问题他其实提到了一个城市的目标就是要覆盖300个城市我们第一财经杂志不是每年都会做新一线城市的排行榜吗
[00:06:22] 其实里面有个基本的数字就是全中国内地的地级市或者地级以上的城市一共就337个所以它300个城市这个目标的话相当于可以理解为三年之后星巴克的门店可以渗透到中国的真正的意义上的大江南北了关于这个问题呢我们也请星巴克中国给我们提供了一些数据其实就是想看看他们最近几年到底都进入了哪些城市
[00:06:46] 只看最近两年的话 星巴克新进入的城市就包括黄山 玉溪 安顺 乌兰茶布 新州 甫兴 呼伦贝尔 延安 长白山 宝山 商丘 文山 隋州 巴中 六盘水 通化等等猝不及防的爆菜民 而且说实话有很多城市乍一听都反应不过来是哪个省份的是吧
[00:07:11] 对照了一下今年的这个新一线城市排行榜的这个名次来看一下这些城市平均的排位是235位其实意思就是说他们妥妥的都是一些所谓的五线城市这个级别我们经常都说下城市场下城市场嘛看来星巴克的这个下城的程度已经是超出了我们一般的这个想象了其实在一个地级市或者说更下城的县级市里面的星巴克门店呢其实它很容易变成一个重要的社交据点
[00:07:37] 这个也是星巴克特别擅长的事情但是话说回来不是说星巴克接下来
[00:08:05] 目前的星巴克门店数呢都已经超过200家其中北京市超过400家了但他们可以更多对吧可以跟咖啡更加的绑定可以更多如果说星巴克要在之后三年里面多开3000家门店的话除了继续下探低线市场以外尽快在这些已经有优势的城市里面加大门店密度我觉得也是一种可行的策略而且我觉得还是非常必要的
[00:08:28] 于老师就我们说好的第一部分是讲门店扩张和人才管理结果你讲了这么多还是在说门店人才还没提到了怎么说呢门店规模确实是一个引领性的指标包括人才体系运营和供应链其实都是建立在这个门店规模的基础上去讨论的就要先讲这个才能讲后面的对但是人才管理这个部分呢我确实想单一出来讲一讲因为在说到连锁品牌或者大公司的时候呢我们常常会提到一个词叫管理的半径
[00:08:56] 直观理解半径这个概念呢就是指这个公司业务规模的大小以及它所涉及的地区范围大小但是半径还有一层含义就是这个公司团队规模的大小以及员工本身的多元性因为公司一般不在年报里面过多披露这些话题啊所以说人的部分经常是被忽略了但是星巴克的伙伴文化又是特别出名的
[00:09:18] 他曾经很多次在自己的年报里面提出伙伴是我们成功的核心和灵魂而且他涉及过很多行业里面都很颠覆的那种员工福利和激励机制其中很有名的一项就是在1991年启动的叫咖啡豆股票制度这个具体是指什么呢这个在霍华德·舒尔茨的著作叫《将心注入》里面有一些介绍早期的这个方案简单来说就是每一位星巴克伙伴都有机会在自己的年基本工资的基础上
[00:09:46] 获得价值12%的股票期权比如说我一年的基本工资是2万美元那我就可以相当于拿价值2400美元的期权而这个期权可以分五年兑现为股票每年兑20%
[00:10:00] 相当于可以用员工价购买大概价值480美元的股票这些股票你可以长期持有也可以直接卖掉等于是现在我们比较熟悉的一些员工期权这种类似的激励机制但只不过它是1991年就开始搞这个事情了这里面有两个问题一个是你刚刚说到每位星巴克伙伴也就是说星巴克的员工都有机会拿到咖啡豆股票还是说不是所有的人
[00:10:25] 另外一个就是1991年的时候星巴克还没有上市那它这个东西到底是怎么来兑现呢咖啡豆股票这个制度里面就是有两个重要的特点第一个就是它覆盖所有的星巴克长期员工什么叫长期员工只要你在星巴克工作满六个月你是一个正式员工或者你是一个兼职员工但是你在星巴克每周的排班工作时间有20小时以上的话你都可以参加这个计划兼职也可以兼职也可以
[00:10:50] 第二个就是说1991年确实是当时星巴克第一年实现了盈利然后他当年就提出了这个计划当时公司确实还没有上市而且这么做不仅会影响股东的利益也会被美国证监会盯上因为证监会当时的制度是认为如果你超过700个人持有你这个公司的股票你就是一个上市公司你都公开了对吧对的
[00:11:12] 最后星巴克是申请了SEC的豁免他就成为了美国第一家向全职和兼职员工都提供股权激励计划的私营企业这相当于他用这个制度把所有能够动员起来的员工都变成了公司的合伙人也就是在1991年星巴克内部就停止使用员工这个词了一律改叫伙伴所以刚才都是什么伙伴非常重要伙伴非常重要其实指的就是员工对
[00:11:38] 其实在公司发展早期就能想到这种既能稳定组织又能筹集资金的方式还是很大胆的其实放在现在这种的制度也是很少有公司能够实践的因为在餐饮或者零售这样的服务行业基层员工的稳定一向是非常大的问题比如说经常会遇到问题有员工的年龄比较轻就是他职业会比较动荡或者他时薪不是很高包括缺少一些明确的上升通道等等
[00:12:03] 在今年的全球投资者日上面也看到星巴克负责战略和转型的一个执行副总裁叫Frank Britt他特别说明了现在美国服务业人才市场这个局势非常严峻他提到有个数字说是50%已经离职的餐饮和零售行业的员工是很难回到这个市场上的这就造成一个非常大的用工缺口其实在新冠大流行这个背景下面有很多行业这个用工缺失已经是一个就是大家关注蛮久的一个问题了一个困境
[00:12:31] 那中国市场是一个什么样的情况呢中国其实是另一个局面这是因为咖啡行业这两年发展的特别快相当于新增了一块用工的需求我们杂志前一段时间有一篇专门探讨咖啡是职业发展的文章里面所有的受访者都提到缺人已经变成这个行业共同在面对一个难题反正大家都缺但是中国市场是因为咖啡发展的太快了所以缺人
[00:12:56] 那么问题就来了就根据这个2025愿景啊星巴克未来三年在中国市场还要新增三万五千个工作岗位那岂不是这个供需上面更加困难了相当于对于优质人才竞争更加激烈了大家都在抢咖啡吃是吧只能说星巴克很敢啊这个行业里面呢短期大家容易拿出来一些人才激励方案呢基本上就是高薪高福利
[00:13:17] 然后星巴克呢就是像去年年底也提出过一个计划就是针对接近4万名全职零售门店员工拿出14星的方案从来没有听说过你在咖啡店打工可以有14星啊当然像薪酬福利这种都是很多都是短期项目嘛长期还是在拼你是否在这个公司里面有可持续的成长空间包括一些晋升的空间那要举举例子了这里我就想提一个比较有意思的项目
[00:13:43] 前面我们不是提到说星巴克这几年下沉力度非常大要去很多低线的城市开店吗对啊星巴克的内部就有一个叫伙伴回家计划的东西它其实是鼓励成熟的咖啡师你可以申请回到自己家乡里面去帮忙开一个新店在新店里面工作这个就相当于把他们之前的经验直接带到了一个待开发的新市场
[00:14:05] 员工自己也可以靠这个计划来打开他的上升空间他原来可能在一线城市里面只能当一个店员或者是一个中层的一个级别然后回到家乡的话反而有机会可以当店经理等于是公司帮你逃离北上广对吧开玩笑其实我看到我们那篇文章里面也提到过一个点就是一个好的咖啡师可以影响到整家星巴克门店或者说是咖啡馆的这个生意
[00:14:29] 因为他们的一个服务其实会直接影响到消费者对于整个这个店或者这个品牌的整体评价的那所以对于新门店来说这种第一印象还是尤为重要的就是从这个角度也可以理解他为什么要做这样的一个所谓伙伴回家会计划的这样一个方案当然这里面有一个大前提就是员工本身对于这个组织也要有足够的认同感和成就感才能说真诚去代表品牌跟消费者做那种有人情味的互动
[00:14:54] 这是一种基于人的关系听上去非常传统大家好像一直都在做这个事情但实际上你要把这个事情做好搭建一个成熟体系难度是很大的因为涉及到很多人才培养和企业文化的长期投入而一旦成功这个价值就是巨大的对啊不然的话你让大家回家人家都不裁你有什么用呢对国内会有个什么情况就是因为消费市场的数字化程度比较高
[00:15:16] 大家会看到很多品牌都在说自己在做连接在做社群要跟消费者做朋友但实际上他们在干什么呢他们就在发券搞微信群搞直播这个其实更像是一种基于交易的关系这个就跟我们前面提到基于人的关系相比就会更脆弱一些刚刚叶老师是直接翻译了几个互联网热词
[00:15:37] 刚才我们其实讲的还是属于连锁品牌里边人才策略当中比较偏文化或者相对比较软的一些部分但是其实还是有比较硬的一些部分就是比如说如何提升人的效率或者是最大限度的优化用人的需求这部分星巴克也怎么做呢这里我们正好可以讨论一种数字在2015年到2022年之间星巴克中国
[00:16:01] 所以只能说是一个很粗略的算法
[00:16:30] 我们就稍微算了一下是在2015年初的时候呢星巴克中国平均每个门店会配有16.7名伙伴然后在2016年到2017年的时候就降到了大概每个门店是14名左右然后到2022财年这个数字会进一步下降它会下降到每个门店10名左右
[00:16:49] 从16.7到10我有点理解你为什么在里面举这个数字因为我们前面讲到的是这个人的效率或者工作效率的一个提升那你既然每个门店的人少了这么多了那就是涉及到这个效率的问题了可能一方面是因为就是支持中心的这个部分本身它的支持能力更强了这个部分的人员规模可能是不用随着门店规模同步增长不是说你开9000家店我就要同步再招很多很多的后台的人另外一方面也有可能是因为门店本身的人效更高了
[00:17:16] 这一次关于星巴克中国2025战略愿景介绍里面也特别提到了一些门店层面的数字化解决方案包括一些更智能的排班表或者更智能的库存管理系统等等这些对于长期提升门店员工的效率肯定也是有帮助的这个就是要讲到袁老师前面讲到第二个大点就是运营产品研发还有供应链的这些前后端协同的问题了
[00:17:42] 其实所谓的运营产品和供应链各自都是很大的话题要不我们还是拆开来讲一讲好吧对那先说运营吧星巴克在中国最近几年主要的两个基础工作就是数字化以及拓展新的需求场景
[00:17:56] 数字化部分很好理解像是星巴克APP小程序自营电商强化都在这个部分里面然后全场景的话除了我们前面提到的门店这个层面特别重视另外一个层面就是外送了我看外送这个部分它的订的目标数字也蛮高的就是希望三年内实现总计超过4亿外卖订单然后外送的年销售额要比2022的这个产业要翻一个翻很高的一个要求
[00:18:22] 我最早接触这个外送业务的时候星巴克的合作伙伴还只有饿了嘛当时那个亮点我还有点印象就是他专门设计了一套下单取单和配送流程有一些专属的配送员然后专属的一些配送箱之类的后来呢星巴克又增加了跟美团的合作据说啊现在每一单外卖星巴克饮品的平均配送时间都只要19分钟了很快店还是比较密的嘛对吧时间短一点也可以理解
[00:18:48] 因为外送咖啡其实是这两年国内品牌都特别重视的一个消费场景所以包括星巴克在内也有很多是在门店层面直接去适配这类需求的前面我们不是提到星巴克现在有很多概念店吗其实漏了一个就是主攻外送的一个门店叫飞快然后截止到今年8月已经有140多家了这里我忍不住要插一个自己的吐槽就是我经常会把这个门店念成咖快所以飞快就是
[00:19:15] 飞快它是一个谐音它是速度飞快的意思它其实主打就是更高效的外送服务体验这个门店里面的全自动咖啡机水平就更高了然后它的智能取材柜的规格也是更高的总体来说它还是一个很舒适的空间我有一次早上就在一家粗粗心的飞快门店里面办公这个店里面其实是那种忙而不乱的状态
[00:19:38] 只配了几个电源但是大家的操作效率都很高然后跟静电的消费者沟通也很充分然后那个新机器又是bling bling的整个在里面坐着心情就很好新机器bling bling的可还行所以这个点但我觉得我们中国的消费者还是比较好理解的就是你要提升效率能够更快的出杯对吧另外的话就是星巴克也不想完全就是只做外卖的那种门店所以他还是希望能够增加一些互动但这两个点要结合起来我感觉还是有点难度的
[00:20:05] 确实很难但不是说完全没有可能这里想再举一个小例子之前我们去参观星巴克中国的第一家绿色门店的时候他们就跟我介绍说这个店里有一台特别高级的机器然后整个萃取浓缩咖啡的过程就像表演一样确实很有意思而且因为这个机器是全自动的然后后面站了一个咖啡师他就完全解放出来
[00:20:25] 这个咖啡师解放出来呢他可以给讲解这个过程这个结合起来就很有意思那我希望他们多多的介绍一下这个咖啡师的这个新的功能不然的话我们也没意识到他可以给我们像在展厅里面讲解这个机器我觉得新闻客应该不是没意识到说目前中国市场都这么重视外送和手机点单了以后这个对于传统的咖啡师和消费者的互动影响是非常非常大的
[00:20:47] 而你想要解决这个问题的话就只有靠这种运营细节和设备的不断改进然后包括做更好的交互的过程才有可能兼具所谓的效率和互动简单粗暴的讲的话就是他还是希望能够做到既要又要这种感觉
[00:21:02] 刚刚讲的话其实是运营这个部分然后后面我们来讲一讲产品研发这个部分这个部分怎么说呢就我自己可能是喝的比较少感觉星巴克相对比较吸引我或者我还比较会消费的还是一些传统的产品比如说夏天就喝冷脆然后到了年底的话就喝一下太妃榛果拿铁小时确实是一个传统的星巴克消费者这爆出来都是经典款
[00:21:26] 不过这个直觉反馈的背后呢就涉及到一个比较复杂的行业问题我们经常开玩笑说目前国内咖啡行业最重要的趋势就是咖啡奶茶化嘛它会用各种各样新奇特的奶啊或者风味糖浆还有小料的部分来魔改咖啡就把咖啡变得非常的花哨消费者追求的也不一定是咖啡本身而就是一种略有咖啡味的饮料尤其是现在号称的这种特调咖啡我觉得就是咖啡的味道已经喝不出太多了
[00:21:55] 这个就有点过分了简单说我觉得是大家的产品研发策略都太雷同了基本上都是在围绕风味配料的部分做调整而且用的都是那种反馈很直接的方案比如说要换糖浆之类的其实咖啡本身是一个风味很丰富而且很精细的东西完全可以用很多别的创新的手法把它这种内在优势激发出来感觉要进入叶老师的专长部分了就说实话你不提这个点的话
[00:22:21] 我确实会有一个潜意识里面的概念就是把所谓的咖啡创新和加那些奶茶这种画个等号了就没想到咖啡还有些别的东西了确实有别的创新方案比如说我觉得今年星巴克提出来那个冰镇浓缩系列就是一个潜力股什么叫冰镇浓缩你没喝过是吗没两个字
[00:22:40] 就是冰块的冰震动的震这个产品的变化呢其实不是说它放了什么特别的风味糖浆而是它在咖啡的调制方法上面有很大的突破这个产品就是要靠咖啡是快速的晃动手里的那个冰摇壶就像调酒一样的把咖啡冰块和糖浆充分混合然后这个成品倒出来呢会有一层很特别的泡沫这个口感跟传统放冰块那种咖啡是很不一样的
[00:23:06] 包括因为它在那里摇嘛所以说等待这个过程里面观赏性也很巧那确实是非常既微久的那种感觉了这个的话就让我想到你前面提到那个点就是星巴克不是说既要又要嘛就是它还是在追求效率的同时希望你消费者还要跟咖啡师有一些互动但我觉得这个比较有表演感觉的这个冰镇浓缩就是一个算是个可以尝试的点我觉得你可以去喝一喝
[00:23:29] 这个产品让我觉得很有意思的另外一个点虽然它制作过程本身很酷炫然后也加了风味糖浆不是没有加还是有风味糖浆的有的但是我觉得它很有意思的另一个点就是它的核心还是星巴克最重视的最传统的意式浓缩咖啡的部分
[00:23:47] 其实过去几年呢星巴克是花了大力气在门店里面放一些像红西啊法医啊或者手冲这种精品咖啡里面非常常见的萃取手法然后也引入了很多技艺很高超的咖啡师来给你操作这个其实是很有助于消费者来进一步感受咖啡本身的风味差异的本来我以为他就是往这个方向发展来结果他回过头来竟然又能在这个最传统的意识浓缩里面做出创新所以我是觉得这个是非常惊喜的我也很希望这个系列后续能出更多的新品
[00:24:15] 确实你前面讲的那些像红西法呀或者手冲啊就是在他那些甄选店里面都会看到但说实话这个的话其实很多咖啡店里面都可以做到嘛但你刚刚讲的其实就是意识浓缩本身他这个擅长的地方他还在玩一些新的花样这是一个点不过产品这个部分我觉得还是大家自己去体验比较好就是月老师其实刚刚也就是举了个例子听过不如喝过那我们还是来讲一些我们比较擅长的比较solid的部分来讲讲这个供应链啊
[00:24:41] 其实之前好几期的这个节目不管是讲咖啡还是不讲咖啡的我们都会提到供应链这个概念尤其是对于规模很大的连锁企业来说你要支撑前端我们刚刚讲那么多门店也好啊产品也好这些业务的拓展你就必须要有很强的供应链而且前面你的花样越多你的供应链就是要越强大那最极端的情况呢就是那种全家门制的这个企业它的总部其实就相当于一个原料的供应商和一套供应的管理体系
[00:25:08] 确实啊这个咖啡行业完全不例外但是稍微有一点点特殊呢就是咖啡本身是一个全球性的农作物全世界最重要的几个咖啡消费国举几个例子美国日本包括北欧的一些国家他们自己都不产咖啡中国情况有点特殊的就是因为中国是有云南这么一个咖啡产区的所以它既是咖啡原产国又是咖啡消费国就是这个消费和生产两端是都是分散的或者不交叉的确实是一个特点
[00:25:35] 那你刚才讲到云南的话其实也是最近几年经常会在咖啡店里看到的一个比较火的国货概念国货确实其实我在2018年初呢也去了云南普尔去看当地的咖啡市场所以这个咖啡是种在普尔的吗对它会有普尔味吗没有啊这个是个烂梗sorry
[00:25:55] 当时我去的时候呢正好是产迹的后期所以交易的环节也很活跃我们也拜访了星巴克在当地的收购点和一个叫种植者支持中心的地方在这个支持中心里面呢我们见到了一位云南当地的小哥
[00:26:09] 它其实是星巴克的杯测试,相当于农民送过来所有的咖啡豆都要由他用舌头检验一遍,然后再结合很多其他因素,比如说什么含水量啊,品质的一致性啊之类的,来给咖啡豆做评分,然后定了等级以后才能定下价格。其实整个咖啡的种植,包括说处理的环节都特别的辛苦,然后这里面有很多细节会反映到咖啡豆的风味和品质上面,然后最后也会体现在收购价格上面,这是一个连贯的体系。
[00:26:38] 背测试反正我听于老师讲过很多次对吧你这次是简单介绍一下以后有机会我们再展开这个相当于是整个咖啡供应链一个比较前端的一个部分对吧就是其实和别的一些农产品非常的像你要保证最后的这个产品有标准然后产品的质量相对比较好的话你前面要做很多比较精细的这些准备工作是一个环环相扣体系但是农民对于这个环环相扣这个事情的意识往往是不足的这就是农产品行业这个特点对
[00:27:05] 所以说就需要前期去投入很多精力来给他们做培训啊然后包括种植过程中要及时解答他们的问题所以星巴克在云南当地的团队里面会配很大比例的一个职位叫农艺师这又是什么农艺师呢其实是一年到头在各个庄园里面跑给他们现场解决问题给他们做培训的这些人
[00:27:24] 另外还有些云南当地适合种咖啡的产地可能连比较像样的像加工厂包括加工设备都没有这个也需要很多资金和精力去做基础的建设感觉是农业频道里面致富金那些专家会交给农民的一些事情当然只能说所有环节做到位了说咖啡才能获得比较好的经济回报并且在行业里面获得比较高的认可这个逻辑还是成立的
[00:27:49] 之前分享活动上面我也见过一位非常优秀的云南女咖农她叫叶萍她就是自己去学了一套方法以后觉得很厉害然后就自己成立了一个合作社带着村里的女性一起种咖啡而这个合作社出的咖啡豆品质还蛮高的有一年还成为了星巴克的甄选咖啡豆这个知名度一下就打开来了
[00:28:10] 这个例子举到这边呢我其实大致的理解一下这个背后的逻辑还是岳老师刚才讲到的就是你要在消费者端做这么大一个咖啡连锁的品牌那你就必须要在这个源头端产地端这边做很多非常细的或者说是非常苦功夫的一些农产品的基础的工作你才有可能把前段这些连锁的门店能够支撑起来对吧对这个可能是大家平时讨论比较少的一个问题
[00:28:33] 因为咖啡产业呢确实涉及到很多人的生计然后要把每个环节都做好方法论然后坚持这种时间坚持很多年才能说持续地保证一个稳定的收获
[00:28:44] 前面我们讨论主要是产地嘛其实供应链除了产地还有别的因为2017年在上海烘焙工坊开业的时候我们就发现这个不仅是一个特别大的星巴克门店还是星巴克特别重要的一个供应中心因为当时全国所有星巴克甄选咖啡的烘焙和包装都是放在这个工坊里面完成的它是个厂它是个厂而到2023年呢在上海隔壁的昆山还会再开出来一个很大的厂
[00:29:11] 叫星巴克咖啡创意园它的核心呢是一个非常大的咖啡烘焙厂和一个物流中心正式投产以后呢这里会烘焙全球各个优质产区的咖啡豆而且这些豆子会输送到星巴克中国所有的门店这个就很像一个制造业当中的制造基地和物流中心的这样一个概念对吧
[00:29:31] 就是怎么说呢我感觉和烘焙工坊是一个概念只不过它就是扩大版的一个烘焙工坊对我们不是说未来星巴克中国要有9000家门店吗这个其实相应来说你要支撑这样一个发展规模的话你确实需要一个很大的生产基地或很大比如说我们看到一个数字就是说这里每年咖啡豆的烘焙产能是超过了6000万公斤什么概念呢就是我们拿一杯一式咖啡大概要用20克粉来算相当于折下来是
[00:29:58] 30亿杯咖啡OK我就已经有点失去这个想象的能力了其实你要说提出这么样一个概念的体量来说的除了说未来要有足够多的门店你要对你自己的出杯量和业绩有着非常乐观的预期才可以
[00:30:19] 前面我花了很多的时间总算是把星巴克中国的这个门店人力运营产品和供应链都讲了那最后我们毕竟是个商业节目我们还是回到一下财务数字吧对财务目标是我这次印象特别深刻的部分因为这个数据披露的非常细这会儿几个重要的数字呢再给大家提一次
[00:30:38] 有两个是我们节目开头就提过就是三年内的公司营收增长要翻倍然后营业利润要达到原来的四倍然后此外还有两个针对新门店的要求就是要做到两倍的销售投资回报率以及小于两年的投资回报周期
[00:30:54] 这里还要跟大家稍微说明一下星巴克是上市公司它的中国业务在季报和年报里面都有一些数据的披露但不是很多像是营业利润新电投资回报率和投资回报周期这些指标呢我们也是第一次见到这个也是为什么老师说这些数字是让人印象非常深刻的而且真的是感觉怎么说呢目标定的非常的大
[00:31:16] 尤其你想它已经原来是一个6000家的规模了然后它在三年里边要达到营收要翻倍然后营业利润要原来的四倍其实是一个怎么说呢在一个很大的基础上面还要再往上翻这个概念对这里我们就是你前面提到营收目标的话其实我们做一个简单的分析我们去看了星巴克2018年至今所有采集的中国区数据然后我们去算它的单店收入的变化情况其实可以发现除了是受疫情影响特别严重的几个季度以外
[00:31:45] 这个数字基本上是稳定在17.5万美元左右就是星巴克中国
[00:32:00] 那相当于如果你的门店数从6000家增长50%到9000家然后你乘以一个稳定的单店收入这个营收也就是相应增长50%它的目标是100对完全不一样对吧更不要说新店往往还有个所谓业绩爬坡器然后再加上偶尔的疫情影响这个目标其实很有挑战性的对当然了星巴克除了跟门店墙相关这种现场点单和外送的收入以外也有一些其他的收入来源
[00:32:27] 比如说我们这是在2025中国战略运营里面看到周边产品销售就是星巴克很想法的一个点这个希望未来能够创造30%左右的年均增长率也是挺大的一个目标忘记了就是他还有个周边这一块部分还是蛮多的对吧但日常每年还是会消费一些的等于是要从一个单纯卖咖啡和卖第三空间的这样一个公司变成一个咖啡加第三空间加杯子都要卖的一个公司
[00:32:53] 虽然有这些辅助增长点但是我还是非常好奇像营收翻番和营收利润翻两番这种目标对于星巴克中国而言到底要怎么达成因为这意味着不管是运营人力还是供应链你都要提升到一个很高的水平上面
[00:33:09] 比如门店层面我们可能想象到一个未来的情况就是会有比较大比例的外送的单子到时候人手能不能匹配上这些需求就是很值得考验还有就是成本端就是是不是能够通过规模效应进一步的把前期的成本压一压
[00:33:25] 那就是刚刚讲到那个在昆山的咖啡创意员能够发挥多大的作用制造业制造业对对对另外就是所谓新店的这个投资回报率和投资回报周期这两个指标要求也特别高这个跟我们印象中星巴克是在每个门店上面都花很多钱而且也不着急收回成本这个感觉就不太一样了
[00:33:45] 当然这里面可能有些小的方法比如说有的设计方案或者说建材运营层面做一些环保的策略其实是有助于降低门店的前期成本的另外如果你去设计一些整体效率更高的门店比如说我们前面提到飞快那可能也容易帮他达到这个目标当然这里还是要强调一遍针对星巴克中国营运目标的分析和展望是我们基于已知的财务数据和运营数据以及业务层面公开信息给出的推测这里不构成任何投资建议
[00:34:15] 简单总结一下就是星巴克中国其实给自己的未来三年定了一个非常高的一个目标而要实现这个目标你就需要拓展一些新的增长点比如说外卖或者一些新的门店形式同时你还要想方设法的提升你这个公司整体的经营效率和经营的质量主要的方面就是我们前面提到的那几个大点
[00:34:34] 我们节目之前聊过不少的咖啡品牌里面有一些本土的新兴的公司也有像跨国的连锁新的热点很多但是你如果去看一些业内讨论会发现这些新的玩家还是绕不开星巴克他们会将星巴克中国的规模和业绩作为一个特别重要的参考相当于所有的品牌都在比划着自己跟星巴克是一个什么相对的关系这也是为什么我们聊这么多咖啡的内容还是想要讲讲星巴克因为它某种程度上是成为了一个市场或者这个行业的一个锚点
[00:35:03] 但是呢这种笔法或者说这样的一个思路背后是有个隐藏的逻辑问题的就是你把它说成锚点的话好像是星巴克中国本身是一个禁止的事物对吧他自己不动的但实际上星巴克在中国的业务本身是要快速的增长的那你听完这期节目的话对这一点其实会有更深的一个理解说到这里还有一个点也是我们一直想表达的
[00:35:24] 很多咖啡品牌去跟它的参照系比较的时候很多时候还是集中在一些显性的指标上比如说门店的规模城市的覆盖数我的产品和价格的关系这些指标当然很重要但是这不是咖啡行业唯一重要的话题对于任何连锁品牌来说在星巴克体系里面那些水下的部分其实都是不能忽略的开头不是提到星巴克重塑计划吗Shorts就说重塑不是改变公司的价值观
