Vol.219 新世界的债务危机，该由谁负责？
[00:10:23] 但这个其实没什么关系啊因为就是总体来说在信托和上市公司之间就是一定会有非上市的家族公司作为缓冲有时候是一层有时候是更多层这个一方面呢肯定是为了充分的隔离风险另外一方面呢像周大夫企业他其实自己也有很独立的一大块投资的业务这些投资业务有些也不太适合放到上市公司的这个表内啊我们可以稍后再展开讲讲
[00:10:49] 月老师刚才那个问题其实你只回答了一半就是整个这个正式家族的产业的组织架构但是家族的成员具体怎么分工这一部分其实还没有讲原本的话我们就只看三代吧三代原本是一个各司其职的状态比如说
[00:11:09] 长子长孙就是郑志刚Adrian他是从2007年就开始进入新世界发展了他其实长期被视为二代长子就郑家纯的接班人他我们就代号就叫A在A之外呢郑家纯这一房的家族三代还有B C和S比较好笑就这突然使用一些代号B的话是
[00:11:30] 郑家成是次子叫Brian郑志明郑志明是2009年开始进入到集团内的一个基建业的上市公司就是新创建后来改名叫周大福创建那C呢是他的三儿子郑志亮ChrisChris呢是从2024年开始担任周大福企业的联席行政总裁然后S呢是他的长女郑志文SoniaSonia是在2011年主导收购了规律酒店以后呢她主要精力其实一直放在规律酒店上
[00:11:57] 没想到要使用代号就感觉像是比较古早的推理小说里面对于什么A公司啊什么C女士啊这种感觉不过确实如果你直接汉就是念这些中文的名字的话因为他们都是那个两个字都是一样的吧就是有点太难念了是吧所以就是稍微简简单的给大家介绍一下就总之就是因为你刚刚讲到他们有不同的产业嘛就是像新世界这一块然后还有一些基建的还有一些这个投资的业务还有什么酒店啊等等大家各自管一块是的
[00:12:26] 还有一块我们要说的就是周大福珠宝这一只嘛这一只呢其实是交给了二代当中的另一方据说这一方对于继承家族产业原本兴趣是一般的所以说着力培养的三代呢也只有一位叫郑志恒ConroyConroy是在2007年就进到周大福珠宝去工作然后跟另一方的这个Asian其实节奏上是一样的
[00:12:50] 不过这种三代各司其职的状况实际上在Agent离开家族产业之后就出现了变化因为郑家纯是公开表示要重新领选接班人如果从这些摄像师公司的董事名单来看三代之间其实现在出现了一些势力交叉渗透的现象比如说Sony就是郑志文他是2021年一开始也参与了周大福珠宝的管理
[00:13:15] 主要是负责一些高端线那他在2022年更是跟管事多年的康瑞一起升了周大福珠宝的副主席那Brian也是从2023年开始出现在新世界发展的股东名单里面虽然一直是在最末位的那个非执行董事说实话你前面讲的那些这个ABCS的这些代号我已经有点忘记了总之就是之前是比较各司其职的各管一块的但是在郑志刚这个长子长孙退出了之后呢现在
[00:13:43] 具体谁是第三代的接班人有点说不清楚了对是这样但我有个问题就是这个上市公司就他全都靠家族成员的就是这些负责人就没有职业经理人这里职业经理人肯定是有的实际上在一代就是同书当家的时候他对于专业人才任命是非常慷慨的据说很多新世界的高层和中层可以在公司当几十年的工作
[00:14:07] 不过到了二代纯官当家的时候呢我个人认为他对于职业经理人的任命会比较谨慎一些更多是给他们一些辅助的角色比如说郑志刚他在33岁的时候就去当了新世界发展的联系总经理这么一个角色
[00:14:22] 当时联席总经理意思就是还有个人跟他搭班了跟他搭班那个人叫做陈观展这个人在广州地区是有很丰富的政商资源他显然集团下一步就是拓展以华南为主的中国内地市场才会给他配这么一个人另外一个例子是周大福企业Chris在2024年当联席行政总裁的时候只有35岁实际上公司给他配了另外两个行政总裁这两个都是职业经理人
[00:14:50] 当然任命职业经理人还有一个比较所谓的好处吧就是出了问题很方便去调整可以看到2024年Adrian退任至今以来呢新世界发展的行政总裁换过两次职业经理人目前的行政总裁叫黄少梅他在新世界中国的这个内地业务板块呢其实工作了很多年他的上一任呢是一个
[00:15:14] 香港公务员背景一个人叫马少祥他跟这个职位就是一个闪婚闪离的关系他只做了61天就跑了你刚刚讲的联席行政总裁这样一个配法就感觉像过去什么一个皇子什么王爷出征年轻的皇子出征然后旁边要配一个经验丰富的老将这种感觉一老一少要搭配是的总之就是我们刚才岳老师花了比较长的篇幅从这个组织的架构到
[00:15:41] 家族成员的尤其是第三代的这个各自的分工到他最近的一些变化都给我们梳理了一遍那讲完了这样一个描述之后呢我的问题就是为什么要形成这样一套体系这套体系是怎么来服务于整个郑家的时间关系我们就简单讲三个点首先前面我们提到了郑家这套集团化的体系架构它在底层是大型的上市公司然后呢中间是非上市公司最后指向是家族信托这个
[00:16:08] 方向呢其实也是资金的流动方向从下往上因为大型的上市公司每年都可以比如说派息分红虽然说有一部分派息会流向散户这样的少数股东但是核心权益呢肯定是大股东拿走的
[00:16:22] 那我计算了一下过去十年里面就是新世界发展和周大福珠宝这两家上市公司最终留下这个中间层CTFC的股息其中周大福珠宝是有465.8亿港元然后新世界发展有198.5亿港元哇这个只要算上这个时间之后这个股息就有点非常的厉害了很丰厚的一个回报
[00:16:45] 确实是毕竟有10年了第二点的非上市公司这一层拿到了股息以后除了把它注回到家族信托以外实际上还可以拿这些钱去自己去做一些投资我们前面已经简单提到了一点就是周大福企业这一层周大福企业除了是新世界发展的股东他自己其实就掌握着很多体量非常大的投资项目在公开资料当中可以查到的一些他
[00:17:10] 这个就是你前面提到的
[00:17:33] 有一些投资的项目不一定适合放到上市公司里面那你前面提到的布里斯班巴哈马群岛和越南的那个赌场综合体型就是属于这种类型对我甚至看到过一个报道说有一个几方合作的项目就是有一些周大福珠宝的VIP客户可以获得一些游艇出海的游览项目然后目的地就是什么巴哈马群岛连在一起了但是这一部分其实都不体现在上市公司的公开的财报里面确实是
[00:18:02] 那至于第三点呢就是在非常的时期上市公司和非上市公司之间呢可以有些非常灵活的资产交易比如说新世界发展不是他这几年债务压力比较大吗那他从2019年开始呢就陆续把一些重要的项目卖回给了母公司周大夫企业这样做的好处非常明显就是新世界发展快速的获得了大量的流动资金然后呢资产实际上又没有落到家族的势力范围之外
[00:18:28] 如果说你把这一关挺过去了你甚至可以考虑再从母公司手里买回来其实本质上就是家族在出手就自己下面的一部分上市公司的业务这种感觉确实只有这种根基深厚的资金非常充裕的大型的家族企业才能够这样轻轻松松的左手倒右手来缓解危机这可以说也是正式家族经营多年然后有多位家族成员和体系化的一个集团架构来累积下来的一个优势
[00:18:55] OK前面我们花了很长的时间来讲前情的部分主要就是两件事情一个就是新世界发展这样一个以地产为主的上市公司它在正家这个家族产业当中它的版图的位置是什么样的其中一个比较重要的点就是它的发展方向其实会和家族成员的意志紧密相关的那我们前面提到的这二代刚刚上任的时候的这个负债然后一代的回归其实就是这样一个点
[00:19:19] 其次呢就是很重要的一点就是郑家的这个财富支柱不是只有新世界发展它不只和这样一个地产的公司紧密的挂钩然后它整个家族的这个架构的设计也分散了一些风险包括呢也隐藏了一些自己的财富总结很好啊那我们接下来就进入第二部分正式开始分析新世界发展这家公司感觉整个分析起点可以从一个问题开始啊肖老师觉得新世界发展的收入主要是哪里来的
[00:19:45] 这个问题大家都知道新世界发展是一个房地产公司那么照道理来是房地产但是你竟然这么问了而且你前面提到过一点就是这个上市公司其实也是一个多元化发展的大公司了所以不是房地产是吗不是你很敏锐啊夏老师
[00:20:00] 这里我们需要以公司的2024财年做一个分界线分前后两种情况来讨论补充一句新世界发展的财年截止日期是每年的6月30日所以说本期节目我们最多引用到公司2025财年的中报就是它的覆盖时间是到2024的年底这个新的年报数据在我们录制的时候还没有出所以说没法引用
[00:20:24] 如果看2024财年以前这个公司的综合收益表比如说2023财年就会发现它的收入板块真的很多比如说有一块叫物业发展俗称就是卖住宅还有一块叫做物业投资就是收租金这两块就是比较标准的房地产业务了至于剩下来的板块就是包括酒店运营建筑道路保险和其他所以后面那些就是酒店运营
[00:20:53] 之后那一串建筑道路保险这个比前面的两个卖住宅和收租金要更多对这如果按照收入占比来看呢七个分类里面建筑是收入的第一名其次是物业发展就是卖房子第三是保险当然这里有一个问题就是综合收益表是并表处理的并表处理的意思就是说除了新世界发展自身以外呢它还囊括了公司控股的很多子公司的业绩像是
[00:21:21] 建筑道路保险这些收入呢基本上都是由当时新世界发展控股的另外一家上市公司叫新创建来贡献的但因为它是大比例控股子公司所以这部分的收入是写到了集团的收入里面所以新世界发展他们还有一个上市公司新创建是吧对就是Brian负责的那个部分那看了一下这个新创建的核心业务就是你前面提到的基建和投资嘛我这个还可以比较理解但我要查问一下为什么会有保险
[00:21:49] 保险这个部分呢是2019年收购来的当时是从九鼎手里面买过来的一个牌照叫做富通保险然后现在已经改名叫周大福保险他们真的很喜欢周大福这个名字反正总体来说呢这个收入呢主要是靠并表并出来的这也就是为什么我说2024财年可以单独看因为呢2024财年新创建被卖掉了他们被卖给了周大福企业从这个报表里面剥离出去了所以说这一年的卖给母家去了
[00:22:17] 所以说这一年新世界发展收入表就看起来非常清楚当然它规模也缩水很厉害它变成一个相对纯粹的房地产公司以后它的核心就是卖住宅所以其实在卖掉新创建之前第一个比较反常识的结论就是新世界发展此前其实从收入上来看房地产的部分并不占最大多数但接下来你刚才讲的第二个事实让我觉得也比较反常识它变成个房地产公司之后主要靠的
[00:22:46] 还是卖住宅而不是这个商业地产收租的这个部分所以像我们最出名的这个K11啊等等的在这个里边占比不是很大确实不是很大这里我们先看一下
[00:22:57] 住宅这个部分就是物业发展这个部分可以切成中国香港和中国内地
[00:23:27] 从期房到现房的这个交接转化的过程一般需要一到两年偶尔会更久所以说这个转化的过程可能有点delay
[00:23:34] 而在香港的部分呢新世界发展的住宅这部分的收入波动比较大好的时候呢有一两百亿港元差的时候就四五十亿比如说这部分收入有一年是突破了两百三十亿港元这是2019财年然后公司在整个年报里面披露就是给公司带来收入贡献的这个住宅楼盘就有十个在香港
[00:23:58] 那在到了2021财年呢公司位于香港新界的也有一个重点项目叫做百澳庄那年是开售了它实际上当年的合同收入就达到了373亿港元但是因为就是合同收入转成实际收入要延后一点就等房子要交货嘛所以说这个延后在报表里面其实是要延后两年的
[00:24:19] 百澳庄这两年大家比较讨论多了还有一个问题就是它的三期项目就虽然已经卖了很多但整个建设里面有很多波折包括说强度不足要拆除重建以及整个工地出过人身事故等等所以说它实际上的交房时间呢比预期晚了很多也有些退房的情况所以说这也是大家会比较关注就这部分收入能不能持续的一个点
[00:24:41] 不过没关系就是即使在这两年的危机当中新世界发展还是有一些很好的压在箱底的资产就是它的土地储备尤其是位于香港新界的很多的农用土地根据公司2025财年中报这个部分折算下来还有144.3万平米的农地可以用来开发
[00:25:02] 农地的状况就是它现在是一个农业用地然后一旦你确定开发规划以后这些土地既可以转成就是拿来建住宅也可以变成商业或者工业用地是一个很灵活的地块实际上新世界发展是目前香港所有地产商当中农地储备水平最高的一家就是它手上有最多的农地而且它农地储备跟香港政府这两年大规模开发新界的一个叫做北部都会区的规划是高度相关的你就你看那个规划图在哪里它的地就在哪里
[00:25:31] 所以说你如果觉得这个规划本身值得长期关注的话我觉得你不妨给新世界发展股票多一点信心
[00:25:40] 刚才一部分袁老师讲的其实是新世界发展的房地产业务当中大家有可能不那么熟悉但是其实很重要的住宅这个部分我觉得你最后讲到的那个点其实非常的重要就是它其实还是有蛮多以后很有潜力的资产的从这个点来说的话它并不是因为现在债务重组比较危机等等的就完全的没有希望确实是OK这是住宅
[00:26:03] 接下来讲一讲大家相对比较熟悉或者比较关心的商业地产这个部分商业地产我们就强行把投资型物业和酒店放在一起来看了如果从收入来看这两块加在一起2019财年大致就是50到60亿港元的水平这其实并不是很高
[00:26:22] 如果说具体到政治刚创建的K11这个品牌就是在集团这么多粗壮的大腿的硬称之下它的收入贡献能力只能说相当的一般不过这个品牌就像我们开头所说的它在内地的关注度还是很高的尤其是在商业地产界它之前有段时间的讨论度也非常高所以虽然它这条腿不算是个大腿不算很粗能不能具体说一下它到底做的好不好因为这个还
[00:26:46] 和郑志刚这个人大家对他的判断还是直接相关的因为这是他主推的一个品牌他到底做怎么样
[00:26:54] 我也很想给一个明确的结论但是问题在于新世界发展历年在财报里面对于K11这个品牌的业绩披露都不是很系统大部分时候是按照单个项目给一些像销售的增长率客流增长率和出租率的这些很零星的指标就没法倒推2022财年开始会好一点但是依然没有办法倒退出它有明确的收入规模到底是多少
[00:27:21] 我们这里就只能举另外两组财报里面披露数字来简单的讨论一下首先呢K11这个体系里面它目前最重要项目肯定是公司位于尖沙嘴那个Victoria Dockside那是一个非常大的综合体项目除了K11 Museum这个购物中心以外呢还包括一栋K11的写字楼还有瑰丽酒店还有瑰丽的服务室公寓
[00:27:43] 这个项目的位置也是新世界发展在1971年买下的第一块大型综合项目用地这甚至可以说是整个公司的龙心之地所以这个项目的改造其实意义非常重大在它开业的那个财年里面可以看到新世界发展的销售及推广费用就简单说就是广告费这个部分同比增长了10亿港元虽然这些钱不一定完全是这一个项目上花掉的但是肯定占了不少
[00:28:10] 而对比整个项目开业前后新世界发展在香港的物业投资收入其实也大概增长了接近10亿港元这是一组对比的例子
[00:28:20] 另外一组例子是从2021财年开始年报里面会披露K11品牌它计划在全世界覆盖的城市的个数和总共的项目的个数在2024财年整个城市的覆盖数量是从10个城市涨到12个城市但是要做的项目数从40个缩水到了34个其实从2022年开始K11在推自己的一条亲资产线就是K11 Select
[00:28:47] 那很多内地项目都已经是以轻资产形式来介入了那在这个背景下他的合作项目总量依然在缩水可能说明就是其实是合作方对于这个品牌的信心在下降不过这里要有一个值得注意的点就是就是刚不是离开了新世界发展董事会吗但是他在离开的时候呢还有一个
[00:29:06] 就是跟集团一个交易就是他是以2.09亿港元回购了K11相关的五家服务公司新职业发展还跟他签了三年的服务合同还给了他K11这个品牌的30年的使用权也就是说他之后依然可以以他的一个独立公司的一个体系来推动K11这个品牌去继续拓展这个对于当前的就是在做的一些K11项目来说还是比较重要的这个牌子呢还是给他保留住了这两个例子呢一个是K11比较
[00:29:36] 重要或者是最重要的一个在香港金沙嘴的一个项目另外一个呢就是他最近的一个整体的发展的规划的变化大家自己可以多少有一些判断吧我觉得就是除了描述以外接下来有可能更深层次要讨论的问题是当初为什么要有K11因为大家都知道他在2015年提出的时候是一个所谓艺术策展然后再加上零售的一个比较新的概念
[00:29:59] 但是最近几年确实也会有一些声音认为它具体的落地比较困难然后形式会大于实质等等的这个也是我们看到就开头说到那些流行叙事里面用来批评政治高昂所谓富三代的这样一些内容具体情况是这样吗
[00:30:16] 具体我觉得是观察角度的不同吧就如果你从新世界发展自身的角度来看呢可能会得出不一样的结论这里可以给一个结论就是在2015年的时候新世界面临的最大问题是品牌老化因为在K11之前的新世界在它的内地包括香港的很多综合体项目里面一般的组合是这样子的有一个写字楼有一个酒店但是零售的中心是百货商场
[00:30:43] 它对应的这个百货品牌也叫新世界叫新世界百货新世界百货也是个港股上市公司还有一个可能有些朋友知道的就是百货品牌叫巴黎春天它也是新世界百货的一个支线虽然在刚造好的时候这些综合体项目肯定都是这个区域内非常领先的一个就是大家人口聚集或者说对消费吸引力很强的一个地方但是百货的消亡
[00:31:07] 这个是一个完全不用再争辩的事实了这个必须要有新的一个购物中心和新的购物中心品牌来补上百货这个缺的这个位百货相关我们甚至可以从财报来明确确认这个趋势啊在2019财年之前百货在新世界发展的综合损益表当中还是单独披露的一个板块它每年大概贡献30亿港元出头的一个收入那在2019财年之后呢就不单独披露了因为新世界百货也是上市公司嘛我们可以单独看它的财报
[00:31:37] 他的财报到2024年财年他总收入只有13.6亿港元了所以说他在集团那个病表以后呢他就被扔到那个其他的框子里面就完全不用再单独展示了也就是说在2015年前后那个时间节点里面新世界发展要做购物中心来替代就是逐渐老化的百货这肯定是一个势在必行的事情那他们拿出来的方案呢是K11这样一个模式是的
[00:32:02] 其实从这个角度来说我们也可以解释为什么新世界这个体系里面会有规律酒店这个东西规律酒店因为原来他们的那个综合体项目里面这个酒店牌子也叫新世界酒店但是如果他们想做一些新的综合体项目这规格更高然后各地呢普遍也会希望他们说你能不能引入更好的酒店品牌那这个钱与其是交给其他的酒店集团来赚呢不如买一个豪华的酒店品牌自己来赚
[00:32:27] 其实就是整个他们商业地产要做升级或者适应时代的一个综合的一个考虑就从这个战略上面来说问题不是很大确实是既然已经讲到了一些子公司的话我们接下来就最后看一下收入贡献最大这个基建的内容就新创建新创建其实是2002年郑裕彤在新世界发展内部做了一个业务重组以后形成一个产物就它这一大坨里面有什么呢有基建交通能源环境
[00:32:56] 就各种专业的基础建设服务还有什么大型的建筑施工啊高速公路的收费码头和物流中心然后各地的什么水厂电厂污水处理厂等等反正都放在这个框子里面在新冠疫情之前呢新创建的年收入其实是非常丰厚的他每年收入大概是300亿港元左右虽然说建筑工程是他的主要收入来源但是其他领域呢
[00:33:18] 持续收入也很不错其实能够部分对冲跟这个房地产强保定的风险比如说它这个高速公路收费我看就是很好的一块生意另外2018年新创建是提出接受富通保险虽然保险跟这些基建相关的核心业务完全没有关系但是可以很快的增加一大块收入所以之后虽然有疫情的影响但是如果我们看新创建这个公司的收入表面来看没有什么问题并没有受到什么影响
[00:33:45] 数字还是一样的在2023财年甚至还能冲高的还能冲到450亿港元因为这里面就有200亿的保险收入所以子公司新创建真的是一个非常体量大然后赚钱又很稳定的一坨业务然后它在2024财年像你前面说的被新世界发展卖掉了主要就是为了还债
[00:34:04] 追溯来看其实2019财年新世界发展就已经开始出售一些非核心资产财经截止不是2019年6月底吗这个其实完全不涉及到疫情影响就是他们的主动策略了当然在后面几年变卖资产大家也普遍以为就是疫情的影响还有房地产市场这个影响所以也没什么争议但是呢在2024财年把这个能够给集团贡献一半收入的新创建去卖掉从母公司手上换现金我个人还觉得这是一个非常危险的信号
[00:34:33] 我们可以再结合新创建自己的一些资产交易来看一下就是新创建在疫情当中呢就2020财年这个范围来看
[00:34:44] 它有过两个标志性的资产出售一个是在2020年10月它是以32亿港元把它经营多年的一块公共交通业务就是城巴和新巴这个是公共交通的部分被卖掉了这个部分本身价格还好啦但是散户投资者对这个交易颇有微词因为这是它经营了很多年的一块大家很熟悉的一个业务
[00:35:08] 另外一个呢是在2022年10月份新创建是把他旗下经营了没有几年的一个商务飞机租赁业务以62亿港元卖给了三井住友航空资产这个业务其实非常大涉及到了219架飞机也原本是新创建着力开拓的一个新的业务但这个飞机嘛就很容易受到疫情影响然后缓震压力又大所以就卖掉了
[00:35:33] 其实是新创建把这些他自己的半核心资产卖掉以后到最后一步2024财年才是新世界发展把新创建给卖掉等于是新创建和新世界发展都在陆续的逐步的瘦身那我有个问题你前面讲到这一系列的卖的动作它都是卖给母公司吗不一定像比如说我们前面提到这两个例子一个是卖公交业务一个是卖航空租赁业务这个其实都是卖给外面的
[00:36:00] 但是还是最后把新创建卖给母公司这部分我觉得是重要的我这边还有一个问题就是卖给母公司这个行为常见然后它的定价会和你卖给一些外面的公司有什么区别吗卖给母公司的时候我觉得价格上面一般来说还是按照供应价格的但是这里会涉及到一些比较tricky的地方就是像新创建
[00:36:27] 就是出售以后有一块非常迅速的特别派息我觉得派息这个部分我们可以后面再讲一讲这个其实是比较重要的因为你刚刚讲到新世界发展对于新创建也是一个控股就说明还是有别的股东的所以这个部分就是交易的时候肯定也是要就是别的股东的利益是要保证的所以它的价格等等还是要保证公允确实是价格是公允的但是就是最后会议最大的是谁我们就另说有这个派息的话就是另外一回事情了对
[00:36:56] 简单的总结的话就是这两家公司在快速的缩表就是卖掉资产之前都先经历了比较大的扩表然后通过并购和新业务实现的扩表能够在短时间做大这个鞋的规模把照片做的很好看但是出售了这一部分之后这公司的现金流还有发展乏力的问题就会暴露的更加明显前面我们是盘点了新世界发展这样一个上市公司的资产还有它的业务以及它的变化
[00:37:22] 还是有很多反直觉的结论的比如说明星很想的K11对于收入的贡献实际上是很少的还有就是整个新世界发展公司近半的收入实际上是来自于一个特别强的子公司现在这个子公司卖给了新世界发展的母公司这个顺序已经有点混乱了那我们还是回到最初这个新闻的核心就是讲讲新世界发展的这个负债的问题这个是大家实际上外界关注的一个重点不过这个问题呢就是我们可能需要给出比较多的财务数据作为支撑
[00:37:51] 觉得枯燥的朋友也可以只听结论啊我的想法是把这个大的债务的问题就是拆成五六个比较细的小问题一点点来回答可能这样会比较好好吧那你一个个来开始表演吧第一个呢其实是关于财报的一个通用的问题就是债务问题在公司的财报当中一般有哪些指正可以就是指向这个债务问题另外呢新世界发展不是一个多元化的房企吗这个
