Vol.258 为什么到处都是泰兰尼斯的广告？
[00:06:01] 第三个点就是小朋友的穿鞋能力也是在一个成长的过程当中的所以说你功能的设计也跟成人鞋是不一样的所以在这个基础之上的铜鞋它首先就要分很多不同的阶段它要再细分下去比如说你一岁刚刚学步的时候就要有学步学甚至现在会有一些什么在抱在手里在爬的时候就要穿鞋其实我觉得那个没有很大必要还有比如说三到六岁幼儿园阶段小学的阶段中学的阶段
[00:06:27] 都有各自的需求有可能要到了十几岁的时候大家基本上认为你脚的功能已经跟成年人差不多了那其实你的鞋跟成年人的鞋也可以一样等于说就是铜鞋这个东西既要保证安全还要帮助这个小朋友脚健康的成长还要适应他学习阶段的这个穿脱的场景对有这三个需求比如说铜鞋上面一般来说我们是看不到鞋带的比如说用魔术贴之类的搭扣或者那个旋钮的那个系统是的就不仅如此你看搭扣有的时候是你要搭一个还是两个呢然后你这个
[00:06:55] 脱下来之后就要开到多少的大的口其实有很多的这个讲究看得出来就是父母为小朋友消费确实是一个费脑子的事情就是虽然是消费者但不是使用者所以这个里面一定有很多的反复和摩擦以及自己学习的过程看出来你学的很好没有就是这个部分其实功课都是我太太在做的比较多在旁边看或者她让我选的时候我觉得非常的辛苦就有时候你买回来一堆鞋然后拆开来信心满满的给小朋友试结果她试的不想试也没有什么理由的然后你只能再退掉
[00:07:24] 那我们说回这个品牌啊产品的背景其实就是一个新创的铜鞋品牌存在的这个空间因为说实话像那些大的运动鞋品牌虽然他们都有这个所谓的儿童线kids线啊等等的但是大多是为一些比较大一点的teenager啊等等来准备的很多时候的确那个鞋就是成人的缩小版虽然有些什么功能上稍微调好悬扭啊像你讲但这个鞋型本身没有那么多的特别为小朋友定制
[00:07:52] 很好看但是穿起来确实有点问题在泰兰尼斯之前其实国内外也有一些铜鞋的品牌了像海外的Mickey House等等比较贵国内也有像江博士也是跟泰兰尼斯是一个同行竞品但是竞争其实不算特别激烈的所以在那个时间点泰兰尼斯确实是出现在了一个有一定成长空间的市场里边所以说现在因为有成长空间所以说泰兰尼斯现在打广告这个鞋都能卖到四位数了
[00:08:19] 不过起步阶段他们还是卖一些两三百块钱然后也是在商场购物中心来开店开店的这个方向其实是比较对的就是这几年我们都能感觉到亲子其实是商场非常主打的一个方向就一般来说都是商场三楼嘛为什么是三楼啊因为商场的一楼两楼主要是一些比较大的服饰品牌或者一些主力的电鞋那些品牌租金也比较高那铜鞋啊铜装或者是一些亲子的这个项目呢一般来说就想选一些租金比较便宜的铺
[00:08:47] 那么再往上如果你选择四楼以上的其实就不允许了因为有些消防的规定会要求你涉及到小朋友的这些液态你必须在三楼级以下所以说以前百货好像亲子一般来说是走到五楼到现在已经是一个被淘汰一个思路是吗对亲子都在三层无用的这个线下商业知识又增加了就到了2019年的时候就他发展了89年泰兰尼斯已经有300家门店了主要是在长三角就是因为他浙江起步的浙江最多
[00:09:15] 按照丁飞自己采访时候说那个时候门店的整个规模其实不小但是公司的资金一直是比较紧张的就是养线下的店铺很费钱也很费时间尤其他还会有些百货那些柜台回款很慢他特别提到这一点你好不容易开了这300来这家店到了疫情来了之后线下门店的经营就会变得非常的困难这个时候泰兰尼斯就做了一个比较重要的决策就是加强线上的渠道
[00:09:42] 在此之前其实泰兰尼斯线上的门店主要就是用来清库存就是线上奥特莱斯我们所谓的下水道的这个渠道他比较聪明的一点就是他重点经营了网店之后他选择了线上线下严控价格体系的这样一个模式类似于比如说一般打法像优衣库那样就是线上线下是同样的货同样的价格是的基本上他也是这个模式或者是线上的折扣非常的少也不是非常的频繁他是走这样一个路线的
[00:10:07] 最后的结果我来看还是不错的吧就它这个品牌形象也建立起来而且销量也快速的增长摆脱了过去一个就是轻库存的那样一个线上的形象21年和22年这两年泰兰尼斯的销量都是翻倍的再加上线下店的这个收缩也没有开一些新的店所以它一下子财务状况会变得比较好一点就是从那个时候变得有钱起来就是账上的钱多了起来到了2022年的时候泰兰尼斯就终于开启了一个大打广告的阶段
[00:10:35] 它主要投的渠道就是分众传媒
[00:10:39] 终于出现了分众传媒分众传媒是楼宇电梯广告就是你在电梯里看的那些广告屏的这个商业模式的开创者到现在也是中国在这个市场毫无疑问的第一名当然现在分众手里的资源已经不仅限于这个电梯广告了其实包括很多大型的机场高铁站还有电影院也就是电影开播之前那个贴片广告他手上有很多的资源但是电梯广告还是他的核心核心的主力这里就可以Q到我们开头提到一个
[00:11:09] 意外的点就是丁飞他之所以认为泰兰尼斯的户外投放并不是自己品牌的营销重心就是因为在他看来或者在他这个计算里面泰兰尼斯的投放的重心是分众旗下的资源现在是过去也是就是一个强绑定的状态是的那就说一下两个公司是怎么绑在一起的泰兰尼斯第一批的大范围的楼益广告这个campaign是在2022年8月到11月开始做的
[00:11:35] 主要的范围是在一二线城市然后他当时打的广告语也是分众给他写的广告语叫做不只舒适更要精致可以看得出来他在投楼宇的同时也开始做一些品牌的提升了广告语说实话我并没有感到是什么意思这个点我们后面会讲到有点空洞但我们就不管他空不空洞实际效果怎么样效果肯定很不错不然他也不会跟他绑定的越来越深继续投了是吧
[00:12:03] 按照丁飞的说法就当年的双十一泰兰尼斯的销量搜索量还有淘宝的自然流量就明显的增加然后他的品牌也是在这一年的双十一第一次销量是破亿的然后比前一年是翻了一倍还多尝了这个甜头之后泰兰尼斯就开始加大投放了并且请了朗朗的夫人吉娜做代言人也就是在这个时候泰兰尼斯就重新推出了一个新的品牌的核心的要素叫做稳
[00:12:31] 到这个部分我反而觉得好像有点上道了对就是跟产品绑进更深的一点感觉他做投放这个节奏还蛮好的对就是我感觉这个当中分众的功劳应该是不小的就这个公司他除了卖渠道以外还是会做很多策划和战略的这个部分说到稳这个要素其实应该是蛮抓住消费者的心理的因为买铜鞋的家长就是肯定是希望小朋友穿了这个鞋能够少摔倒少受伤这对他们来说是一个很重要的价值
[00:13:00] 泰兰尼斯当时推的那个稳稳鞋其实就是一种学步鞋就是给三岁以下小朋友来穿的那就更加击中他这个需求了所以说肖老师你被击中了吗我承认就是我们是买了泰兰尼斯的现在小朋友脚上也穿的是但是我觉得它是被我们家小朋友选中了就是这个鞋型可能比较适合我们小朋友的脚型他的脚比较宽一点是那个楦形比较合理是吧是
[00:13:22] 但至于说稳这个点我就纯个人观点我觉得小朋友容不容易摔倒更多是他自己的走路能力和这个场景来决定的就是你鞋子的确是有一些影响比如说有的鞋子它防滑做的过于好了只是反而容易摔跤真的吗摩擦力很高的话你在一些木地板上面就是一下子很容易顿住你反而容易往前扑倒惯性对
[00:13:45] 所以这个东西其实有点tricky的另外呢就是在安全的情况下其实我觉得摔倒是一个人学习走路的正常过程你避免不一定是唯一的一个应对的方式你给他创造一个比较安全的尽量安全一点的摔倒的环境也挺重要的所以说就是稳有可能是吸引你去关注这个品牌的一个重点但是你不一定是完全为稳这个点来买单的反正话虽如此就仅从你品牌商业这个运营的角度来说他压住丰重然后提出了就稳这个点肯定是获得很大成功的
[00:14:14] 就这个稳稳鞋的销售是迅速破亿了其次呢就是它的产品单价也开始往500以上走了前面是两三百就等于说实现了一个量价提升的这么一个效果而且前面讲到那个严控价格折扣的这个策略也起了效果就那个时候没有控制住的话你后面要提价也很难的在这个过程当中呢分众和泰兰尼斯就更加的绑定的越来越深了据说双方和这个制作公司每个月开这个沟通会议要开十多次就这样一个状态
[00:14:43] 十多次只有这几个画面我实在是不能接受不好意思还是会有一些就是广告片的那根据分众传媒负责泰兰尼斯的这个叫定位部总经理赵泽龙的说法目前分众每年会为泰兰尼斯做三到四轮的集中投放覆盖二十多个一二线城市两百万个电梯里边的海报或者是那个屏幕的点位
[00:15:06] 到了2025年的泰兰尼斯已经成长为了一个年营收大约在50亿元然后拥有2000个线下门店或者网点同时呢线上销售额和线下的这个销售额大约是1比1的这样一个大型的同鞋品牌了解答了我的一部分困惑就是年营收50亿就可以像泰兰尼斯一样打广告了所以说现在泰兰尼斯在分众上面到底会比如说每年花多少钱呢这个有数吗
[00:15:32] 肯定不会说具体的数字这个确实我们也没有查到能有具体数字的这种统计的口径会有一些排名的口径但是没有具体数字公布但是有一个比较明确的可以参考的点就是泰兰尼斯已经是分众里边投放规模top10的品牌了而且按照丁飞的说法泰兰尼斯的营销的费用其实在很大一段时间里主要就是分众即便是在我们今年看到他投了很多分众以外那些户外的广告的情况之下也有七成以上是在分众里边的
[00:16:00] 也正是因为这个所以他觉得户外的广告大家虽然关注的很多但并不是他的重点我们前面好像不小心划过了一个很重要的一个东西就是你说分众还是占他们投放的费用的七成几以上对吧这还是很意外的就是说我们现在讨论度这么高这个铺天盖地户外广告其实只占公司广告预算的不到三成是这个下半场这么轻易的就可以展开吗就你前面说50亿就可以投那么多了你还是想的就是他大比例都是投他的对啊对啊
[00:16:32] 确实很反直接但是我首先要说明的是这个数据只是采访了泰兰尼斯和分众他们的一边的说法我没办法做交叉的验证只不过我们也没有更加权威的信息来源大家就作为一个参考我们就是姑且一信对我觉得提出了这个问题的话我们就可以来进入下面一个部分就是来讲一讲泰兰尼斯这一波就是舆论上面破圈的户外广告的投放了我们先来解决一个基础的点就是泰兰尼斯为什么现在要开始投户外了就从楼宇到户外了就是分众不够了吗
[00:17:01] 我们总结了两个原因一个是泰兰尼斯自己的这个新的产品战略另外呢是一个很明确的触发点叫做天猫超品日那先从产品战略来说吧这一波泰兰尼斯的户外投放的话其实它不是品牌向的它是有明确的具体的产品的约老师你还知道是什么吗你看了那么多次纹跑鞋呀可以可以可以说不定它还是给你种进去了怎么样对吧就是我一辈子也不可能再买这个东西但是我记住了它
[00:17:28] 泰莱尼斯这个稳跑鞋是它一个新的品类跟稳稳鞋概念是一致的一字之差但是是不同的东西是吧对它针对的主要就是7岁到16岁的中小学生的运动鞋运动鞋这个品类本身有个很大的区别就是它已经进入了耐克阿迪的或者是那些运动鞋品牌的核心的区域了那些品牌的儿童鞋里面主要也就是卖给他们也就是做这些东西是的那它这个客户的覆盖面首先就比幼童的鞋要大非常多
[00:17:56] 所以从类型上它实际上属于是可以多头户外的那种类型就等于在那个消费人性上就是有所扩大是的而且扩大的都是增长的不单单是它用户的规模还有就是价格就这个鞋的售价最高超过1500元就1800多块钱它那个标价都有的就算是作为大牌的运动鞋来说也是绝对的高价了就已经到了一个专业跑鞋的一个价位了专业跑鞋专业户外鞋这个价位你不要说就它这个鞋主打的就是
[00:18:24] 用了很多跑鞋和户外鞋的
[00:18:53] 其实有一些滥用碳板的趋势我们也写过这个报道对我觉得这个事情尤其是对于还在发育期的小朋友来说这其实不是一个很合理的产品设计还是走堆料的思维模式但并不一定是最好的产品当然泰兰尼斯基会觉得他的产品的点肯定不单单是堆料他也有很多设计研究know how等等但这个我们就具体不展开了但至少他能够实现一点就是他通过这样一些很明显的配置使得他这个价格能够上去
[00:19:20] 堆料是证明你这个价格合理的一个主要的思路就是你买到了一些真材实料的东西对对对另外呢就是丁飞也明确的说了就这一轮的户外其实就是一个阶段性的策略因为文跑鞋的这个客群跟这个户外的广告比较容易匹配上所以他实际上是冲着这个目的去投了这一波户外的广告那之后他推别的产品线的话有可能就会有别的策略OK那么接下再聊一下天猫超品日
[00:19:46] 这个为什么说它是一个非常明确的触发点呢其实就是这一波泰兰尼斯的户外广告它投放的契机就是它做了天猫超品日天猫超品日就是天猫超级品牌日的缩写是的超级品牌日是天猫做了很多年一个经典策略就是简单说就是他们会和一个
[00:20:05] 品牌做合作就是在某一天
[00:20:33] 泰兰尼斯呢其实就属于你刚刚讲的后面一种类型而且你刚刚讲的这个投入资源投入配置呢其实不单单是指我去买你天猫或者淘宝其他的一些站内的资源还有一个很重要的点就是你这个品牌要配合在别的渠道做投放这个别的渠道尤其就指的是户外的广告资源像是一线城市的一些那种大屏啊或者是那个机场地铁站天猫和京东他们都是非常重视的就是你要在那边也投了就表示你这个campaign本身是非常大的对吧你已经下了很多钱
[00:21:03] 那么你再去投超品日他比较能够接受一点所以这也是为什么我们说这个超品日是他开始投户外的一个重要的契机等于是就是参加超品日的投名状有这个要求了不过超品日毕竟只是一个短期的嘛就一天吧是在这个之后我们可以看到泰兰尼斯一直在投对这是为什么呢就是他有一个更加长期的一个跟天猫的合作计划叫做天河计划本人好几年没有接触阿里了感觉又出现了一些我没有听说过的新的说法什么叫天河计划就是跟天猫合作的计划
[00:21:32] 我是这么理解我是这么理解它这个就是简单的简单而言其实大家很熟悉这个东西就你看到有很多的广告不管是什么类型上面的这个广告打完了之后它下面有一个搜索框上面写了去天猫旗舰店去什么就是搜索这个东西这个就是天河计划的核心品牌自己去投了一些广告对吧这个广告是跟天猫没有关系的但是你带上了天猫的这个搜索框的话它会送你一些战略的资源
[00:22:00] 平台蹭品牌的影响力是这样吗对就这个意思我又会同样的置换给你一些资源就是我们可以互相合作这个概念其实除了天马以外京东抖音我们都看到过抖音商城都会看到过这样的搜索框的这样的类型的广告不仅是TVC对吧然后楼宇户外这些都会有泰兰尼斯一直是天河计划的一个top级别的客户所以就是超品日再加上了文跑鞋这个产品的需求就放大了泰兰尼斯的户外广告投放的这个计划然后丁飞自己也说
[00:22:29] 当时的确就是想要冲一把销量这个状态所以说把这个投方的力度加的比较大就等于说这几个因素是叠加在一起形成了最后就是一波非常大的覆盖面一个投方尤其是重点城市的核心点位就是全覆盖对所以刚才其实我们就是从这些角度来复盘一下为什么会发生这么大一次就是铺天盖地的效果但是我还是有一个问题就是再怎么铺天盖地理论上应该是一个还是一个短时间的一个东西对那我们感觉到就是这个东西时间跨度特别长
[00:22:59] 超过半年了它还在上面就是你阶段性难道要阶段这么久吗对啊还有一个问题就是不仅是我们前面说的这种一些城市的黄金地段的广告位还是有一些就是鸡脚嘎啦的地方就比如说我这个五一出去在一些我觉得不太可能会有人买超过1000元的小朋友运动鞋的地方也看到了泰兰里斯这个是怎么回事呢我觉得这个有可能是大家违和感产生的一个核心的原因就是你有必要投的这么密然后这么久吗对啊而且还有一个就是你前面没有解答的一个问题就是
[00:23:28] 就算你年销售额几十亿但是你这个不到三成的广告预算就可以覆盖中国这么多城市的就是我们中国的广告位卖的这么便宜了吗对那我觉得这些问题就不是单单泰兰尼斯自己的这个策略能够解释的就我们要进入户外广告的部分了
[00:23:45] 那这次呢邓一云和格鲁米老师他们也访问了很多户外广告的从业者包括我们也私下聊了一些有的呢是真的做泰兰尼斯代理的业务的有的呢他没有具体做但是他们就是肯定也熟悉然后也观察到了很多这个事情确实在他们行业里面也是大家都学习过了广为讨论的现在变成一个经典案例的那种形式那所有的人他们肯定不愿意透露就具体跟泰兰尼斯做生意的这个金额的数量啊
[00:24:11] 但是他们不约而同的给了我们一个比较类似的解释就是为什么会形成这个效果简单而言就是户外广告这个行业的结构还有它现在比较低迷的景气叠加在一起形成了这样的这次效果户外结构是什么意思呢就是目前中国的整个广告市场一年的这个大的盘子大家有概念吗就大概是一个两万亿的这样一个规模那应该是线上广告为主吧肯定是线上广告最大头了户外的是占第二名的
[00:24:38] 传统的这个纸眉啊等等的实在是太少了好好好但这个第二名其实也就10%左右然后这个规模其实已经稳定了一段时间就它增长已经很有限了就是这个中国确实不能再加户外广告位了是这个意思差不多我觉得这个逻辑上也很好理解尤其是前几年其实比如说疫情的两年已经跌下去点然后这两年又涨上来一点整个的规模已经持平了我们可以这么认为这是结构的第一点就它这个规模我们先有盖子了第二个就是集中度
[00:25:05] 户外广告位的所有者或者他代理权实际上是极其分散的比如说地铁站的可能相对来说还比较集中点或者说像高铁飞机这个都是有比较明确的归属对那些有可能有一些都是有规定的有一些明确的代理上大家都可以看到的但是比如说一些大楼外面的外立面的对吧这种广告或者说是一些主要的马路上面的那些户外的路灯上面的一些广告这种东西非常非常的分散这比如说大楼广告有可能是大楼自己所有的
[00:25:31] 然后再找一个代理商这个代理商可能也不大他有可能就负责这几个block或者说是他负责点位都是分散在不同的区域里面的只是他获得了这些代理权而已这个分散就带来两个结果一个就是广告的出售的价格实际的成交价是波动很大的就是看人下菜对第二个就是你很多小的广告位你本来这些所有者他也不是卖广告的他就会交给一些代理商来做第三个我们想讲行业的情况就是景气程度
[00:26:00] 尤其是黄金点位的景气程度其实是这两年有很明显的下降的这个是一个非常重要的背景一般而言就是像一线城市的一些核心地段的户外广告位比较多的是一周一周来卖当然也有安天卖的一周的看历价大约是小几十万到大几十万不等都有的当然这里说的一周不是说你这一周就只看到这一个画面它还是分时段的它有比如说一天有多少次就是轮播次数评次对但那个基本上是比较固定的有结构化的卖法了价格是这样的一个情况
[00:26:29] 但据我们了解就是这两年因为过去主投这些点位的品牌有了很多的预算的收缩就像我们前面讲的像奢侈品还有消费电子包括有些车的品牌还有一些服饰等等的他们预算都下降了在这个部分都下降了所以有很多这种黄金点位的价格是大幅的下跌就实际成交价甚至有的其实腰斩的
[00:26:51] 这个时候对于这些代理商来说他们就非常希望有一些新鲜血液进来做一些新的案例那我可以给你一些更多的价格泰兰尼斯在这个情况下有点被选中成为一个标杆在分众这里泰兰尼斯可能还是接棒什么伯爵旅拍的这么一个角色但是在户外广告这里它确实变成一个短期的一个新的增长点对一个新的客户的标杆案例是他们行业里面都会说到我们作为广告的渠道代理商来说他也需要有故事
[00:27:18] 就你去找别的客户的时候你要说你看泰兰尼斯这样一个新的品牌也在我们投了这么多不然的话人家会觉得为什么我要来投你呢我有什么效果呢等等的像这样一个大幅投放的一个品牌对他们来说也是非常重要的那在这种情况下面呢品牌方像泰兰尼斯他就会获得更多的优惠比如说有很多的代理他就会附送点位附送时长所以我们看到有很多鸡脚嘎啦的那些地方都会有泰兰尼斯的广告所以我们看到他有很多广告就会延长那么长的时间其实就是送给他的
[00:27:45] 丁飞在接受采访的时候就是他吐槽但我觉得这个吐槽也有点发尔赛就是他说有段时间他经常收到朋友的截图说你们这里也投了那里也投了然后他就会觉得很莫名因为这地方他根本就没有买就可能也不是我的完全目标的一个地方是但是也投了对就是买一送一买一送多这种情况非常多我觉得还有可能有一个就是你前面讲的那个景气度的问题会导致一个做法就是比如说有一个品牌它这个位置上面广告只投了两周但是之后没有人去接这个档
[00:28:11] 他不会去撤掉对他不会去撤这个画面就是会一直保留直到这个画面褪色然后有人接档为止对他有的时候他不愿意保留因为保留的话就是等于相当于你把这个价格自己降下来了所以这个其实反而也有可能对他这个所谓长期曝光是有些助推的是所以简单来说就是泰兰尼斯这波投放正好投在了一个同行投的更少整个行业性价比比较高的阶段可以实现一个花的钱比过去可能要更少一些但实现的效果要比过去大蛮多的
[00:28:39] 还有另外一个点就是我们前面就强调这个三成七成的这个问题我觉得是这样就是他只强调比例但没有说绝对数字就有可能绝对数字50亿里面不知道投出多少亿是吧并不知道就是他这一轮campaign就是这个25年和26年他整个投放这个预算和前几年相比是不是也有很大的增长如果是也有的话那你就算是三成也是很大的数字有可能跟你最早的时候楼宇的那个比例也差不多了这我们是不知道的
[00:29:04] 而且很有可能就是这么个情况就是它整个的预算大幅的增长因为我们看到有一个叫CTR媒介智讯的这样一个机构它有一个广告的数据库的它没有具体数字但它有一个数据就是泰兰尼斯从2024年起就位列全国广告费用top20的品牌也就是说如果你投放的总的金额非常的高那么你从里面切30%也不算少
[00:29:28] 而且可以在一个相对来说已经不是很景气或者说一个比较平静的池子里面掀起一个很大的水花这里我们就把泰勒尼斯为什么这么大头户外这个问题拆了一下首先这个品牌的广告投放是一个先做楼宇广告然后再做户外然后最后引流到线上的这么一个过程在这个过程里面它的品牌形象产品售价和销售规模是同步在上升的
[00:29:55] 其次呢具体到这一次的铺天概念呢主要就是一个品牌有阶段性的大的campaign撞上了一个户外广告正好性价比也比较高的阶段所以说整体来说放大了它投放的效果以至于让这个投放本身变成一个事件没错
[00:30:10] 无论如何泰兰尼斯在让自己出名这件事情上面已经做的足够好了从公司建议的角度来说他要做的就是如何让这种出名能够转化成公司营收和利润的上升以及品牌形象的提升感觉就要提到我们开头说的争议的广告语这也是泰兰尼斯新的一轮广告的策略在讲争议之前我觉得可以稍微的带到一下泰兰尼斯目前的公司的战略因为有些东西我觉得也比较重要你可以稍微理解一下他的一些动作
[00:30:39] 两个方向一个是对外扩张出海目前泰兰尼斯在美国啊东南亚都有店了而且它的产品的价格定的非常的高有很多都是国内的两倍国内都这么贵国外更贵啊所以它这个肯定是它接下来比较重视的一个增长点另一个呢就是要提升线下门店的品质就是什么外公和内公这种感觉嘛因为按照丁自己的说法就是他希望自己的门店能够匹配广告带来这个流量和关注度
[00:31:05] 这个好像是他在采访里面就是比较坦诚的一个点就是说目前泰兰尼斯有很多门店的陈列包括这个导购的服务水平呢都不是很跟得上自己的产品或者不是很跟得上自己这个曝光度吧我觉得他还是比较诚恳的因为我对此深有同感泰兰尼斯的这个门店的导购啊就是真的是不太行因为你想想看同学前面我们讲产品的特性所以他照道理来说应该是一个你在线下门店里面
[00:31:33] 非常讲体验而且很需要导购来给你科普很多知识的那种品类就是你要有一些比较厉害的导购不一定要做到像什么Dyson那种就是跟你像工程师那样科普或者像苹果那样就是快乐的跟你聊天是但是你不能只重复一些话术就是泰莱尼斯很多导购几句话所有都一样的所以他们肯定是统一培训的就是稳稳鞋卖了一亿双他就跟你说这个鞋很好我卖了一亿双就是复读机嘛对然后你就会问他为什么这个鞋稳呢你产品上有什么特点吗他讲不出来的就反正能让你稳
[00:32:02] 不过这个可能是一个行业人才的一个问题是看到这个采访书记里面讲到说商场的导购往往是一线的服装品牌先去挑最聪明的那一批剩下的那批才去做什么儿童鞋服这块而且就是童服也比童鞋更优先等于到童鞋这里确实已经是一些不太好的导购才做的对这个跟价格其实也有关系因为过去的童鞋确实也就是两三百
[00:32:25] 包括像泰兰尼斯它现在虽然推出了很多四位数的这个产品但它主力销售的其实还是两三百三五百五百元左右的这些价格你不可能所有人都去买一千多块钱那个产品的那你对销售来说的话童服那衣服的话动动也很多会上上千的那跟那些大牌品牌来说更加不能比了那肯定是有这个主级的这个筛选的这样一个情况那讲到这个问题呢其实就能够顺着聊到这个品牌美誉度或者是能不能承接这个颇添流量这个问题了
[00:32:54] 很多的品牌在打响了名声之后其实都有这个困扰就是从红变成黑红的这样一个问题泰兰尼斯这个争议呢就是因为他有了一个广告语叫做工作上沉闷您照顾孩子的小脚我来守护说实话我第一遍看这个广告的时候我没有理解第二遍才盖到了这个里面就是非常中国的人情世故的这个感觉对就是我觉得可以首先明确一下一个点就是泰兰尼斯为什么要做这个广告
[00:33:21] 他卖的东西其实又是很明确的他不是个品牌广告他卖的东西是他的礼品卡就他最近推出礼品卡这样一个新的产品我觉得这个方向实际上是对的有些朋友你要送他小朋友的东西其实很难送对比如说你要送他乐高你可能还要问他他比较喜欢乐高的哪个系列之类的对你不能送一些很大件的东西然后其实会对对方产生一些困扰
[00:33:42] 然后呢其实高频需求的是衣服鞋服是很高频需求的但是这个往往是最不能乱送的最不能乱送的东西你送小了就是所谓的这个中国家长就只管贪大买大对吧你送小了就很尴尬然后你送重复了也很尴尬那么你送给他一张卡实际上是很方便的一件事情你就自己去买吧不只是泰兰尼斯很多
