Vol.96 机票价格为什么变化多端？
[00:05:13] 然后如果你是对应情况的消费者你就被限制了只能在这个格子里面在这个细分市场里面买机票这些格子里面有一些还是比较可以理解的就是比如会员或者什么儿童票之类的另外像出行时间点比较好的机票一般也比较贵也不用起早摸黑了这个也比较好理解但是我作为消费者的话总会会想办法来跳出航司给我们事先设定的这些格子这些限制尽量去找到更加便宜的机票
[00:05:40] 那航空公司能怎么来实现它这种所谓的三级价格歧视或者说是市场区隔呢怎么操作这个操作确实有一点难度在实际操作里面航司也是摸索着来的它会利用已有的一些消费者信息比如说你之前的一些订票记录会限制披露给你的市场和价格然后有些时候OTA的数据也可以拿来用
[00:06:02] 那你看来看去在不同平台上都是一样的价格你也不太知道自己被分门别类了但是你实际上只能在这个格子里面做选择你也跳不出去
[00:06:12] 那利用这种消费数据来做市场区隔呢实际上也就是所谓的大数据杀熟的一种方式只不过这个做的就比较现代化也比较绝了这个大数据杀熟因为老师后面还会详细的介绍我们这边先放一放那除了市场区隔以外呢消费者还会面临所谓的二级价格趋势我们再打个比方假设你现在可以选择两个不同的价格价格一是不能托运行李价格二是可以托运行李
[00:06:38] 这个时候如果你必须要带一个40斤重的箱子回家那个航司哪怕给你选择的自由你可以选择一也可以选择二但是你这个时候一般来说你也会选择二因为它可以托运行李但是你如果一怒之下决定我不带这个箱子了那你其实也就可以选择价格一了这就是所谓的二级价格歧视比如说商家提供一组不同特性的产品消费者可以自行选择购买
[00:07:04] 这个听上去好像和这个三级价格歧视有点区别但是听上去又好像没怎么歧视你能不能具体解释一下这个其实是二级价格歧视比较有争议的一个地方因为目前国内的教育课书对于二级价格歧视的解释往往是落在所谓的数量差异上面比如说你买一件是原价买两件是打八折这个确实是二级价格歧视最常见一种方案
[00:07:29] 不过总体来说二级和三级价格歧视的核心差异应该是二级价格歧视的商家会制定不同档位的价格让消费者自由选择而三级的商家呢是直接把消费者和这个价格匹配进了一个档位里面你没有跳出这个档位选择的自由就是选和不选的这个区别那么还是举个例子给我们大家说一下会相对比较好理解一点那我就再举一个例子现实生活中可能不一定成立
[00:07:57] 假设我不是东方航空的会员然后我去买票的时候呢东航会给我一个价格档位一档是会员价一档是非会员价并且告诉你说会员价可以便宜50块那我可以选择为了这50块出卖我自己的个人信息然后这个航司呢就通过二级骑士损失了50块但是多了一个会员之后呢东航可能会改一个要求他说你在我的官网上订票必须先登录
[00:08:24] 这样子登录完了他就知道是一个什么样的会员要买飞机票了然后就直接给了我一个价格我想用其他渠道来比比价但是因为用户是实名制的这个信息其实在后台里都是打通的你发现其他渠道并没有更便宜最后只好回到官网付了钱好似就实现了所谓的三级骑士所以你讲的前面那个一半就是一种二级骑士的方式后面一半是三级骑士的方式这个可以听得出是一个选择的区别
[00:08:50] 但是好像实际的操作里边航空公司会把二级和三级都混合在一起用吧对的其实实际操作的情况比这个所谓的二级和三级要更复杂一点就是它只是一个非常简化的一个模型我们再回忆一下就是二级的策略核心就是能不能通过前期的洞察来设计出一个足够合理的价格体系然后让消费者愿者上钩自己觉得自己应该属于哪个体系去哪个体系里面付钱
[00:09:18] 而三级的核心则是通过比如说尽量合理的策略或者说更多的数据尽可能防止高价值的消费者去买低价票让你不得不花高价钱所以就是一个引导和限制的这样两个动作对的
[00:09:35] 我们前面花了点时间讲了两种价格歧视这个概念上可能比较花哨也比较复杂但是其实就是把一些情况分门别的又简化了一下没有关系之后介绍这些策略就比较容易听懂了我们之后介绍一个策略叫品牌运价和拆包运价的关系这两个名词乍一听好像能听得懂但是我感觉其实你还是需要解释一下比如说什么叫做拆包对吧其实
[00:10:00] 我先说所谓的品牌运驾品牌运驾其实就是大航空公司的传统的服务策略
[00:10:06] 比如说你买张机票以后你就可以托运你的行李然后飞机上给你发饭吃然后你也可以比如说用免费或者说比较低的价格来做退改签等等等等但是拆包运家呢就是把除了飞机座位以外的所有其他的服务都拆分出去买这个就涉及到航空公司里面比较专门一类就是所谓廉价航空的定价策略廉价航空就直觉上就觉得他们是很会定价的那种公司
[00:10:31] 那如果说价格其实是一种基于所谓需求洞察设计出来的差异化定价那么拆包运价其实也可以算是一种差异化运价但是它是基于服务组合设计的那既然是拆包呢整个票价组合结构就可以变得很灵活了比如说收费项目就可以包括保险啊退款钱的费用啊超重或者额外的行李啊餐食饮料啊贵宾休息室啊优先安检优先登机机上WiFi娱乐等等反正能卖都卖
[00:10:59] 另外就是传统航司对于像经济舱的不同作为比如说靠窗的位置靠走道位置或者说经济舱的头牌和紧急出口牌一般这个价格是不太做限制的就不太会变的但是廉价航空就可以大大方方的去卖这个所谓的腿部空间袁老师刚才讲的这个拆包运价的话我理解其实补充解释了我们经常遇到的一种情况就是我们在网上订机票
[00:11:23] 从AD到BD点完了之后会看到那么多价格差异非常大的这个机票的价格的这个方案这个里边有一部分是这个航空公司之间的一点区别有一部分是我们刚才讲的价格歧视所导致的这个票价差但是其实还有更大的就是这个拆包运价导致的这个票价的差异因为其实你在不同的选项里边你买到的这个服务或者说是权益是完全不同的那这个的话廉价航空就是个最典型的代表
[00:11:51] 就你自从坐了廉价航空才知道之前自己在飞机上面享受了那么多的服务原来都可以单独定价的但是有的时候真的架不住廉价航空的这个折扣真的是非常惊人啊比如说可以做到单次机票只要什么9块钱啊甚至有那种什么零元机票这种东西都会出来零元机票或者所谓的超低价机票其实是个非常好的卖点但它一般来说附带的限制条件也非常的多首先因为都拆包拆出去了所以各类服务基本上都没有嘛
[00:12:20] 其次它的航线和时间一般也不好时间不好比较容易理解航线不好的话其实主要是方向不好因为超低价机票经常出现在跟热门的流动方向相反的方向那比如说我现在打开春秋航空的网站来看看特价区的情况
[00:12:38] 比如这个航班是从长春到上海的因为东北是所谓的人口流出大省外出务工的人比较多那这班航线在整个二月份的最低票价是199但是它要出现在2月22号然后这个二月的上半月基本上都要500块但是反过来说上海到长春那整个二月的票价基本上都是200到300
[00:13:01] 可以想象在现在这个时间节点从长春到上海这一程航空公司应该是挺容易把飞机塞满赚不少钱的但你返程从上海到长春的话这个上座率就堪忧了在民航业界会把这种情况叫所谓的单向航班但是这个飞机的路线是相对固定的这个一来要有一回就算你返程不赚钱你也必须得飞因为你得飞回去赚第二天这个去程的这个塞满的钱嘛所以说
[00:13:28] 单向航班这个返程会比较容易出现所谓的高折扣机票甚至是超低价那航司是希望用这种方法先保住一部分上座率那如果低价票销售情况特别好呢它也会马上去调整价格然后转为保证整套航程的一个收入水平这个其实就是一个根据供需关系灵活调整的一个案例吧
[00:13:50] 当然啊这个超低价票如果大家比较熟悉的话一般也不会那么多就是你就算是一个比较空的航班它也不可能全都是超低价特别便宜一般都那么几张对吧我就听一家廉价航空公司说过所谓的零元机票看上去像是一个单纯的福利但其实呢他们经过非常仔细的测算还是能做到赚一点点的
[00:14:11] 那如果航空公司还希望整架飞机有比较合理的利润空间呢就要想办法做更复杂的成本控制大致可以概括出几个原则叫两单两高和两低啊又出现了这一期这个专有名词有点多啊岳老师继续解释一下吧嗯好这个其实不是什么特别的专有名词像两单其实就指的是单一机型和单一舱位那连航机队呢基本上是以一种机型为主
[00:14:37] 这样子可以说有效地降低采购和租赁的成本而且在培训飞行员和维修上面也可以保证大家都集中精力只实行一种机型然后随时可以换到另一台飞机上面而单一的经济舱布局还可以让机内多出很多座位比如说如果你把整个飞机都做成只有经济舱的话机里面就可以多出15%到20%的座位数这个是所谓的两单
[00:15:03] 约老师刚才讲的这个培训和维修我正好有点感触因为我最近刚刚看了一个怎么说内地的航空职业偶像剧我不知道有没有朋友看过里面也会讲到说这个航空公司进入了一个新机型的话会花很多的精力这个送飞行员包括这些地面的工作人员去培训所以这个成本其实还是蛮多的
[00:15:26] 那两单讲完了我们再讲两高两高其实也很容易理解就是高客座率和飞机的高日利用率比如说春秋航空它可以做到连续五年保持它的客座率是在92%以上非常高的水平这个飞机就塞满了这个疫情期间虽然有下降但是还是比行业内平均水平要高的另外春秋的在测飞机就是他们所拥有的飞机它日均的利用率在11个小时左右业内的平均数字是9个小时
[00:15:55] 然后早上8点之前和晚上10点之后春秋的航班占有率显著高于同行感觉联航的机组成员真的是很辛苦旅客也挺辛苦的两高一讲最后的两低其实是销售费用低和管理费用低很多的联航公司都是以网站直销为主要的销售渠道它不太走所谓的分销体系也省了很多佣金和外部的一些系统使用费
[00:16:20] 那低的管理费用呢对于公司的财务和业务的ERP一体化这个也会降低一些人力成本和日常的费用其实刚才于老师讲的呢更多的是航空公司的经营话题跟这个票价本身关系不是特别大但我们还是要先了解了航空公司是自己怎么省钱的才能知道廉价航空到底怎么能够维系或者说是依靠这个超低价的这个机票来赚钱呢
[00:16:49] 好到这边呢我们就要来讲一讲前面袁老师提过一嘴的这个大数据杀熟的这个问题比较常见的一些关于大数据杀熟的说法就是在携程或者是别的一些网站上面订机票的时候会出现你搜索的时候很便宜然后付款时候这个机票变贵的情况或者你这某一个航班的机票越搜越贵那有些消费者就认为自己是被这个大数据杀熟了嗯
[00:17:14] 其实这种OTA网站上面价格变化呢相比机票本身这个定价策略要再复杂一点因为它还涉及到所谓的外部分销体系
[00:17:24] 机票价格的制定权包括折扣率固然是掌握在航空公司手里的这个我们前面也讨论了但是什么时候放出什么折扣率的票也要根据所谓的市场需求来调节比如说A航司它有一条黄金州的热门航线所以它定的最低的价格也就是买六折左右的机票但是如果这个六折左右的机票在网站上面被查询和点击数量比较少大家搜索以后普遍去买了B航司的一个同类航线
[00:17:52] 那么这个A航司就可能会考虑我放出一个更低的价位比如说4折左右来吸引客流那这种动态调整就需要OTA和航司之间有比较紧密的配合前后台的数据要能联动起来但是OTA和航司之间还有一个中间环节就是所谓的分销系统GDSGlobal Distribution System
[00:18:14] 航司呢必须要把这个价格更新到这个GDS里面然后OTA呢再去GDS上面去8星的价格那这个中间呢就可能因为时间差导致了价格的变化哇原来这个飞机票的价格我们在OTA上面搜到是一个经过这么复杂的系统里面的一个结果啊所以这就解释了搜索是便宜付款是变贵有可能就是因为你考虑的这段时间里边GDS这个系统里面的票的价格已经发生变化了嗯没错
[00:18:42] 包括你前面说的越搜索越贵有可能是类似的道理就因为你搜索的时候别人也在搜然后甚至你去搜的这个过程中间已经卖出去好多机票了那好像已经开始快速的调节价格了你觉得自己是被杀术了其实上是因为这个供给本身变少
[00:18:59] 那实际上航司也不是一定要通过GDS这种有点bug的系统来卖机票的我们前面提到了联航公司普遍愿意自己开这个网站和自己建立销售系统其实就是为了绕开GDS因为不管是OTA还是航司你每使用一次GDS也是要付钱的那你绕开它呢还能节省一点成本但是对于消费者来说呢我哪知道你这个航司网站和OTA这个搜索结果背后到底是什么样子的它本身是个黑盒嘛
[00:19:27] 对所以难怪消费者说你是杀熟他们也更加愿意相信自己是被杀熟我觉得还是因为就是相对于平时我们买那种价格比较固定偶尔才打折商品飞机票这个定价体系实在是过于灵活了而消费者对于这套策略是完全不适应的那加上分销体系里面还有GDS这个流程上面绕不去的黑盒以及OTA平台平时为了增力可能做了一些偷偷搭设的小动作
[00:19:54] 也会让消费者一开始有一些不信任感最终这个说法就流传开来了不过刚才于老师在讲的时候其实也用了一个词就是可能不论是这个GDS这个系统的这些复杂或者bug或者说真的是大数据杀熟这两种情况我们都很难证明也很难证伪站在消费者这个角度上面
[00:20:12] 所以这就牵扯到一个问题就是这个大数据杀熟或者说价格欺诈它的法律保护其实是很困难的我们一般来说认为大数据杀熟是一种价格欺诈其实对于价格稳定的商品来说你是不是被欺诈是很容易识别的但是对于这种价格体系本来就很灵活的商品来说就很难界定是否被欺诈了其次呢因为GDS会导致这种价格波动你也很难说它是一种欺诈
[00:20:41] 但是你消费者自己是因为被黑盒了所以不爽的那公司的解释也很难平息所谓舆论上面这些争议最后还有一点就是大数据实际上是很难长期杀鼠的因为呢如果说你长期不使用它可能会吸引你持续使用会让一点力然后呢它也可能为自己吸引来新的竞争者甚至吸引来法律的制裁然后自己丧失了垄断地位长期来看它的价格体系呢应该是回到正常水平的可能性会高一些
[00:21:11] 但是消费者呢基本上更在意的是眼下的公平和每一次的公平这个就要求立法要跟上技术发展的水平显然是很难的所以我们在这里关于大数据杀熟的讨论不是为了给大家一个结果他们到底有没有坑你而是提供一些理解这个过程的角度吧那不仅是飞机票大数据杀熟其实本身就是一个很复杂的问题我们只是展开了一点点我们在show notes里面放了一篇文章叫做变息大数据杀熟
[00:21:39] 也欢迎大家参考看看自己原本对这个问题的想法是否全面
[00:21:45] 聊到这里呢我就有个感触就是定价真的是商业活动当中最最重要的一门学问你看为了卖飞机票这些航司真的是挖空各种心思他们心思其实不止价格因为卖机票的时候还是有可能出现另一种特别的情况就是超售就是说假设这个飞机上还是有200个座位但是开始登机之前这个航司发现自己卖出去了210张票对对对还有超售这件事情而且超售经常会引起一些矛盾吧
[00:22:15] 比如说2017年有个经典的案例就是美联航他从芝加哥飞往路易斯威尔的一个航班上面有四位乘客是被随机挑出来让他们放弃座位的然后其中有一位华裔的医生说自己要赶着去做手术结果还是被安保人员强行拖下了飞机然后引起了舆论的一个轩然大波当时我们看到有个美国人的吐槽就是说美联航这种做法是打不过竞争对手就打顾客
[00:22:39] 其实美联航这个案例都不算是所谓标准的超售因为当时飞机是临时要带四位机组成员去这个目的地直飞其他的航班也就是说原本这个座位数和旅客是正好匹配在一起的但是要把这个匹配好的这个旅客里面挤掉四位那其实超售更常见的情况就是我们前面说的飞机票多卖出去几张然后呢机组成员会在登机前面用贷金券或者现金之类的补偿来鼓励乘客改进下一班
[00:23:07] 在美国乘过飞机的朋友可能多少见过这种情况
[00:23:11] 那航空公司愿意这么做呢目的当然还是为了尽可能多卖票背后还是有一个数据的能力因为它可以比较准确地预测出来一个航班里面可能会有多少人取消据说根据统计平均每一趟航程中间大概会有5%买了机票的乘客最后是误机或者在最后时候取消的当然每个航空公司内部都还是有自己的数学模型会根据航线时间机上成员构成等等因素
[00:23:39] 预测说大概会有多少乘客物迹然后根据这个指标去做一点点小小的超售所以超售呢一般是不会被发现的而那种因为超售而支付补偿款或者贷金券的情况其实也就是除了一点点小偏差也是比较罕见的而且这点补偿也是在这个他们的模型里面的吧就是在整架航班满员然后按时起飞带来的这个收入和利润面前这些贷金券或者是几百美元什么也不算什么
[00:24:07] 当然航空公司还是会想办法把这份补偿也尽量压低的所以现场一般会采用类似近拍的模式就是由低到高可能是先送你一些贷金券或先送你一点积分然后再是现金一百一百的往上加钱愿意接受这个价格的人基本上都获得了自己心目中那个差不多得了的收益水平而对于航司来说这个价格就是能让这个人放弃作为所支付的一个最低成本了
[00:24:34] 哇真的是把这种定价的灵活发挥到了极致那和整班飞机超出相比另外一种情况就更常见了国内也很常见就是只有经济舱部分超售了那这时候呢有一部分乘客就会获得免费升舱的机会这种情况下面机组的成员他这个主动权就大很多了嘛而且商务舱头等舱临时加一个人其实对他们这个航班整个影响不大最多就是损失一份飞机餐的钱是的所以说挑谁来获得免费升舱的机会呢也会有一点讲究
[00:25:04] 比如说高等级的会员或者是你是一个买了全价经济舱机票的旅客或者你是一个比较晚到的旅客你备升舱概率都可能会稍微大一点那航司呢主要是希望用免费升舱既解决这个超售的问题又能培养消费者的忠诚度
[00:25:21] 讲到这里不得不再次感慨一下就是卖飞机票真的是学问太深了首先你根据每个消费者的情况和需求的偏靠这个价格本身就会有很多的市场区隔对吧其次呢廉价航空它去掉了一些机上的服务所谓的拆包运价就能把票价进一步的做低然后上座率不高的一些航线还可以用超低价的这个飞机票来做一些引流的促销
[00:25:46] 另外在消费者真的买票的时候还会要加到OTA网站这一层参与方这就会出现像大数据杀熟这样的一些争议而且除了票价以外航空公司还要考虑上座率的问题所以还会有超售这样的一些情况请人免费的改签或者说是申仓这一切其实都是因为航空公司要考虑的至少是这一次飞行整体的收入和利润水平要尽量保证
[00:26:12] 此外他们要考虑的东西实在太多了比如说还有机组人员怎么排班日常运营怎么效率更高如果出了突发状况怎么应对新航线怎么开发怎么规划然后还有燃油价格的波动等等等等这些都是非常非常复杂的问题也是所谓的运筹学领域的问题运筹学是近代数学的一个分支主要就是用来做各种算法的其实航空业可能就是运筹学应用最广泛而且商业化程度最深的一个领域了
[00:26:42] 到这里呢我们基本上把飞机票为什么这么复杂大致的给大家介绍了一下真的只是摸了一点萌那我们最后再回到春运的视角下面来讨论一个小问题就是同样是有限的运力下面来运人为什么火车票的价格体系和销售策略远远的没有飞机票那么复杂这其实是个经典问题大家想一下一张从北京到上海的高铁二等座车票标准售价是553块
[00:27:09] 经负高铁全长是1318公里平均下来每公里的票价就只要四毛二根据世界银行的统计分析这个票价是相当于多数其他国家高铁基础票价的四分之一所以说不仅是稳定而且这个价格还很低但是跟其他国家高铁有显著不同的中国的铁路客运就是有两个基本特点一个是中国的铁路是实际由国家垄断的开发建设和资源调配
[00:27:38] 第二就是它是长期坚持所谓公益性运输的所以很长一段时间里面我国的普通旅客列车就是以前那种绿皮车它的价格是非常非常稳定的低价那么这种高投入和低收入在经济层面显然是划不来的日经月累就会导致这个铁路公司的负债水平一直往上涨现在这个负债水平已经超过6万亿了那这种负债的话其实本质上就是一种政策的红利或者说是补贴了
[00:28:06] 但是即便是这么低价它肯定没有办法解决春运这种刚需的问题因为它是突然暴涨的一个刚需那你这个稀缺的供给过多的需求其实用价格工具来调节一下的话是不是会更加有效一点比如说黄牛票是吧对对对其实这也是一个很经典的话题其实在2000年代的话国家有过六次在春运期间给火车票涨价的尝试不是没涨过价涨过的
[00:28:32] 一般来说是硬座涨15%握铺涨20%但是同期的春运数据显示这种涨幅其实根本没有造成铁路上面客运总量的下降说明春运实在是刚需中的刚需在大幅偏离成本的低价上面你做这种幅度涨价其实还是完全在消费者承受范围之内的就是这个价格的指挥棒根本就指挥不动春运的人们是吧
[00:28:57] 再反过来其实也说明了为什么我们对飞机票的价格变动会这么敏感就是因为它的原价其实不在一般人的日常的习惯承受范围之内但是这个负债水平一直这么高其实也不是很好所以说从2013年铁道部公司化改制以后呢关于运价的这个日常化改革就一直是所谓的社会焦点也是很难的一个难点最早呢其实改的是货运的价格不太改客运
[00:29:23] 然后到2016年才开始小幅度的放开动车组的客运价格浮动空间上下可以浮动10%从这个动车组改起其实也是向航司看齐了因为在很多的热门线路上面其实飞机和动车高铁已经有了一个直接的竞争关系的他们这个价格水平的差距也不是那么大了这里要插一句其实中国的机票价格在1990年代以前也是由国家统一制定的价格
[00:29:52] 但是之后呢实施了所谓的国内航线运输价格市场化改革这就一步步把这个票价的下浮空间是完全打开所以会出现所谓的0元级票嘛那上浮空间呢也限制在了相对合理的25%而且在比如说有多家行丝竞争的航线上面每个行纪还会开放一次全价票价格的调整窗口那这样市场化口子就放的相对来说比较大了
[00:30:15] 也有利于航司利用价格作为一个重要的竞争手段来保持整个市场的活力说回铁路客运价格的加速调整还是要从京沪高铁这个公司上市以后开始
[00:30:27] 在2020年底京湖高铁正式引入所谓浮动的票价机制他们是希望通过价格引导来做到平衡客流平衡车辆的运输能力也提升运输效率这就是我们一开始预想那个方案的另外呢对于独立运营的一些区域铁路以及一些引入了民营资本合资建设的线路呢也会考虑适当的放开定价权也就是说我们不一定会看到跟飞机票一样贵的火车票
[00:30:53] 但有可能在未来看得到跟飞机票一样票价灵活变化多端的火车票嗯
[00:30:59] 之前人大经济学院教授聂辉华写过一篇文章他的标题就很直接就叫高铁实施价格歧视是市场化的必有之路他认为市场经济在本质上就是一种歧视经济但是要做到在保证商业利润和保障民生之间实现合理的权衡这显然对于市场提出了更高的要求顺便说一句在学术刊物里边使用什么价格歧视之类的词没什么问题但是如果真的要
[00:31:28] 对大众来宣讲这样的一些市场化的改革的话最好要换一些不那么敏感的用词
[00:31:59] 感谢收听这一期的商业就是这样
