Vol.244 迷失在税中的小餐馆
[00:15:40] 那我觉得要讲清这个影响呢可能要先对此前那种小餐厅小餐饮商家实际的交税的情况这个实践啊有一个大致的了解简单粗暴的一句话来总结就是过去的这个小餐厅就是不开票就不申报这个大家应该有体会比如你去餐厅吃饭的话如果是一个工作的宴请或者是比较大的一个圆台面那你有可能还会要求去开一张发票对吧如果你有需要的话但如果你只是家里边个人的这个聚餐或者跟朋友
[00:16:09] 那个吃个饭或者是你只是去路边吃一碗兰州拉面或者平台上点一碗猪脚饭你一般不会开票吧或者你点一杯奶茶就是你实际上可以这么做但是很少人真的会去这么做或者就是有一些反向的思维就是比如说你真的要去开票的时候你也可以避免就是在这些地方消费比如说你真想去开票你可以去麦当劳麦当劳可以开票的很方便大家可以去试一下甚至我觉得如果有朋友有经验的话
[00:16:38] 我记得过去有一段时间那种餐厅都会比如说送你一盘果盘送你一杯可乐然后你就不开票了嗯还有一段时间就是因为那个增值是发票就是有一段时间是有奖的所以大家就是开票热情有点高是是是就是有一些斗智斗勇的环境这个跟银改增也是相关的嘛那么为什么这个餐厅都倾向于不开票呢其实也很好理解就你一个小餐厅其实你要交的税啊主要是两种一个小餐厅的话一种就是增值税目前来说一种就是企业所得税
[00:17:07] 那么增值税呢是根据你企业的收入来收税的那这个增值税它根据不同的规模不同的行业有不同的这个税率嘛大家都知道后面我们还会重点的展开啊这个还蛮重要的那企业的所得税呢其实是它这个税基啊是你的收入减去成本得到了一个它认为就是利润然后这个利润再乘以一个税率来收这个税
[00:17:26] 那税收的申报呢基本上是按照这个季度来的也有是按月来的那每年的一四七十这四个这个月份就来申报上一个季度的这个增值税这样的部分所以说不管是企业所得税还是增值税的部分就收入都是一个很重要的基础嘛就是你收入多大就决定了你这个税基是多少那就是尤其是在增值税这个部分的话你开不开发票其实就
[00:17:51] 影响了你的收入部分到底是多少这个判定对就过去的话其实你的这个收入主要的这个佐证就是看你这个增值税发票加在一起多少钱那实际情况当中我们刚刚讲到的就是很多的比如说路边的一些小餐厅还有一些美食城里面的档口他们几乎就是零声爆就没有开过票这个我最近看一个就是很有名的就是讲餐饮业
[00:18:12] 商业模式判断的节目叫做勇哥说餐饮对对对他在里面去算那个商业模型的时候我一开始就很疑惑他为什么不算税然后后来发现好像是这么一个逻辑就是不是特别是在意这个税的部分是而一些就是稍微规模大一点但是非连锁的一些餐厅呢他其实他们肯定要做申报他不可能也那个但他申报的时候一般也会把自己的收入少报一些这个是比较常见一些情况
[00:18:35] 那这里面呢就有一个很重要的一个点就是他除了降低这个收入的这个基数啊就是这个乘以税率的这个基础以外还有一个非常重要的考量就是这些稍微大点的餐厅啊他们一定想要自己避免成为一般纳税人嗯这个概念我自己知道但是我觉得你可以跟大家解释一下就是一般纳税人和就是还有非一般的纳税人吗小子技能纳税人
[00:18:58] 这么理解吧就是我们前面刚刚不是讲到增值税它的那个税率是根据你的行业和规模有不同的吗这点就非常重要那么规模就是个非常重要的点规模怎么算呢如果你的一年的收入是低于500万元的话那你就属于小规模纳税人那你在餐饮行业里边的增值税的税率是3%而且前几年因为这个国家的这个优惠的这补助的这个政策你是1%很低的那如果你超过了500万一年的收入的话那你就变成了一般纳税人
[00:19:28] 就是它是小规模和一般的这个区别那这个税率就是6%那其实就比较容易理解如果是一个比如说小的奶茶店我们算个简单算个账对就是比如说你一年的流水也就是五六十万那你过去可能就是不交税现在交税理论上也只交1%那就是比如说
[00:19:48] 如果按照60万来算的话就是五六千块对六千块钱一年的这个税但如果你比如说是一个相对来说有点规模的餐厅比如一年做五百万那你正好就卡在这个小规模纳税人和一般纳税人这个门槛上你稍微多一点点然后你要交的税就更多了其实里外里可能有5%左右的一个差别
[00:20:07] 按照现在的话你5%吗5%乘以500万的话25万一年少赚25万就挺厉害了是吗而且我们知道这个观念就是餐厅的净利润其实是非常薄的我们知道毛利的话有可能你按照比如说50%60%70%根据你不同的这个餐饮的品类都不太一样但你的净利的话我觉得能做到10%但毛利做的那么高是因为他后面要扣了别的东西更多他其实
[00:20:30] 尽量在保净利的部分是能做到10%的其实已经蛮不错了对啊然后10%你再砍5%对那其实一半的利润就出去了我们同事推出他在调研里面就了解到比如说一家普通的这个火锅店你一个季度的流水其实是比如200万元那他之前这个申报那个就什么申报税收的时候他就会申报120万到130万左右然后这样四个季度加在一起就是500万以内
[00:20:54] 对就稳定的让自己在这个小规模纳税人这个区间里边这个好像跟我们之前的这个预警不是很一致我们还这边还需要说理论上这肯定是不合法不合规的但是我们知道其实税收啊就是他除了这个法律法规的这个这个文件以外就成文的这个信息以外执行也是非常重要的一个点
[00:21:16] 就是这个具体的税务的执行操作这个部分是他整个体系里面本身就非常重要的他怎么来执行和怎么来规定就必须结合在一起看那在之前的话其实税务部门对于这种小微的餐饮企业就执行上面我们简单粗暴一点就是睁一只眼闭一只眼打引号的他的工作重点就不在这个上面可以这么来理解简单来说就是一个城市有
[00:21:37] 几十万加成甚至更多你如果一加一加原来的方式一加一加都去查或者说你抽一部分抽查其实对他来说工作量还是很大对啊这是不现实对没有必要而且有很多时候而且有你从这个执行的方式来看也能看得出整个国家对于这个行业里面比较小的这些部分他是怎么一个态度对吧就实际上我有可能就是先放一放休养生息一些另外一个方面也要说的就是
[00:22:01] 我们刚才讲的这个好像听上去这些餐厅都是比较主观的嘛对吧但实际上很多情况就是那些餐饮的小老板他是真的不知道怎么交税这件事情看勇哥我觉得很多人甚至根本不知道如何挣钱是是真的在他们看来就是开个餐厅或者就是卖点吃的就是对吧我有个地方然后做菜收钱就这么简单原来是收现金现在现金确实不是很方便就收二维码甚至大家如果了解的话就是有很多路边的一些小餐厅他就是个人
[00:22:30] 他都不是个体户嗯对就个体户你好歹是一个商户对个人就是就是在税务上面差别还是蛮大的还是蛮大的就是他就有时候他收的是个人的收款吧嗯这种就是真的很多的你不要以为每个人都是开了就是有个个体户的那个下次大家可以去扫码的时候看一下你到底付给谁啊对那你就一个自然人嘛就更加没有什么什么增值税怎么着怎么着了这些事情了
[00:22:53] 所以就是会出现你开头说的那种情况就是专门下一个豆包然后问一下我要交什么税真的很多人都不知道我有一次在那个路边吃一个吃一碗面的时候就听到两个老板在讨论这个事情他们在讨论豆包的结果吗没有他就在讨论这个我要开个体户还是开个独还是开这个有限公司就他在说这个税的事情
[00:23:15] 就是一些原本你认为他已经知道的信息其实对他来说也是新的信息完全是新的他都不知道怎么来办他没有门路他也不可能就直接去找一个报税的公司等等的这对他来说都是很新的所以像你刚刚开头讲到的这个豆包来问他交什么税实际上是非常现实的一件事情这总而言之过去的小餐饮其实是有点说有利于整个纳税体系之外的他们既没有动力也没有压力去完整的申报自己的实际收入
[00:23:41] 但现在情况就变了就比如说我们前面提到这个火锅店他现在情况就我想已经跟原来差别非常大了对他在做这个三季度的这个申报的时候其实就很纠结了因为有这个新的这个新规这个政策他知道
[00:23:59] 这个估计是不能按照过去那种什么120万130万这样来报了他就试着报了一个170万就前面我们举的那个例子实际上是实际有存在的就这个数字稍微我们模糊了一下他过去有可能实际进行是200万然后他按照120 30万来报他这次试了一下按照170万来报最后收到了这个税务专业的信息这个系统收到的数字是210万你就是你至少得报210万那最后就是得要补税重新申报
[00:24:27] 但是就是它成为一般纳税人的风险就会比原来更高一些那前面是讲的平台税收新规对于小餐饮的影响到底有多少我们已经讲到一些应对的部分了那我们再具体把这个部分展开一下吧就是毕竟之前是没太多人管现在一下子要标准化透明了还要多交税感觉这个切换是比较大的是不是报税公司就是多做了一大笔生意
[00:24:51] 也肯定要有这个需要的啊不过在这聊这个之前我要打个补丁啊就是我们前面好像聚焦在一些非连锁的餐饮上面但实际上这一个新规对于连锁的品牌影响也是不小的有的品牌据我们了解其实是接到了要补缴过去几年的这个税款的这个通知的哦以下查很多年也还是有的那回过头来我们来看一下小餐饮的这个应对啊我们主要讲三种吧其实前两种是开头的时候我们举掉过的例子因为是比较
[00:25:18] 这个吸引眼球的挺特别的啊第一个就是下架平台上的套餐第二个的话就是这个美食城的这个小档口要集中的去办营业执照这个怎么回事第三个呢实际上之前没讲到就是餐厅的老板在想方设法的开发票我们先从最容易理解就是这个下架套餐来讲起就是既然这个线上平台的所有东西都会被精准的报送给社务机关那就是
[00:25:43] 流水尽量不要走线上是这个意思当然这里面有很多取舍和纠结的部分因为你在平台上上套餐本来你是有很多指望的对吗很多餐厅本来你在平台上面就是一个重要的引流的这个措施而且不单是套餐本身啊就是如果你想要比如说上一些榜单或者说是获得更好的这个推荐的位置那你就是需要有可能在这个平台上面有一些套餐的
[00:26:06] 或者是有一些优惠的这等于一个套餐并不是说一个完全是创收或者引流的方式它甚至就可以算是一个类似于投名状的一个东西对你就完成平台的任务抓手对不然凭什么给你来上榜单呢当然据我们了解现在这个事情现在也未必那么挂钩了就是那些榜单不是说一定要跟你在平台上面投入多少相关的但是的确有很多餐厅会权衡一下自己的客源就如果我完全的下架了我是不是这个
[00:26:29] 真的流水就变少了那我为了这个而少浇的水有点都不尝试大家要来平衡一下就反正他看情况有的时候上一下有的时候下一下对这个东西跟这个旺季和淡季也有相关我们知道有些餐厅的类型其实比如冬天比较火热的那么他有可能在某个时间就夏天都完全可以不用上或者是他本来就很热的时候就线下客流很多时候他就不用淘餐了因为本来我就有很多客流
[00:26:51] 它可以限制套餐量对它有各种各样的方式来操作但感觉就是听上去美团在里面受伤又比较大会有一些冲击会有一些我们看到一些事情但是总体情况我们现在不知道而且这个冲击可以分两个部分一个部分我觉得是比较好的部分就是刷单这件事情其实大幅的减少了刷单这个事情我大概知道是怎么操作我觉得你可以跟大家再解释一下是怎么弄
[00:27:15] 很简单吧就是你商家上了个套餐那么这个套餐肯定希望在平台上面请的这个销售数量是很多的然后他就自己去下单核销然后实际上就没有卖实际上就没有卖就是对就是为了充这个相当的数字但税务部门才不管你报了这么多就是我都要收税对这个对他来说社税信息里面都是你的收入这其实跟那个电商平台的那个就是不交税完全是一个逻辑一个逻辑就是把这个虚假的这个繁荣给戳破对那实际上这些这个刷单的需求就会肯定的这个减少了
[00:27:44] 那另外一部分就是我们前面讲的实际的这个真的套餐它会减少因为有些人会下架嘛那这个呢其实对于比如平台我们知道下面有一些BD嘛这些商务的这个运营的人员他们主要工作就是劝这些店去上套餐或者上平台他们是根据一个区域一个区域来分的嘛在我这个区域里面有多少平台在我这边上架多少套餐然后卖出多少份多少的营业额是他的一个重要的KPI那么对于这些那个商务来说他们的这个业绩肯定会受影响的
[00:28:13] 据我们了解在有的这个城市有的就比如像北京啊一些大的这个城市里面有些区域啊这个鼻涕他们会收到一些通知就是说请你们来这个收集一下区域内辖区内的这个商家他们下架了多少的这个套餐是因为这个税的事情那报送上去但至于这个具体报上去之后呃有没有就是比如减轻你的这个kpi的压力等等这个还没有但是他们确实是意识到这样一个情况
[00:28:37] 那对于这些商务来说肯定是我下载了这个店的套餐那我只能是尽量想办法的拓展一些新店完成我的指标就是这个整体来说都比较好理解就是他的逻辑还是比较顺那你说这个美食城的道口是集中办营业执照就是真的这个美食城里面没有任何一个个体工商户在炒菜吗都是一些个人在炒菜是这个意思吗我觉得是这样就我讲这个美食城的档口啊其实就是指那种比如说一层楼里面比如说在一个
[00:29:04] 原区里边然后他们全都是做外卖的或者说是只有骑手才能知道我的餐从哪里去我自己走进去根本不知道那个地方是吗有的是这种有的那其实还是有人来搪使的或者来取钱因为旁边就是一些这个办公楼啊甚至一些工厂等等其实也有的这些档口他们确实有很多是没有那个营业执照的他们就是个个人主要因为就是他们这个这个其实营业执照就是挂靠在美食城这一张
[00:29:29] 照上面的就是我觉得可以类比一个情况就是菜场和你们菜饭的关系对对对就是这样就是这个概念因为菜场跟菜饭它其实就是租一个地方它就是一个分租的一个概念对它就是这样一个概念所以呢就在这个问题就是怎么样就是在过去零申报的那个情况下面这大家就无所谓本来就零申报嘛就是美食城也无所谓然后就各自商家也无所谓但我们知道有个问题就是这类的这个美食城或者这种就是当口的聚集区它的
[00:29:56] 外卖的比例是非常高的基本上你可以就平台上的收入就等于你所有的收入那如果你现在都是涉水信息都要报过去的话大家发现就是这个地方的相关的流水非常高然后你又不申报对就是你这一个美食城的这样一个营业执照下面流水很高肯定超过500万一年
[00:30:14] 然后你现在就是一般纳税人摊到每个个人上面都是一般纳税人这些小档口是完全受不了的所以才会在调研里面发现这些档口开始紧急的给自己办营业执照就不管是办成个体户还是个独大家都变成规范的纳税个体但是有个问题就是餐饮的营业执照我们知道也不是你想办就能办下来的过去档口之所以不申请其实也不是说他不想申请有的人也去试过但是他有很多硬性的条件
[00:30:40] 比如说你的面积太小了如果你小于六平方米的话在很多地方都办不了的那些档口就可能就是这么小就是过去或者说我们也可以严格来说就有可能是钻这种空子对吧然后就大家搞一个美食城就大家都很好做生意对甚至是还讲一个问题你要有营业指导你就要有地址你地址怎么写就很存在这种非常现实的问题但是现在新规就逼着他们要去把这个过去的这个这个灰色地带给补上那
[00:31:07] 说实话据我们的了解就催促他这边调研的情况就是各凭本事了能办得下来就办得下来办不下来的确实有些店就不做了那你前面还说到一种叫想方设法开票这开票不就是自己开一下就好了吗就是那想方设法到底是想在哪里呢这里我觉得要解释一下就这个开票首先不是说餐厅给你自己的就是那些这个人家
[00:31:30] 这个食客吃完了之后给他开票不是这个开票就是这个收入反正人家都已经掌握了你开不开票都一样其实已经是变成这个问题了它是给自己买东西的这个产生的成本来开票就是已经不是在增值税的部分是在所得税的部分了对对对这个我们前面不是提到餐厅还要交这种税是企业所得税企业所得税是这个收入减去成本再乘以一个税率那如果你的这个一年的利润没有超过300万的话这个税率一般是5%在这个餐厅里面
[00:31:58] 所以说这个问题就在于就是说我能不能把成本的部分尽量真实的就是反映出来比如说它是一个比较高成本的话我其实最后的利润比较少那我的所得税这个部分就会变少如果开过公司的朋友应该比较熟悉就是要不停的开票的想这种各种办法没有开过公司的朋友也可以了解一下这种事情呢就是它对于小餐厅来说实际上是挺麻烦的因为餐厅最主要成本就是食材嘛然后这个其实食材不太容易开票
[00:32:23] 这个我还专门去了解过比如说农户出售自家生产的食品的话是免税的但是你上一集你去采购的人去抵那个税是非常非常复杂的现在我们知道有一些如果你大家知道的话有些小餐厅他们会用一些比如说快驴就是餐饮的供应链的平台因为它可以开票是这个意思吗对你可以理解为他们的外卖平台一端的外卖平台这种概觉你在上面买食材可以开票的
[00:32:49] 这个部分可以解决但是有很多的食材你是不能在快乐上面买的还是有很多的很大一部分你要去菜场里面市场里面买的就像你前面举的例子这个菜场菜场里面也都是个体对这个开票的这个情况是比你更加的原始的你肯定不可能开的出票了这个部分就会损失很多所以他们现在学着很多事情比如说你买个手机买个办公用品这个就是
[00:33:14] 这个电信的这个宽带费啊手机费啊甚至出去吃饭啊我能不能开票然后这些票我能够用来抵哪个部分的这个费用或者成本他都要学这个东西了理论上这些知识也可以完全外包给一个记账公司记账公司告诉你你可以去开哪些类型的票或者开多少票就是很符合你的这个实际的需求的吧但就是还是一你花了一个找记账公司的成本第二你自己还是要花很多心思
