Vol.273 英伟达则兼济天下？
[00:10:01] 和软银能源就是SB Energy一起合作来做的那么它下面有一个项目一个园区叫Pulse Pike一个园区在俄亥俄州这个项目呢总的这个规划号称是人类史上最大的一个AI的设施的建设这些规模什么多少多少几瓦这些我们就不说了
[00:10:18] 在这个项目当中英伟达付出两个部分第一个呢他直接投资了15亿美元就是他相当于是个工厂的小股东这是一部分第二部分就是更大就是这个工厂建了完了之后OpenAI要保租20年的因为这个工厂的工厂主逻辑上来说属于是SB Energy的属于软银能源的但是OpenAI我去保证我租赁这个远去20年对有这个保障之后呢英伟达再给他一个保障就是说要提供1080亿美元的信用担保
[00:10:48] 这个项目比如说欧盟要从2029财年开始要付他租金了对吧如果他因为什么原因没有付了英伟达就要兜底上线就是1085亿美元
[00:10:58] 然后兜底的车资当然也会随着OpenAI实际付出的租金逐步逐步的减少其实听上去英伟达确实比较像银行的一个概念不过1085亿美元是不是确实太多了给大家一个概念英伟达在2026年8月26日刚刚发布的新一季的财报它的季度收入又是创纪录了创纪录多少是962亿美元也就是说所谓的信用的敞口
[00:11:26] 比他单季的创纪录的收入还要多一些对他对于再下一个季度的指引就是跟这个数字基本上完全一样的他一个季度的全收入用来担保这样一个项目
[00:11:35] 需要说明的是就在财报上面这笔钱是不会计入资产负债表的因为它只是一个担保所以它会出现在一个披露就是在最大风险场口的披露里面会出现在这个部分我自己理解就是你潜在要付的钱有可能要付出去的钱说白了就是一个信贷额度就比如说这个钱OpenAI自己都出了我其实一分钱也不用出但OpenAI不出的话我都出潜在有可能要出货付对要货付这样一笔钱
[00:12:03] 那么英伟达付出这两个部分它相应获得的什么呢就是这个园区原则上就是一个纯血英伟达的AI工厂又是纯血英伟达它要的就是这个东西所以简单来说就是英伟达用自己的钱来做担保让自己的客户能去借钱购买自己的产品它不是自己主动借钱而是用担保的形式
[00:12:23] 那简单小结一下英伟达对于他的客户主要是各个云服务商和大模型公司目前主要有三种资金支持的方式第一呢是股权投资第二是回购的承诺也主要是回购这个算力或者说显卡这一部分还有一个就是投件数据中心的信用担保
[00:12:41] 这三项单列来看都没有什么明显的问题但是它们经常混合在一起出现也就是因为如此大家对英伟达这种商业模式会产生担忧接下来我们就具体的来分析一下大家在担忧什么第一个担忧是一个最严重的指控就是这种商业模式涉不涉及财务欺诈当然真的这么认为的人还是比较少的这是一种比较小众的说法真的吗我就是这样认为的但我们还是借此厘清一个概念就是什么叫做回流交易
[00:13:14] 所谓回流交易就是你投资一个公司的时候附带了一个明确的约定就是对方拿这笔钱是要来买你的东西的那这种情况下其实很可能被认为是一个财务欺诈因为你本身上是用自己的钱来买自己的东西这不就是造成一种虚假的繁荣吗显得你的市场需求很强劲的假象蛊惑了我们这些投资者对这个东西在财报上最核心的价值就是你把这个钱借给别人然后别人给你下了一个订单
[00:13:41] 夏天这一刻你就可以计算你已经有这个收入了但你借出这个钱其实不会马上体现在你的资产负债表上面他就是用这样一个可以说是时间差体现出你的收入好像增长的非常的快在一个泡沫的时代或者一个非常活泼的环境里面大家对于收入增长是很看重的那么听上去是不是英伟达扶持他的那些云服务商我们刚讲那个例子有点类似这个感觉呢不是吗其实这个问题就是这个边界很微妙
[00:14:08] 一个核心问题就是你怎么算有明确的约定说我投给你的钱你必须要用来买我的东西呢这个约定怎么判断呢就是你有没有什么实际的证据是这个意思吗我们也查了很多的比如说一些分析师或者说是一些官方的说法很模糊吧这个边界我们可以这么来看就是看一些已经被确认是财务其他的案例里面它有哪些要素我们可以来倒看一下
[00:14:31] 确定的案例里面它第一就是它会有明确的证据证明你卖方是有强制买方来买自己的东西的有一些合同的证据合同上比如说有排他性的条款对或者你公开说明了这些东西也很微妙比如说当年英伟达曾经说过我要投资OpenAI1000亿美元当然后面没有1000亿是300亿OpenAI这边是有一个回应的就是说确实这个部分钱大多数会回落到英伟达那边因为有人这么问了他这么回答了你这个东西算不算一个确认呢
[00:15:00] 其实也很难说就都可以这么认为
[00:15:03] 行吧然后第二个点我觉得相对来说是更加重要的就是你这个商品的采购是不是一个真的需求还是一个纯空赚就是你卖方为了增加这个收入强行的压给这个买方来接受你要买这么多东西这个实际上是比较重要的我们后面还会具体举例的你前面说这两个标准其实目前还是很难说英伟达这么一个方法是明确的欺诈有两个核心点一就是英伟达的服务器被买过去以后确实也会收到货款
[00:15:33] 而且也真的投入了运营买方也会把它租出去确实会赚到钱的对第二就是因为这个英伟达芯片确实是供不应求也不存在所谓虚增收入的说法就他卖给谁不是卖的对就他最近的这个财报分析师会议的时候CFO对于接下来收入的指引还非常的得意对他就说我们接下来会增长多少多少多少为什么没有增长更多呢是因为我们的产能不够了不过你前面说类似于我这样的一个判断人
[00:16:01] 竟然不是多数那其实更多人质疑是什么呢接下来还有两层质疑相对比较多的我们讲第二层第二层的质疑就是英伟达这种模式会不会增加自己的经营的或者是未来长期的财务上的风险虽然你没有做屈增收入这种欺诈的行为但你的确是在用自己的钱或者自己的信用来催生收入
[00:16:22] 这个过程当中你自己的杠杆总是增加的对吧要么就是你借钱给别人了那你的杠杆就增加了对吧要么就是你提供信用也是杠杆增加了英伟达对此的反驳还是基于他的业绩一个核心的指标就是说我的客户回款很快所以我真的在赚到现金你有什么好说的
[00:16:39] 其实在2025年9月就我们前面提到的就大空头原型人物巴瑞他不是做空了英伟达之后吗英伟达是发给了一个详细的一个回应逐条的来回应他这个做空发给了各个分析师里面专门提到这一点核心论据呢就是自己的应收账款最新披露财报里面应收账款的周转天数是53天甚至在下一个季度呢他这个数字还更短变成45天单纯从这个指标上来看确实财务情况还不错
[00:17:05] 对但问题就是在最新刚刚公布的8月26号那个记报里面这个数字增长到60天并且在分析师会议里面CFO提到未来这个数字会继续增长的因为英伟达允许有的客户他的账期延期到比如90天甚至更长同时我们也看到英伟达的毛利率是开始下滑的毛利下滑跟这个账期不一定完全相关
[00:17:26] 所以即便这一季的营收利润都创了新高数字非常的漂亮但是市场的第一反应其实并不是那么积极的对他的股价来说确实可以理解投资者为什么对目前英伟达有不满因为仅仅三四年前英伟达的商业模式还是那种最爽的方式货供不应求客户追着把钱塞给我现在反过来我还要给客户担保还允许客户晚点打钱这个不对我觉得这一点大家要理解的非常重要很多的质疑
[00:17:53] 他站在自己的位置来质疑的就是我作为一个投资者如果我投资你的话就是我投资的是最好的一个商业的运转的模式现在你这个模式不是最好的那我就不看好你你等于是在消耗这个模式来寻一个更好的未来那我现在总归是有点不爽的其实有点类似的就像Netflix那个时候要去收购华纳探索大家也会有这样的质疑后来不收购了其实很多他的股东是挺开心的
[00:18:17] 对而且我们看到英伟达在时隔五年之后又重新去发了债发债这个事情其实股东也是不喜欢的对你这么多的现金对吧为什么还要发债对当然就现在所有的规模的大公司都在发债就我们之前讲过也讲到过简而言之就是英伟达采用了这种支援客户的商业模式之后他自己的营收规模确实是不断的创新高了
[00:18:39] 但是他的杠杆变多了风险变大了他的商业模式的健康度是有所下降的他其实质疑的是他这个商业模式没有原来那么好了对
[00:18:48] 第三层质疑跟此是相关的但是它是更大范围的就是因为你这么这样一个商业模式其实你是在吹起整个AI的泡沫而这个泡沫背后未必是真需求那一旦泡沫破裂了就很糟糕我感觉这个质疑就是无可辩驳确实是这样至于这个泡沫怎么说我们暂且放一放我们还是来厘清一个概念就是所谓的循环融资的模式吹泡沫到底怎么回事我们要稍微解释一下
[00:19:12] 前面我们讲了英文达一些客户他会拿了英文达的融资建算力中心对吗然后去买卡买完了这些卡然后建了这个数据中心之后呢他还会拿到一些客户的租赁的订单
[00:19:25] 接下来这些客户经常会做的事情就是拿这些卡或者是拿这些合同的订单再去抵押融资就是赚两份钱获得更多的钱之后再去扩建新的数据中心同时又采购更多的英文达设备形成这样一个所谓的循环融资的状态其实CoreWeb就在这么搞它这样就在这么搞了它从2023年直接拿GPU和算力来做租赁来抵押了来借钱了最早的时候这个利率其实还蛮高的有15% 16%
[00:19:52] 毕竟不是一个常规资产有点另类资产在最近的话它已经降到6%左右了说明投资者是有点认可这件事情了
[00:20:01] 所以说这个模式的核心其实就是所谓英伟达的芯片以及芯片背后这个算力变成了一个行业里面认为可以持续创造价值的产品或者说可以变成能够用来抵押的金融资产这个认定很重要是这也是老黄最近对于我们开头讲到那个融资计划里面的一个核心的观点后面我们还会提到但这个假设就会被一些做空者或者挑战者来质疑
[00:20:27] 核心条件就是你刚才讲的那个定义里面有个重要的词叫做持续创造价值那么这就是一个问题叫做折旧
[00:20:34] 数据中心它作为一个工厂它是有折旧的年限的一般来说什么10年20年15年这个是不是针对厂房的部分对相应的你这里面的核心资产就是GPU它的迭代速度大概是三四年它的折旧速度也因此变得非常快就你理解吧就是新车一直出二手车就很便宜就这么回事我们看到一些行业的估计就是一些比较前沿的GPU就是先进的一些型号它三年内的转售的这个价值可能就减半这个
[00:21:01] 速度有可能因为随着你不让技术提升还会有可能加速说不定的折旧本身不是太大问题但问题就是你这些GPU是不是能在折旧跑完之前就把本回回来对就是这个问题
[00:21:12] 这里面还有一个差别就是实际的物理层面的这些芯片的使用寿命或者说是商业价值和你会计上的折旧的计算方式之间有个差距Burry就提到这个点他就认为现在云服务公司对于GPU服务的折旧年限定的太宽泛了CodeWeave它是按照6年直线这样折旧来算的他认为实际比这个要短他觉得当中的差值整个行业有可能少算了大约1000亿美元的折旧他认为这是明显的泡沫的证明
[00:21:41] 或者说现在会计人则有点没有跟上AI行业的发展是
[00:21:46] 第二个他们这些做工者的一个质疑就是说我们现在说的这个折旧要什么还是基于你现在的这个技术情况下对于这个算力的需求的情况下对吧但万一以后有了新的技术对于算力对于token的需求不那么多了那么这些数据中心不就产生不了需求了吗泡沫就会马上的破裂那么英伟达由于是在其中背书的甚至提供担保的所以这个危机会迅速的传导到他自己身上我觉得这个部分反而是所谓更根本也更难回答质疑比如说中国
[00:22:14] 发了一个就是不需要很多token的模型以后可以看到美国对立就是风声鹤唳基本上就是这个逻辑的我们前面提到在英伟达8月10号宣布要传5000亿美元的局之后第二天黄仁勋就在NVIDIA官方的博客里面发了一篇文章来解释阐释我们这个计划到底是干什么的刚刚我们讲的这些质疑他其实重新又回答了一遍又有一些新的回应但是我们这些回应先放在后面讲接下来我们还是想要从现实当中稍微抽离一下
[00:22:41] 来看两个历史的案例因为刚才提到的就对于泡沫破裂的担忧实际上在历史上面是真实发生过的尤其就是我们开头提到过的朗讯的案例
[00:22:55] 朗讯是什么年代的公司啊现在大家也可能听到名字叫阿尔卡特朗讯那么它显然就是被阿尔卡特收购了为什么收购呢就是我们要讲的这个事情两个背景一个呢就是在1996年的时候呢美国的电信行业放松了一个管制它有个新的一个电信的法再加上一个互联网泡沫叠加在一起呢就是在世纪之交的时候美国是掀起过一场光纤投资的热潮当时的光纤是最实心的新兴的基础设施
[00:23:24] 大量的初创企业他们开始铺设电信的光缆准备迎接互联网时代爆发之后大量的光纤的需求里面最大受益者就是我们之前节目里面讲过的康宁对他其实在那个时候也是受到过很长的一段时间低谷的在股价上面那朗讯呢是什么角色他就是当时领先的设备供应商他是不是做交换机的对但他做很多他做很多
[00:23:48] 那也就是那个时候卖铲子的人所以他那个时候收入就大增接下来他开始做一件什么事情呢就是他是开始搞我们所谓的供应商金融或者说是给客户来借钱了他主动的借钱给自己的客户让他们购买自己的设备规模有多大我们举一个例子他给一个家叫Winstar的一个初创公司这公司现在早就倒闭了给他当时提供过20亿美元的信贷的额度这一家公司有20亿美元而且规定了这些钱必须用来买朗讯的设备
[00:24:16] 其实我们已经提过就是这个方法在财报上最大的好处其实就是能够快速形成收入这样就显得这个公司业绩增长很快嘛那在这么一个热火朝天的泡沫行情里面其实投资者最喜欢就是增长对因为当时的这个CEO就明确提出比如说我们这个公司当时已经是个300亿美元的一个市值的公司了他就提出说我们每年要增加20%他提了这样很积极的目标他用这种方式来实现那很快到了2001年的时候泡沫就破裂了
[00:24:45] 因为大家发现光纤的需求啊没有那么多铺好的那么多的这个光纤大量的闲置那个时候叫暗纤就没有用的一些不点亮没有用的朗讯的客户呢就大批量的破产这就给他朗讯的造成了很多的坏账我不是借钱给你吗你现在也没有钱了
[00:25:02] 之后美国的证券委员会SEC就调查发现朗讯在实际操作当中还有些更过分的行为它会强行的把未产生订单的设备订单还没有出现收入已经产生了你没有主动问我买但是我先给你压过去然后就马上计算收入了这就是我们前面讲的涉嫌欺诈的部分就是你是没有这个需求强行的增加了这个需求然后把它算到收入里面去这个涉嫌财务欺诈了
[00:25:28] 经过这一遭之后反正最后结果就是朗讯被阿尔卡特收购变成了现在的阿尔卡特朗讯如果说把朗讯和英伟达对比他们所处的市场环境和市场位置的确有相似之处就是一个重要的技术革新当中去卖铲子的人而且都是借钱给自己的客户买自己的设备而且都是股票市场上最炙手可热的公司所以这么对比还是很合理的对但如果我们回过头来看我觉得这当中有两个比较重要的区别
[00:25:56] 朗讯有压货的这个行为但英伟达是没有这个动作的这也是为什么你现在不太能认定说英伟达一定是一个财务欺诈或者是虚增收入而且这里的差别就是客户到底有没有实际需要对有没有实际产生这个需求的情况下你压不压货对第二个区别就是说朗讯当时的客户都是一些初创公司他们自己是从一级市场拿了钱之后冲这个热潮想把自己做大的
[00:26:20] 那这些公司它不论是现金流的储备还是借钱的成本还是盈利的状况什么都很次数肯定是不赚钱的但是英伟达它毕竟还是有很多的大客户像微软Google亚马逊Meta这些它们本身就是最赚钱的大公司这些客户你要说泡沫破裂之后它就马上倒吗好像不太至于因为它们自己还有很多赚钱的业务抗风险能力会强很多不过这里我还是略微保守一下质疑一下感觉比如说我们前面说的像Covive这种公司其实还是属于
[00:26:49] 规模不是很大初创公司对这个其实跟朗讯案例里面这种创业公司还是有相似之处的就是它的资本开支远超当期的收入还是很依赖融资包括你前面说的这些大公司他们最近也都在融资现金流消耗速度也很快是一旦整个融资的环境不论是股市还是债市收紧了其实都还是会变成高风险的客户这个风险还是可能传达到英伟达这里同意的简单两点就是第一英伟达有些客户是跟当时朗讯有点像了
[00:27:16] 第二呢就是他进那些比较靠谱的大客户也有可能变成不太靠谱的客户对大家如果去看的话他们这个不管是资本的开支啊等等的有可能在明年的时候就会比实际的经营现金流要多了
[00:27:28] 当然我觉得更重要的一个问题实际上还是什么就是算力到底是不是跟光纤一回事其实大家现在争论的非常重的一个点没有什么结论对这是一个最核心的问题或者就是说你算力未来会有很大的一个需求因为你现在建的东西是为以后来买单对吧未来马上就要来呢这个时间是怎么样的呢这个其实完全取决于AI技术的到底发展应用的步伐是怎么样接下来我们讲第二个例子
[00:27:54] 一个更加经典的供应商的金融的案例就是极易资本通用电器下面的专门做金融的业务的这家公司
[00:28:03] 极易通用电器我们知道当年全球最强大的制造业公司之一对吧然后有个非常经典的著名的CEO那个维尔奇对他呢主要是做像发电设备啊飞机发动机啊包括一些医疗器械啊等等等等很多的这个大型的设备都是处于领先的这些设备有个共同点就是很贵嗯所以呢极易就逐步开发出了一个借钱给客户然后买自己设备的金融模式因为客户一下子买有点买不起对吧
[00:28:28] 当然其中有非常多一些具体的办法比如说搞融资租赁啊经营租赁啊循环借贷啊等等的一些办法这个在财务上面都会继承不一样的内容这个我们就不具体展开了这个更准确的说法其实应该叫做自营租赁我们之前聊过很多行会议的节目其实都涉及过这个模式是
[00:28:46] 这个方式有个好处就是借钱给别人的那个人就是极易他是懂业务懂技术懂自己家产品的就自己弄东西毕竟是自己的东西那这个好处是什么呢就是他非常清楚这个装备到底能够用多少年限不同的年限到底值多少的钱在市场上什么样的一个价格以及什么时候能做哪些维修的保养能够让它这个价值更加的延续下去残值该多少他最了解的所以他能够在合理的范围内稳赚不赔
[00:29:14] 所以它有点类似于说保险公司里面精算的那个部分对这个能耗你是很难就是一个单纯的金融公司来获得的跟我们那个时候讲爱尔兰的航空租赁一样的就是为什么主任工他能够搞定这件事情因为他懂航空但后来在2008年金融危机的时候极易资本这样一个非常好的这样一个商业模式这个公司直接泡沫破裂差点崩溃了
[00:29:37] 重要的原因是什么呢就是他长期积累了非常非常多的钱他赚了很多的钱这些钱他要用出去然后呢他就开始延伸自己的金融业务比如说搞消费贷还有呢就是刺激房贷那这部分业务越来越大之后呢已经超过他原来的这个工业租赁的部分了
[00:29:55] 他又凭借自己比较长期的良好的信用的等级把新的这些债务再去拿去出融资借更多的钱然后扩大规模那就是顺理成章的深陷四代危机的漩涡我觉得他如果不搞这些副业的话听上去他只做供应链金融其实是一个很健康稳定的赚钱模式其实后来自己抱着有点想自己做出来的这个是我们回过头来看事后诸葛亮来看的
[00:30:20] 但我觉得这一点恰好可以来凸显就是英伟达现在这套模式的一些优势和劣势我们还是来比较一下一统
[00:30:26] 首先是劣势就前面提到残值问题折旧问题英伟达卖的设备它折旧还是太快了跟发动机什么一比的话这个差别就很大而且就是二手市场定价还没有那么的成熟二手发动机我们之前好像聊过它其实是一个生意对很成熟的东西所以就是极易的供应链进入的模式天生它就更健康它卖的东西就是更健康的东西老芯片价值到底有多少其实现在市场上还没有把这个残值的曲线算得很清楚是这个问题
[00:30:56] 但另外一方面英伟达的优势是什么呢就是说像极易资本它稳定能够赚那么多钱的时候你就很难抵御把它花出去冲动或者说这是个必须要做的动作对这个是所有金融公司都会面临的一个问题这个时候相对于规模比较稳定的也有限的装备市场来说极易资本的欲望就有点更大了承载不了它的规模了所以它才会慢出去开始做消费的金融房贷等等甚至去搞商业地产等等的但英伟达
[00:31:23] 这方面反而有优势就是他更聚焦更克制他只投资AI他叠加的所有的杠杆都是聚焦在AI领域的因为这个领域的资金的需求本身就足够深同时对于未来的想象也足够的宏大不会别的你就想他因为他有这么多钱他只是一个有这么多钱的公司他去投算力投数据中心也是合理的更何况他对这个业务又是更懂的所以这个方面他其实是相比于极易更加有优势的一点
[00:31:50] 那聊完这两个历史案例呢我们最后可以回过头来看一下因为打8月10日发起的这个涉及5000亿美元的AI融资平台到底是干什么的
[00:32:01] 其实我听刚才讲的这个内容的话你会发现它肯定不是一个凭空出来的东西就是沿着它之前的这个道路再往前推进的只不过拉了更多前进来对刚才我们讲到老黄第二天就发了一篇文章来详细的解释给大家听了所以说我们基于这些素材可以厘清一些基本的事实就不要说这么笼统首先就是这个5000亿什么概念它不是一个一步到位说我们现在已经传了5000亿大家来我们借钱不是这个概念
[00:32:27] 他说的是这些金融机构未来一段时间内希望调动的第三方资本的钱的规模因为这些都是一些私募机构他们去把钱融过来这个概念
[00:32:37] 这些钱呢背后到底是什么呢很有可能就会涉及到一些比如说养老基金主权基金保险资金等等的这个其实就是大家对于英伟达这个计划一个比较大的担忧就是你自己的资产负债表是轻松的一些但是你把市场上更大的一些家伙全都拉进来了一些基石大家就绑在这个上面了全绑上了啊第二个基本的事实就是这个融资平台以后给谁钱呢不是英伟达决定的还是由各个的投资机构来决定的有一个投委会的一个概念对
[00:33:07] 而且还是要一个项目一个项目来谈的就不是说我们就建个大计划搞个大结果不是这么一个概念
[00:33:13] 第三个点就是英伟达在发布这个样子备忘录里面提到过一个兜底的概念但这个概念实际上是非常的有限且模糊的备忘录里面说英伟达有一个25%的残值支持这个到底是什么意思如果在一个项目里面有个公司问你这个算力平台租借了一批的算力签了个五年的合同用到第三年他终止合同了剩下来这部分的两年的市场价值如果你低于了大家当时算的那个价值
[00:33:41] 当时你比如说租出去的时候会有一个每年的价值要算好的吗对实际价值低于的话那么因为大家兜底兜多少呢兜25%OK实际上它这个残值黄文勋自己也说的很模糊就是它是针对部分项目的最高到25%具体怎么实现呢还要看具体的合同的安排有可能就是一分也不给是吗它就是个比较笼统的定心丸就是说我们会给你兜一部分的底的就这么回事反正就是一个先呼拉一下对它有个作用就是可以降低金融机构对于违约损失的估计
[00:34:11] 金融机构来算这个模型的时候你可以稍微少算最后一部分就是把风险的部分稍微压小一点对
[00:34:17] 然后第四个基本的事实我觉得也是最重要一点就是这一套模式并不是英伟达来发明英伟达来完全牵头的他传了这六家机构大家继续看名字吧他们本来就是这几年给AI数据中心提供信贷支持的主力大家如果了解私募信贷这个概念的话前面你不是谈过SPV和SPE这些特殊项目实体这些案例吗
[00:34:41] 专门为一个数据中心造出来这个壳去借钱问谁借呢就是问这些机构借的这方面呢欢迎大家收看硅谷101做的一期视频节目就叫做消失的万亿债务深巴数据中心的影子借贷这样的节目我们会把那个链接发在收斗子里面他把这些讲得非常清楚了那在理解完这四个基本的情况之后呢我们来看一下老黄的这个项目的期待就是他画的这个饼
