Vol.143 东方树叶的红，酝酿了十年
[00:03:01] 首先经常可以看到一个说法是中国的茶饮料产品发展有很多借鉴日本行业演进经验的部分但是仔细研究了一下我觉得两国的行业背景以及最后的路线发展还是会有些微妙的差别可以给大家辨析一下第二就是主要结合陆岩君的稿子来给大家简单讲讲农夫山泉的渠道规模和竞争力以及这种竞争力对于极端旗下新品牌的拓展而言意味着多大的协发优势
[00:03:29] 第三就是东方数学本身这个产品力是很强的技术层面呢实现了对一等元的全面模仿和超越口味层面呢又探索出了比较适合中国市场的创新这个我们也会分开讲讲
[00:03:42] 最后就是营销确实东方术业的走红背后肯定有营销因素的影响分析起来就会发现这里的讲究不完全是所应的预算和投入规模更重要的可能是时机和届时因为这个农夫山泉也是上市公司所以我们还是要照例的啰嗦一句我们的所有的讨论不构成任何的投资建议话不多说我们就开始吧这里是商业就是这样
[00:04:19] 那首先是第一部分就是行业背景据说农夫山泉的创始人钟珊珊这个人本身就是非常偏爱东方树叶这个品牌的个人层面对于品牌的发展长期关注而且长期有信心估计这也是东方树叶这样一个在集团内部一直边缘了十来年的这样一个产品但是没有被砍掉的一个重要的原因吧对吗嗯确实啊不过钟珊珊本人呢对于农夫山泉旗下各条业务线的布置呢
[00:04:47] 我就可以很明显看出对于日本同行的复刻感比如说茶饮对标的是一藤原功能饮料呢对标是宝矿力和大正果蔬汁呢对标是可口美感觉是拿着人家市场探索出的最优解决方案在抄啊这里先跑个题啊我不知道有没有听有记的农夫山泉其实还出过一个功能饮料系列就是它叫尖叫有红色蓝色和绿色三种
[00:05:13] 颜色的瓶身我个人其实是很喜欢当中那个红色的那一瓶其实是一种很奇怪的淡淡的人参口味吧有一种怪怪的好喝其实这么多年我一直很爱喝它只要看到就会买不过但现在是越来越少看到了尖叫我记得但是这个口味我好像只试过一次确实太怪了我就放弃了它
[00:05:38] 像尖叫啊农夫果园以及我们今天讨论的东方树叶在推出的时候呢对于当时的中国市场还是超前了一些所以早期的反响都不算特别好
[00:05:48] 另外有个问题就是我们前面提到的就是中国真的能直接照抄日本经验吗因为两个国家在饮料行业的演进过程上面走的好像不是完全同样的路线带着这个基础的疑问呢我看了一下日本清凉饮料协会从1970年到2021年的一组统计数据日本确实是个很神奇的国家这个大大小小的行业可能都有自己的一个行业协会
[00:06:14] 这个清凉饮料协会顾名思义呢就是它会管各种在冰柜里面卖的这种瓶装饮料反正是个行业协会啊那关于整个行业的发展呢就是这组数据提供了一个事实就是日本市场上面各类饮料出现的先后顺序应该是先有碳酸饮料的发展其次是瓶装咖啡然后是茶饮最后是包装饮用水
[00:06:41] 告诉你觉得怎么理解这个顺序比较好呢你怎么开始考我了可能是不是比如说这个日本在战后的生活因为它全面西化就是所以这个碳酸饮料和咖啡就先火起来然后呢就是啤酒那现在日本茶饮料的两个大的主要的品牌
[00:07:03] 可口可乐和三德利其实都是跨界过来的但是包装饮用水这么晚才变成一种主流的商品这个是不是又是跟日本的它自来水就可以直饮会有点关系关于包装饮用水为什么这么晚才出现在日本市场我也没有很明确的结论但是我觉得顺序确实是有点关键的
[00:07:25] 在日本市场上面茶饮料要比它的包装饮用水早但是了接近20年等于很大一部分所谓淡味饮品就是稍微有点点味道或者没有味道这种饮品的需求其实是被茶饮先占领的饮用水作为一个后发的部分要去切的是传统茶饮的这个市场蛋糕
[00:07:45] 那反过来看中国市场同样是先发展了碳酸饮料和啤酒那此后发展起来就是包装饮用水然后才是茶饮最后这种瓶装咖啡产品一度都是发育不良到现在也不是很好朱珊珊自己也说过一句话水产品在饮料行业当中永远不可能衰败因为没有比水更廉价和更健康的饮料了其他产品想去竞争这个非常稳定的市场盘子是很困难的
[00:08:12] 对的 其实包括做水的公司如果他想去跨界做一些别的饮品他也有很好的成本基础打底的对 成本这个点我们后面还会提到除了行业的发展顺序周日两国在茶饮文化层面也有微妙的差异在日本茶叶的文化属性很高作为礼品可能比较多或者是奢侈的消费品不太是日常消费品
[00:08:39] 而在中国呢茶艺的价格带是非常宽的既可以小众又可以大众还有一点就是日本对冰饮的接受程度很高其实也是生活方式稀化的一种体现像乌龙茶以及大麦茶这种代用茶呢都是以冰饮为主而中国呢显然还是喝热饮为多我觉得东方数学最早预浏的也有这部分原因因为大家可能都没有喝冷的纯茶这个习惯可能还是更习惯在一个
[00:09:05] 大瓷杯里面或者在一个保温杯里面就是那种有漏网的这种保温杯里面泡一点茶叶然后用这个热水冲泡一喝可以喝一天对吧嗯对的那个茶叶有可能还很多啊接下来是第三个差异点就是规格包装日本的茶叶饮料呢其实经历了从一到两升这种大包装模式到500毫升左右的中型包装再到200到300毫升这种小包装的整个演进过程
[00:09:31] 这个从大到小这个原因呢就是日本早期对于PET塑料包材规格是有管制的就是不能做太小规格的包材只能做大品装的这个也是从环保角度考虑吧可能对主要是从环保角度考虑但这个规则呢是到2000年代之后呢有一些放松所以说呢品牌从开始的大品装就是家庭场景呢开始往一些个人化的场景来做产品
[00:09:59] 逐渐变成了便利店的冰柜里面的一个场客其实先做家庭妆也有好处那它就是可以日常性的培养这个消费者的口味习惯但是在中国呢因为我们一开始就没有前面提到的日本的这个PET的限制所以很多厂家一上来它就会跟这个渠道的需求去适配那它就是做一次性基本你就能喝完的500毫升左右的这种包装
[00:10:24] 直到很最近吧比如说这个农夫山泉的东方树叶我们才在便利店有看到它开始卖这个950毫升状的那个大瓶装东方树叶能够喝一天我也很喜欢
[00:10:36] 最后一个差异其实就是渠道了日本除了便利店比较强还有就是自动售货机比较强这方面呢三德利和伊藤园的覆盖力都非常惊人据统计2015年三德利旗下有48万台自动售货机在日本伊藤园在日本也有15万台而中国主要靠的还是所谓传统网店比如说超市和普通的零售店便利店和自动售货机比例还不是很大
[00:11:02] 所以从这个行业发展上来看如果要分析中国的茶饮料市场确实也能讨论一些日本的经验但其实也没有那么多能一一对应上的是的其实日本茶饮料在产品方面的接近意义更大这个我们后面也会提到在中国做新的消费产品其实主要还是得解决渠道竞争力的问题而这恰好是农夫山泉的强项
[00:11:28] 那接下来我们聊一聊农夫山泉自身的渠道竞争力前面提到主业卖水的公司跨界到其他饮料品类上面是有些基础优势的主要原因就是卖水这件事情成本可以比较低毛利可以比较高如果卖的是矿泉水因为有采矿资质和费用之类的影响毛利大概是45%到55%如果卖天然水毛利可以到60%甚至更高
[00:11:54] 这个毛利水平可能也不能算特别高吧因为你当中还有一些硬性的包材啊或者物流的成本比如说PT的瓶子因为它是塑料制品它的成本其实跟石油价格的波动还挂钩了感谢高老师补充了一点科普知识确实不算特别高比如说我们之前聊那个雅诗兰黛的化妆品可能就更高当然了大部分的快销品呢都需要有比较大的毛利空间来支持自己建设渠道以及影像推广的费用
[00:12:23] 但是品牌间因为差异性就没那么大了所以他们在渠道和营销上的竞争往往是非常激烈的
[00:12:29] 农夫山泉是1996年创立的在它发展的头十年都没有在市场上面获得所谓绝对的优势当时有好几个竞争对手比如说乐百市乐百市现在也不行了宜宝康师傅至今都活得很好宜宝老板还跳出去做了景田百岁山也是目前国内高端饮用水的主要品牌是的这个农夫山泉在市场上的优势地位我们看实际它是到
[00:12:55] 东方树业推出的2011年前后才算是基本稳定下来当时公司的饮用水市场的占有率就超过了康师傅直接冲到了这个行业第一年度销售额已经接近百亿元这个水平了到了农夫山前申请上市之前呢也是2019年年底的话公司在全国的终端销售网页已经有237万个
[00:13:21] 其中有187万个是位于三线及三线以下城市可以说覆盖比较全面了此外当时农夫还在全国铺了6万台自己的自动售货机尽管这两个指标跟国内的快销饮品的同名可口可乐相比都有点差距但是也算是很惊人了对相当于它当时不仅是在成本上就连渠道上的优势也算是很稳定了
[00:13:46] 不要将渠道的规模转化成实际收入还是需要很多细致的日常运营以及日常的竞争这里我们就借助陆远军的稿件原文来给大家讲一些行业里面的能耗
[00:13:57] 对于渠道来说日常重视是两个指标一个叫加权销售扑货率另外一个叫排面扑货率加权销售扑货率是什么呢就是简单来说就是指一个品牌的产品在店内同类型产品里的销售占比比如说一个店它的天然水当天总共卖了100块钱然后其中农夫山泉占了70块钱这个扑货率就是70%
[00:14:21] 那其实这是一个他们行业里面算是一个行业术语吧其实就是来形容或者说我们说考核它这个扑货的质量高不高是的排面扑货率呢也是类似的就是指单个品牌在门店里的排面占比比如说一个店里面水总共有10个排面就是10排水那其中农夫山泉的一般是可以占到6到7个排面的
[00:14:46] 等于说这两个指标它实际上都体现的是一个品牌在一个店老板心里面的江湖地位高不高以及就是说他愿意为这个品牌付出的这个就是实际的营销空间是大不大的对的对的具体到东方术业这款产品的推广上呢据说早年因为这个口味实在是有一点
[00:15:07] 就是超乎大家想象有点超前就是还是推广起来比较艰难的那为了让这些销售中呢熟悉东方树叶的全部口味农夫山泉甚至放弃了就是常规的包装方案常规包装方案不就是一整箱都是同一种口味吗农夫山泉是做了一种四种口味混合的就是每箱有24瓶的叫冰分装商家如果每进一箱冰分装呢还会送他们三瓶常规规格的农夫山泉天然水这有一点小小的优惠嘛
[00:15:36] 现在的情况就不同了东方树叶变成一个主力产品了农夫山泉也做了很细的销售指南然后在全国展开了扑货竞赛仅在2022年农夫山泉就在全国布局了7.5万台自己的三开门冰柜其实业务员除了要保证每台冰柜里面时刻要有两整排的天然水之外还要有一整排的东方树叶而且这一排东方树叶必须要放在冰柜的中上层这个黄金位置
[00:16:04] 这个为什么黄金呢因为顾客一眼就能看得到而且顺手就能拿得到对这稿子里面其实还有一个细节就是提到农夫山泉所有的这些推广的业务员他还必须确保一件事情就是说他要在每一个他去做销售的这个店里面都要确保店主能够贴一张东方树叶的海报就相当于他还要负责顺手把这个品牌推广的工作也给做掉
[00:16:30] 当然说起来像冰柜大战、排面竞争包括说赠品、反点这些都是非常成熟的快消品的教授竞争手段了包括元气森林在推广力度大的年份也非常重视这些也去搞自己的冰柜但是就很难跟已经到成熟期的农夫山城拼词道
[00:16:48] 相反啊董夫山泉是完全可以利用自己的资源积累去测试各种各样的新方向的东方树叶或者说茶饮只是其中的一个其他像果蔬汁啊果汁功能饮料含气饮料这个都可以放到自家的冰柜里面给一些机会试一试嘛其实在茶饮这个方向里面是试出过成功案例的就是茶派
[00:17:09] 如果把农夫山城的财报数据和一些公开信息结合起来可以发现茶派在2017年到2019年对于整个公司的茶饮料业务收入的贡献率是非常高的像2019年整个公司的茶饮料收入是31.38亿元而其中茶派据说就超过了30亿元那就等于是说跟那个时候的茶派相比呢东方树叶还确实是非常非常边缘吧
[00:17:38] 相当于就是一个年收入30亿元和一个年收入1亿元的品牌对比现在城头变化大王旗整个行业里面今年对于东方数学的关注主要也是因为它在整个农夫体系里面竟然实现了对于茶派的反超据说这也是中山山本身非常关注的一个指标就是无糖茶的市场差距率什么时候才能超过有糖茶结果它就等到了
[00:18:04] 好我们讲完了行业和渠道接下来就回到东方树叶这个产品本身来看看他自己的创新之处
[00:18:13] 其实在研究中日茶饮料行业发展的时候
[00:18:42] 而且伊藤原也是日本瓶装茶饮料的开创者第一瓶听装的乌龙茶听装的绿茶PET瓶装的绿茶以及可加热的PET瓶装绿茶都是伊藤原引发出来的在这个从罐装到瓶装的转轨阶段伊藤原它还是从技术层面解决了很多实际的问题你比如说这个茶汤它长时间常温放置它容易出现一些氧化带来的比如变色
[00:19:09] 变味腐败或者说沉淀物等等其中光是这个氧化问题伊藤元他针对他的这个相关的技术研发可能就已经做了十多年那到了东方术业手上呢首先就是要做到对日本经验的全面学习东方术业是开始阶段就引入了一条价值两亿元的无菌冷罐装产线当时在国内是很领先的官方说法是这条产线可以做到生产一百万瓶饮料不会有一瓶被微生物污染
[00:19:38] 这次陆远军也采访了一位专业的包采供应商也就是做这个PET饮料品的一个技术经理他了解到的信息是如果无汤茶不添加任何防腐剂需要采用更高的面菌等级那罐装区域的解禁程度也要达到一个所谓制药环境的水准
[00:19:55] 所以呢这个
[00:20:09] 公司它之后就是将这个闲置的产能就用来做一些别的事情了就比如说用来测试或者迭代茶派还有比如说大家可能很熟悉的它的NFC系列就是果汁系列这一类新产品所以也算是没有特别浪费吧物尽其用了物尽其用
[00:20:26] 前面提到防腐剂目前东方树叶的配料表里面是有碳酸氢钠的俗称小苏打以及维生素C这两项添加剂都不是完全的防腐用而是防止炒汤氧化同时调节酸碱度的从配料表干净的标准来说也是比较过关的
[00:20:44] 解决了茶汤本身的技术难题以后东方树叶就开始在日本的案例心上寻找一些可以超越的点比如说伊藤原还是倾向于使用闭光的包装来降低茶汤氧化的几率而东方树叶就是大胆地采用了全透明四方体的这个平体仅有两面是夹贴标签的这个可以让用户直观地看到非常稳定的茶汤颜色这一点我觉得还是比较厉害的这一点可能对中国消费者尤其管用吧我估计
[00:21:13] 另外我们也看到这个陆元君他的采访记录里面有提到东方树叶这个瓶体的瓶口的大小他其实也是专门设计过的据说这个瓶口大小的差异可能会导致饮料在入口的时候口感会有差异那这方面更好的案例可能就是那个前面提到的他的神奇的怪饮料就是那个尖叫还有这个就是脉动可能很多听友都喝过啊
[00:21:40] 嗯 有一点
[00:21:59] 快感吧确实这个苹果设计还是非常引人注意的所以说尖叫和脉动品质好像经常会被中国妈妈们留下来用来装一些什么酱油啊醋啊然后做饭的时候顺手一挤就很快那在技术层面实现了对于一等元的全面追赶乃至超越以后呢东方数学其实还是要在产品的口味方面解决我们前面提到的日本市场和中国市场的微妙差别
[00:22:25] 如果看目前的日本茶饮料会发现像传统的乌龙茶和绿茶是非常稳定的品类大的产品创新主要就是两个方向一个就是有调节血脂
[00:22:50] 在中国市场呢不管是什么茶种纯茶肯定是一个可以做的方向就红茶绿茶乌龙茶所以说这个东方树叶其中也是红茶绿茶乌龙茶还有茉莉花茶这四个是最经典的口味但是呢新的口味方向是什么呢这就需要做一些测试前面说的大麦茶和玄米茶这种代用茶不管是东方树叶自己做还是元气森林之后做的所谓燃茶那条线市场反响都
[00:23:16] 不是很好虽然我个人很喜欢喝但是很遗憾这个中国市场不是很喜欢比较好的呢反而是纯茶上面略做调整的一类产品这里就简称是调味茶这个其实举个典型的例子就是东方树叶后期出了一个爆款就是清干普尔
[00:23:32] 从茶艺市场的角度来看呢这甘普茶这个本身就是2015年才出现的一个创新品类就是把新桂橙皮和云南普洱混在一起但市场反响就很好因为觉得它口味比较新鲜普洱相对于红茶和绿茶呢健康概念本身就更强一点清甘风味又改变了纯茶原本的一个单调所以算是一个很成功的调和性口味了这相当于在翻红之前不管是技术层面还是口味层面
[00:24:02] 东方数学其实都已经做好准备了尤其是它在技术层面还有一些壁垒那这个时候其他的这个品牌看到这个潮流它如果也想要跟进然后达到统一水准这个还是比较困难的确实是这样
[00:24:17] 最后额外点一下这个布斯进取的三德利其实三德利的乌龙茶1997年就进入中国市场了它的啤酒业务其实是更早的1984年就入化了但是因为它的啤酒和乌龙茶在华东地区的开局过于顺利很长一段时间都没有像样的竞争对手就导致三德利在中国长期是安逸现状没有往全国市场扩张
[00:24:40] 后面反映过来市场竞争很激烈的时候再想去拓展渠道呢就在2014年签过一个本土的合作伙伴叫惠元哎呀这个选的是什么呀惠元自己也是一个很大的很著名的问题企业这可能就是它线下的这个三德利乌龙茶为什么只能长期局限在部分大城市才有销售的一个原因吧但怎么说呢我觉得这个口味的忠实度还是可以培养
[00:25:07] 其实这两三年我们看到桑德利它也出了一点新品吧就比如说什么橘皮乌龙还有茉莉乌龙茶这样的新口味但我个人吧还是更喜欢无糖原味好最后一个部分我们就来聊一下东方树叶起飞前的最后一个助力吧那就是营销
[00:25:26] 其实在当下的这个消费品市场那种无缘无故的突然走红是越来越少的一定有或者强或者弱或者是比较显著或者比较隐形的这个营销在里面当然这个前提呢还是要品牌懂得掌握分寸同时消费者也不能太天真主要是消费者不能太天真东方说早期也是做营销的但是当时他们的营销速度比较直给
[00:25:52] 因为他们觉得自己做的是个健康饮品嘛就应该像比如说高血压高血脂这种三高人群做主推而且是像日本市场那样强调这个有保健效果当然了最后这个效果论证下来不太好思路确实很清奇啊
[00:26:07] 我觉得这里就是有些错配的问题啊首先啊就是在东方书也推出了早期就能达到三高标准这个人群啊大概率不是一些什么喜欢潮信的年轻人可能是一些中年人啊你这是不是年龄歧视我一个一个暴露啊
[00:26:25] 另外一个就是说所谓的三高人群日常的这个消费习惯它所覆盖的销售场所大概也不是农夫山泉非常拿手的传统的商超网点有可能是一些餐饮渠道反而说做得更好那说实话这个健康观念也就是在过去两三年饮料市场上才形成的一个比较明确的卖点
[00:26:46] 早期推这些健康饮料可能真的是要让什么康师傅冰红茶茉莉清茶这样的跟健康关系不是很大的这种甜味饮料感到汗流浃背吧汗流浃背不提刚年了我觉得东方数学现在在饮料上面做的比较好两点呢一个是实际把握很合理第二呢是比较懂得解释促成蹭热点这两点也是互相关联的
[00:27:11] 实际方面东方数业近新年最大的一轮营销活动呢是放在整个品牌的十周年也就是2021年当时的营销重点呢也是包括清甘普尔在内的三个全新口味这样呢其实可以让市场快速感知到两个信息第一个就是市场上竟然有一个活了十年的瓶装纯茶品牌第二就是瓶装的纯茶也可以做出有意思的口味
[00:27:34] 我觉得十年这个点确实还是比较震撼的你想想啊这个中间熬走了谁呢熬走了统一的查理王还有麒麟的生茶康师傅的本味茶庄可口可乐的有一个纯茶社也只能叫勉强活着吧但我们的东方树叶它竟然老树发新芽老树发新芽另外呢东方树叶还会有一些时机和届时相结合的影响就是俗称的蹭热点
[00:28:01] 但是我觉得它不太会去蹭非常具体的一个热点反而会以比较类似于解决方案的身份去蹭稍微大一些的行业趋势比如说代糖饮品比较火那几年呢市场上其实充斥了大量新品牌的广告终端竞争也非常激烈那一段时间之后呢市场反而对所谓的零糖零纸零卡有了一些质疑乃至是逆反的心态这个时候呢东方树叶介入呢实际上就是直接展示了一个更切实的健康的解决方案说服力也很强
[00:28:31] 再比如说这一两年东方数据的营销里面呢有一种营销的模式呢是把它作为茶底然后兑上牛奶或者一些其他的东西自制所谓的爆款奶茶
[00:28:42] 但是这个怎么说呢新式茶饮的连锁品牌都是这么强调的都是说自己有很好的茶底甚至还会拼命强调自己的茶叶茶底和风味但是对于消费者来说呢这个新式茶饮营销过后就会导致一个很实际的问题排队太久我喝不到所以说东方术业DIY呢也变成了一个所谓的解决方案其实在你前面讲的这两个场景当中都有一个前提呢就是
[00:29:07] 代糖饮品和新式茶饮它真的已经就是走红到大众消费者都有感知的地步了这里面除了这些品牌自己有拼命铺货和开店做了这些努力之外我觉得还要提一点那就是这个移动互联网的普及还有抖音小红书这种全民级别的这种APP出现
[00:29:27] 这就让品牌呢它有机会跳出以前传统的媒介和线下渠道用更低的成本去尝试一些新的营销方案然后在更短的时间里面创造一些话题的潮流在这个方面东方树叶肯定是受益者
[00:29:43] OK到这里呢我们就已经把东方树叶爆火前的所有的准备工作都介绍了一遍现在简单总结一下呢就是说东方树叶它在农夫山泉内部曾经做了多年的这个冷板凳它不是白做的在这段时间里面它既等来了这个潮流又自己练了一些内功
[00:30:03] 这是因为农夫山泉对中日两国的茶饮料市场有所洞察然后他自身在中国的这个饮料市场里面长期处于领导的地位同时他也一直在很重视提升自己的技术研发实力和口味创新当然最后了他也蹭上了这一波移动互联网和新消费品牌的热点所以我们最后看到东方数学终于等到了自己的机会
[00:30:28] 当然还是要重复一遍节目开头就提过的观点作为农夫山泉旗下备受创始人重视的一个品牌东方树叶最大的优势就是始终没有人砍掉这个品牌哪怕是一点点的冰柜排面和推广资源只要它还留在场上就有占据中心位置的可能性
[00:30:46] 其实从很多方面来看东方数据都是一个想法和技术都非常领先可谓直通未来需求的一个品牌只不过没有人能够明确知道未来什么时候会来又中间会用冒出哪些新的变量将这个未来更快或者更慢的带到我们眼前在此之前呢只能靠人类智慧的经验也就是等待和希望了
[00:31:07] 东方说也迟到成功对于很多大企大陆的新消费品牌来说可能也是宝贵的经验因为担心市场环境的变化大家往往会选择加速投入加速市场疗愈有可能也会加速自己的死亡如果说是做一门慢一点小一点好一点的生意坚持十年会不会得到完全不同的结果呢长期主义不一定每次都能获得胜利但往往能获得更令人幸福的胜利商业就是这样
[00:31:40] 感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目期待你在各个平台与我们交流
