Vol.131 恒大的债为什么越滚越大
[00:07:33] 回忆销售面积呢就是当年公司卖出去了多少平米没有交付的7房就是它当年卖出去的这个你可以简单理解为就是它当年卖出去有多少房子虽然这个房子还没有完全交付那在这个指标上面碧桂园在8年的时间里面就是2013年到2020年前后对比的话它的规模是翻了3.23倍那万科的同期只翻了2倍而恒大呢是翻了4.43倍
[00:07:59] 做到这个水平资金的规模周转能力和销售能力其实是缺一不可的所以简单来说高周转就是一个在行业高速发展时期尽可能加杠杆然后扩大企业规模的一个游戏对的那这么说的话其实三道红线就是来打破了这一游戏的规则是吧对的我们来介绍一下三道红线这件事情2020年8月监管部门提出了三道红线的融资新规大力的管控房企当时的有息负债就是你贷利息的负债我都要管你
[00:08:27] 三道红线的具体要求是这样子的
[00:08:57] 那触及一条的话你的有息负债规模每年增长速度也不能超过10%哪怕你一条红线也没有触及你的有息负债规模也不能每年增长超过15%其实是相比于之前的融资的环境是严格了非常多也就是说监管其实是要求这些房企尽量的能够做到资产能够覆盖所有的债务然后不要有短期的风险然后长期也不能在家杠杆了
[00:09:23] 对于一个高速运转的轮子或者说汽车来说的话等于是让它急刹车了当然这里尤其要说明的是踩下刹车的不单单是三道红线还有整个市场环境因为房地产早就不是一个造房子造出来之后就不成卖的一个时期了去困存也成为了当时的一个主旋律所以房企回笼资金也变得比过去困难了你融资端的监管的话其实也是在要求房企来适应市场端的一个变化一点也没错
[00:09:50] 因为这个三道红线的政策是当年的年中出的所以说当年年底整个房地产行业的一大热点就是看头部房企谁踩红线踩的比较多市场上当时确实有一道红线也没有踩的工作
[00:10:03] 比如像龙湖或者世贸那行业规模靠前的碧桂园和万科呢其实也都只采了一道红线而恒大呢当时就是三道红线全采等于直接变成了一个重点管控对象了等于是那个时候其实恒大的风险相较于同行的话已经是很高的了对的当然像龙湖世贸碧桂园其实之后也都逐渐的出现了自己的流动性风险那说明三道红线能够管控监控的部分呢其实也不是这个房企全部的融资手段否则会为什么会爆雷呢
[00:10:32] 这个我们后面会展开详细讲但是恒大情况就是这个政策发布没有多久恒大就发了一个通知说请求广东省政府支持公司的重大资产重组可见当时就撑不住了
[00:10:46] 那介绍完高周转和三道红线这两个关键词呢我们来讲一个跟恒大债务很相关的词叫预收款其实不管对于企业来说还是个人来说呢负债本身并不是什么很丢脸的事情啊只要你有能力把这个债务及时的偿还它就可以被视作是一个至少是中性的一个助推计关于这个理念呢推荐大家去看Ray Dalio的一个经典视频经济机器是怎样运转的我们会放一个链接到show notes里啊
[00:11:13] 当然另一边就是负债越高对于你的偿还能力要求也越高嘛那对于开发商来说他的目标就是要快速的然后以比较高的价格能够卖掉房子这样才能回笼资金是的但是开发商有一个经典的困境就是他卖的房子呢几乎是没有现房的你除非卖二手房否则都不是现房几乎都是开售时候还没有完全造好的期房这个我们前面其实已经涉及到了一点啊那这个消费者呢现在付了钱
[00:11:40] 但是实际上要等一两年以后才能住进去对于这类收入一般来说会有两个限制首先可能不要求消费者预先就把全款都付掉因为房子没有交付之前理论上都是有一定风险的对吧现在现实上也有风险现实上也有风险其次就是消费者预付款对于开发商来说其实是预收款
[00:12:01] 理论上在财报里面会先记作负债然后到交房以后再记作收入所以其实在前面三道红线里面就规定了第一条上面写的是房企在剔除预收款后它的资产负债率不得大于70%因为大家都知道预收款这个记入负债是一个会计准则上的要求实际上预收款和那些比如说你欠给供应商的钱或者是你问银行贷的款还是不太一样的对的
[00:12:26] 另外对于这部分消费者的预付款的话各地的政府部门还有相应的监管制度一般来说这个预付款会直接先流向政府的监管账户然后政府部门会按照这个项目的节点比如说你开发到什么进度了就允许开发商再提取一定的比例防止他们直接把这个预付的资金直接放到了高周转的体系里面2021年底EG中国的CEO丁祖裕曾经在行业会议上面举过一个长三角地区的真实的项目例子
[00:12:55] 他说某一个项目拿地就花了16亿然后预收款呢收到18亿扣除各种阶段性的成本以后呢开发商本身账面上面增加了8亿元收入看起来还可以啊但是因为这个项目是七房嘛然后这个8亿里面有7亿是政府监管的资金企业实际能动用的呢只有一亿元而为了拿这块地呢企业本身在银行和行业上下游就产生了7亿元的应付款
[00:13:23] 也就可以理解为他这个同时还要还7亿元的债这个1亿元的现金对7亿元的债务这个风险就很高了所以在开发商的这个收入端关键不完全在于销售房子带来的账面收入而是你要获得当下可以用的收入也就是近似于现金的这个部分对吧对的但是开发商显然是不甘心的因为这个钱迟早是我的为什么不让我用呢
[00:13:45] 所以一方面很多企业是想尽办法通过谎报工程进度或者说直接让消费者把钱打到公司的账户里面来扩大支配的预收款比例另外一方面像恒大这样的企业还会直接在会计准则上面下功夫把预收款更早的确认为收入这个会计都准则了还有可以调整的余地吗实际上恒大延迟发布了两份财报最大的争议之一就是使用不同的会计准则可以在多大规模上来粉饰财报
[00:14:14] 2017年香港的会计准则做了一个调整给了房地产企业在确认转接上更大的自主权简单来说企业可以在两种情况下选择一个更早的时间点把预收款转为收入一个时间点是交房时候的时间点这个其实跟最早的标准的会计准则是一致的第二个就是销售合同已经能够确保这套房子能够明确的归属这个购房者的时间点听上去非常的模糊怎么界定这个明确归属呢
[00:14:43] 有个房地产行业比较有名的自媒体账号叫包邮区专门介绍过恒大是怎么确认的说恒大主要是以这个项目的外立面完工为准的这里其实有两个tricky的点首先恒大的房子其实一般都会强调是精装修交房那从这个楼的外立面完工到精装修交房这个中间至少还有12个月的工期这个已经相当于提前一年确认的收入
[00:15:09] 其次呢外力面完工这个具体的确认工作不是有恒大自己说的算理论上是有审计机构也就是恒大之前多年的合作伙伴普华永道他去派一些审计师在项目现场完成的这个就有一些可以欺骗的环节了具体到操作的层面呢恒大据说是这样的他会先在前一年的年底先确认说我明年想把多少的合同销售金额转结为收入然后呢对着所有的在建项目划了一遍
[00:15:37] 看看有多少项目呢有希望做到一年内外力面完工然后把这些项目呢就列为重重点工程两个重啊然后加速施工如果再进行项目的总规模还填不上他想转接收入的这个目标口子呢就降低标准那本来说是外力面完工才算那他可以降低标准到比如说年内可以到到第十层我就算甚至年内到到第七层我就算了也可以进入到这个重重点项目列表里面那这个重重点项目的列表
[00:16:06] 以及具体确认到哪个阶段算作是可以确认收入呢这个两个指标都会在年底给到审计机构审计机构其实照着这个东西点就是了而审计师到了现场呢要么就是远远看一眼这个外面差不多了就确认OK要么就是现场看这个恒大人给他们表演一个指路为马
[00:16:26] 假设这个二号楼还没有竣工恒大人就会指着已经竣工的一号楼说No 这就是你要找的二号楼笑死了十年前我们经常会听到什么审计工作的一些经典笑话比如说去上市公司数猪啊算煤啊什么的这个数楼感觉难度很低没想到操作起来这么有挑战啊
[00:16:43] 总之靠这些办明办案的招数2017年开始恒大的财报上面就出现了一些神奇的变化我们可以看一个指标就是中国恒大美元的收入和合同销售金额之比会计准则调整之前的2016年这个比值是不到0.57的也就是说收入和合同销售金额的话还是合同销售金额会更高一些而到了2017年这个数字变成了
[00:17:10] 0.62就是收入比例增加了到2020年呢这个水平进一步提升到了0.7反正比之前更高了一些但到了延迟两年才披露这份2021年财报里面呢中国恒大又突然提出说我觉得原先这个界定规则呢不太符合公司的实际情况所以我们改回了跟老规则比较像的二选一原文教授说纳入获得项目竣工证书或业主占用
[00:17:38] 也就是说这个楼主体封顶且验收合格了或者说交房了才把合同销售转成收入那这个条件显然是比原来严格的多了就没有什么外力面完工就算确认收入的这事情了所以说2021年呢中国恒大的收入和合同销售金额之比又掉到了0.54这个水平当然这里面应该也有2021年恒大自己销售不利的一个原因此外中国恒大还在这个2021年财报里面同时提了一嘴说
[00:18:04] 按照这个新的准则来说2017年到2020年之间合计应该有6643亿元的收入应该回拨为合同负债但是具体每年要修正多少恒大方面表示因为我们公司经营不善当时的很多财务和工程的员工都跑路了我们没有办法确认这个属于是点一句旧账但不让你具体翻旧账了是吧
[00:18:27] 不过用这个会计准则来调节收入的话对于恒大来说具体有什么好处呢当然有了因为你提前确认了收入然后这个公司如果是成本结构没有特别大的变化的情况下呢其实会额外产生一块新的利润那利润呢又是跟股东分红绑定的那许家印和一批恒大高管都持有大量的公司股份他们完全可以用这个方法来合理套现具体来说2017年恒大的分红就超过166亿元
[00:18:53] 而到了2018年光是许家英自己就从分红里面拿走了153亿元当然我个人认为合理利用会计准则是很多上市公司都会做的事情而且大部分情况下会计准则变更也会明确写到财报里当然只是字比较小而已我们日常看财报也不一定会关注这么细致但是像分红暴增这样其实指向很明确的指标变化其实已经可以说明问题了
[00:19:18] 所以简单小介绍的话就是恒大相当于是利用了这种提前确认收入再加上提前分红套现的方式把原本很多应该受到政府监管或者说是会计准则约束的资金交给了股东而不是留在公司体系里边来偿还高州长带来的高负债所以公司的流动资金就会本身就有问题对的
[00:19:39] 我们前面花了很多时间来讲行业的背景以及恒大的收入和流动资金是怎么变化的但是好像还没有触及到本期节目的主题就是恒大的债务到底是哪些债说实话讲到这一块真的已经有点为难情绪了因为大型的房企虽然说收入来源往往比较单一就是靠卖房子
[00:19:58] 但是债务来源那就是五花八门了而且大部分好像都是没有写到公司财报上的记法你这么说感觉是那种什么一夜暴富的方法基本写在刑法上那种感觉差不多啊所以这个部分呢我想直接给大家介绍一些中国的房地产企业比较常见的债务来源其实也就是他们的融资手段了我自己呢是把这些手段大概分成了四类首先是一些比较标准的融资手段也就是财报里面的借款相关的部分
[00:20:26] 其次呢就是房企非常常用的一些所谓表外融资的手段然后是一些大型企业能够实现的所谓混业融资手段最后是一些野性的民间融资手段光是分类都能分出四种啊那我们一个个来吧好呀那首先讲这个最合规的几种借款手段大致包括银行贷款然后公司在境内外发行的票据债券还有一些像永续债可转债以及优先股等等有些东西我们具体不展开讲几个点
[00:20:55] 我们前面一直说高周转模式除了资金的使用效率还需要很高的贷款作为支撑那看中国恒大财报也很容易确认这一点2022年中国恒大披露的借款规模是6123.9亿元其中银行和其他借款就占到了4195.2亿元接近70%这个数字其实相比2021年的时候其实下降了一些
[00:21:18] 但是利率是已经飙升到7.88%了反正是一个很贵的银行贷款而且是占了很大的一个比例那这个借款中的第二大部分就是所谓的优先票据优先票据其实也是一种公司债但是如果这个公司假设说它破产了债权人要排个先后次序来分剩余资金的话优先票据的顺位是要高于一般公司债的稍微高一点恒大在2022年有1395.4亿元的优先票据负债
[00:21:46] 而且全部是要在一年内归还的而且跟分红类似恒大的高管们好像也很喜欢买这种优先票据好处是把工资贡献出来给公司提供了流动资金问题是资金的代价也挺高的恒大每年要为这些票据的持有者们支付高达6%到12%的年利率
[00:22:06] 那像前面提到像永续债可转债和优先股的部分因为时间关系我们就不展开讲了但是关于恒大债券的问题呢我觉得还有一个值得关注的点吧就是恒大的美元债和港元债的比例不算低2022年恒大借款里面有27.3%其实是以美元和港元计价等于是美元债或者港元债
[00:22:27] 而2022年市场出现了一个现象就是人民币对美元和港元出现了贬值这个也导致了恒大还产生了95.9亿元的人民币汇率兑换损失有一个印象就是恒大在2021年走向崩溃的一个标志性事件就是当年9月出现了这个美元债的违约然后最后提出了一个涉及190亿美元的境外债务的一个重组方案是的
[00:22:50] 其实恒大会融到这么多美元债呢一方面当然是因为这个资金需求量确实很大了另外一方面也是因为在2022年之前美元的走势其实是长期疲软的而人民币是坚挺的如果说你在美元债上面操作得当是可以套取一个汇率插来赚钱的但是2022年这个年份大家也知道美联储就是连续加息导致美元开始走强了那同期呢恒大又没有足够资金来提前结算掉这些债务
[00:23:18] 这就导致了利息和汇率差出现了双重损失OK那第一个部分我们就清甜简水的介绍一下第二个部分叫表外融资顾名思义是不是那种不是那么上得了台面的方式也不至于反而我觉得都是一些中国房企非常熟悉的套路其实有三个我觉得值得展开讲讲的套路分别叫
[00:23:40] 非并表公司融资民股实在融资和ABS融资OK第一个感觉就是不是很懂啊什么叫非并表公司简单来说是中国恒大这个财报呢所披露的不仅仅是中国恒大这一个香港公司的业绩那还包括它旗下持股比例超过50%的子公司业绩那合起来出的是一个总表此外呢必然还有很多恒大占股比例不高的子公司
[00:24:05] 比如说跟别家合作拿地做项目的话如果你的资金没有出那么多的话你的股权占比可能就不到50%了这里有一个可以调整空间就是房企可以用一点点资金稍微调整比如说2%的股份就可以实现一个公司的进表或者出表比如说你把控制权提到51%它就进表了降到49%它不就出表了吗
[00:24:27] 不在报表上的这些子公司其实也可以作为独立的融资主体去申请银行贷款然后它也可以成为母公司的资金通道当然这笔债又不写到母公司的财报里面这个就叫表外的融资是吧第二个叫明股实债我字面的意思理解的话就是看起来偏向长期的股权投资但实际上
[00:24:50] 还是一个几年内要赎回的一个债对 字面意思确实是这样但是房企的实际的操作路径一般会复杂一点我们还是举一个例子大家先听听看假设说A公司他计划去喷一块地预计要花10亿元但是这个A手上只有6亿元可以拿来拿地他就去找了一家信托公司B做了如下操作
[00:25:15] AB两家合资成立了一家合资公司CA在C里面投入了6亿元占股60%B投入了4亿元占股40%那这个合资公司呢就去拿10亿元他就是AB两家投入的10亿元去拿地做开发为期是三年的但是这家信托公司B在成立合资公司的时候就要求说你这个合资公司要在三年以后以10%的年利率回购我手上的所有股份
[00:25:42] 能用的其实自然还是A的钱回购以后原本这个盒子公司就成为了A的全资子公司然后也会实现我们刚才讲的竞表就并表到A的财报里面这个例子听上去很绕但本质上其实就是A向B借了4亿元然后拿了一块地做开发而且他最后还要还给B的总额是5.32亿元这个费率很高而且非常的绕这是为什么呢
[00:26:07] 还是出于同样的原因就是这个方法首先在财报上面不会显示为纯粹的有息负债很符合三道红线的要求其次就是名义上这个回购费用它不会作为所谓的什么利息费用来出现也不会作为什么财务费用而是会被塞到一张没有人看的表叫股东权益变更表里面然后是从A公司的资本攻击和留存收益里面扣除掉的那如果要在房企的项目公司
[00:26:36] 股东名单里面看见了带什么信托股权投资私募这些资源的少数股东大概率就是走这种民股实债模式其实就是找了一个很高成本的资金通道但是绕开了所谓的有息负债的部分就是虽然有点复杂但还算是合规的对吧那这个ABS又是什么呢ABS我觉得也没有简单的哪里去ABS的中文叫资产支持证券其实就是另一种有抵押物的融资方法
[00:27:03] 只不过这个抵押物本身的限制呢会小一些房企可以用它来当做一种调节债务水平和债务期限的工具我们再举个例子啊就是假设说一家开发商欠一个供应商假设说这个供应商是个瓷砖公司吧那这个开发商欠这个瓷砖公司5000万的材料费原本约定是三个月内解清的但是开发商想了一个办法说
[00:27:26] 我把欠你的这个欠条作为抵押物然后我们把它包装成一个5000万规模为期一年利润5%的ABS然后放到市场上结果三天就卖掉了那这些ABS项目的买家呢实际上就是替了开发商把这个欠资产公司的欠款给付了理解了那其实开发商获得的好处就是他支付这笔欠款的实际的时间从三个月变成了一年对吧
[00:27:51] 虽然他要付出5%的利息的代价但是也改善了他财报上面应付款的规模对的那ABS除了可以把账期拉长也可以把资金回流速度缩短还有一种ABS是这样的就是买房过程中不是正常你要等一段时间商业银行才会把贷款打给你吗那房企其实是可以把可能会收到的商业贷款
[00:28:16] 打包变成一个ABS拿出去卖然后这个卖的如果好的话这个资金可能很快就到开发商账上面了然后再等消费者把这个贷款补齐三到六个月以后呢然后开发商再贴点利息打给ABS的买家去就可以了这个感觉房企当时对于时间的这个需求就是非常的大啊那我们讲了半天的话才刚刚把这个比较常规的套路讲完啊剩下还有两个部分了其实剩下两个部分也确实比较非常规我们就简单提一下
[00:28:44] 所谓的混业融资主要是靠房企本身如果它规模足够大的话它可能去收购一些银行或者保险的牌照作为集资的渠道或者说资金的通道保险尤其是做人寿保险的话它有个明确的好处一般来说都是资金沉淀规模很大但是每年兑付的规模相对来说比较小然后你把资金挪用来搞房地产其实很合适
[00:29:06] 银行的话则是有一些比如说违规放贷的机会或者说你利用这个银行本身的外汇额度用你境内的抵押品去支付你的像美元债或者港元债之类的这官方叫法叫内保外贷所以我们看恒大去做恒大人寿或者说之前去收购圣经银行背后可能都有这些原因当然这个也不算什么很野的方法就是你拿到牌照还是靠买的最野的还是靠民间融资手段
[00:29:31] 据说在敏系房企里面非常流行组织员工集资来支持公司的项目或者是让供应商来跟投一些项目严格意义来说这个都可以算作是非法集资了那恒大的项目稍微好一点他呢就是专门做了一个金融公司叫做恒大财富是靠发行理财产品来集资的
[00:29:52] 比如说有一款专供恒大高管的产品叫超收保那承诺利率是25%其实很超额收益但是这个认购门槛就在300万以上这个恒大财富的话其实在整个恒大的债务如果跟债务的规模相比的话量没有那么的大但是在恒大爆雷之后它引发的社会效应或者关注度还是蛮高的因为有很多供应商和员工都是去买了对的这个其实涉及到了更广泛的利益群体了
[00:30:21] 包括说前面提到这个超收保其实也跟我们前面提到恒大高管们喜欢买那些优先票据差不多啊一方面要利用你的资产给公司赚钱另外一方面又给你很高的利息当个人零花钱OK那到这里的话我们其实把恒大或者说国内房企惯用的一些融资手段只是讲了个大概啊
[00:30:41] 这个部分的专业名词非常的多如果大家听的比较糊涂其实也没有关系其实这些手段的核心一般就是三点第一个是为企业的高周转来提供大规模的资金哪怕是付出比较高的利息成本第二个就是尽可能降低上市公司财报层面的负债的水平来满足三道红线明面上的要求第三个就是他来调整已有的负债或者是未来收益的账期能够尽量的把这个债往后拖一拖然后把
[00:31:09] 还没拿到的钱能够先拿到手当然这种费尽心机的后果就是像恒大这样的公司你是很难摸透它真实的就是在所有口径上的整体的负债水平的比如说拿到恒大这颗公司的话你可能以为你在拆一颗很大的地雷实际上你是直接踏进了一大片地雷阵
[00:31:30] 讲了这么多我觉得到了结尾的部分我们终于可以试着回答一下在开头提出的问题了就是恒大的债务是怎么滚到这个水平的前面一直在展开讲讲最后我们就总结讲一讲首先恒大作为高出转房企的代表本身它的正经负债规模就不会很低加上各种各样的表外融资手段这个为公司首先是捞来大量发展用的资金同时也埋下了巨大的债务阴影
[00:31:54] 这过程中不管是使用像ABS这样的调节工具还是直接去商量债务的重组其实都很难明显缩小债务本身的规模起到效果呢主要是拖延这个不解决实际问题那如果在争取时间的情况下呢公司销售得利回款速度合理这个债务规模或许能够缩小一点缓解一点这个压力那是恒大所做的恰恰是饮吃卯粮在财报当中提前把收入确认掉了然后部分资金还流向分红
[00:32:22] 这个进一步减少了现金流加上房地产市场受到疫情和宏观经济形势的连续冲击这收入断绝是难以为继的这个债务运营就反噬了公司那越是在这种时候恒大就越会重视还能够流入和动用的钱以及还能够使用的一些资金通道这里我们简单提一下恒大汽车就几乎所有汽车行业里的人都知道这个声势浩大的造车项目是很不靠谱的
[00:32:46] 但为什么恒大还是一定要大搞这个造车并且要拼命保留他的这个上市公司地位呢其实就是为了要能够引入投资者然后就像我们前面说的能够获得一定的资金的通道对的当然中国恒大作为恒大汽车原型的最大股东其实也没有忘记在紧急的时候靠减持捞一点救命钱我们前面提到恒大的美元债爆雷是2021年9月份的事情吗
[00:33:12] 其实当年的5月中国恒大就靠出售恒大汽车股份套现了超过100亿港元那这笔钱最后到底是用来还外债还是用来保交楼呢其实也说不好这个还外债和保交楼其实就是房企爆雷之后普遍面临的这个双重困境啊就一边是这个债权人另一边呢是催促你交房的消费者还有地方政府
[00:33:36] 但是公司自己的现金流已经枯竭了哪一边的要求都没有办法满足更不要说是同步解决了这个其实就是一辆高速前行但是安全配置不足的车在急刹车以后的必然现象除非有人愿意大规模注资的话否则它其实很难再启动了但是到了这个地步又会有一个问题就是企业的信誉往往已经完全破产了还有谁会愿意投钱呢我觉得没有什么两全其美的办法
[00:34:00] 这个就基本上是我们对于恒大这个债务爆雷从这个表面的层面一个大概的概括吧我觉得如果说中国的房地产行业要走出这一轮低谷的话可能必须要有一两个成功提振起来的案例尤其是像恒大这样的案例才有可能让市场有信心当然恒大我觉得真的提不起来最后还有一个别的感悟就是恒大这个品牌的边界问题
[00:34:25] 可以说恒大很多的动作都是用来维护中国恒大就是3333.hk这支股票的财务数据那维护这些数据呢可以让这个公司在上升期看起来更厉害然后坠崖期看起来不要太惨但是我们在讨论恒大的时候呢又往往会关注到它一些跟房地产主业关系不大的花边位置的新闻比如说什么恒大足球队和恒大冰泉之类的
[00:34:47] 其实不同人对于恒大这个词的理解可能也不太一样那对于中国低线城市的打工人来说恒大可能就意味着他已经付了定金但是还没有交楼的一栋烂尾楼或者是一个追不回本金的理财产品但是恒大真正的公司实体又在哪里呢我查了一下它是一家英属开曼群岛的公司这个意味着它可能就是公司系统里面的一纸文件其实从明和实两个角度能够看到特别不一样的恒大
[00:35:13] 名上的恒大是一个世界500强是中国最深门的房地产开发商之一然后业务范围非常的广还节节窜升而许家印本人可能也非常醉心于这种梦幻般的名誉当中但恒大的石呢是一个大小齿轮紧紧嵌套然后资金的皮带随时可能会断掉还牵绊了众多外部资源的一个系统那现在呢我们正好在见证它的分崩离析如果更早从石的角度来质疑恒大的话黄帝的心意也许穿不了这么久
[00:35:41] 在造假者为了品牌知名调节和掩盖真实的时候投资者还是应该在虚名的嫁妾缝隙里面尽量看清楚企业的灵魂商业就是这样感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目如果喜欢我们可以在苹果播客内点击关注也可以在小宇宙平台给我们打赏这会对我们很有帮助期待你在各个平台与我们交流下期见
