Vol.230 为什么人人都知道诺贝尔奖？
[00:13:23] 嗯非常完整的一套颁奖的仪式和元素对吧对而且就是他这套仪式很会讲故事嘛一方面体现出对这个获奖者的重视另外一方面就是很注意传统包括和斯堪迪纳维亚地区的这个联系包括和诺贝尔本人的一些关联对吧就不停的在讲这个传统的叙事就这个故事本身很完整那除了仪式之外其实还有一些延伸的故事就对这个事情有进一步的强化比如说所有的获奖者都会接到这个组委会的电话
[00:13:50] 除了和平奖之外都是从瑞典打过来的所以有一个著名的玩笑就是顶级科学家在10月初要千万留意来自瑞典的电话今年不是有个最好的相关的热色吗就是医学奖的得主之一他在获奖的那几天就出去徒步了跟他的妻子出去对吧就没有手机联系不到所以一直没有打通电话然后下了山之后就说几百个电话还有一个其实我们小时候可能都听过的故事就是有一个诺贝尔物理学奖得主叫尼尔斯波尔
[00:14:18] 他在二战期间为了躲避纳粹的破坏就把自己的金制诺贝尔奖章藏到了王水里王水就是死去的这个初中化学知识又重来攻击我了对我一度怀疑这就是一个初中化学老师编出来的故事然后就说他战后怎么样再用什么把这个金子又重新吸出去还原反应对把这个金子拿出来对但是后来发现这个故事不是完全的编造就是在这个二战期间确实有两枚诺贝尔奖章放在了王水里面藏起来不过不是
[00:14:47] 波尔的是他同事的两块就是他帮忙把这个东西融进去了这个研究所非常的厉害对吧除了波尔这个大名鼎鼎的科学家以外还有两位诺贝尔奖得主这个其实就是正好是我想讲的最后一点就是诺贝尔奖的影响力累积诺贝尔奖是从1901年开始颁发的到现在其实已经有126年了这个期间有些奖项出现过中断比如说和平奖有
[00:15:11] 中间有19年是没有得主的但是整个诺贝尔奖序列没有完全中断过就是没有哪一年是一个诺贝尔奖对没有这种事情那越到后面呢就是诺贝尔奖得主的规模和整体的影响力就会变得越来越大那像爱因斯坦居里夫人马丁路德金这些先行的影响力加成在这个里面也会变得越大
[00:15:33] 就是拿过诺贝尔奖的如果有一些在人类历史上非常著名的人物的话会反过来形成对诺贝尔奖的这个名声的一个加成或者杠杆就类似于是你和爱因斯坦拿了同一个诺贝尔奖就是这个吸引力就很大是吧对啊就是这种荣誉的影响力大到什么程度呢就是据说有人专门研究过所有已故的诺贝尔奖得主的附告
[00:15:53] 就是不管是任何的领域这个附告的开头无一例外都会提到他们拿过诺贝尔奖这个其实就是这个诺奖的荣誉对于个人的影响力另外一方面还可以看一下它对于国家和机构的影响力就像你前面说的如果一个科研机构里面有三个诺奖得主这个机构是不是就给你直观感觉说它很厉害顶尖两个字就打在它的门面上这是很厉害那顶尖的学术机构几乎都要依赖于这种可量化的指标来展示自己的科研实力
[00:16:21] 有些学校为了强化自己影响力也会特意延来一些诺奖得主你来我这里工作吧在机构之上国家层面也有所谓的诺奖情节比如说不管是自然科学奖还是文学奖国人的期待一般来说都比较高而且对于真的诺奖得主讨论度也相对来说很高它成为了一个各个方面都是很硬的一个指标所以说一个能够持续产生诺奖得主的环境它大概率就是一个
[00:16:47] 学术氛围很浓厚而且科研工作可以得到充分尊重和重视的环境所以说诺贝尔奖作为一个特殊的品牌它最大的价值其实在于对于国家和机构科研软实力的一个肯定
[00:17:02] 前面我们主要是从诺贝尔奖的发起以及他独特的策略出发来看看他作为同类当中的一个新兴品牌是如何一步步打造自身的形象然后站上这样一个位置不过直接讨论品牌经常会让人感到有点空洞就主要是感觉他脱离了他距离的产品或者说是服务好像就他为了打名声一样的
[00:17:22] 那诺贝尔奖它作为一个品牌它的这个产品和服务具体有哪些呢说起来就是诺贝尔奖这个品牌确实没有什么明确的实业作为支撑你想说的话就是它整套颁奖的制度啊仪式以及它这个奖金体系吧那这些后面还是有一些实体机构在做事的就是这个诺贝尔奖基金会基金会负责诺贝尔遗产的投资和管理那收入呢是用于每年的诺奖的奖金和仪式的费用
[00:17:48] 这有一个特例是经济学奖经济学奖我们前面说是瑞典中央银行发起的它每年会向基金会直接去拨款这个拨款的部分就用来发奖金但关于奖金这个大家最感兴趣的就是发了100多年了这个遗嘱里面的这个钱应该早就用完了为什么诺贝尔奖每年还可以发出这么多的钱这个部分其实有很多的媒体报道了我们就简单讲一下就主要是靠投资基金会最初拿到诺贝尔遗产大概是3150万瑞典克朗
[00:18:17] 多是真多确实蛮多的就是如果不做投资直接每年发五个诺贝尔奖每个奖15万瑞典克朗的话如果我们不考虑通货膨胀只看数字上面的话这个大概可以发40年也挺多了但也发完了对也就发完了所以说在遗嘱当中的诺贝尔其实就已经要求管理机构要把它的遗产用于一些投资但是只能投资安全债券比如说你投到银行的定期存款或者一些固定利率的票据上面OK
[00:18:44] 这个部分虽然投资回报很低但是相应的风险就很小然后产生利息足以覆盖早期的奖金支出不过基金会在20世纪上半叶面临的一个很大的问题是税务的支出其实在1914年之前诺贝尔基金会缴纳的税率就已经有每年要缴10%的税了然后到了1915年因为一战然后瑞典又增加了一个叫临时国防税的东西所以说
[00:19:09] 如果看具体的奖金支出金额诺贝尔奖在20世纪上半叶是有过显著缩水的在1923年它其实每年的单项的奖金是达到了账面最低的11.5万瑞典克朗如果再考虑通货膨胀这个跟最初影响力就已经没法比了其实是到1946年诺贝尔基金会才终于享受到了瑞典国内的免税待遇
[00:19:33] 这个时候距离他们破产也不是很远了这个还是蛮反常识的就我以为这种影响力很大的遗产的基金会它又是公益的嘛对吧一般来说应该是自带免税的设定的嘛没想到就是这个钱都要收很长时间的税对确实不太理解瑞典人是怎么想的这个事情但是anyway到了1953年就是诺贝尔基金会实在是不行了它为了自救呢就是跟瑞典政府有一些协商然后也是在政府的同意下呢放弃了原来绝对安全这个投资框架
[00:20:00] 开始去投资一些风险更高的股票
[00:20:26] 进一步来降低风险然后这之后就开始又一部分钱挪到了欧美市场上之后就经历了著名的互联网泡沫再进一点是金融危机所以说这个两次危机其实导致了诺贝尔基金会的资产总额有过两次明显的下滑但是如果我们看最近50年的总体情况就是这个基金会的平均年化投资收益率是接近8%他们本身的投资的
[00:20:52] 收益度目标其实是3%其实远远超出这个目标还是就是跟上了这个市场获得这个市场正常的红利的做的还OK的对他们整个投资策略还蛮有意思的就是如果看他2024年的整个资产配置目前这56%的投资是放在股票类资产上的11%是最传统那个债权类的雇收产品和现金
[00:21:14] 90%是投向了房地产和基础设施另外还有24%的另类投资主要是投到了一些对冲基金上哇那这个部分还是蛮猛的嘛就是这么说吧如果是其他的私募基金这么去分配你可能会担心它的最大回撤水平但是诺贝尔的投资成绩呢只能让我们就是狠马后炮说它是一种进取型的投资风格OK我觉得也确实比较合理啊那讲完收入部分呢我们再讲讲支出的部分
[00:21:40] 基金会每年最大的支出就是诺奖的奖金此外还有办仪式要花一点钱还有各个组委会的工作费用另外还会出现一些偶发支出比如说2018年就有一个斯德哥尔摩设计实验室受邀为整个诺贝尔奖做了全新的品牌方案包括logo字体配色方案和视觉元素就做了一整套新的形象
[00:22:04] 这个项目的具体费用是没有办法考证但是可以从诺贝尔基金会的2019年年报看出当年他们有一笔额外的支出项就是它的行政费用比往年的平均水平是高了50到60万瑞典克朗我觉得主要就是这个项目上花出去的那这个50到60万到底算多不多呢我觉得还行考虑到它是北欧其实理论上应该服务费用可能会更高一点
[00:22:31] 其实我想问的就是具体每年他到底要支出多少的钱就是怎么分配的就是首先每年的支出只能从投资收益的部分里面出
[00:22:40] 不能动本金而且呢这个投资收益每年还不能全部都用完最多只能用90%那剩下的这个10%其实要归入本金去做再投资的还是要有一点复利的价值出现的对就他们这个部分归的很严格那这90%的投资收益呢会被分成五份每一份里面就是四分之一是各个组委会就是自己组织上面用掉然后剩下四分之三用来发钱为什么是五份啊
[00:23:06] 你忘了诺贝尔经济学奖的钱是从瑞典中央银行里面直接拨款出来的他不动用投资收益的部分sorry我刚才有可能有点理解错了你指的就是先把投资收益分成五份然后五份里边再有四分之一和四分之三的区别对所以这个钱到底是有多少实际上是跟他投资收益来的那是不是就意味着每年的奖金是浮动的
[00:23:29] 不是完全浮动就是他们会考虑这个综合收益的情况就是如果你连续几年年金都比较好的话他们会考虑就是涨一点涨涨奖金对就是比如说从2001年到2011年期间其实每年的奖金呢他们就是前几年因为都收入比较好所以他们那个奖金都是1000万瑞典克朗但是因为2012年不是因为金融危机影响吗就是影响其实已经很大就是已经侵蚀到他本金的部分了然后再加上他们说
[00:23:56] 此前几年的整体支出呢都略略超出了收益所以说他们就决定在2012年把奖金一下子砍到800万瑞典克了然后之后慢慢才涨到900万然后到2020年才恢复到1000万就它跟这个投资的这个波动有关系但是它这个影响不是像我们的这个就是投资账户一样那么即时它是有一定的延迟和有一定的缓冲的有点像有些保险的那种分红一样的感觉对有点像这个感觉
[00:24:22] 如果说考虑到货币贬值1000万瑞典克朗2020年的1000万瑞典克朗大概就跟1905年15万价值也差不太多所以它基本还保持着吸引力和购买力就跟原来差不多一个吸引力而且1000万瑞典克朗折合成人民币大概是750万人民币
[00:24:42] 说多也不是特别多吧那还是很多了吧可以做些比较就是现在中国的国家最高科学技术奖它的奖金其实有800万人民币就总奖金对那个我本来以为只是一个荣誉没想到还有这么大一笔奖那我是知道的就是我记得第一届的时候班的时候就说到它这个奖金很多要奖励一些科学家还可以看一下行业里面就是整体奖金最高的一个奖叫做科学突破奖这是谁发的米尔纳发的米尔纳是谁
[00:25:08] 米尔纳是一个俄国的巨富OK巨富主要也是搞投资起来的当然他在俄罗斯本身有一些就是互联网相关的一些产业不过他最著名的投资履歷包括FacebookTwitterSpotify小米等等OK好的那三百万应该对当然也不是完全说是他拿出来就他还吸引到了一些就是同行
[00:25:32] 包括像谷歌的创始人谢尔盖布林夫妇然后还有马克扎克伯格夫妇还有马云夫妇以及马化腾就是都往这个科学突破奖的池子里面投过钱所以这个池子就是非常的有潜力就感觉是一个新时代的就是诺贝尔奖就是想用这个钱砸出这样一个影响力的对我觉得这个就是走的类似于诺贝尔奖设立出新的一个金元政策就是你把奖金额度做到足够有冲击力
[00:25:57] 单项的奖金就是300万美元就相当于什么一个网球大满贯的决赛的那种水平就是人民币2000万的水平就其实已经远远高出诺贝尔奖了不过你要追赶一个已经有百年积淀的诺贝尔奖了我觉得还是需要很长期的工作那简单小结一下总的来说像这种顶级的科学奖项它目标一定是通过对于重大科学成就的充分肯定和重视来引导科学研究的正确方向那至于奖金的水平呢
[00:26:24] 既重要但也没有那么重要你可以把它看作是一个荣誉的折线但是当这一个品牌本身累积到一定程度的话这个荣誉本身的价值就已经很难以公量了
[00:26:35] 那前面呢约老师主要是介绍了诺贝尔奖如何让自己从众多的科学奖项当中脱颖而出并且一步步的积累成为一个具有强大影响力的品牌并且延续至今啊能够维持下去包括这基金会是怎么赚钱的那最后我觉得还是来聊聊关于品牌影响力的话题吧就是你前面讲的诺贝尔的一些外延或者他能带来的一些市场的效应关于这个部分你可以想到一般有三类影响
[00:27:01] 一类是在学术领域就是你拿了诺贝尔奖是不是可以给你带来更大的学术声誉第二个是专业市场领域比如说在出版界他们就很关注文学奖这个部分第三个就是跟诺贝尔奖略有一些关联但是相对独立的场外市场我们就一个个来说首先在学术领域方面之前有一个假说是诺贝尔奖会有所谓的联谊效应就是说这个人拿到了诺贝尔奖之后
[00:27:27] 不仅他自己的主要论文的背影量会迅速的提升而且他论文里面引用的其他论文的背影量也会提升这大家认为就是诺贝尔奖影响力可以到这个程度不过这个说法呢后来其实有蛮多的研究是证明是有点正伪了就是说拿到诺贝尔奖必不能带来你这个论文背影量的激增那大概率呢还是就是一个维持原状或者说稳步有小幅提升的一个状态
[00:27:52] 我猜这里边主要的原因是不是因为现在诺奖主要已经颁给一些就是他的这个研究成果在这个行里边已经被充分认可的一些科学家就他本来都已经蛮有名声了就是该引的都引过他了对对对只不过就是有可能让他的名声再更大的爆发或者让更大的人知道有这种概念对就是其实还是像我们前面说的就是诺奖得主的身份对于科研机构的吸引力主要还是体现在就是说比如说这个机构本身看上去更厉害或者说他有可能会带来更大的科研强度和经费
[00:28:20] 这个才是那个所谓学术声誉的一个体现就不是单在这个论文这个层面的至少论文这个层面没有太强的一个表现那接下来我们就讲专业市场领域前面说这个转化主要是发生在文学奖得主身上那少数情况也会出现在经济学奖得主身上就是得了奖以后他们的著作销量会大增
[00:28:39] 然后也会引发出版社去抢版权甚至是提前去压住版权对对对听讲过这种事情对这个事情还是比较有名的就是就中国市场有很多很著名的例子比如说2013年那个阿里斯门罗对最近也有些新闻对门罗就是在得奖之后他的那个逃离那本著作销量是冲到了70万册那版权方是新经典新经典因为是在门罗获弄奖之前就把这个版权买下来所以这个成本很低只有两三千美元
[00:29:08] 也是一种风投对这很赚的一个项目那另一个案例是2017年的石黑一雄石黑一雄的长篇就是被掩埋的巨人是在2016年其实就在国内出版了就在他拿诺奖之前但是呢就是不温不火就大家都不知道他是谁那在得奖之后呢这个书的销量就上来了在三个月内就卖到了20万册这都属于是超级的畅销书了
[00:29:29] 那更不用说莫言了莫言就更火了跟莫言类似一个例子是韩江据说韩江得奖之后他的所有作品在韩国本土只用六天时间就累积销量达到了百万册韩国人有没有这么爱读书啊我觉得他的这个著作本身也是普通人可能会更加关注的一些话题女性主义这个部分包括韩国的一些历史相关的一些部分就本身就是大家至少韩国人一直都
[00:29:54] 很愿意去看的那些故事不过我们去讨论所谓的销售大涨的话其实有一个很重要的前提就是
[00:30:01] 此前的技术到底有多大如果一个作家在拿到诺奖之前他其实已经拿过一些别的重要的文学奖比如说什么布克奖之类的那其实出版社压住他的理由其实是很明确的就是这个人就是很有潜力我就是可以去压他
[00:30:15] 比如说像营销准备其实也会做得更全面嘛拿到诺奖之后这个销量继续提升的其实是类似于顺水推车更进一步的这个感觉嗯就是不是天使轮是吧是已经A轮B轮的那种感觉有点这个感觉比如说像那个安尼艾尔诺他其实就之前拿过不可奖嘛那石黑一雄虽然没有拿过但是他四次入围过不可奖
[00:30:34] 所以说去投入这些作家的理由是很合理的就他本身确实也是一个成名的很有名的作家了对但我们可以举个反例就是古尔纳古尔纳在获得诺奖之前这个人的关注度非常之低就他这个主题也很大家觉得不是很讨喜所以说导致他的这个书在拿诺奖之前只在很少的几个国家发行过然后诺奖这个消息宣布以后像美国出版社是直接去仓库的深处把那个存货发出来发现也没有几本了然后就只能
[00:31:03] 跟南景去加硬然后更多的国家其实还要先去买他的版权他就导致说他拿了诺奖之后大家都想说这古尔纳是谁他输在哪里然后发现市场上没得卖是古尔纳因为最近还有一次那个中国情嘛所以大家对他的这个了解还是比较多的嗯就这个其实是一个蛮意想不到的后续就是他其实在2024年去上那个就是与辉同行那个直播间这其实他拿诺奖三年以后了
[00:31:27] 对就是那次中国行对我觉得那个时候大家还是不知道郭尔纳是谁所以说因为那两年有个特殊情况他不可能第一时间就能到国内来对但最后这个特殊之处还是在于就是销售力就是董宇辉帮他一晚上就卖掉了2.2万套他十分震惊于中国人的购买力对那一次这个中国行我记得我们朋友在那个编辑聊聊节目里还专门聊过这个话题大家可以去看看对我反正就是我觉得
[00:31:52] 最后去讨论销售提升的时候还是要不能脱离一个问题就是销售平台和销售策略到底是什么样的像董宇辉就是一个有点能够扭曲现实立场的一个销售平台我觉得就算不是诺奖的作品他也有可能可以卖出这个水平是的其实最自然的销售策略还是趁短期的热度像石黑一雄获得诺奖之后上海艺文出版社其实马上就推了他新的封面的一个版本的预售
[00:32:17] 效果也很好这个就是蹭短期热度很成功的一个经典的例子我也要说就是艺文泽编就是冯涛这个人他就一直很喜欢《十黑一雄》他从2011年就开始陆续去买《十黑一雄》这个版权所以说他其实是一个就是所谓编辑和作家和整个销售就是都互相成就一个很完满的结局OK但反过来说就是哪怕你落选了诺奖其实也不会影响你的这个价值其实这个里面最重要的是话题度
[00:32:45] 又不得不提村上春树村上春树这个作品全年在全球各地都很畅销它已经是最畅销的人了诺奖对它的编辑效应应该就算得了也不会有什么效果了对虽然它每年都在诺奖的赔率的前列然后它每年都赔跑但是也不影响它任何的商业价值在这个问题上面反过来是村上春树对于每年诺贝尔文学奖的至少在国内的这种语境里面讨论度是一个是在蹭村上而不是村上在蹭诺奖了
[00:33:14] 这么说也对吧不过你刚才讲到一件事情就是诺奖的赔率这个事情我一直很好奇这个事情真的有很多人在开盘口吗其实只有一个盘口此前很长时间里面世界上只有一个所谓的诺贝尔文学奖的专家赔率的表它只来自于一个博彩机构是一个英国的机构叫做Landbrokes然后它这个公司有一个
[00:33:38] 所以只有文学奖有而且只有他有别的像经济奖和和平奖实际上是没有的经济学奖据说有
[00:33:59] 今年哈佛大学自己搞过经济学奖的这个近猜是吗对有点像近猜就不是专业的博彩对但好像后来到2008年以后就停了他们觉得这个东西好像不是很合理是不是很合理效果不是很好对我觉得涉及到那种过于专业的这个领域里面其实就是对于这个行业来说没有特别大的这个价值那说回整个Landbox在这个业务里面诺贝尔文学奖其实是非常小众的一项就在他们这个类目里面叫新奇类目
[00:34:28] 这个公司主要关注的还是体育赛事和政治事件而且诺贝尔文学奖整个博彩的盘子也不是很大这个公司在2014年接受华尔街日报采访的时候说当年诺贝尔文学奖的投注总额只有5万英镑而他们一般来说一场大型足球赛事就可以达到200到300万英镑的投注规模真正的赌狗什么都可以拿来赌但这个圈子实际上是略冷了一些冷圈
[00:34:56] 今年还有另外一个新闻就是说诺贝尔和平奖的结果可能提前泄露了这个就是因为在这个获奖者的名字公布之前12小时就有一个神秘的用户在一个叫做Polymarket的加密货币博彩市场上强势的买入他然后把他的胜率从5%直接拉到了70%然后最后他自己在这个就是投注上面获利了5万美元
