Vol.59 一座超级城市是如何运转的
[00:05:17] 当然这个数字在不同的季节波动还是蛮大的那对应到整个城市呢每天就是一万五千吨左右的这个量而这其中有超过一半的蔬菜都是来自同一个枢纽的市场那就是上海江桥蔬菜批发市场江桥这个蔬菜批发市场在上海的地位是什么呢我看到上海国资委有一篇稿件里面是这么形容的他说上海人民的菜篮子拎得稳不稳关键就在江桥市场对就说明它是一个托底的作用啊
[00:05:45] 但是这个托底上海蔬菜供应的这个市场其实我查了一下它的面积并不大只有10万平方米10万平方米什么概念啊就是离我们这个公司上班很近的一站地铁的那个环茂购物中心差不多就是这个大小也就是它就是一个购物中心的一个市场然后就是这样一个地方每天会涌入6000吨到7000吨的蔬菜这些蔬菜呢是靠500辆大型卡车运进来的大概有一万多人次在这个市场里面交易
[00:06:13] 交易完之后再通过3000辆的货车和5000辆的非机动车从市场里边拉走然后经过各种转运进入上千家的菜市场超市还有难以统计的各种小店里边刚刚肖老师提了很多数字我对里面卡车的数字好像比较感兴趣我粗略的估算了一下刚刚提到那些卡车就是那500辆大型卡车这个首尾相连大概有3万米可以在横贯上海市中心的这个传说中的延安高架上面摆一个来回
[00:06:42] 对就是不然的话我们只说什么3000辆500辆可能大家觉得好像也没有特别厉害的数字但是你把它实际的摆一摆之后就发觉这个量实际上是非常恐怖的刚刚我报的这段数字里面还有一个值得注意的点就是江桥市场的一个地理位置它其实是毗邻这个G42护荣高速的一个起点也就是离高速公路的这个收费站很近
[00:07:02] 也就是说上海日常的这个蔬菜供应啊和其他许许多多产品都是一样的都是依靠全国的一个高速公路网络来支撑的那关于货运这点我们之后还会提到说回这个蔬菜的供应这些蔬菜通过高速公路运进上海那么它到底是从哪里来的呢于老师你有没有概念来自全国其他省份感觉说了一句人完全的废话对都是听见一起话如听一起话
[00:07:28] 其实那个月老师刚才那个答案倒是正确的就是江桥基地啊它不单单是一个批发的一个集散地还直接对接了全国各个省份的89个蔬菜种植的基地像甘肃啊山东啊宁夏啊河南啊等等地方都有它的一些直接对接的一些种植基地这个基地的规模就很大了就是那种可以无人机俯拍一整片蔬菜大盆的那种样子
[00:07:55] 为什么要遍布这么多的这个省市呢这样的好处就是便于让上海一年四季都有不同的蔬菜供应毕竟蔬菜是一个季节性的食品吧而且呢我还看到有一些小的细节比如说有的基地会和江条合作把这个蔬菜啊做成一个标准化的包装这样既便于运输而且呢也能够提升这个产品的价值也方便大规模的批发当然啊在这么多省份里面排名比较靠前的地区有两个我看到比较熟悉的就是江苏和山东
[00:08:24] 江苏是非常符合逻辑的一个答案山东最近吃山东菜吃多了好像有点对就像我前两天收到的这个西葫芦上面就写的是来自山东寿光的寿光大家都知道是一个鼎鼎大名的蔬菜之乡吧然后后面两天我又收到了这个街道发的物资里边有来自山东兰岭的蔬菜兰岭也是山东另外一个重要的一个蔬菜种植基地
[00:08:48] 这些种植基地的背后又是一个中国蔬菜规模化种植的发展的故事和我们日常概念里面小的农田上面种一点点蔬菜完全不是一个概念没有这些大规模的大盆和这些非常现代化的蔬菜基地江桥这个市场每天六七千吨的量也是运转不过来的当然这个又是另外一个故事了听过我们之前节目讲顺丰那期的朋友们可能对于物流业这种先分散再集中再分散这个设计不会很陌生
[00:09:17] 其实像上海这种对于蔬菜需求量非常大的市场你做一个或者几个核心的集散中心
[00:09:44] 市郊本地的农民种植之后在很分散的然后很低效的麦道市区里面来再加上那个时候市场交易还很不通畅吧所以说其实上海的蔬菜供应在很长一段时间里面都是短缺的那我查到在1987年的时候上海出现了一个114年以来相当罕见的异常气象
[00:10:04] 它二月份的时候异常高温三月份的时候又到春寒四月份的时候有冰雹七八月份的时候台风暴雨又非常的厉害结果就是这一整年蔬菜的供应都严重不足我看到过一个对当年的描述说当时的市领导不得不自己去当高级采购员去外省采购蔬菜他也是要保供我看到那个高级采购员都觉得有点熟悉的感觉
[00:10:29] 然后到了这个第二年就是1988年的时候上海呢就启动了著名的这个菜篮子工程他投了很多的钱给了很多的政策首先是先大幅的提升了本地种植的这个产能让它不要那么分散更加集中一些而且呢他还设立了一个叫做生产风险基金其实就是设立了一个基准价
[00:10:49] 一个买蔬菜的基准价能够保证这个菜农保本然后但是有点威力就一旦市场遇到了一些特殊的波动价格有一些很大的一些波动之后呢他就能够按照这个价格给菜农来做一个托底这样的话也提高了种蔬菜的一个积极性另外就是大幅的增加了外省市的蔬菜的供应这是后期的一个重要的举措因为本地实在是不够的所以江桥市场呢就是其中最重要的一环
[00:11:11] 其实我们可以把前面提到的蔬菜替换成很多很多其他日常的消费品为了保障上海人民的庞大需求量这些消费品都会先进入市交的一个市场先集中再分散到城市的各个角落这个才是日常城市的一种运转方式而在疫情之下这种体系的风险就是一旦这个集散地停摆了就很容易出现断供那反过来说也会波及到很多外面的种植基地不管是市交的还是外省的
[00:11:38] 我们就看到在3月25日上海发布的公众号曾经回复过读者这么一段话江桥批发市场以迅速启动应急预案对人员进行管控做好车辆场地消杀等工作并调整至备用场所开展交易以确保批发市场的安全
[00:12:04] 疫情当中上海人肯定充分意识到了冰箱的重要性我现在就很庆幸我们家换了一个双开门冰箱物资短缺的情况下冰箱肯定是越大越好而且越满越好其实一座城市也是一样的有很多人们日常生活当中常见的基础物资都需要低温保存和低温的运输所以说冷链物流的话也是越来越重要的一个方向对所以我们第二个关键词就是冷链物流
[00:12:30] 其实除了我们直接能够想到的像肉啊菜啊包括什么速冻饺子之类的食品之外还有很多东西都是需要冷链的比如说化工品药品还有疫苗我们打新冠疫苗的时候其实可以看到那些医生的那些药剂都是从小冰箱里拿出来小冰箱也是冷链的一部分对对对那这个冷链到底是包含哪些基础设施的或者是那种比较大的东西呢
[00:12:54] 其实这两年我们听冷链听的很多其实构成冷链的一个基础的一些设备主要就是冷链车和冷库就像正常的物流有货车和仓库是一个概念而在这些基础设施之上还有很多的设备对吧你要把这些东西造出来需要有些设备的比如说速冻的设备制冷的压缩机等等还有符合冷链车要求的箱体等等都是一些特制的一些设备
[00:13:19] 上游设备我就不管了那我还是简单理解就是冷链的规模和冷库包括像冷链车这种的量是不是就决定了一个城市能够储存和周转多少需要冷链保存产品对吧对就是冰箱有多大你就能够囤多少量的货就是这个概念所以上海你可想而知肯定是一个冷链的重镇
[00:13:42] 我查了一下一些数据就是上海现在的冷库的总面积有399.4万平方米仅次于广东和山东你想想看广东和山东这两个都是人口过亿或者接近亿的一个省份而且一个是贸易大省一个是农产品的销售生产大省另外一个数字就是2020年上海市的冷藏车的保有量为6410辆也是位居全国第一的
[00:14:07] 所以说相当于上海有两组大冰箱一组是定在地上的一组是开在路上的对对对真的是大冰箱但是即便如此还是不够我看到一篇报告里面写到整个华东地区现在对于冷链的需求都是非常高的然后这个冷链车也缺冷库也缺另外就是有运营资质的司机公司还有做冷链物流管理的一些公司都缺
[00:14:31] 现在有很多货车司机他们都看到冷链的生意比较好做都想去买冷链车跑冷链的物流因为赚的比较多但另一方面冷链运输它还有专门的资质难度也更加大比如说冷链车要做到不仅在开着的时候车厢里能够保持恒温还要在装卸转运的时候也保持一定的温度这个当中就有许多的操作规范了比如说这个车出发之前先要预冷然后特殊的一些货品比如说药品的码放也有专门的规定
[00:14:59] 高度不能高于空调的出风口的下沿然后和整个箱体的距离不能小于10厘米等等的有非常多的一些规定简单来说一句话不是我靠一个大火车制造我就能上路了是吗对对对冷链的一大特点就是比一般的物流需要更多的资源和技术来维持运转除了刚才我们说的这些专业设备和专业人员以外还有一个很细小的点就是电
[00:15:23] 我前两天看到一条保供的新闻就是说上海港的码头上面在疫情爆发之后一度出现了部分冷链的集装箱的堆积因为这个下游的企业没车或者没人来拉这些集装箱了没法拉走那就一直堆在码头上但是再这样堆积下去呢码头上面都要没有足够的插头来确保这些冷链集装箱的制冷了因为这个制冷是需要能源的你不能放在那边就这样自己保温了
[00:15:49] 这个事情到最后是要靠交通运输委来调节才把它相对的能够解决掉可想而知这件事情的重要性我觉得冷链这个话题也是个蛮好的切入口它就帮助我们理解物流在城市运转中的一种核心价值我们经常看到保供保供保证供应的核心其实不是生产而是保证物流的畅通
[00:16:13] 前面我们讲到蔬菜它是通过一层层的渠道进入居民家中的那我们拿到蔬菜之后大家就要烹饪它对吧所以就需要煤气那所以稳定的一个热能供应也是一个城市的基础设施那我们的第三个关键词呢就是天然气因为大家知道上海从2015年开始市区的居民呢基本上都是采用管道天然气了不用煤气了那问问看岳老师啊你觉得我们用的这个天然气是从哪里来的
[00:16:38] 小时候不是一直说所谓的西气东输吗应该是什么西部省份的气通过管道输送过来吧至于是不是什么乌克兰气就不好说了你今天已经就是非常宽泛的说省份已经说了第二次了其实岳老师这个答案如果放在十几年前的话基本上是正确的但现在情况不一样了看了一下历史的资料上海是从1999年开始启动把居民用的这个管道煤气改成管道天然气的
[00:17:05] 像我小时候是住在石化厂的厂区里边原本都是用厂区里边自产的煤气因为炼油石化装置里边就自然的会产生煤气这样一个副产品但是后来也按照全市的统一安排改成了天然气那一开始上海的气源确实如约老师所说就是西汽东苏来的主要就是塔里木的一个气田这个很大的气田里面的气经过一条3836公里的管道运送到上海青浦的一个白鹤镇这个地方
[00:17:33] 然后再供给全市但是后来上海的天然气的需求量越来越大这几年还在保持每年平均10%的一个增长那么单靠西汽东输就不太够了听上去就像三峡水利大坝输出来的电也不够了一样现在我们是怎么解决这个问题的其实现在上海的天然气接近一半都是来自海运的说的具体点就是通过LNG船来运过来的也就是所谓的液化天然气船
[00:18:00] 我们知道就把天然气低温液化之后它的体积可以被大大的压缩压缩到原来这个气体状态的六百分之一所以一艘大型的LNG船它的运输天然气的效率其实非常高的我看到一个数字就中国正在开发全球最大的一艘LNG船它装满了之后可以为470万个家庭提供一个月的天然气
[00:18:25] 这种LNG船感觉是那种会出现在巨大物体纪录片里面的东西就是绝对的震撼肯定是绝对的震撼我就自己都有点想去站在旁边感受一下说回这个上海的天然气啊既然是从海上运过来的那它是从哪边开过来的船呢其实是马来西亚
[00:18:44] 在2006年负责上海这个能源保障的国企就是生能集团和马来西亚的国家石油公司签订了一个25年的天然气合同来保证上海的天然气供应那这些天然气呢就都是通过这个LNG船驳来的所以不是首份是国家的咯我们用的都是马来西亚的气谢谢马来西亚人民的确要感谢马来西亚人民啊
[00:19:06] 那么现在我们就可以基本的描绘一下上海的天然气的供给线了这些天然气在马来西亚生产完之后经过液化装在了LNG船上面然后从马来西亚的港口出发一路北上进入东海停靠在距离上海市区有100多公里的一个小阳山岛上面那个岛上有一个阳山接收站专门是用来接收储存和转运天然气来供给上海的
[00:19:33] 而在接收储存和转运这三项当中储存其实是和应急需求最相关的我查到一个新闻非常有意思就是这个阳山接收站它在2019年开始扩建2020年完工这时间点查得真是非常好根据最近的一个新闻目前它的储量能够满足上海全市三周的需求这个三周说长不长说短也不短
[00:19:58] 这个我封在家里都已经三周了对对对所以说他肯定是要尽量的维持正常的运转而不是动不动就要使用这个储备嘛所以在疫情当中这个阳山接收站的人这个压力就非常大他必须要保证全员能够正常的上班运行要知道这个接收站不单只有码头啊储藏罐和管道的他是需要有非常多的现场技术人员和工人来维持运转的然后这些工作人员还需要很多的配套的协调的这个人员对吧
[00:20:26] 所以在3月27日上海宣布要静态管理之后呢这个小岛上的员工也要全封闭管理而且要反复的核酸确保没有问题所以说这个地方如果出问题的话上海人就没火烧菜了所以不仅要谢谢马来西亚人民也要谢谢这个阳山接收站的人对
[00:20:46] 前面都是说的和物有关的数字现在我们来报一些与人有关的数字我们来说一说就业上海现在有2500万常住人口这大家都知道那这些人当中呢有52.4%的人是就业的那就是1300万但在这个城市生活工作的肯定不止这个数码还有几百万的流动人口那真正在工作的人我们就毛咕咕的按照1600万来算前面提到
[00:21:14] 52.4%这个比例上海都说是一个老龄化程度非常高的城市我觉得从这个比例能看得出来对就你看历次人口普查的这个就业人口比例的数字就可以看到上海是不断的往下降的那就是前面你提到说真正在工作1600万人这些人大概都是从事什么工作的呢我们来报点数字先说一下第二产业也就是工业部分
[00:21:38] 按照产业分就业人数最多的是计算机电子设备行业和汽车行业这两个行业各有20多万人上海这两年其实一直在提这个制造业的转型升级嘛要做高端制造业或者高附加值的制造业那这两个行业肯定都算的听到高端制造业呢我们通常都会有一个印象就是这个工厂里面什么都是自动的然后都是高科技的不太需要人这个趋势呢是没错
[00:22:05] 但是啊就是高端制造业还有另外一个特点就是它越高端越复杂的产品它的供应链就覆盖的越广会涉及到非常非常多的供应商那这些供应商它有可能就会需要很多的人了
[00:22:18] 这几天复工复产的第一批上海的名单已经出来了
[00:22:47] 仓储和邮政业就有60万人的就业我们熟悉的快递员就包含在这个当中像住宿和餐饮业就有37万人这其中八成都是一线的服务人员比如说餐厅的一些服务员第三个例子是批发和零售业它有105万人就业这其中批发占三分之二零售占三分之一这个有可能跟我们的概念不太一样第四个行业是建筑业这个也是会在上海的统计年鉴里边单列出来的一个行业
[00:23:16] 建筑和房地产开发业总共的从业人数是超过50万的而且这里边还不包括大量流动进来的外省工人另外我还发现有一个就业人数很多的行业叫做租赁和商务服务业有118万人那这个听上去比较虚的这个门类里边呢其实就包含了我们很熟悉的房产中介刚刚小老师列了很多行业的数字大家可能会发现我们刚才举的大多数的这种行业或者职业
[00:23:43] 都是那种一旦你停下来的话你就没有收入的行业这里面分两种情况一种是所谓的手停口停这种人要么是寄件收费制要么是日结工资或者是按订单抽成的那他没有工作的话当然就是没有收入了另外一种情况呢其实是他们所处的这个行业本身是不能停下来的比如说我们前面提到快递员一旦他们停下来了这个他们首先自己没有收入了其次我们这个城市也受不了了
[00:24:10] 这个其实才是一个超级城市里面就业的常态像我和肖老师这样有固定的工资挺工也不用担心收入在家里录播客的人其实不占这个城市的多数说到这个我查到一篇就是在疫情之前关于外卖起手的报道说美团在上海的外卖员在日常的时候是超过4万人的然后我又查到一个4月16日的官方报道
[00:24:35] 说截止当天上海外卖起手的在港人数是1.8万人这个还是有差距而且大家都知道理论上上海是饿了吗的大本营只有美团的数字都对不上的对最后还要说明一点就上面这些来自上海统计年龄的就业数据它的统计都有个前提就是规模以上企业的就业人数
[00:24:56] 所以是不包括个体户的像很多个体的经商者还有一些被算作个体户的棋手一些做小生意的人都没有算到这个数字里边然后他们也是跟我们前面举的很多例子一样是那种手停口停没办法停下来的工作者
[00:25:16] 刚才说到了食品物流能源和就业那最后一个部分呢我们来报一些医疗相关的数字第一个数字上海每人全年的卫生总费用这个总费用是包括自己花的也包括社会各方面承担的一共是10183元这个数字是迅速攀升的就2010年的时候只有4000元那现在已经翻了一倍都不止了而且这个数字只是略略低于北京
[00:25:45] 远远超过中国的其他城市排名第三的天津都不到6000元每个人每年要花掉超过1万块钱
[00:26:13] 这每张床位每年平均有26名患者睡过然后平均每个人的住院是11天简单算了一下这个上海大概每年有400多万人住院过对400万人的话也就是上海常住人口的六分之一左右了其实是一个蛮高比例自己不住院的话根本没有办法想象这种数字对那我继续报一些数字每年因病去世的上海人当中四成是因为循环系统的疾病
[00:26:42] 循环系统的疾病比如说心血管病是比较常见的三成是因为癌症这两个是一个最大头的此外精神疾病占1%传染病占0.88%上海平均每天有216名新发的癌症患者有2万名患者需要隔天就做一次血液透析来维持生命然后每40个上海人里边就有一位是登记在册的残障人士
[00:27:06] 小老师又爆了很多数字大家一下子听可能有点懵如果你对哪个数字听到比较感兴趣的话建议再回头再听一下我们其实只想给大家一个直观的概念第一就是巨大对于上海这样一个老龄人口本来就很大的一个城市医疗是最花钱也最需要持续花钱的事情之一第二就是复杂在这么多的投入背后其实是有极其复杂且分散的医疗需求
[00:27:33] 因为影响人类健康的因素太多了而上海在解决这些复杂需求的过程中其实也没有什么独特的方式和方法
[00:27:41] 今天报了非常多的数字最后的最后请允许我再报几个数字来展现一个正常的上海这座城市每天会有1.5个展会活动35场文化演出52.3万人从上海出发209万辆车在城市的快速路当中通行每天会有971万份的快递从上海发出每天有1157万人次使用公共交通
[00:28:08] 那这些数字呢是来自于2021年我们的同事王一月写的一篇上海城市运转的稿件展会演出公交这些词对于我一个身处四月份的上海人来说其实有点陌生的但是重温这些词呢可能也能提醒自己这个才是一个正常运转的超大型城市应有的脉搏
[00:28:28] 城市呢其实就是人员的高度密集而这种高度的聚集呢是需要大量的人力物力来维持运转的这种运转呢本身是有一个巨大的惯性它就像客观规律一样同时呢人员的高度密集和高频次的交流又能激发出创新活力和丰富的生活城市本该是这样我们也希望我们的城市能回到这样
[00:28:57] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
