Vol.268 两个劳斯莱斯
[00:04:38] 造出这么个好一个车呢是罗伊斯的本事那想出这个点子呢是约翰逊的这个能力三者结合在一起呢其实劳斯莱斯到了20世纪的第二个十年就已经是一个声名显赫的而且明确定位在豪华奢侈品上面的一个汽车品牌了汽车造好了这个什么时候造飞机发动机我很着急啊我们的这个刻板印象里面是不是会觉得
[00:05:00] 这个罗伊斯他作为一个技术狂人对吧然后一开始研发这个汽车发动机其实在之前他已经搞过很多机械了那么顺其自然就应该是他来搞这个发动机对因为我们之前讲过麦巴赫他就是从这个研发汽车后来去开始研发飞艇上的发动机的但是在这个故事里边其实真正推动飞机发动机业务的是罗尔斯那位贵族他才是那个对飞行极度热衷的人
[00:05:27] 就是他是英国历史上第二位获得飞行执照的人还是第一位是人类历史上第一位实现不落地往返英吉利海峡飞行的人就是不能小看少爷是这个意思吗对就是他是在飞行史上人的飞行史上是留名的一个著名的人物然后呢在劳斯莱斯公司里面他就一直安利这个技术达人对吧就说你去搞飞机发动机啊那个更厉害你去搞然后罗伊斯呢其实一直不是很感冒对这件事情他还是喜欢车
[00:05:53] 直到了一站爆发了之后罗伊斯看到了飞机发动机在这个空站当中的这个应用他就发觉这个事情很有意思他要这样下去搞
[00:06:01] 但是他自己并没有看到过劳斯莱斯生产的
[00:06:31] 飞机发动机在空中飞行过因为他本人在1910年的一次飞行表演当中失事去世了他也是英国历史上第一个因为飞机事故死亡的人
[00:06:43] 我觉得怎么说呢可能他有预想过自己是以这样的方式离开这个世界的就是他身上其实有一些十九世纪末英国贵族那种反叛存在的就他不想过循规蹈矩的这个想的生活其实是想追求更多极限和刺激的我觉得这也能解释到为什么就是这个人原来其实是喜欢搞赛车然后后面又开始搞飞行另外就是飞机发动机这个技术难度确实远高于汽车内燃机
[00:07:09] 以及凭借人类自己的力量在天上飞行是一件很有吸引力的事情对我觉得你这个分析蛮到位的就是他有可能是那种就我们这个从中正的角度来说就虽然不太好听但我觉得他最后这个去世的方式有可能对他来说是死得其所的那另一边的这个罗伊斯他虽然继承了这个搭档的遗志一直在研发这个不管是车还是飞机的发动机但是他自己身体呢就是很早就不太好所以他其实大多数时间都是生活在这个欧洲的一些疗养地的
[00:07:38] 他几乎没有踏足过劳斯莱斯的工厂都是远程办公就画图纸就是一个很早就实现了work from home对一百多年前的work from home值得一提的是在这个过程当中其实劳斯莱斯还是有一些非常重要的职业经理人包括约翰逊去世之后也有整个的公司发展相对来说虽然有很多的跌宕还是比较顺利的在这个过程当中他还在一次非常戏剧化的商战当中收购了另一个著名的豪华车品牌就是宾利
[00:08:05] 所以说劳斯莱斯和宾利之前是一家人很长一段时间是一家人这个故事我们以后有机会再讲到了二二战之后劳斯莱斯已经成为了整个大英帝国可以说是最辉煌的品牌之一因为一方面在国防军工行业他制造的发动机是英国空军的一个心脏很重要那么在汽车领域劳斯莱斯永远是一个最高贵的金字塔尖的一个招牌所以整个这个公司实际上是非常闪亮的
[00:08:33] 那么问题就是为什么这么强大一个公司之后会一步步分崩离析接下来我们就开始正式讲劳斯莱斯的拆分也是当时公司历史上的最大危机
[00:08:46] 开头我们提到过这次拆分发生在1971年整个世界的一个关键词就是一台型号名叫RB211的飞机发动机正是为了研发这台发动机劳斯莱斯才濒临破产最后不得不接受政府的救助并且把汽车业务给独立拆分出去我们先来说一下当时的背景二战之后虽然英国的经济体量一直还是欧洲领先的并且国民收入和福利也不断的上升
[00:09:15] 但是有一块它其实一直有衰落的迹象就是它的工业我们看到很多的分析评论比如说美国不是马歇尔计划给了欧洲各国很多的援助像德国就把很多钱都拿来搞工业搞出了像西门子这些大众等等这些工业的公司那么英国很多时候是用来比如说进口一些消费品或者是提升福利等等的搞商业工业上面它确实是比较落后了到了1960年代的时候
[00:09:44] 其实这个情况就更加的突雪对于劳斯莱斯来说他虽然这个汽车业务一直是很有名的大家知道劳斯莱斯一年就卖几千辆车他是纯手工制作的
[00:09:53] 它不是以产量来注称的它也不考虑产量所以你从数字上面来说它是一个小众的生意而飞机发动机呢无疑是当时的这个主业其实我现在查一下就是飞机发动机的这个罗罗的公司的营收其实还是比它劳斯莱斯这个汽车业务要大很多的就多一个数量级有时候甚至多靠两个数量级这样一个水平那当时劳斯莱斯的飞机发动机它这个业务面临什么样的挑战呢
[00:10:18] 简而言之就是他要赶紧的去跟上全新的一个民航科技的时代那个时候也是民航科技整个技术大革命的一个阶段了我们知道1960年代其实是全球民航业的一个迅速崛起的一个时期就是超高速增长当时增长的核心重心肯定是在美国的因为这个市场就在美国我们看到个数字就是从1955年到1972年大概17年的时间里边美国的航空旅客人数是翻了两番
[00:10:46] 也就是原来的4倍然后全球整个这个行业就是民航行业的这个年平均增长率是15%非常吓人啊这就使得民用的客机一下子变成了一个比军用飞机大得多的市场那其实在之前没有这回事情的那劳斯莱斯在这方面呢虽然有技术有产品就是这个我们说的这个民航客机的喷气式发动机啊它是有一定积累的但是它的市场主要局限于英国和欧洲那就是一些短途的小的航线
[00:11:14] 一直没有打入美国这个核心市场所以他当时就急需让自己的发动机能够装到美国最新的民航客机上面我们可以再提供一个数字来体现当时劳斯莱斯的急迫感1967年的时候公司内部做了个估计说如果他们没有签下新的飞机发动机的项目的话现有发动机的销售额可能从1969年的5890万英镑降到1975年的
[00:11:42] 350万英镑当时的1英镑大概是28美元这购买力算到现在这确实是会缩水很厉害这相当于已经不是一个所谓的增长受限的问题是能否生存的问题是的相当于你如果没有拿到民航业新时代入场券你可能以后长期就
[00:11:59] 有利于这个圈子之外的因为飞机发动机还是一个就是开发时间很长壁垒又很高的一个小圈子就你打入这个圈子是很重要的是就是如果你拿不到初期的这个认证的话你后面再要去跟一些已有的玩家去竞争你就非常的难那如果你不在这个圈子里面以后你就没有市场了你就变成在一个快要干涸的小池塘里面在生存了那么RB211这个发动机的这个研发项目呢就是在这样的背景下面诞生的
[00:12:24] 在1968年3月的时候劳斯莱斯成功的拿下了美国的客户洛克希德公司的一个叫做L-1011三星客机的一个独家的飞机发动机的订单以后我们就叫这它三星客机了这样比较好说一点不是韩国的三星是美国三星对一共有150套发动机很大一个订单就当时就英国上下欢腾就媒体都是头条报道的就是说它是英国有史以来最大的一个
[00:12:51] 工业出口的订单而且这种欢腾背后其实还有一丁的这种怎么说就是民族主义或者是国际关系的背景因为当时洛克希德这个公司大家知道是一个著名的军工企业它也是美国向英国出口武器的主力之一像我们比较熟悉的一些名词有什么海王星巡逻机大力神运输机北极星导弹系统等等都是洛克希德生产的
[00:13:17] 北极星这个我在ES Prime Minister里面见过对第一就是是首相的第一集对吧他上任以后就开始讨论就是要不要去把这个老的这个导弹系统换成新的那个三叉戟导弹系统对老的就是北极星新的就是三叉戟对因为这个当时那个Jim Hacker就
[00:13:35] 刚刚当上首相他就觉得说军工方面是不是可以调整一下就是想要取消更新计划然后最后被Hoffer用一系列的理由阻止了其中又有一条就是不能得罪美国因为我们英国要用就要用最好的对最后讲了一通实际的然后来了一个上架子说英国要用最好的其实这完全就是对当时现实的讽刺
[00:13:55] 这些系统的名字都是真的而且三叉戟还是洛克希德开发的确实英国要用最好的但是最好都是美国造的所以从这个意义上就能理解为什么当时英国国内对于劳斯莱斯的这次出口反向出口给洛克希德是寄予厚望非常高兴的你们的军工企业蹲蹲的往我们这边卖武器赚外汇现在我的军工企业也可以向你们反向出口来出口我们的大银行的大国重器
[00:14:21] 说明英国工业还行是吧但是就是最后这个大单是压垮了劳斯莱斯是吗是的劳斯莱斯呢把自己公司的生死其实压在这个项目上面但另一边呢其实他的客户洛克希德也是在这台发动机或者说这个三星客机的项目上面压了重注的当时洛克希德背景是什么呢就他军工确实是历史非常悠久但是呢那个时候正好是有一些军工的订单因为政府的一些这个预算调整实际上是搁置了或者是缩减了所以他军工那边的业务呢发展的不是很好
[00:14:50] 那另一边呢他就看到这个民航业啊这个欣欣向荣这个规模好像比军官大很多都是造飞机我为什么不能搞一点民航客机呢对他觉得他基础上确实是有这个基础的这个可以转是没问题的啊所以呢他的目标就很明确就是要开发一架当时这个马上要成为主流的一个新型的宽体客机然后由此进入民航业嗯这宽体客机就是你飞机里面有两条过道那个就叫宽体是吧一条过道就是窄体
[00:15:18] 对就是载体客机最早就是波音707那是一个代表它其实也是就是民航业这个搞喷气式客机的一个开山之作之前都是螺旋桨比较为主流的707开始就是开始大家发现喷气式客机能搞很厉害这个载体飞机呢一般就是做个140到200人一条过档那种样子的但是由于民航业的快速发展就民航公司就面临一个非常甜蜜的烦恼就是座位供不应求
[00:15:44] 即便他们不断的增加航线增加班次这我们说都是美国但是在高峰期间仍然是难以满足旅客的需求就是一票难求的状态所以他们的扩产的目标就能转向了飞机本身就我能增的已经差不多了你这个飞机能不能单次运行再来一点人多运点人而且你多运点人的话也可以提升经营的效率就是我们知道航空公司有个重要的经营的指标叫做
[00:16:09] 每个座位的每英里成本反正就是平摊到人上面的一个成本是的作为民航业的新手洛克希德拿出的这个计划就是三星客机这款客机当时它实际上是有明确的追赶对象和竞争对手的追赶对象就是1968年出厂的著名的波音747可能是民航业上面最有名的一个型号了是的
[00:16:31] 那么它的竞争对手呢就是跟它同步研发的这个麦道公司的一款叫做DC-10的飞机这两款飞机它的开发时间设计性能都十分的类似然后面向的这个航空公司就是一个尼康和佳能的对决就完全就是同步在抢一些这个航空公司的订单是直接的竞争对手最后呢洛克希德是成功拿下了像环宇航空啊还有Eastern Airline这些的这个航空公司这个订单但它的核心卖点呢就是它有个推力更大
[00:17:00] 更轻更省油然后也更具效率的一个新一代的飞机发动机就是我全都要但是我全都要你要靠外包来实现对其实它的卖点都压在了劳斯莱斯身上对劳斯莱斯这是我的卖点在讲完背景之后我们可以发现一个什么情况就是劳斯莱斯在具体的商务谈判的时候他就会处于一个非常被动的状态首先他是自己是最有求于这个合同这个生意的因为他是生死的问题对吧
[00:17:26] 那么另外一方面洛克希德为了拿下航空公司定端也许诺了新产品很高的产品的性能这种性能的许诺最后的压力还是传导到了劳斯莱斯的身上很大一部分我甲方吹了一个牛然后让我来帮忙实现同时又不是只有劳斯莱斯一家飞机发动机的供应商他也是新手对吧洛克希德是新手他也是新手像通用电器和普惠
[00:17:51] 通用电梯也是我们经常在飞机发动机上看到的直翼的那个标志对他们才是当时在美国主流的飞机发动机的供应商而且又是美国本地的公司他也在争夺洛克希德和麦道的订单的劳斯莱斯并不是说我已经跟洛克希德绑定的所以最后就是劳斯莱斯作为一个外来者他只能不断的来提升自己这个产品的设计性能然后降低自己的价格最终获得了洛克希德的独家订单
[00:18:18] 就是自己选自己是最后他和洛克希德签下这个合同我们后面来看实际上是对劳斯莱斯非常不利的一方面这个价格压得很低了另外一方面他许诺的发动机的推力比一开始他提供的方案要高了20%左右这实际上是一个非常就是我许诺的一个很厉害的事情而且合同还明确了很多的细节的规定就比如说如果你这个发动机研发延时了你劳斯莱斯来赔钱
[00:18:46] 如果你的性能达不到标准的也是劳斯莱斯在赔钱而且这个合同的价格是锁死的就是不会因为你增加了新的成本然后给你重新谈一个发动机的价格不会这个条款是不是对自己也过于不利了一点洛克希特作为乙方的为了满足甲方的要求最后都推给丙方其实当时劳斯莱斯内部也有很多人意识到这实际上是很有风险的比如说他们有一位商业董事叫John Perkins他在1968年合同签下之前就提醒管理层你不能再让步了
[00:19:13] 你再让步的话公司只能赢得一场惨胜事后证明珮克尼斯是非常有远见的因为性能的要求的提升所以劳斯莱斯为了2B211这个发动机他做了一个非常激进的技术方案引入了当时全新的一些设计还有一些工艺这一些设计理论上都能够提升飞机发动机的性能都是很好的是都是未来的方向但是他也大幅的提升了研发的难度感觉是一些就是
[00:19:41] 军工行业常见就是你帮我先造出一个未来才有的东西对对就是洛克希德他就是进军民航运的时候他就说我希望我的这个三星科技采用最先进的技术如果这些技术不存在的话我们就创造它
[00:19:54] 它是这种风格相反麦道那边它研发DC10的时候它要求的是你尽可能的采用之前那个型号DC08的一些已有的技术就是迭代对要保守一点就可以看出两家这个风格的区别
[00:20:08] 那么说回具体这个RB211为什么它研发有很大的难度两个最主要的一个例子可以举一下一个叫做三轴设计一个叫碳纤维复合材料的叶片你现在已经是这个飞机发动机专家了是吗没有没有就全都是这个硬着头皮速成的知识我只是尽我所能嚼了一嚼给大家分享一下其实我们这种评论区有很多这个飞机行业的大佬欢迎大家指正然后科普
[00:20:33] 我们先讲第二个碳纤维的叶片因为它比较好理解以免大家听到第一个就问就撤了我们看到飞机外面不是有很多螺旋桨那个转的像风扇的一样东西那就是叶片此前的叶片主要是钛合金来做的钛合金有什么不好呢如果改成碳纤维复合材料它就更轻
[00:20:54] 而且我们知道碳纤维实际上它硬度也是非常非常高的所以如果能够用碳纤维的话整个发动机的重量不就减轻了吗就是又保证强度又减重了对就是发动机我们会讲一个就是叫推重比就类似于我用多少重量形成多大的推力对对对这个大家应该比较好理解这个三星科技不是说我要更省油吗宽体科技对吧然后又要动力很强所以它就很符合这个要求那这个碳纤维有什么不好呢那它有个致命的缺陷就是它没有通过鸟机测试
[00:21:22] 鸟机测试看过萨里机场应该会有点印象小鸟撞到飞机发动机里面是一个影响很大的事情所以说飞机上一般来说要装很多个发动机就是为了应对这个问题万一一个熄火了剩下几个继续用萨里机场就是很倒霉两个发动机都熄火了
[00:21:40] 通常情况下就是传统太和鸡的叶片你碰到小鸟撞击的时候金属它会变形会凹陷也可能会出故障但它不会碎裂因为金属是有一定的韧性的大家可以理解吗是
[00:21:53] 但是劳斯莱斯用的这个碳纤维复合材料呢它是一个很我们可以说很脆的一个材料对就是它强度很高但刚性好像不太行它大多数时候刚性也可以的但是要在你设计的那个面上面如果撞击的话能够行在一些你没有设计过的一些这个面上面来撞击就是小鸟只能从固定的一个方向撞击它是没有问题的这个他们有可能一开始设计的时候没有想到但最后的结果就是他们在做那次鸟击测试的时候整个叶片碎成了碎片那就完了呀就是你这样的话你就不能遇到鸟击了那是很可怕的一件事情
[00:22:21] 那最后呢劳斯莱斯不得不放弃这个碳纤维的材料退回到传统的太和晶片回滚了一下啊这个不仅仅是浪费时间的问题因为你还要对原来的飞机发动机设计方案做重新的调整因为你原来的调整都是基于你用的是这个碳纤维的材料来做的现在你这个重量要变重了吗你一切东西都要重新来过那这个事情听上去就已经很难了呀对这还是比较简单的那个例子啊我们再回过头来讲这个前面讲到三轴设计为什么这个东西是一个很难的东西
[00:22:50] 稍微复杂一点我们简单的科普一下喷气式发动机的原理我们就用最简单粗暴的方式来比较这个其实没有那么难很好理解喷气式发动机它实际上就像一个巨大的风扇把很多的空气吸进来然后再推出去就是一个我们现在电风扇的反向是这样对对就是这样一个然后它这样产生推力了那么前方巨大的风扇其实就是把绝大多数的空气就像我们家上讲的吸进来再推出去产生这个力
[00:23:16] 但这个当中这个叫做外寒道气流就他们那个名词你不用管它了但当中还有一小部分的空气其实会被送进一个叫做核心机的一个部分然后经过压气机这样一个部件来压缩空气压缩压缩压缩之后再燃烧燃烧之后就产生非常高温的然后快速膨胀的热气高温的燃气然后再冲过一个涡轮这个还能产生很大的推理
[00:23:44] 就是简单来说就是在风扇里面又加了一个汽车发动机是这样吗对 汽车发动机虽然是活塞的跟这个结构不一样但是基本的原理是这样就是把这个空气压缩之后燃烧它变得很大然后就会有很大的推力就这么回事在这个过程当中最重要的两个部件其实我们刚刚讲一个是风扇一个就是压气机对但是这两个东西有个矛盾就是风扇很大
[00:24:07] 然后根据一些物理的原理它必须要转的慢一点才有效率就不能转太快转的太快会有什么我忘记了什么音噪还是什么东西反正它就是很有问题你不能转太快的但是压气机你要压缩空气你就是要高速的旋转然后这两个转的两个电风扇它是连在它是同一个轴的就是前后相连的它理论上不能产生不同的转速对所以传统发动机的方案就是叫两轴方案
[00:24:36] 就是前面的风扇用一根轴后面的压缩机用另一个轴前面是慢轴后面是快轴是这样的一个状态那它还有两套变速箱是这个意思吗跟变速箱其实很类似我觉得也不叫很类似吧就是这个逻辑是一样的逻辑是一样的但是两轴方案有些不完美的地方因为压器机不是只有一个它有好几机它有逐级的压缩分级火箭的一个东西我们一直在用别的来类比只能这样
[00:25:00] 那么不同级别压器机它要求的这个转速也不一样前面会稍微慢一点到越到后面越快那么在两轴方案里面呢就是会形成就是你这个慢轴啊除了带风扇以外还要带一下压器机带一些前面慢的压器机后面快的压器机呢是跟着那个快走嗯
[00:25:16] 前面那个慢轴其实你就有一个转速的妥协嘛就虽然这个慢的压器机和风扇都可以稍微慢点就是差不多但是略有一点区别对就是你如果说这个慢的压器机还可以给它再安排一个轴的话它是不是这个转的大家都更有效率一点这就是三轴的方案就相当于给一个慢速的慢速的压器机再加一根轴对就是给这个变速箱再多一点档位这样的话你这个转速就更加的有效率嘛就这样一个概念但是多出这根轴听上去很简单是吧
[00:25:46] 它就会使得整个发动机的工程难度急剧的上升急剧就是因为你留给每一个部件的容错率都大幅的下降了就是精细了很多很多不像过去实际上是相对来说有比较大的容错率的就是相对而言那这个研发的过程当中有很多很多的坑就是消耗了劳斯莱斯很大的精力和时间更要命的是呢其实这个时候劳斯莱斯自身的这个研发团队的战力啊是有损失的
[00:26:09] 一方面死前就是在签下这个订单之前他们刚刚在英国政府的这个撮合之下合并了另一个英国的飞机发动机制造商叫布里斯托尔
[00:26:19] 那两家原本是死对头来的啊后来呢就是这个合并在一起这个研发体系的磨合一直不是很顺畅合并是为了产生规模效应吗跟这个全球竞争也是为了就是像接着美国订单的但是你这个内部其实整合的不是非常的顺利然后啊这个过程当中还出现了一些资深工程师的流失比如说整个项目最重要的一个工程师啊就是也是据说他们这个劳斯莱斯工厂里面的一个精神领袖叫阿德里安龙巴德他在1967年的时候还去世了
[00:26:48] 就是一个麻烦叠加一个麻烦就是两个麻烦的叠加是灾难但两个灾难叠加就是地狱了绝对是研发地狱啊总之呢2比211的这个研发成本是从预计的7500万英镑膨胀到了1.703亿英镑我们再说一下就当时的英镑相当于现在的快30美元啊然后它的生产成本呢已经超过了每台23万英镑了什么概念超过了你的合同价了就是亏本卖就是你卖台就是亏本的
[00:27:15] 而且这个合同你刚刚我们讲过这个价格是锁死的就这样一个状态而且这个过程当中研发还档期了我觉得就是如果是别的供应商的话这时候应该就是跟客户再开一个会就是华贵就我们实在是不行了要不然我们再追加一点这个研发的预算或者说我们共同承担一点要谈的呀对吧可以谈而很多时候都是要谈的嘛对吧但是你当时合同都定死了然后最后的结果就是所有的风险劳斯莱斯的承担就在这种情况下面这个公司啊在1970年的时候
[00:27:45] 还开始着手研发阿比211的一个更强的一个版本因为他想要拿后面的这个订单做一些长期的规划是没错的这个公司是不是研发没有排气意识当时那个总裁事后回忆他说我们确实低估了这个项目的难度而且我们的会计师们当时没有现金流这个概念这还是会计师吗我都不知道他是真的在说现金流的事情还是在夸张怎么着的但实际情况就是这样
[00:28:11] 到了1971年1月份的时候整个劳斯莱斯已经资不抵债了公司直接宣布进入破产接管的状态就是一个造发东西造的好好的然后突然就破产了就崩了就说我没钱了发不出钱来了这个状况实际上是震惊了英美两国的尤其是英国政府因为在项目开始之前一方面他们寄予厚望一方面其实已经给了劳斯莱斯很多的支持了给了他几千万英镑的贷款
[00:28:35] 开始之前这个援助在当时已经引发了很大的这个争议了就我查到一个就是英国这个议会的这个辩论的这个记录啊他们在1973年74年就是已经事情过去了之后还在复盘的时候还在吵这个事情就说你们当时英国政府被RB21这个项目绑架了你们有很多给出去的钱是什么没有经过讨论的就是那些反对党在攻击当时的政府里边有个细节就说到就是领了要签合同了之前一个礼拜
[00:29:03] 洛克希德又提出一个新的要求要杀价什么几百英镑还是什么1000万英镑之类的
[00:29:09] 当时劳斯莱斯就马上告诉政府的官员这边说我们要更多的债款支持就是客户压我们这样你得多帮我们一下这个就是国家的重点扶持项目的意思是的那到了1971年的时候呢当时英国的首相是保守党的这个西斯政府保守党吧他们当时实际上主要的这个理念施政的理念是让市场来接管政府不要去接管但是研判了一下发现不行你劳斯莱斯不能不接管因为
[00:29:37] 你还提供了英国国防工业的很多重要的产品如果你这个公司垮了的话我就只能一直买美国产品了对所以英国政府就迅速的提出由政府购买劳斯莱斯的关键的发动机业务的资产然后成立一个新的国有公司就是后来的劳斯莱斯控股并且承接所有的债务但在这个过程当中汽车业务就被分拆成另一个公司劳斯莱斯汽车了
[00:30:00] 到了后来过了一几年之后它又被卖给了一个民营的工业公司叫维克斯再过了27年到了1998年的时候维克斯就准备出售劳斯莱斯旗下的汽车的业务在同样非常富有戏剧性的一番商战之后劳斯莱斯品牌归属了宝马兵力归属了大众受限于篇幅以后我们有机会再展开这个故事
[00:30:26] 肖老师已经给自己挖了三个坑我们继续好那我们现在暂时把注意力还是回放到这个RB211上面虽然英国政府这时候已经出手救助了但是我怀疑这个烂摊子还会继续下去你说的非常对因为在美国这边就是这个客户洛克希德他的情况也非常的危急因为RB211的研发受阻了我飞机发动机都受阻了那我这个飞机的研发也延期了好把甲方带下了水
[00:30:54] 导致洛克希德一度也陷入了财务危机不得不寻求美国政府的救助美国政府救不救呢当时美国政府是很想救的但是我们知道要三权分立对吧所以他要向他这个救助法案要向国会来通过这个法案呢是想要贷款2.5亿美元给洛克希德结果这个法案就在美国的国会遭到了强有力的阻碍就反对者非常的多
[00:31:16] 一方面我们可以想到就美国当地的那些代表这个航空业力的一些这个州比如像俄亥俄州辛辛那提那边他们一开始就是反对你签劳斯莱斯的那现在我肯定是更加反对我们国产发动机就不会有这种事情就不会有这种事情了而且说的非常对其实洛克希德当时是想过抛开劳斯莱斯我重新再找一个美国发动机来替代的因为你不是慢了吗结果后来他们发现不行
[00:31:38] 为什么呢因为劳斯莱斯发动机它不是什么更轻更加力技术上确实是更领先对然后呢为此它涉及这个专门的一个什么空间这个整个机体使得它没有办法替换成更大一点的美国那些发动机了就是工程上不行不够适配对它不是不想换它不是不想抛开你英文它是因为没有办法就是我如果要换的话我得重新研发一整套东西是的当时反对者除了这个还包括当时的加州州长
[00:32:04] 这位州长呢后来在1980年的时候就成为了美国总统就是里根总之就是在这样一番激烈的争斗之后最后国会是以一票的微弱的优势才通过了这样一个法案给了洛克希德一个救助最后呢算是确保了这个三星科技的这个项目还算是完成了这样一个状态我觉得在这个故事里面英美两国政府就着大的逻辑还是一样的就是如果这两家公司同时崩溃了我们这个西方阵营的国防工业技术
[00:32:33] 其实会大幅的削弱它不是完全看民航部分它主要还是看军工的部分其实这个还是因为有冷战的背景没错很重要的冷战的背景最终RB21的延档使得三星客机只能延期的投入使用虽然是投入使用了但因为延档使得它比我们前面讲到的麦道的DC-10它晚了两年左右就这两年使得它损失了很多的客户它最终的销量不及预期一共只卖了250架飞机
[00:33:02] 而洛克希德当时测算的三星科技的盈亏平衡点是500家回过头来看感觉是一个双输的惨淡局面我觉得一个核心问题在于当时做合同谈判的时候我们之前的感觉就是洛克希德把所有的压力都压给劳斯莱斯自己去解决这些问题然后通过很严格的合同条款把自己的利益最大化还风险最小化但实际上我们可以看最后结论上面
[00:33:27] RBR11和三星科技它不是一个通过合同就可以切分的东西它在飞机上是一体的对那它是一个工程问题这个事情其实没有说因为合同上怎么去划分就会导致最后结果上面就可以完全按照你的思路去走你说划分责任就划分责任了最后还不是一样你倒霉吗对我们事后可以收到很多劳斯莱斯对于这个谈判的复盘就像我们刚刚讲他们觉得自己什么惨胜或者怎么着的
[00:33:53] 但是我没有收到太多洛克希德方面回忆的这个谈判的细节就我猜他们有可能觉得当下这个谈判的局势下面他们自己确实是更水位更上面的劳斯莱斯更有求于自己吧所以他把这种优势最大化了但实际上我们来看到当时的最大化并不是他的最优解我不信中文外景最后还是就是弄出来虽然晚了两年是的其实从发动机的研发上面他就是晚了一年多就我们刚刚讲了这么多的地域其实他这个发动机最后还是晚了一年多公车失利
[00:34:22] 是当然英国政府一方救助了他才能继续下去还有就是劳斯莱斯请来了就请回了一些资深的工程师反正力挽狂澜把最后三周这些很多的困难都给解决掉了包括钛合金的叶片等等都解决了最后发动机确实是问世了而且我们可以说匹极钛的一点是什么呢就是之后在1973年的时候第一次石油危机就到来了
